issuer_name,cusip,instrument_id,mi_key,actual_spread,predicted_spread,cheapness_bps,downgrade_prob_4q,sp_rating,rating_numeric,modified_duration,quadrant,rv_long_score,rv_short_score
Ford Motor Company,345370BW9,SPS14087329,113873,263.41536,202.1691785153455,61.24618148465453,0.40014708018647954,BBB-,10.0,9.8139,Trap (cheap+risky),36.7387007909988,-24.507480693655733
PacifiCorp,695114DA3,SPS1837759730,4001587,156.09014,112.02728465762453,44.06285534237546,0.1745590093962375,BBB+,8.0,13.55013,Trap (cheap+risky),36.37128696264069,-7.691568379734771
Time Warner Cable Inc.,88732JAJ7,SPS34405166,4146010,222.42379,151.80565995271257,70.61813004728742,,BBB-,10.0,7.66383,Long (cheap+safe),35.30906502364371,-35.30906502364371
Verizon Communications Inc.,92346MGP0,SPS430326192,4057229,190.64406,155.12628058233912,35.517779417660876,0.10319396477344395,BBB+,8.0,3.74881,Long (cheap+safe),31.852558939603828,-3.6652204780570488
PacifiCorp,695114CV8,SPS604263578,4001587,142.61506,104.2591582061805,38.3559017938195,0.1745590093962375,BBB+,8.0,13.3711,Trap (cheap+risky),31.660533572191,-6.695368221628501
PacifiCorp,695114CT3,SPS573563734,4001587,145.2201,107.24863596984035,37.97146403015965,0.1745590093962375,BBB+,8.0,13.02695,Trap (cheap+risky),31.343202883730118,-6.628261146429533
Historic TW Inc.,887315BN8,SPS14063043,4004176,301.25568,239.3878534435999,61.867826556400075,,BB,12.0,2.63273,Long (cheap+safe),30.933913278200038,-30.933913278200038
Southern California Edison Company,842400GR8,SPS606122902,4009083,165.66086,128.94628721941248,36.71457278058753,0.16143408731704326,BBB+,8.0,12.52806,Long (cheap+safe),30.787589232518226,-5.926983548069307
Jefferies Financial Group Inc.,47233WLU1,SPS1984711343,103464,190.29631,139.7745539619534,50.52175603804662,0.3941554534165877,BBB,9.0,5.53063,Trap (cheap+risky),30.60833037946813,-19.913425658578493
"Transcontinental Gas Pipe Line Company, LLC",893570BM2,SPS14038463,4057168,33.97633,-25.40584533048012,59.382175330480116,,BBB+,8.0,0.47771,Long (cheap+safe),29.691087665240058,-29.691087665240058
Southern California Edison Company,842400FZ1,SPS247431684,4009083,159.37261,125.74173207193434,33.63087792806567,0.16143408731704326,BBB+,8.0,11.10629,Long (cheap+safe),28.201707844077497,-5.4291700839881765
Southern California Edison Company,842400FT5,SPS143212055,4009083,166.9095,133.9999838013802,32.9095161986198,0.16143408731704326,BBB+,8.0,10.56404,Long (cheap+safe),27.59679848705016,-5.312717711569638
Apollo Debt Solutions BDC,03770DAF0,SPS1916558713,27739734,206.28585,151.286777267872,54.99907273212801,,BBB-,10.0,4.70924,Long (cheap+safe),27.499536366064007,-27.499536366064007
Southern California Edison Company,842400HR7,SPS1783883638,4009083,171.87636,139.40974387715255,32.466616122847455,0.16143408731704326,BBB+,8.0,12.69642,Long (cheap+safe),27.225397580782776,-5.24121854206468
Ford Motor Company,345370BM1,SPS14009295,113873,236.27883,190.9805734741319,45.29825652586811,0.40014708018647954,BBB-,10.0,9.38783,Trap (cheap+risky),27.172291439503848,-18.125965086364268
Anadarko Petroleum Corporation,032511AL1,SPS14049077,4010194,215.29022,161.0100661657407,54.280153834259295,,BB+,11.0,1.36749,Long (cheap+safe),27.140076917129647,-27.140076917129647
Southern California Edison Company,842400JK0,SPS1934881042,4009083,173.05883,141.21853126036285,31.84029873963715,0.16143408731704326,BBB+,8.0,13.16837,Long (cheap+safe),26.700189172701823,-5.140109566935326
Southern California Edison Company,842400JD6,SPS1872828501,4009083,173.58479,142.3907156486825,31.19407435131751,0.16143408731704326,BBB+,8.0,13.1809,Long (cheap+safe),26.15828742871258,-5.03578692260493
Raytheon Company,755111AP6,SPS14062322,4020418,108.68398,57.20634940388612,51.47763059611388,,BBB+,8.0,2.20408,Long (cheap+safe),25.73881529805694,-25.73881529805694
Southern California Edison Company,842400HV8,SPS1827629926,4009083,174.74978,144.15233501905956,30.597444980940423,0.16143408731704326,BBB+,8.0,12.89117,Long (cheap+safe),25.657974376208863,-4.9394706047315635
Southern California Edison Company,842400HX4,SPS1838048846,4009083,170.08341,140.60198388835653,29.481426111643458,0.16143408731704326,BBB+,8.0,12.79573,Long (cheap+safe),24.72211899450545,-4.759307117138009
"Continental Resources, Inc.",212015AQ4,SPS263811432,4120318,203.01302,153.65528540359495,49.357734596405066,,BBB-,10.0,10.8011,Long (cheap+safe),24.678867298202533,-24.678867298202533
Oracle Corporation,68389XBY0,SPS661501798,4041363,242.50185,216.85087444657358,25.650975553426406,0.04190351710339104,BBB,9.0,14.24144,Long (cheap+safe),24.576109460604737,-1.074866092821669
Southern California Edison Company,842400FV0,SPS177843184,4009083,161.30453,132.15600003817977,29.14852996182023,0.16143408731704326,BBB+,8.0,10.78076,Long (cheap+safe),24.442963630800293,-4.705566331019939
Southern California Edison Company,842400JH7,SPS1915273747,4009083,170.33195,141.21853126036285,29.113418739637154,0.16143408731704326,BBB+,8.0,13.19975,Long (cheap+safe),24.413520556724926,-4.699898182912228
Southern California Edison Company,842400GK3,SPS554457256,4009083,160.57993,131.47906260721697,29.100867392783016,0.16143408731704326,BBB+,8.0,12.76813,Long (cheap+safe),24.402995425094787,-4.69787196768823
Jefferies Financial Group Inc.,47233WKB4,SPS1948280473,103464,177.57236,137.305347318995,40.26701268100501,0.3941554534165877,BBB,9.0,6.42409,Trap (cheap+risky),24.395550039992,-15.871462641013018
Southern California Edison Company,842400FW8,SPS231601759,4009083,161.47187,132.74735663450207,28.724513365497927,0.16143408731704326,BBB+,8.0,11.27479,Long (cheap+safe),24.08739776671256,-4.6371155987853685
Southern California Edison Company,842400GG2,SPS424152027,4009083,157.85324,129.76296781526167,28.090272184738325,0.16143408731704326,BBB+,8.0,12.66096,Long (cheap+safe),23.555544732107766,-4.534727452630558
Ford Motor Company,345370BP4,SPS14035502,113873,156.80626,118.64449682901342,38.16176317098659,0.40014708018647954,BBB-,10.0,0.16725,Trap (cheap+risky),22.891445063348378,-15.270318107638213
Southern California Edison Company,842400GE7,SPS281965523,4009083,160.45256,134.3237328693094,26.12882713069061,0.16143408731704326,BBB+,8.0,12.11256,Long (cheap+safe),21.910743770182773,-4.218083360507837
Pacific Gas and Electric Company,694308KD8,SPS1771741934,4004218,177.63131,152.97782195955733,24.65348804044268,0.14699392038597603,BBB+,8.0,12.89265,Long (cheap+safe),21.029575182189237,-3.6239128582534437
PacifiCorp,695114CG1,SPS37480617,4001587,125.10437,99.90575284118898,25.198617158811018,0.1745590093962375,BBB+,8.0,8.10471,Trap (cheap+risky),20.799971509413936,-4.398645649397084
"Time Warner Cable Enterprises, LLC",88731EAJ9,SPS14080100,4071273,189.72695,148.60220273030095,41.12474726969904,,BBB-,10.0,5.30198,Long (cheap+safe),20.56237363484952,-20.56237363484952
PacifiCorp,695114CE6,SPS33224902,4001587,122.94176,98.29479639444017,24.646963605559833,0.1745590093962375,BBB+,8.0,7.93469,Trap (cheap+risky),20.34461405394819,-4.302349551611643
