(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)"
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,4/30/2026,3/31/2026,2/27/2026,1/30/2026,12/31/2025,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,6/30/2025,5/30/2025,4/30/2025,3/31/2025,2/28/2025,1/31/2025,12/31/2024,11/29/2024,10/31/2024,9/30/2024,6/28/2024,3/29/2024,12/29/2023,9/29/2023,6/30/2023,3/31/2023,12/30/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020
Exelon Corporation,SPS1972368330,4057056,30161NBU4,EXC 3.25 03/15/2029 FIX USD Corporate,4.37950,4.28021,3.91808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expand Energy Corporation,SPS1675972149,4010492,845467AR0,EXPENE 5.375 02/01/2029 FIX USD Corporate,5.28401,5.09027,5.30246,5.17168,4.12147,3.57767,5.05158,4.57286,4.59162,5.05964,5.20529,5.35046,5.46151,5.38951,5.39382,5.57388,5.77032,5.48089,5.76101,5.47435,6.10396,6.01156,5.91337,7.16975,6.55660,6.53653,7.16275,7.15325,6.74416,4.88693,3.41163,0,0,0,0
Extra Space Storage LP,SPS1681216404,4383065,30225VAG2,EXTRSPA 2.35 03/15/2032 FIX USD Corporate,5.00806,5.09368,4.60616,4.72315,4.67808,4.65824,4.74787,4.71877,4.87381,5.00176,5.01282,5.30115,5.29149,5.17576,5.10569,5.39457,5.42977,5.06619,5.27359,4.86584,5.59805,5.47561,5.10645,6.17964,5.49299,5.32081,5.75648,6.02913,5.04630,3.83107,2.65113,2.58399,0,0,0
Extra Space Storage LP,SPS633114752,4383065,30225VA#4,EXTRSPA 10/09/2029 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Realty OP LP,SPS14035725,101479324,313747AF4,FEDEREA 7.48 08/15/2026 FIX USD Corporate,4.67600,4.66185,4.68061,4.12321,4.46479,4.73221,4.80225,4.77700,4.92761,5.20694,5.13519,5.42794,5.49212,5.13501,5.24484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"First Industrial, L.P.",SPS419359504,4064354,32055RA@6,FR-1stIndLP 04/20/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Maryland Capital II,SPS31507976,4049746,U32109AA5,AIB-FstMlndCap2 2.999 02/01/2027 FLT USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Holdings LLC,SPS14168084,4171731,345277AE7,FORDHOL 9.3 03/01/2030 FIX USD Corporate,5.62516,5.80766,5.00829,5.43720,5.56081,5.68237,5.60921,5.49935,5.62943,6.01388,5.86466,6.22139,6.63051,6.05999,6.17798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor Company,SPS14009291,113873,345370BH2,F 9.95 02/15/2032 FIX USD Corporate,5.84311,6.01633,5.01587,5.59009,5.73231,5.90866,5.68589,5.78062,5.37930,6.17952,6.21254,6.63247,6.46026,6.39456,5.88568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor Company,SPS14009295,113873,345370BM1,F 7.75 06/15/2043 FIX USD Corporate,7.17276,7.12063,6.67881,6.75314,6.77658,6.75901,6.76110,6.86672,7.26329,7.34082,7.24436,7.38107,7.39078,6.93051,6.85359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor Company,SPS14035502,113873,345370BP4,F 7.5 08/01/2026 FIX USD Corporate,5.55572,4.92420,5.14845,4.59724,4.92858,4.99299,4.72798,5.37422,4.73452,5.85821,5.67674,5.88181,5.43721,5.12444,5.60792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor Company,SPS14037654,113873,345370BR0,F 7.4 11/01/2046 FIX USD Corporate,7.05739,7.21933,6.56993,6.65712,6.67699,6.66447,6.61025,6.64108,6.97890,7.01233,7.14208,7.21379,7.44523,7.20936,6.97079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor Company,SPS14043002,113873,345370BS8,F 7.7 05/15/2097 FIX USD Corporate,7.51288,7.65872,7.31631,7.28250,7.39769,7.26148,7.33122,7.27050,7.49554,7.49545,7.49334,7.57968,7.82171,7.59401,7.52764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor Company,SPS14052708,113873,345370BT6,F 6.625 02/15/2028 FIX USD Corporate,4.92583,4.69845,4.34826,4.28091,4.65374,4.55099,4.87128,5.04049,4.21676,4.82620,5.00704,5.41044,5.28660,5.07729,4.77065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor Company,SPS14086369,113873,345370BV1,F 8.9 01/15/2032 FIX USD Corporate,5.69040,5.75581,5.30812,5.58609,5.61968,5.38250,5.53839,5.61692,5.78395,6.13380,6.07902,6.35776,6.36540,6.15454,6.19393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor Company,SPS14087329,113873,345370BW9,F 9.98 02/15/2047 FIX USD Corporate,7.47526,7.34809,7.12038,7.15985,7.20132,7.36966,7.36042,7.16342,7.40395,7.40434,7.50822,7.59149,7.83336,7.60152,7.35402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freedom Mortgage Corporation,SPS1848270539,4105802,U31333AG9,FREEMOR 6.625 01/15/2027 FIX USD Corporate RegS,5.34705,6.64979,6.65439,6.69972,1.85955,4.84186,4.97035,5.88785,5.47242,6.34421,5.97446,6.65981,7.05637,6.87368,6.71927,6.36330,6.67472,6.65294,7.14722,6.53709,8.10277,7.81231,8.44692,11.02900,0,0,0,0,0,0,0,0,0,0,0
GE HealthCare Technologies Inc.,SPS1814830566,108009705,36267VAL7,GEHEAL 6.377 11/22/2052 FIX USD Corporate 144A,5.99017,5.89617,5.64674,5.74914,5.69047,5.58425,5.64307,5.59861,5.85436,5.79655,5.79662,5.96165,6.00131,5.75859,5.59851,5.82496,5.82659,5.41111,5.54940,5.19524,5.75483,5.45676,5.25325,6.25577,5.56921,5.53481,5.83892,0,0,0,0,0,0,0,0
"Global Medical Response, Inc.",SPS1878968083,4581397,U3163BAB5,GMEDIC 10/31/2028 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,4.60821,10.07237,9.63995,-1.55067,1.59206,6.97296,0.47961,0.10960,-5.77587,-6.50727,3.24302,-3.68556,10.65514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global Payments Inc.,SPS1758571575,4090258,37940XAH5,GLP 2.9 11/15/2031 FIX USD Corporate,5.42322,5.45189,4.92471,4.97267,4.95842,4.99674,5.04150,4.87929,4.87551,5.17715,5.03645,5.29914,5.29802,5.12482,5.07541,5.35452,5.45634,5.07340,5.24238,4.85938,5.61503,5.47696,5.14446,6.26704,5.69569,5.52711,5.98485,6.32182,5.37070,4.01007,2.70691,0,0,0,0
Goldman Sachs Private Credit Corp.,SPS1983634252,107538728,U3826RAH6,GOLDSAHG 02/23/2028 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldman Sachs Private Credit Corp.,SPS1994091751,107538728,38152BAR2,GOLDSAHG 06/16/2031 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golub Capital Private Credit Fund,SPS1953804350,110706143,38179RAF2,GOLUCAHC 5.45 08/15/2028 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS Finance Corp.,SPS1885561763,4207623,40058FDE0,GSFI 09/30/2064 FLT USD Corporate,0,0,0,0,0,0,0,0,4.13479,4.08822,3.95180,4.06447,3.81689,3.81335,2.33922,2.62026,2.70215,2.72134,2.71516,2.28564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS Finance Corp.,SPS1885563461,4207623,40058FUG6,GSFI 11/29/2039 FLT USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halliburton Company,SPS14176439,4010641,406216AS0,HAL 7.6 08/15/2096 FIX USD Corporate 144A,6.75856,6.63995,6.37811,6.58382,6.57040,6.25044,6.41986,6.50507,6.69775,6.73930,6.62948,6.92336,6.62477,6.54045,6.49709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hasbro, Inc.",SPS14058449,4095387,418056AH0,HAS 6.6 07/15/2028 FIX USD Corporate,4.68975,4.75248,4.13489,4.22851,4.11769,4.09574,4.32217,4.12796,4.12154,4.43333,4.47176,4.75239,4.68843,4.74835,4.99838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Healthcare Realty Holdings, L.P.",SPS1792655508,4345132,42225UAQ7,HEALREA 3.625 01/15/2028 FIX USD Corporate,4.67516,4.76300,4.10217,4.18214,4.31964,4.26495,4.47347,5.20069,5.24529,4.77198,4.61686,5.48324,4.81239,5.04727,5.07463,5.34119,5.39285,5.39012,5.52128,5.01588,6.00909,5.96289,5.61665,6.54985,6.36667,6.00576,0,0,0,0,0,0,0,0,0
"Healthcare Realty Holdings, L.P.",SPS635849717,4345132,42225UAG9,HEALREA 3.1 02/15/2030 FIX USD Corporate,4.78429,4.74078,4.27280,4.49559,4.45561,4.45566,4.53324,4.58061,4.59135,4.87170,4.80880,5.11881,5.00676,5.02184,5.07252,5.39628,5.40415,5.12004,5.30662,4.83938,5.76873,5.70889,5.49651,6.30317,5.73853,5.41314,5.90364,6.17260,5.32802,3.76739,2.55753,2.39227,2.26682,2.70540,1.98066
Historic TW Inc.,SPS14028273,4004176,887315AZ2,TW-HistTWInc 8.3 01/15/2036 VAR USD Corporate,6.50378,6.41046,6.08171,6.09216,6.30802,6.71514,7.54292,6.54741,6.62446,5.53210,4.62990,6.97608,6.92386,6.76242,6.77835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Historic TW Inc.,SPS14056627,4004176,887315BM0,TW-HistTWInc 6.95 01/15/2028 FIX USD Corporate,7.14997,7.25629,6.39125,6.85000,5.64589,7.07764,6.83720,6.75637,6.63086,7.89739,7.56227,5.05035,5.29882,5.69244,5.82056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Historic TW Inc.,SPS14063043,4004176,887315BN8,TW-HistTWInc 6.625 05/15/2029 FIX USD Corporate,7.23562,7.21490,6.75374,7.01170,6.60625,6.89540,6.80799,6.56208,7.31852,6.74101,7.30136,5.73330,5.48959,5.72620,5.78766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard Hughes Holdings Inc.,SPS701331969,4265772,U44255AF1,THEHOW 4.375 02/01/2031 FIX USD Corporate RegS,5.91716,6.37960,5.53520,5.55910,5.46073,5.35802,5.66453,5.72230,5.84936,6.07354,5.99611,6.35398,6.74104,6.66020,6.62745,6.56897,6.34964,6.01811,6.38878,5.92793,6.98894,6.80824,6.55382,8.63308,7.98986,7.56796,7.59137,9.29029,8.64978,5.20389,4.08143,4.28795,4.39711,4.62178,0
HP Inc.,SPS1785965139,105223,40434LAN5,HPINCAA 5.5 01/15/2033 FIX USD Corporate,5.15972,5.24671,5.00870,5.09542,4.93442,4.84526,4.95642,4.88929,5.04632,5.21075,5.16185,5.54287,5.57961,5.26930,5.15996,5.38093,5.35509,5.05931,5.17926,4.70083,5.38136,5.27186,5.10935,6.38273,5.71826,5.63393,6.29040,6.99172,5.80366,0,0,0,0,0,0
HPS Corporate Lending Fund,SPS1959590668,29558536,40440VAR6,HPSCOR FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPS Corporate Lending Fund,SPS1999752877,29558536,40440VBF1,HPSCOR FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iHeartCommunications, Inc.",SPS1912350935,4095086,U45057AP8,IHEAINC 7.0 01/15/2031 FIX USD Corporate RegS,8.81463,13.68357,13.93473,12.12124,11.80576,11.99291,12.40320,12.64722,13.42334,13.47990,13.82267,13.86674,15.63690,14.74341,13.31362,12.57212,13.46630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indiana Bell Telephone Company, Incorporated",SPS32213435,4057194,454614AL2,INDIBEL 7.3 08/15/2026 FIX USD Corporate,4.38200,4.04543,4.45663,4.53658,4.30361,4.62437,3.95857,4.63716,4.04495,5.02594,5.05565,4.72246,4.77426,5.22560,4.84467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indiana Gas Company, Inc.",SPS14044868,4057125,45475QAH6,VVC-InGaCo 6.68 07/07/2027 FIX USD Corporate,4.58225,4.67671,4.27227,4.26507,4.28531,4.32292,4.40233,4.45050,4.52200,4.83127,4.63926,4.96588,4.95251,4.87508,4.97987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indiana Gas Company, Inc.",SPS14077444,4057125,45475QAR4,VVC-InGaCo 7.08 10/05/2029 FIX USD Corporate,4.24552,4.49041,4.24492,4.35198,4.58768,4.55186,4.48495,4.74317,4.49830,4.83977,4.74119,4.98321,5.07426,4.79212,4.85091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Invitation Homes Operating Partnership LP,SPS1686799318,4887375,46188BAC6,INVIHOAC 2.7 01/15/2034 FIX USD Corporate,5.29162,5.33937,4.96555,5.06199,4.91085,4.85046,4.91057,4.93202,5.09846,5.27190,5.24135,5.48711,5.41127,5.41010,5.30491,5.56957,5.55561,5.18993,5.33603,4.90169,5.58554,5.39860,5.29054,6.29831,5.77995,5.60641,6.06701,6.35038,5.41065,4.06591,2.84432,0,0,0,0
ITC Holdings Corp.,SPS1838044034,4099990,U4501WAL6,ITCHC 09/22/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34928,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS14559250,103464,472319AC6,JEFFIN 6.25 01/15/2036 FIX USD Corporate,5.94592,6.02511,5.64606,5.57066,5.44958,5.41348,5.54754,5.39768,5.56881,5.75773,5.74966,5.98677,6.14895,5.97135,5.77153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1891126746,103464,47233WGV5,JEFFIN 08/31/2036 FLT USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1893490168,103464,47233WHA0,JEFFIN 6.0 09/16/2036 FIX USD Corporate,6.53881,6.46827,6.13675,6.08368,6.33687,6.22464,6.15144,5.89143,6.16503,6.26233,6.45724,6.15877,6.31450,5.93778,6.20289,6.35804,5.71130,5.83783,6.17893,5.38441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1903319909,103464,47233WHJ1,JEFFIN 6.0 11/22/2039 FIX USD Corporate,6.56083,6.40901,6.00567,6.34363,6.21956,6.16307,5.87334,5.66066,6.50692,6.61815,6.58775,6.40554,7.08147,6.28803,6.47022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1935137954,103464,47233WJK6,JEFFIN 6.5 03/31/2045 FIX USD Corporate,6.79739,6.56410,6.54719,6.56193,6.55988,6.27624,6.59810,5.33521,6.55211,6.71039,6.82610,6.99958,7.15282,5.88593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1948280473,103464,47233WKB4,JEFFIN 6.05 06/30/2035 FIX USD Corporate,5.87102,6.09551,6.17420,5.98456,6.37668,6.22782,6.26828,5.59921,6.02466,6.06698,6.16786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1955668501,103464,47233WKK4,JEFFIN 5.85 08/08/2035 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1962725703,103464,47233WKT5,JEFFIN 10/20/2045 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1968256411,103464,47233WKZ1,JEFFIN 5.5 11/25/2035 FIX USD Corporate,5.63070,5.62934,5.62833,5.70236,5.60025,5.36481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1978548739,103464,47233WLP2,JEFFIN 5.0 01/31/2032 FIX USD Corporate,5.24597,5.30299,4.95967,4.95122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1981558671,103464,47233WLQ0,JEFFIN 6.0 02/17/2041 FIX USD Corporate,7.17111,7.09227,5.98944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1981558673,103464,47233WLS6,JEFFIN 5.0 02/17/2032 FIX USD Corporate,5.35365,5.25073,4.96036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1984711343,103464,47233WLU1,JEFFIN 5.0 02/28/2033 FIX USD Corporate,6.09617,5.48263,4.99983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS1986625840,103464,47233WLZ0,JEFFIN 7.0 03/17/2056 FIX USD Corporate,7.03050,6.81902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS2001003224,103464,47233WMQ9,JEFFIN 05/31/2031 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS2001003225,103464,47233WMR7,JEFFIN 05/29/2051 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS643085688,103464,47233JCR7,JEFFIN 4.46086 11/29/2034 FLT USD Corporate,7.92174,7.70994,7.10202,2.97024,2.94236,2.91413,2.88965,2.86160,2.83740,2.81179,2.78685,2.76392,0,0,0,0,0,0,0,0,0,0,0,0,2.34636,1.99527,0,0,0,0,0,0,0,0,0
Jefferies Financial Group Inc.,SPS690751551,103464,47233JDZ8,JEFFIN 4.0 10/19/2040 FIX USD Corporate,6.60605,6.56617,6.29846,6.48551,6.45749,6.03387,6.29329,6.16253,6.71332,6.74431,6.88839,6.87112,6.69741,6.48788,6.28905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey Central Power & Light Company,SPS1997341634,4057004,476556DP7,FE-JerCenP+L 01/15/2030 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey Central Power & Light Company,SPS64629873,4057004,476556CV5,FE-JerCenP+L 6.15 06/01/2037 FIX USD Corporate,5.30753,5.44473,4.99733,5.17867,5.09402,5.03222,5.20193,5.15996,5.22754,5.33911,5.40685,5.61012,5.43453,5.44010,5.44495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kinder Morgan Finance Company, LLC",SPS14556964,4111520,49455WAE6,KMI-finco 01/05/2036 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kinder Morgan Finance Company, LLC",SPS64562590,4111520,C49355AC1,KMI-finco 01/05/2036 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kinder Morgan, Inc.",SPS14048016,4275772,482620AS0,KINDERM 6.67 11/01/2027 FIX USD Corporate,5.13963,5.10188,4.17834,4.68369,4.77965,4.80810,4.62629,5.23175,5.26954,5.57053,5.33626,5.53922,5.31632,5.67613,5.52602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kinder Morgan, Inc.",SPS14053446,4275772,482620AW1,KINDERM 7.25 03/01/2028 FIX USD Corporate,4.59775,4.67585,3.98185,4.37571,4.58949,4.53453,4.13394,4.66546,4.75160,4.88065,4.61981,4.92574,4.73779,4.84113,5.16970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kinder Morgan, Inc.",SPS14053447,4275772,482620AX9,KINDERM 7.45 03/01/2098 FIX USD Corporate,6.24225,6.22940,6.35909,6.52402,6.77240,6.59644,6.53947,6.53612,6.80855,6.73213,6.74614,6.99961,6.71137,6.51445,6.40809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladder Capital Finance Holdings LLLP,SPS717945595,4237798,505742AQ9,LADDERC 4.75 06/15/2029 FIX USD Corporate,5.53872,5.74813,5.04195,4.96868,5.08002,5.21380,5.31784,5.28766,5.36635,5.56234,5.48068,5.58584,5.84539,6.03924,5.66755,6.00723,6.16552,5.72801,5.85819,5.26587,6.56154,6.86060,6.96260,9.06018,8.79862,10.99721,8.74076,9.95775,9.24203,5.65686,0,0,0,0,0
"LGI Homes, Inc.",SPS1862056393,4398514,50187TAJ5,LGIHOM 8.75 12/15/2028 FIX USD Corporate,6.71975,7.13064,5.76376,6.18442,6.16024,6.42973,6.62235,6.21237,6.39121,6.56561,6.91996,7.40495,8.31383,7.01365,6.47697,6.43896,6.91403,6.48115,6.81847,6.07711,7.38587,6.96632,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lowe's Companies, Inc.",SPS14052137,4004318,548661AH0,LOW 6.875 02/15/2028 FIX USD Corporate,4.21829,3.87972,3.61665,3.91841,3.98789,3.94699,3.89950,4.06821,4.21529,4.44540,4.34136,4.49324,4.42541,4.49992,4.62839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lowe's Companies, Inc.",SPS14066335,4004318,548661AJ6,LOW 03/15/2029 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lowe's Companies, Inc.",SPS14077635,4004318,548661AK3,LOW 6.5 03/15/2029 FIX USD Corporate,4.35894,4.46244,3.89813,4.03637,4.05054,4.05769,4.12119,4.08630,4.05312,4.40732,4.33342,4.49422,4.50143,4.53986,4.46775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lowe's Companies, Inc.",SPS1681217101,4004318,548661EE3,LOW 2.8 09/15/2041 FIX USD Corporate,5.70041,5.68237,5.31555,5.47133,5.49783,5.36702,5.38204,5.39530,5.66715,5.70628,5.64979,5.88276,5.89392,5.69633,5.50495,5.71296,5.73135,5.36481,5.53422,5.14968,5.65991,5.36208,5.12763,6.07214,5.31465,5.25966,5.51496,6.00707,5.00117,3.82593,2.93606,2.96695,0,0,0
"Macy's, Inc.",SPS14081521,4004104,577778BK8,M 7.875 03/01/2030 FIX USD Corporate,6.30777,6.33782,6.22791,6.87520,5.69014,5.53283,6.29019,5.81265,6.31256,6.53511,8.29074,7.84669,8.26081,8.14196,8.19573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macy's, Inc.",SPS34691053,4004104,31410HAJ0,M 6.79 07/15/2027 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Main Street Capital Corporation,SPS1993554863,4160255,56035LA#1,MAISTR 6.93 04/15/2031 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
