(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)"
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,4/30/2026,3/31/2026,2/27/2026,1/30/2026,12/31/2025,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,6/30/2025,5/30/2025,4/30/2025,3/31/2025,2/28/2025,1/31/2025,12/31/2024,11/29/2024,10/31/2024,9/30/2024,6/28/2024,3/29/2024,12/29/2023,9/29/2023,6/30/2023,3/31/2023,12/30/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020
"BellSouth, LLC",SPS14037949,4041154,079857AC2,BELLLLC 6.04 11/15/2026 FIX USD Corporate,4.10952,4.40372,4.54273,4.69809,4.80506,4.97275,4.79751,4.65753,4.69532,4.99632,4.76205,4.96500,4.64419,4.94413,5.04653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BellSouth, LLC",SPS14045528,4041154,079857AF5,BELLLLC 7.12 07/15/2097 FIX USD Corporate RegS,6.94106,6.90245,6.67866,6.78697,7.03520,6.90364,6.71086,6.66657,7.03300,6.95342,6.83114,7.02886,6.83127,7.46808,6.51234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BellSouth, LLC",SPS14081146,4041154,079857AH1,BELLLLC 7.875 02/15/2030 FIX USD Corporate,5.04645,4.98280,4.54458,4.87152,4.95746,4.89145,4.79444,5.00188,4.79729,5.22340,5.08454,5.25672,4.75051,4.92712,4.89413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BellSouth, LLC",SPS14106681,4041154,079860AD4,BELLLLC 6.875 10/15/2031 FIX USD Corporate,5.04186,5.05693,4.66274,5.01491,4.92483,4.80369,4.90473,5.01500,5.07637,5.20716,5.15160,5.51788,5.16951,5.71763,5.64014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belo Corp.,SPS14043892,4121666,080555AE5,TEGNINC 7.75 06/01/2027 FIX USD Corporate,5.37633,4.89104,4.37349,4.54851,4.66106,4.64400,4.83019,5.00178,4.99905,5.30901,5.41951,5.78751,6.12775,5.69336,5.64095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belo Corp.,SPS14046964,4121666,080555AF2,BILLO 7.25 09/15/2027 FIX USD Corporate,5.24600,5.02217,4.79896,4.75198,4.73836,4.76803,4.77001,4.88752,5.01391,5.67233,5.70911,5.86455,5.81526,5.66747,5.78513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstone Private Credit Fund,SPS1780659540,24801559,09261HA#4,BLACPRI 05/03/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstone Private Credit Fund,SPS1803440694,24801559,09261HB*7,BLACPRI 10/11/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Credit Income Corp.,SPS1879069869,25867257,69120VBB6,BLUEOWAC 7.95 06/13/2028 FIX USD Corporate,6.36382,6.67685,6.07977,5.20839,5.29108,5.31689,5.29621,4.99068,5.07253,5.63614,5.31106,5.70722,5.99843,5.80518,5.52821,5.82210,5.86077,5.78264,6.16060,5.74961,6.72271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Finance LLC,SPS1837977662,29164958,U0942JAE6,BLUEOW 7.397 05/26/2028 FIX USD Corporate RegS,5.08475,4.99435,4.59795,4.73196,4.74764,4.70096,4.81052,6.21921,4.89779,6.71323,6.51136,5.03824,4.76283,5.05726,5.14548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
