Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,6.07846,6.25282,5.70926,5.69819,5.59481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,6.02946,5.96806,5.69237,5.75153,5.81231,5.69249,5.71059,5.77938,6.06412,6.02652,5.97874,6.27510,6.13518,5.96621,5.90373,6.12108,6.06680,5.65265,5.74958,5.48360,6.08425,5.91769,5.54746,6.25619,5.45235,5.33154,5.61768,5.79382,5.07585,4.06886,3.23421,3.20607,3.15934,3.61459,2.71426
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,7.54009,7.68031,6.96421,7.09958,7.13294,7.13311,6.34362,6.18757,6.40729,6.47459,6.52568,6.78494,7.11357,6.66578,6.67709,6.72260,6.74331,6.56856,7.08788,6.89773,7.34604,6.99389,7.00382,8.62056,8.60489,8.69421,8.88056,9.92193,10.10330,4.16109,4.41802,4.45623,4.55771,5.55984,6.49762
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,7.54009,7.68031,6.96421,7.09958,7.13294,7.13311,6.34362,6.18757,6.40729,6.47459,6.52568,6.78494,7.11357,6.66578,6.67709,6.72260,6.74331,6.56856,7.08788,6.89773,7.34604,6.99389,7.00382,8.62056,8.60489,8.69421,8.88056,9.92193,10.10330,6.58343,4.93245,4.83995,4.52695,5.46200,6.49528
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,7.54009,7.68031,6.96421,7.09958,7.13294,7.13311,6.34362,6.18757,6.40729,6.47459,6.52568,6.78494,7.11357,6.66578,6.67709,6.72260,6.74331,6.56856,7.08788,6.89773,7.34604,6.99389,7.00382,8.62056,8.60489,8.69421,8.88056,9.92193,10.10330,4.16109,4.41802,4.45623,4.55771,5.55984,6.49762
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,6.91124,6.76195,6.51386,6.64999,6.34470,6.24083,6.24002,6.26360,6.54121,6.47104,6.71797,6.77126,6.61573,6.29660,6.21612,6.51820,6.67597,6.17376,6.52808,6.50434,6.55776,6.63958,6.65231,8.00483,7.16266,6.47604,6.99018,6.89128,6.15922,5.02910,4.64841,4.66184,4.57809,4.86628,4.08668
"BellSouth Telecommunications, LLC",SPS14027520,4004438,079867AS6,BELLTEL 6.65 12/15/2095 VAR USD Corporate,8.24649,8.12861,7.98547,8.19300,8.16634,7.97175,7.75377,7.32387,7.52042,7.48902,7.38769,7.51856,7.28986,7.19128,7.11079,7.41288,7.39065,6.96844,7.08808,6.73693,7.26698,7.06775,6.95231,8.10748,6.94695,6.76104,6.99018,6.72457,6.17607,5.44964,4.35882,4.52038,4.72809,5.06628,4.38239
"BellSouth, LLC",SPS14037949,4041154,079857AC2,BELLLLC 6.04 11/15/2026 FIX USD Corporate,4.16633,4.45683,4.60121,4.75349,4.85889,5.02829,4.85433,4.71429,4.75256,5.05361,4.81486,5.02230,4.69878,5.00019,5.10380,5.32313,5.34235,5.21844,5.27437,5.06623,6.18855,6.08545,5.67003,6.45485,6.13983,5.45478,5.89997,5.95317,4.94677,4.34855,3.15488,2.77508,2.84942,2.96205,2.37956
"BellSouth, LLC",SPS14045528,4041154,079857AF5,BELLLLC 7.12 07/15/2097 FIX USD Corporate RegS,6.94643,6.90856,6.68080,6.81644,7.03890,6.90691,6.71459,6.67120,7.03775,6.95834,6.83701,7.03588,6.83918,7.47960,6.52212,6.68220,6.72347,6.66844,6.81808,6.40162,7.20033,7.00110,6.65231,8.00748,7.18983,6.46104,6.99018,6.75457,6.08607,5.59964,4.60882,4.71038,4.77010,5.11628,4.83310
