Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Apollo Debt Solutions BDC,SPS1916558713,27739734,03770DAF0,APOLDEB 6.55 03/15/2032 FIX USD Corporate,27.86389,28.61239,29.31416,30.24451,31.12227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,6.96500,7.38700,7.84200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,16.84947,17.45843,18.22928,18.87289,19.58690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,274.48931,271.12501,279.60747,280.57561,281.50416,286.70639,288.49184,282.24938,277.65682,280.93414,284.40738,279.44948,285.24918,284.32444,288.06681,284.88144,288.66111,301.69548,301.66401,303.64764,294.65417,298.43995,316.03615,294.87964,325.68360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,34.49936,35.29209,36.67928,36.23718,37.11745,38.06736,39.59323,40.74874,41.50011,41.07025,41.98686,42.67982,43.37308,44.81656,45.75069,45.18162,46.19736,47.41583,47.87997,49.14293,50.00696,53.64319,55.00162,55.75416,56.82444,60.61412,62.88610,62.51950,64.42483,80.55372,83.62579,85.66691,89.13991,88.23177,88.41248
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,34.49936,35.29209,36.67928,36.23718,37.11745,38.06736,39.59323,40.74874,41.50011,41.07025,41.98686,42.67982,43.37308,44.81656,45.75069,45.18162,46.19736,47.41583,47.87997,49.14293,50.00696,53.64319,55.00162,55.75416,56.82444,60.61412,62.88610,62.51950,64.42483,74.65178,82.23263,84.60661,89.23379,88.53479,88.42041
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,34.49936,35.29209,36.67928,36.23718,37.11745,38.06736,39.59323,40.74874,41.50011,41.07025,41.98686,42.67982,43.37308,44.81656,45.75069,45.18162,46.19736,47.41583,47.87997,49.14293,50.00696,53.64319,55.00162,55.75416,56.82444,60.61412,62.88610,62.51950,64.42483,80.55372,83.62579,85.66691,89.13991,88.23177,88.41248
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,386.23634,403.34750,431.88567,419.62937,456.00588,470.96236,459.13013,459.00506,429.66933,439.99548,415.66003,412.44474,417.59248,456.01721,468.05943,435.34256,420.67877,481.11226,427.85284,432.91882,434.30765,418.69846,424.46399,299.22620,373.65031,443.02570,391.86527,398.65240,486.34697,658.82907,738.35906,733.26790,756.16319,306.49696,336.14607
"BellSouth Telecommunications, LLC",SPS14027520,4004438,079867AS6,BELLTEL 6.65 12/15/2095 VAR USD Corporate,265.41887,274.82989,286.26636,274.27004,277.86971,281.80991,299.08991,335.23784,321.02717,325.65063,336.07190,315.44545,336.41331,347.09815,356.32847,332.06582,336.06767,363.66028,354.69041,391.06747,347.09827,359.02704,376.49920,276.79354,377.31335,413.98408,394.02510,418.42902,487.26121,590.34565,808.18380,769.76563,730.57954,661.16351,809.27118
"BellSouth, LLC",SPS14037949,4041154,079857AC2,BELLLLC 6.04 11/15/2026 FIX USD Corporate,0.52220,0.65084,0.78814,0.94277,1.11069,1.29695,1.43907,1.65910,1.86896,2.10128,2.35068,2.59403,2.80006,3.06810,3.33483,3.62864,3.95316,4.28682,4.50401,4.86142,5.91025,6.92200,8.25597,9.32158,10.82735,13.39015,14.28497,16.50884,17.79888,20.44617,21.99357,24.87830,26.17291,29.06264,30.68401
