Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid,Modified Duration - Bid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Apollo Debt Solutions BDC,SPS1916558713,27739734,03770DAF0,APOLDEB 6.55 03/15/2032 FIX USD Corporate,4.78524,4.85870,4.89927,4.98958,5.07294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,3.73390,3.80964,3.90398,3.96383,4.04791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,14.00518,13.77861,14.08104,14.11392,14.14545,14.32673,14.38760,14.06325,13.90102,14.01636,14.13764,13.96542,14.16715,14.02635,14.15662,14.04710,14.17822,14.62268,14.62123,14.58163,14.27839,14.29802,14.88718,14.07672,15.09650,15.09890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,5.26862,5.33942,5.46578,5.35225,5.43018,5.51331,5.64915,5.74736,5.80845,5.69677,5.77307,5.82852,5.88303,6.00287,6.07714,5.95232,6.03361,6.13139,6.16347,6.26283,6.24274,6.52043,6.53568,6.57577,6.56281,6.79277,6.74409,6.82373,6.74424,7.97295,7.95333,8.19111,8.19262,8.24125,8.02679
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,5.26862,5.33942,5.46578,5.35225,5.43018,5.51331,5.64915,5.74736,5.80845,5.69677,5.77307,5.82852,5.88303,6.00287,6.07714,5.95232,6.03361,6.13139,6.16347,6.26283,6.24274,6.52043,6.53568,6.57577,6.56281,6.79277,6.74409,6.82373,6.74424,7.57451,7.86199,8.12254,8.19856,8.26044,8.02729
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,5.26862,5.33942,5.46578,5.35225,5.43018,5.51331,5.64915,5.74736,5.80845,5.69677,5.77307,5.82852,5.88303,6.00287,6.07714,5.95232,6.03361,6.13139,6.16347,6.26283,6.24274,6.52043,6.53568,6.57577,6.56281,6.79277,6.74409,6.82373,6.74424,7.97295,7.95333,8.19111,8.19262,8.24125,8.02679
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,13.93621,14.30834,14.89314,14.69216,15.41692,15.72989,15.33046,15.36395,14.84209,15.07360,14.64325,14.61457,14.53436,15.29823,15.55397,14.97458,14.73077,15.89542,14.72296,14.85391,14.98326,14.57371,14.78674,12.15217,13.79312,14.92374,14.12180,14.07498,15.87928,18.66779,20.12159,19.85704,20.38787,14.09357,15.12794
"BellSouth Telecommunications, LLC",SPS14027520,4004438,079867AS6,BELLTEL 6.65 12/15/2095 VAR USD Corporate,11.30151,11.54957,11.83807,11.60668,11.72234,11.63101,12.04338,12.84836,12.58408,12.71722,12.96906,12.35657,12.83315,13.08824,13.30868,12.84448,12.96317,13.34954,13.20344,13.96452,13.18639,13.31923,13.77013,11.57740,13.77829,13.91917,14.17900,14.46769,15.90730,17.52872,21.22170,20.43696,19.98444,18.68266,21.19206
"BellSouth, LLC",SPS14037949,4041154,079857AC2,BELLLLC 6.04 11/15/2026 FIX USD Corporate,0.51366,0.59443,0.67274,0.75363,0.83459,0.91789,0.96672,1.05427,1.13275,1.21498,1.29785,1.37505,1.42050,1.49944,1.57443,1.65373,1.73743,1.81980,1.84923,1.93276,2.16268,2.33674,2.58322,2.73301,2.97601,3.14561,3.37816,3.51708,3.78676,3.94349,4.23028,4.37839,4.62735,4.74796,5.01437
