Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Apollo Debt Solutions BDC,SPS1916558713,27739734,03770DAF0,APOLDEB 6.55 03/15/2032 FIX USD Corporate,218.60291,242.87341,211.75707,167.41592,167.80290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,202.93280,230.22716,212.09618,124.75060,120.95922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,148.20737,150.65792,146.37856,121.77402,130.45500,139.11588,141.00374,149.53890,163.82603,161.34663,169.86858,185.09067,195.71415,176.05264,171.51661,166.97083,170.48340,164.34861,168.52997,175.91688,191.46437,184.66328,179.73087,178.60894,179.71363,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,332.54484,353.51829,320.12909,300.01115,312.00007,325.86804,244.27731,231.40531,250.81379,237.63825,257.20199,264.29233,317.05338,254.64171,247.49341,223.28328,229.99370,243.87863,293.13387,317.36846,296.13083,272.59626,306.36312,381.92297,449.18531,496.93736,477.68640,575.25725,673.73840,171.81165,279.15930,288.31764,307.20975,371.16300,540.26185
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,332.54484,353.51829,320.12909,300.01115,312.00007,325.86804,244.27731,231.40531,250.81379,237.63825,257.20199,264.29233,317.05338,254.64171,247.49341,223.28328,229.99370,243.87863,293.13387,317.36846,296.13083,272.59626,306.36312,381.92297,449.18531,496.93736,477.68640,575.25725,673.73840,406.96365,329.23806,325.85629,304.26675,361.03640,543.21807
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,332.54484,353.51829,320.12909,300.01115,312.00007,325.86804,244.27731,231.40531,250.81379,237.63825,257.20199,264.29233,317.05338,254.64171,247.49341,223.28328,229.99370,243.87863,293.13387,317.36846,296.13083,272.59626,306.36312,381.92297,449.18531,496.93736,477.68640,575.25725,673.73840,171.81165,279.15930,288.31764,307.20975,371.16300,540.26185
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,247.73144,240.40328,237.28536,225.53188,200.80621,210.76758,207.27758,214.93032,226.90312,221.73250,261.30174,251.01755,264.38787,231.13865,228.07366,231.79929,255.26116,239.58784,263.34030,293.42642,263.14228,279.76823,301.19228,358.34739,356.66256,320.99437,347.01256,347.12438,333.48984,286.85907,301.63795,291.44193,289.63856,270.81345,277.08692
"BellSouth Telecommunications, LLC",SPS14027520,4004438,079867AS6,BELLTEL 6.65 12/15/2095 VAR USD Corporate,375.88539,373.85448,380.41706,372.26461,373.70354,374.37784,352.81539,313.76615,320.53015,318.23000,322.38439,322.26113,325.38381,313.05947,309.19954,312.39171,317.70250,311.90205,316.33841,316.46197,323.71167,314.54644,332.96012,371.87555,341.47043,351.91239,347.18316,333.58806,333.36859,323.25377,271.92400,275.59210,302.96217,295.74776,305.29507
"BellSouth, LLC",SPS14037949,4041154,079857AC2,BELLLLC 6.04 11/15/2026 FIX USD Corporate,5.36723,33.84015,59.54365,79.83090,97.57326,105.30352,81.54187,72.97503,66.88908,70.89577,73.64304,76.31494,82.42244,81.67323,80.54739,84.31711,87.26575,80.44902,95.18737,122.59326,128.13590,129.52938,143.89573,141.72677,143.01526,146.82381,162.80159,165.34885,178.55888,175.07381,175.33419,166.37864,181.13199,177.04620,181.39136
