Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Apollo Debt Solutions BDC,SPS1916558713,27739734,03770DAF0,APOLDEB 6.55 03/15/2032 FIX USD Corporate,4.93585,5.01518,5.04089,5.12946,5.21408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,3.84738,3.92874,4.01542,4.06429,4.14873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,14.42740,14.18976,14.48181,14.51981,14.55654,14.73450,14.79841,14.46963,14.32251,14.43871,14.56026,14.40360,14.60174,14.44477,14.57451,14.47702,14.60830,15.03596,15.04156,14.98142,14.71276,14.72108,15.30011,14.51705,15.50806,15.50140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,5.46725,5.54446,5.65610,5.54224,5.62385,5.70995,5.82833,5.92517,5.99453,5.88119,5.96144,6.02625,6.09228,6.20294,6.28003,6.15240,6.23704,6.33277,6.38190,6.47882,6.47204,6.74844,6.76456,6.85920,6.84517,7.08805,7.04354,7.16226,7.08494,8.13883,8.12902,8.37362,8.37931,8.47035,8.28756
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,5.46725,5.54446,5.65610,5.54224,5.62385,5.70995,5.82833,5.92517,5.99453,5.88119,5.96144,6.02625,6.09228,6.20294,6.28003,6.15240,6.23704,6.33277,6.38190,6.47882,6.47204,6.74844,6.76456,6.85920,6.84517,7.08805,7.04354,7.16226,7.08494,7.82384,8.05588,8.31910,8.38413,8.48603,8.28798
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,5.46725,5.54446,5.65610,5.54224,5.62385,5.70995,5.82833,5.92517,5.99453,5.88119,5.96144,6.02625,6.09228,6.20294,6.28003,6.15240,6.23704,6.33277,6.38190,6.47882,6.47204,6.74844,6.76456,6.85920,6.84517,7.08805,7.04354,7.16226,7.08494,8.13883,8.12902,8.37362,8.37931,8.47035,8.28756
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,14.41779,14.79210,15.37820,15.18067,15.90600,16.22073,15.80877,15.84512,15.32752,15.56131,15.13512,15.10937,15.01513,15.77986,16.03740,15.46261,15.22248,16.38610,15.20352,15.33698,15.47455,15.05752,15.27857,12.63855,14.28709,15.40698,14.61537,14.55995,16.36830,19.13720,20.58926,20.31990,20.85456,14.43649,15.43706
"BellSouth Telecommunications, LLC",SPS14027520,4004438,079867AS6,BELLTEL 6.65 12/15/2095 VAR USD Corporate,12.25269,12.50747,12.80227,12.57709,12.69918,12.57667,12.99529,13.80658,13.54825,13.68746,13.94487,13.30306,13.78572,14.04637,14.27186,13.81427,13.93893,14.29600,14.15589,14.92115,14.16206,14.27723,14.74411,12.53506,14.75209,14.87616,14.67457,14.95413,16.39852,18.00634,21.68421,20.89887,20.45688,19.15592,21.65642
"BellSouth, LLC",SPS14037949,4041154,079857AC2,BELLLLC 6.04 11/15/2026 FIX USD Corporate,0.52436,0.60767,0.68822,0.77154,0.85487,0.94097,0.99019,1.07912,1.15967,1.24568,1.32909,1.40958,1.45387,1.53693,1.61461,1.69775,1.78384,1.86729,1.89800,1.98172,2.22960,2.40784,2.65646,2.82121,3.06737,3.23141,3.47782,3.62177,3.88042,4.02923,4.29701,4.43914,4.69328,4.81828,5.07403
