SPGTable,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,"Callable?
Yes/No","Next Call Date
MM/dd/yyyy","First Callable Payment Date
MM/dd/yyyy",Seniority Level,Debt Type Detail,"Maturity Date
MM/dd/yyyy",Maturity Type
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_CALLABLE,SPT_NEXT_CALL_DATE,SPT_FIRST_CALLABLE_PAYMENT_DATE,SPT_SENIORITY_LEVEL,SPT_DEBT_TYPE_DETAIL,SPT_MAT_DATE,SPT_MATURITY_TYPE
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,5/30/2025,4/30/2025
"Brighthouse Holdings, LLC",SPS434813760,6592953,U6226CAA3,PERP -A REGS NT,Yes,7/27/2037,,Senior Unsecured,Note,,
Cars.com Inc.,SPS693089646,4206401,14575EAB1,CARSINC 6.375 11/01/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,11/1/2028,Fixed Maturity
CenterPoint Energy Resources Corp.,SPS117893209,4057141,15189WAF7,CNP-EnRes 01/15/2041 FIX USD Corporate 144A,Yes,,7/15/2040,Senior Unsecured,Bond,1/15/2041,Fixed Maturity
CenterPoint Energy Resources Corp.,SPS118410020,4057141,U14088AC9,CNP-EnRes 01/15/2041 FIX USD Corporate RegS,Yes,,7/15/2040,Senior Unsecured,Bond,1/15/2041,Fixed Maturity
"CenterPoint Energy, Inc.",SPS632958506,4074390,15189TAX5,CNP 2.95 03/01/2030 FIX USD Corporate,Yes,"47,453.00000","47,453.00000",Senior Unsecured,Bond,"47,543.00000",Fixed Maturity
"CenterPoint Energy, Inc.",SPS632958507,4074390,15189TAY3,CNP 3.7 09/01/2049 FIX USD Corporate,Yes,"54,483.00000","54,483.00000",Senior Unsecured,Bond,"54,667.00000",Fixed Maturity
"Charter Communications Operating, LLC",SPS1774063860,4137131,161175CJ1,CHTR-Operating 4.4 04/01/2033 FIX USD Corporate,Yes,"48,580.00000","48,580.00000",Senior Secured,Bond,"48,670.00000",Fixed Maturity
"Charter Communications Operating, LLC",SPS1774063862,4137131,161175CL6,CHTR-Operating 5.5 04/01/2063 FIX USD Corporate,Yes,"59,445.00000","59,445.00000",Senior Secured,Bond,"59,627.00000",Fixed Maturity
"Charter Communications Operating, LLC",SPS306470299,4137131,U16109AJ6,CCOSA 10/23/2055 FIX USD Corporate RegS,Yes,,4/23/2055,Senior Secured,Bond,10/23/2055,Fixed Maturity
"Cheniere Energy Partners, L.P.",SPS636308389,4149886,16411QAF8,CHENENE 4.5 10/01/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,10/1/2029,Fixed Maturity
