Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,99.27326,98.61323,100.71960,100.73950,101.18366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,70.72258,71.30105,74.06897,73.43530,72.80898,74.02281,73.72041,72.96415,70.11625,70.34929,70.81756,67.88182,69.19633,70.83199,71.57076,69.24951,69.66279,74.03356,72.87903,75.77435,69.31173,70.97607,74.75128,67.21475,75.63633,77.04342,73.54601,71.56996,79.94636,94.18654,108.82658,109.45603,110.49561,101.80003,120.49775
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,97.08556,96.45187,100.08014,99.54550,99.17350,99.30961,103.64916,104.61531,103.44100,103.05600,102.75000,101.15125,99.39200,101.96484,102.04400,101.62220,101.46562,102.72588,99.19250,100.56250,97.64444,99.82900,99.98125,89.78750,89.46719,88.87250,87.73750,81.31823,80.08583,124.45000,122.33333,122.33333,121.58333,112.13750,104.21667
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,97.08556,96.45187,100.08014,99.54550,99.17350,99.30961,103.64916,104.61531,103.44100,103.05600,102.75000,101.15125,99.39200,101.96484,102.04400,101.62220,101.46562,102.72588,99.19250,100.56250,97.64444,99.82900,99.98125,89.78750,89.46719,88.87250,87.73750,81.31823,80.08583,103.01778,117.39600,118.56267,121.88750,113.10000,103.95750
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,97.08556,96.45187,100.08014,99.54550,99.17350,99.30961,103.64916,104.61531,103.44100,103.05600,102.75000,101.15125,99.39200,101.96484,102.04400,101.62220,101.46562,102.72588,99.19250,100.56250,97.64444,99.82900,99.98125,89.78750,89.46719,88.87250,87.73750,81.31823,80.08583,124.45000,122.33333,122.33333,121.58333,112.13750,104.21667
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,101.87251,104.48345,108.03232,105.37448,110.26300,112.06648,112.77372,111.70659,107.34041,108.62132,104.25565,104.01675,105.86697,111.43730,112.87300,107.67409,104.89981,113.83258,108.03120,108.32495,106.98334,105.52707,106.77277,88.28676,98.66844,109.40382,100.51699,102.10190,113.60793,138.34419,149.08036,148.69248,151.42942,133.82169,149.57457
"BellSouth Telecommunications, LLC",SPS14027520,4004438,079867AS6,BELLTEL 6.65 12/15/2095 VAR USD Corporate,81.00911,82.17885,83.65464,81.53552,81.80771,83.81339,86.17442,91.23602,88.84957,89.22742,90.45863,88.89675,91.68002,92.94771,94.00907,90.15531,90.45483,95.93703,94.30546,99.18438,92.24045,94.81332,96.37984,82.33046,96.10666,98.74419,95.52822,99.28197,108.04351,122.39506,151.24157,146.19172,140.13458,131.16832,150.57410
"BellSouth, LLC",SPS14037949,4041154,079857AC2,BELLLLC 6.04 11/15/2026 FIX USD Corporate,101.01636,100.98747,101.01604,101.01531,101.03251,100.98107,101.23594,101.48827,101.54640,101.27821,101.67156,101.48583,102.04766,101.68154,101.59019,101.29190,101.30883,101.61199,101.56966,102.04217,99.79231,100.02333,101.09698,98.98324,99.85012,102.06228,100.64625,100.49220,104.44043,107.22014,113.15939,115.72924,116.05629,116.11192,120.22446
"BellSouth, LLC",SPS14045528,4041154,079857AF5,BELLLLC 7.12 07/15/2097 FIX USD Corporate RegS,102.54328,103.11205,106.53616,104.86012,101.19268,103.09861,106.02888,106.72588,101.21657,102.37321,104.19076,101.27652,104.17906,95.34647,109.22946,106.59986,105.99659,107.25591,104.90140,111.65544,99.63050,102.43151,107.78608,89.22435,99.38697,110.54540,102.23566,105.62116,117.11533,127.86152,153.56547,150.43908,149.33855,138.75681,146.85307
"BellSouth, LLC",SPS14081146,4041154,079857AH1,BELLLLC 7.875 02/15/2030 FIX USD Corporate,109.63285,110.06259,111.92273,110.88237,110.74248,111.20645,111.78999,111.14963,112.20473,110.58927,111.35776,110.77251,113.23208,112.62261,112.96009,111.32359,109.78916,111.56308,111.09147,113.08509,110.78161,110.80772,108.65240,105.22016,110.00757,112.46917,109.79301,111.29877,117.45674,122.85329,131.60367,136.35172,136.33621,131.54558,136.33490
