SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,"693,273,000.00000","1,004,885,300.00000","1,093,229,000.00000","786,102,000.00000","503,125,000.00000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,"335,700,000.00000","249,878,000.00000","152,810,000.00000","135,738,000.00000","140,894,000.00000","172,894,500.00000","214,365,500.00000","204,042,500.00000","200,810,000.00000","266,832,000.00000","269,539,500.00000","283,326,000.00000","286,186,000.00000","250,541,500.00000","246,334,500.00000","239,721,000.00000","208,279,000.00000","179,157,000.00000","242,046,000.00000","233,628,000.00000","241,578,000.00000",0.00000,"138,409,000.00000","137,063,000.00000","140,250,000.00000","219,917,000.00000","148,970,000.00000","230,059,000.00000","164,053,000.00000","93,331,000.00000","130,221,000.00000","144,989,000.00000","149,169,000.00000","248,402,000.00000","100,721,000.00000"
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,362269000,439085000,242957000,309590000,520969000,459027000,306453000,346681000,310258500,328111500,326293000,321958500,404677000,385574000,324785000,234600000,277452000,320797000,290891000,370010000,305799500,0,332786000,409722000,393967000,413006000,465829000,405826000,477229000,544103000,275494000,365438000,456718000,635427000,566030000
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,362269000,439085000,242957000,309590000,520969000,459027000,306453000,346681000,310258500,328111500,326293000,321958500,404677000,385574000,324785000,234600000,277452000,320797000,290891000,370010000,305799500,0,332786000,409722000,393967000,413006000,465829000,405826000,477229000,544103000,275494000,365438000,456718000,635427000,566030000
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,362269000,439085000,242957000,309590000,520969000,459027000,306453000,346681000,310258500,328111500,326293000,321958500,404677000,385574000,324785000,234600000,277452000,320797000,290891000,370010000,305799500,0,332786000,409722000,393967000,413006000,465829000,405826000,477229000,544103000,275494000,365438000,456718000,635427000,566030000
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,5043000,5639000,8490000,6256000,16002000,5320000,6870000,8663000,16178000,18100000,7799000,6346000,8126000,7275000,8118000,8394000,10830000,6133000,6773000,10383000,7556000,0,7943000,4851000,6177332,5149000,8032000,5181000,5209000,5961000,6035000,4601000,7646000,11280000,9995000
"BellSouth Telecommunications, LLC",SPS14027520,4004438,079867AS6,BELLTEL 6.65 12/15/2095 VAR USD Corporate,5043000,5639000,8490000,6256000,16002000,5320000,6870000,8663000,16178000,18100000,7799000,6346000,8126000,7275000,8118000,8394000,10830000,6133000,6773000,10383000,7556000,0,7943000,4851000,6177332,5149000,8032000,5181000,5209000,5961000,6035000,4601000,7646000,11280000,9995000
"BellSouth, LLC",SPS14037949,4041154,079857AC2,BELLLLC 6.04 11/15/2026 FIX USD Corporate,9323000,9584000,12177000,10337000,9484000,8945000,8829000,8812000,11588000,10430000,18608000,11280000,10283000,14816000,8503000,7970000,7815000,9251000,10063000,7880000,7575000,0,11075000,8779000,17333000,6708000,8483000,6017000,3643000,8131000,5945000,8880000,23379000,14927000,7442000
"BellSouth, LLC",SPS14045528,4041154,079857AF5,BELLLLC 7.12 07/15/2097 FIX USD Corporate RegS,9323000,9584000,12177000,10337000,9484000,8945000,8829000,8812000,11588000,10430000,18608000,11280000,10283000,14816000,8503000,7970000,7815000,9251000,10063000,7880000,7575000,0,11075000,8779000,17333000,6708000,8483000,6017000,3643000,8131000,5945000,8880000,23379000,14927000,7442000
"BellSouth, LLC",SPS14081146,4041154,079857AH1,BELLLLC 7.875 02/15/2030 FIX USD Corporate,9323000,9584000,12177000,10337000,9484000,8945000,8829000,8812000,11588000,10430000,18608000,11280000,10283000,14816000,8503000,7970000,7815000,9251000,10063000,7880000,7575000,0,11075000,8779000,17333000,6708000,8483000,6017000,3643000,8131000,5945000,8880000,23379000,14927000,7442000
