SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,294,000","571,200","497,200",NA,NA,"1,659,000","5,344,000","2,084,000","445,055",NA,"1,028,900","6,823,319","1,562,000",NA,NA,NA,NA,"846,259","2,010,000",NA,NA,"179,651","600,000","1,856,000",NA,"628,500","3,320,000","17,777,000",NA,"3,032,900","55,755","6,550,000","2,935,000","3,391,000","3,619,000",NA,NA,NA,"2,980,000",NA,NA,"3,941,000","1,983,542","8,154,000","1,940,000","836,000","150,700","605,000",NA,"179,399","1,441,800","6,154,000",NA,NA,"168,244",NA,NA,"46,196,000","1,003,700","287,819","4,863,000",NA,"1,997,660","1,281,300",NA,"327,147","13,519,000",NA,NA,NA,NA,"408,000","1,683,552","765,000",NA,"3,891,000","4,054,000","3,936,000",NA,"651,854","20,471,000","5,038,000","136,824",NA,"3,252,427",NA,"6,873,000",NA,"907,000","904,735","2,790,000","724,705","82,944","135,000","708,000","1,947,000",NA,"3,051,000",NA,"9,996,000",NA,"13,280,000","2,763,000",NA,"5,941,000","1,923,000","919,444",NA,"1,746,500","74,300","615,400",NA,"1,363,000",NA,"646,586","4,886,000","20,089,000","1,895,000","1,348,385","5,188,000","6,870,000","359,131","359,131","19,380,000","147,339",NA,"724,000",NA,"16,627,000","4,625,000","17,840,000","4,847,000","212,200","12,302,000","33,957,000","1,156,900",NA,NA,"1,237,000","3,217,000",NA,"33,330,000",NA,NA,NA,NA,NA,NA,"1,128,539","2,762,000",NA,"19,301,000",NA,"1,681,000",NA,NA
Gross Profit,271473,"2,666,000","384,000","459,800",NA,NA,"1,659,000","3,785,000","1,124,000","238,446.00",NA,"379,900.00","784,828.00","682,000.00",NA,NA,NA,NA,"508,341.00","1,282,000.00",NA,NA,"118,818.00","252,000.00","883,000.00",NA,"185,600.00","1,083,000.00","17,777,000.00",NA,"858,800.00","18,783.00","1,896,000.00","27,000.00","1,184,000.00","1,780,000.00",NA,NA,NA,"2,783,000.00",NA,NA,"2,023,000.00","770,955.00","4,031,000.00","963,000.00","400,000.00","62,400.00","310,000.00",NA,"164,788.00","796,600.00","2,496,000.00",NA,NA,"123,360.00",NA,NA,"3,346,000.00","641,500.00","142,232.00","2,025,000.00",NA,"1,493,097.00","796,500.00",NA,"191,891.00","2,906,000.00",NA,NA,NA,NA,"378,000.00","1,394,063.00","406,000.00",NA,"2,140,000.00","1,705,000.00","766,000.00",NA,"164,649.00","6,891,000.00","2,133,000.00","136,824.00",NA,"463,153.00",NA,"3,875,000.00",NA,"504,000.00","251,463.00","1,435,000.00","598,513.00","69,414.00","135,000.00","167,000.00","692,000.00",NA,"1,861,000.00",NA,"2,106,000.00",NA,"9,411,000.00","859,000.00",NA,"2,339,000.00","639,000.00","212,514.00",NA,"378,700.00","14,800.00","189,700.00",NA,"974,000.00",NA,"646,586.00","2,537,000.00","4,034,000.00","229,000.00","663,589.00","1,926,000.00","1,484,000.00","117,683.00","116,558.00","3,609,000.00","77,864.00",NA,"422,000.00",NA,"3,864,000.00","4,625,000.00","-3,507,000.00","4,700,000.00","75,000.00","10,103,000.00","7,480,000.00","409,700.00",NA,NA,"214,000.00","1,469,500.00",NA,"20,279,000.00",NA,NA,NA,NA,NA,NA,"361,263.00","1,474,000.00",NA,"19,301,000.00",NA,"250,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,376,000","132,500","191,300",NA,NA,"198,000","2,293,000","457,000","87,640.0",NA,"109,800.0","100,897.0","119,000.0",NA,NA,NA,NA,"110,156.0","178,000.0",NA,NA,"18,719.0","34,000.0","193,000.0",NA,"66,200.0","820,000.0","3,274,000.0",NA,"308,800.0","-2,042.0","1,196,000.0","-1,187,000.0","-95,000.0","894,000.0",NA,NA,NA,"870,000.0",NA,NA,"949,000.0","312,896.0","1,290,000.0","364,000.0","156,000.0","21,300.0","52,000.0",NA,"46,650.0","142,700.0","707,000.0",NA,NA,"102,173.0",NA,NA,"896,000.0","111,500.0","-31,930.0","489,000.0",NA,"303,878.0","223,300.0",NA,"96,528.0","640,000.0",NA,NA,NA,NA,"124,000.0","174,676.0","109,000.0",NA,"616,000.0","59,000.0","-12,000.0",NA,"69,575.0","1,773,000.0","41,000.0","124,007.0",NA,"105,410.0",NA,"2,255,000.0",NA,"337,000.0","56,360.0","563,000.0","280,901.0","28,242.0","-2,000.0","-29,000.0","-198,000.0",NA,"1,099,000.0",NA,"1,026,000.0",NA,"2,401,000.0","287,000.0",NA,"618,000.0","324,000.0","40,866.0",NA,"27,600.0","-13,400.0","113,700.0",NA,"365,000.0",NA,"123,581.0","1,115,000.0","1,535,000.0","93,000.0","135,465.0","641,000.0","67,000.0",572.0,"-9,227.0","425,000.0","26,077.0",NA,"185,000.0",NA,"1,164,000.0","1,189,000.0","-6,174,000.0","1,408,000.0","12,500.0","2,990,000.0","647,000.0","119,300.0",NA,NA,"45,000.0","645,700.0",NA,"3,411,000.0",NA,NA,NA,NA,NA,NA,"-119,349.0","650,000.0",NA,"5,170,000.0",NA,"28,000.0",NA,423.9
Net Income,271510,"1,372,000","132,500","191,300",NA,NA,"198,000","2,293,000","456,000","87,640.00",NA,"109,800.00","100,567.00","119,000.00",NA,NA,NA,NA,"94,919.00","176,000.00",NA,NA,"18,719.00","34,000.00","193,000.00",NA,"65,400.00","820,000.00","3,238,000.00",NA,"308,600.00","-2,042.00","1,200,000.00","-1,184,000.00","-117,000.00","894,000.00",NA,NA,NA,"870,000.00",NA,NA,"934,000.00","347,100.00","1,281,000.00","364,000.00","156,000.00","21,300.00","52,000.00",NA,"46,650.00","141,300.00","707,000.00",NA,NA,"99,363.00",NA,NA,"892,000.00","221,600.00","-32,031.00","470,000.00",NA,"315,125.00","223,200.00",NA,"72,770.00","640,000.00",NA,NA,NA,NA,"124,000.00","187,913.00","109,000.00",NA,"616,000.00","59,000.00","-12,000.00",NA,"69,575.00","1,773,000.00","41,000.00","124,007.00",NA,"95,240.00",NA,"2,255,000.00",NA,"337,000.00","56,360.00","562,000.00","280,901.00","28,540.00","-2,000.00","1,082,000.00","-198,000.00",NA,"1,099,000.00",NA,"1,026,000.00",NA,"2,401,000.00","321,000.00",NA,"618,000.00","324,000.00","40,866.00",NA,"27,700.00","-13,400.00","113,700.00",NA,"365,000.00",NA,"121,742.00","1,111,000.00","1,472,000.00","93,000.00","110,966.00","641,000.00","67,000.00",572.00,289.00,"425,000.00","26,077.00",NA,"185,000.00",NA,"1,190,000.00","1,182,000.00","-6,170,000.00","1,408,000.00","12,500.00","2,990,000.00","646,000.00","119,300.00",NA,NA,"45,000.00","645,700.00",NA,"3,306,000.00",NA,NA,NA,NA,NA,NA,"-124,399.00","650,000.00",NA,"5,114,000.00",NA,"28,000.00",NA,423.85
EBIT,271530,"1,349,000","216,200","271,900",NA,NA,NA,"3,257,000","662,000","99,508.00",NA,"193,500.00","207,208.00","221,000.00",NA,NA,NA,NA,"253,803.00","218,000.00",NA,NA,"11,456.00","73,000.00","419,000.00",NA,"125,800.00","1,053,000.00",NA,NA,"508,600.00",-415.00,"1,465,000.00","-521,000.00","384,000.00","1,364,000.00",NA,NA,NA,NA,NA,NA,"1,431,000.00","348,115.00","2,132,000.00","550,000.00","230,000.00","32,500.00","109,000.00",NA,"94,427.00","288,700.00","1,180,000.00",NA,NA,"70,407.00",NA,NA,"543,000.00","172,000.00","-18,626.00","781,000.00",NA,"659,854.00","301,900.00",NA,"105,174.00","1,012,000.00",NA,NA,NA,NA,"236,000.00",NA,"160,000.00",NA,"902,000.00","157,000.00","59,000.00",NA,"81,462.00","2,696,000.00","95,000.00","121,070.00",NA,"179,718.00",NA,"3,228,000.00",NA,"235,000.00","94,123.00","756,000.00","404,431.00","46,513.00",NA,"25,000.00","161,000.00",NA,"1,522,000.00",NA,"1,288,000.00",NA,"3,849,000.00","534,000.00",NA,"1,338,000.00","298,000.00","74,417.00",NA,"66,100.00","-12,300.00","103,200.00",NA,"498,000.00",NA,NA,"1,636,000.00","2,402,000.00","145,000.00","383,200.00","1,035,000.00","19,000.00","25,378.00","24,253.00","760,000.00","37,968.00",NA,"248,000.00",NA,"1,550,000.00",NA,"-5,605,000.00",NA,"20,600.00",NA,"1,003,000.00","159,000.00",NA,NA,"58,000.00","879,100.00",NA,"7,977,000.00",NA,NA,NA,NA,NA,NA,"-43,918.00","1,016,000.00",NA,NA,NA,"90,000.00",NA,-18.20
EBIT / Interest Expense (x),274483,4.89,3.19,5.01,NA,NA,NA,12.34,3.83,2.28,NA,2.88,2.76,2.63,NA,NA,NA,NA,1.56,5.74,NA,NA,1.43,1.92,2.15,NA,1.72,81.00,NA,NA,4.71,NM,9.97,NM,4.63,6.62,NA,NA,NA,NA,NA,NA,3.66,10.20,2.45,4.83,3.97,3.07,2.10,NA,2.87,5.13,2.38,NA,NA,3.24,NA,NA,1.99,4.64,NM,5.54,NA,4.50,6.54,NA,2.40,9.12,NA,NA,NA,NA,2.68,NA,7.62,NA,8.51,1.76,1.90,NA,NA,7.25,2.71,3.62,NA,3.82,NA,8.47,NA,2.16,5.19,10.36,8.66,3.11,NA,0.63,2.15,NA,7.50,NA,8.00,NA,4.39,7.74,NA,1.86,1.54,3.71,NA,1.83,NM,3.89,NA,45.27,NA,NA,5.84,4.38,5.37,4.69,2.57,0.35,0.60,0.45,4.81,3.26,NA,4.77,NA,14.90,NA,NM,NA,1.75,NA,8.15,10.97,NA,NA,3.87,17.87,NA,4.77,NA,NA,NA,NA,NA,NA,NM,4.25,NA,NA,NA,1.30,NA,NM
Avg. Days Sales Out.,274485,51.9,56.1,40.2,NA,NA,NA,1.4,42.4,10,NA,32,151,10,NA,NA,NA,NA,175,NM,NA,NA,66,59,50,NA,13,110,NA,NA,28,130,20,15,50,36,NA,NA,NA,NA,NA,NA,51,69,47,36,46,51,62,NA,44,63,39,NA,NA,88,NA,NA,13,94,48,71,NA,53,66,NA,27,31,NA,NA,NA,NA,38,NA,41,NA,34,NA,40,NA,7,NA,4,NA,NA,85,NA,33,NA,25,119,100,86,134,NA,57,47,NA,25,NA,75,NA,48,54,NA,169,46,25,NA,13,69,20,NA,15,NA,NA,8,111,47,11,62,4,51,200,25,NA,NA,39,NA,65,NA,65,NA,38,NA,5,45,NA,NA,38,NA,NA,73,NA,NA,NA,NA,NA,NA,55,56,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.09,6.56,9.17,NA,NA,NA,268.88,8.68,38,NA,12,2,36,NA,NA,NA,NA,2,0,NA,NA,6,6,7,NA,29,3,NA,NA,13,3,19,24,7,10,NA,NA,NA,NA,NA,NA,7,5,8,10,8,7,6,NA,8,6,9,NA,NA,4,NA,NA,29,4,8,5,NA,7,6,NA,13,12,NA,NA,NA,NA,10,NA,9,NA,11,NA,9,NA,57,NA,88,NA,NA,4,NA,11,NA,15,3,4,4,3,NA,6,8,NA,15,NA,5,NA,8,7,NA,2,8,14,NA,29,5,18,NA,25,NA,NA,48,3,8,34,6,96,7,2,14,NA,NA,10,NA,6,NA,6,NA,10,NA,72,8,NA,NA,10,NA,NA,5,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.11,0.17,0.13,NA,NA,NA,13.20,0.24,0,NA,0,55,3,NA,NA,NA,NA,0,NA,NA,NA,17,0,0,NA,1,62,NA,NA,4,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,4,7,6,8,NA,3,9,NA,0,14,NA,NA,NA,NA,0,NA,0,NA,4,2,4,NA,41,4,2,NA,NA,7,NA,1,NA,0,4,7,15,0,NA,7,5,NA,0,NA,3,NA,3,2,NA,0,0,6,NA,5,0,0,NA,1,NA,NA,1,5,33,2,0,1,0,0,13,NA,NA,0,NA,89,NA,6,NA,0,NA,4,6,NA,NA,125,26,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
Total Asset Turnover (x),274487,0.60,0.15,0.13,NA,NA,NA,0.62,0.20,0,NA,0,1,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,1,2,1,0,NA,1,NA,1,NA,0,1,1,1,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,1,0,0,NA,0,NA,0,1,0,1,1,0,1,0,0,3,NA,NA,0,NA,1,NA,1,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"(1,787,000)","349,500","323,600",NA,NA,"857,000","2,611,000","897,000","233,568",NA,"326,000","80,558","-49,000",NA,NA,NA,NA,"286,096","24,000",NA,NA,"53,795","103,000","136,000",NA,"169,400","912,000","-16,674,000",NA,"676,700","-7,454","-102,000","83,000","699,000","1,686,000",NA,NA,NA,"2,024,000",NA,NA,"1,539,000","386,909","3,524,000","827,000","280,000","60,300","241,000",NA,"122,001","479,500","1,689,000",NA,NA,"105,450",NA,NA,"5,502,000",NA,"-22,815",NA,NA,"835,732","222,500",NA,"248,270","1,424,000",NA,NA,NA,NA,"281,000","-648,660","263,000",NA,"628,000","151,000","436,000",NA,"-17,764","1,064,000","-113,000","72,387",NA,"277,727",NA,"2,736,000",NA,"475,000","30,166","759,000","421,609","48,629","-10,000","11,000","282,000",NA,"1,226,000",NA,"1,091,000",NA,"5,475,000","699,000",NA,"3,158,000","-226,000","51,532",NA,"21,000","-13,400","326,400",NA,"627,000",NA,"768,097","897,000","2,523,000","101,000","337,356","2,507,000","113,000","142,761",NA,"517,000","85,860",NA,"358,000",NA,"3,201,000","-312,000","-1,345,000","19,098,000","35,800","-38,060,000","504,000","194,700",NA,NA,"84,000","390,000",NA,"9,911,000",NA,NA,NA,NA,NA,NA,"133,568","1,501,000",NA,"4,206,000",NA,"234,000",NA,-603
Cash from Investing,272601,"(1,204,000)","(169,300)","(289,400)",NA,NA,"1,195,000","(41,000)","(1,174,000)","-184,736",NA,"-236,300","-7,842","-63,000",NA,NA,NA,NA,"-297,283","-130,000",NA,NA,"-6,541","-277,000","-959,000",NA,"-125,700","251,000","51,388,000",NA,"-91,700","7,676","2,406,000","-6,223,000","-199,000","-674,000",NA,NA,NA,"-2,238,000",NA,NA,"-1,035,000","-409,256","-3,276,000","-654,000","-204,000","79,400","-113,000",NA,"-73,160","-124,000","-1,647,000",NA,NA,"4,374",NA,NA,"-5,588,000",NA,"7,234",NA,NA,"-149,308","-60,000",NA,"-78,109","-237,000",NA,NA,NA,NA,"-263,000","427,294","-227,000",NA,"-209,000","-156,000","-142,000",NA,"-3,713","-591,000","-185,000",NA,NA,"-56,328",NA,"-1,266,000",NA,"-348,000","-30,590","-282,000","-28,064","-1,572","1,961,000","2,098,000","-23,000",NA,"-224,000",NA,"-361,000",NA,"-1,783,000","-39,000",NA,"-2,994,000","-679,000","-98,588",NA,"-52,400","-105,700","-124,800",NA,"-611,000",NA,"-676,224","-311,000","-715,000","-10,000","-260,737","-1,426,000","458,000","-252,196",NA,"-196,000","-24,563",NA,"-382,000",NA,"-2,685,000","10,204,000","679,000","8,516,000","-168,200","-29,286,000","-950,000","-5,900",NA,NA,"22,000","-119,700",NA,"-4,003,000",NA,NA,NA,NA,NA,NA,"-450,826","-2,503,000",NA,"-21,098,000",NA,"-161,000",NA,"9,923"
Cash from Financing,272618,"(1,085,000)","(164,500)","(34,200)",NA,NA,"(874,000)","(2,478,000)","300,000","-612,629",NA,"-94,800","-120,477","-266,000",NA,NA,NA,NA,"745,170","1,295,000",NA,NA,"-26,832","174,000","870,000",NA,"-43,200","-182,000","15,391,000",NA,"-566,900",-6,"-806,000","6,034,000","-332,000","-606,000",NA,NA,NA,"140,000",NA,NA,"1,191,000","92,994","-284,000","-205,000","-81,000","-140,100","-131,000",NA,"-47,295","-64,300","-344,000",NA,NA,"-101,183",NA,NA,"3,311,000",NA,"15,670",NA,NA,"111,212","-97,700",NA,"-155,201","-826,000",NA,NA,NA,NA,"-36,000","126,759","-36,000",NA,"-282,000","-9,000","-43,000",NA,"31,309","-2,757,000","224,000","-18,438",NA,"-337,435",NA,"-1,087,000",NA,"4,000","-7,277","-491,000","-350,266","-46,193","-3,164,000","-1,511,000","-142,000",NA,"-686,000",NA,"-676,000",NA,"-2,463,000","-420,000",NA,"-414,000","-2,000","55,702",NA,"-4,600","122,500","-199,300",NA,"-12,000",NA,"349,824","-559,000","-1,158,000","-132,000","-38,578","-947,000","-210,000","-53,806",NA,"-718,000","-14,180",NA,"19,000",NA,"-185,000","-9,424,000","-300,000","-7,726,000","129,800","10,340,000","-249,000","-157,100",NA,NA,"-152,000","-239,600",NA,"-4,415,000",NA,NA,NA,NA,NA,NA,"-32,407","1,048,000",NA,"-29,760,000",NA,"-171,000",NA,"-9,515"
Foreign Exchange Rate Adj.,272619,"43,000",NA,NA,NA,NA,"2,000",NA,NA,NA,NA,NA,"82,752.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.00,NA,NA,NA,NA,NA,"6,855,000.00",NA,"-1,600.00",NA,NA,NA,"26,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-2,633.00",NA,NA,NA,NA,NA,NA,85.00,"-4,900.00",NA,NA,NA,NA,NA,NA,"275,000.00",NA,"1,567.00",NA,NA,"54,730.00","4,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"20,414.00",NA,NA,"-15,000.00",NA,"28,000.00",NA,NA,NA,NA,NA,NA,-325.00,NA,"46,000.00",NA,NA,-512.00,"37,000.00","6,299.00",NA,NA,"-5,000.00","-1,000.00",NA,NA,NA,NA,NA,"8,000.00","5,000.00",NA,NA,NA,NA,NA,"4,800.00",NA,NA,NA,NA,NA,NA,0.00,"23,000.00",NA,"-1,194.00",NA,NA,NA,NA,"-6,000.00",NA,NA,NA,NA,NA,"38,000.00","33,000.00",NA,NA,"5,369,000.00",NA,600.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,126.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"(4,033,000)","15,700",NA,NA,NA,"1,180,000","92,000","23,000","-563,797.00",NA,"-5,100.00","34,991.00","-378,000.00",NA,NA,NA,NA,"733,983.00","1,189,000.00",NA,NA,"20,502.00",NA,"47,000.00",NA,500.00,"981,000.00","56,960,000.00",NA,"17,400.00",216.00,"1,498,000.00","-106,000.00","194,000.00","406,000.00",NA,NA,NA,"-74,000.00",NA,NA,"1,695,000.00","68,014.00","-36,000.00","-32,000.00","-5,000.00",-400.00,"-3,000.00",NA,"1,631.00","286,300.00","-302,000.00",NA,NA,"8,641.00",NA,NA,"3,500,000.00",NA,"1,656.00",NA,NA,"852,366.00","69,300.00",NA,"14,960.00","361,000.00",NA,NA,NA,NA,"-18,000.00","-74,193.00",NA,NA,"122,000.00","-14,000.00","279,000.00",NA,"9,832.00","-2,284,000.00","-74,000.00","53,949.00",NA,"-116,361.00",NA,"429,000.00",NA,"131,000.00","-8,213.00","23,000.00","49,578.00",864.00,"-1,213,000.00","593,000.00","116,000.00",NA,"316,000.00",NA,"54,000.00",NA,"1,237,000.00","245,000.00",NA,"-348,000.00","-907,000.00","8,646.00",NA,"-31,200.00","3,400.00","2,300.00",NA,"4,000.00",NA,"441,697.00","27,000.00","673,000.00","-41,000.00","36,847.00","134,000.00","361,000.00","-163,241.00",NA,"-403,000.00","47,117.00",NA,"-5,000.00",NA,"217,000.00","506,000.00","-933,000.00","19,888,000.00","-2,600.00","-51,637,000.00","-695,000.00","32,300.00",NA,NA,"-46,000.00","30,700.00",NA,"1,493,000.00",NA,NA,NA,NA,NA,NA,"-347,539.00","46,000.00",NA,"-46,652,000.00",NA,"-98,000.00",NA,-195.02
Capital Expenditure,272592,"(246,000)","(377,100)","(385,100)",NA,NA,"(934,000)","(31,000)","(1,157,000)",NA,NA,"-265,200.00","-18,519.00","-72,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-947.00,"-368,000.00","-844,000.00",NA,"-125,600.00","-6,000.00","-1,561,000.00",NA,"-95,600.00","-25,506.00","-559,000.00",NA,"-217,000.00","-625,000.00",NA,NA,NA,"-69,000.00",NA,NA,"-3,000,000.00","-37,754.00","-2,987,000.00","-604,000.00","-222,000.00","-65,800.00","-223,000.00",NA,NA,"-124,000.00","-1,695,000.00",NA,NA,NA,NA,NA,"-1,992,000.00",NA,"-1,294.00",NA,NA,"-166,256.00","-18,400.00",NA,-289.00,"-162,000.00",NA,NA,NA,NA,"-260,000.00","-35,797.00","-212,000.00",NA,"-125,000.00","-157,000.00","-174,000.00",NA,-64.00,"-579,000.00","-95,000.00",NA,NA,"-43,631.00",NA,"-794,000.00",NA,"-362,000.00","-32,086.00","-57,000.00","-6,626.00",NA,NA,"-2,000.00","-51,000.00",NA,"-581,000.00",NA,"-361,000.00",NA,"-1,674,000.00","-141,000.00",NA,"-2,605,000.00","-679,000.00","-17,853.00",NA,"-53,400.00","-102,700.00","-132,100.00",NA,"-231,000.00",NA,NA,"-334,000.00","-552,000.00","-4,000.00","-109,652.00","-1,510,000.00","-527,000.00","-252,373.00",NA,"-183,000.00","-19,498.00",NA,"-382,000.00",NA,"-63,000.00","-375,000.00","-611,000.00","-128,000.00","-161,500.00","-466,000.00","-953,000.00","-24,100.00",NA,NA,"-25,000.00","-37,700.00",NA,"-3,948,000.00",NA,NA,NA,NA,NA,NA,"-420,826.00","-2,462,000.00",NA,NA,NA,"-90,000.00",NA,NA
Change in Net Working Capital,272627,"3,348,000","(192,900)","(32,700)",NA,NA,NA,"(321,000)","123,000","-16,117.00",NA,"-76,600.00","123,753.00","253,000.00",NA,NA,NA,NA,"15,828.00","1,021,000.00",NA,NA,"6,532.00","-44,000.00","-798,000.00",NA,"-12,700.00","-133,000.00",NA,NA,"-228,900.00","-9,090.00","-428,000.00","165,000.00","210,000.00","-398,000.00",NA,NA,NA,NA,NA,NA,"-3,067,000.00","337,698.00","-812,000.00","-296,000.00","18,000.00","-170,087.00","-195,000.00",NA,"-27,123.00","-157,400.00","-102,000.00",NA,NA,"-29,155.00",NA,NA,"-2,493,000.00","-82,300.00","-5,364.00","-71,000.00",NA,"-927,698.00","48,400.00",NA,"-277,866.00","-724,000.00",NA,NA,NA,NA,"1,000.00",NA,"-32,000.00",NA,"84,000.00","140,000.00","-199,000.00",NA,"72,874.00","1,136,000.00","203,000.00","-106,943.00",NA,"53,774.00",NA,"-1,515,000.00",NA,"-71,000.00","41,162.00","-43,000.00","-80,007.00","1,447.00",NA,"-118,000.00","-190,000.00",NA,"-40,000.00",NA,"-183,000.00",NA,"-729,000.00","-213,000.00",NA,"301,000.00","746,000.00","49,194.00",NA,"86,500.00","24,200.00","-182,100.00",NA,"322,000.00",NA,NA,"721,000.00","671,000.00","38,000.00","-251,926.00","-1,462,000.00","426,000.00","-54,984.00","-188,728.00","159,616.00",NA,NA,"-94,000.00",NA,"788,000.00",NA,"-3,813,000.00",NA,"19,400.00",NA,"1,030,000.00","-61,400.00",NA,NA,"3,000.00","212,400.00",NA,"-2,323,000.00",NA,NA,NA,NA,NA,NA,"169,616.00","-22,000.00",NA,NA,NA,"-65,000.00",NA,"-7,755.44"
Unlevered Free Cash Flow,272626,"(2,399,875)","77,625","(74,263)",NA,NA,NA,"2,399,625","(463,250)","203,743.50",NA,"81,337.50","27,825.00","-116,875.00",NA,NA,NA,NA,"367,668.88","-884,750.00",NA,NA,"21,650.00","-154,375.00","549,875.00",NA,"23,825.00","824,125.00",NA,NA,"562,175.00","-7,597.38","1,435,625.00","-454,625.00","230,000.00","1,057,500.00",NA,NA,NA,NA,NA,NA,"1,586,375.00","-63,128.13","849,500.00","379,750.00","70,750.00","151,899.50","143,125.00",NA,"132,114.88","387,237.50","53,500.00",NA,NA,"117,087.38",NA,NA,"2,234,375.00",NA,"-2,424.25",NA,NA,"1,561,850.75","141,187.50",NA,"387,451.75","1,498,500.00",NA,NA,NA,NA,"-33,500.00",NA,"-69,000.00",NA,"553,750.00","-10,875.00","832,875.00",NA,"-19,094.25","456,000.00","-96,625.00","187,479.75",NA,"136,779.75",NA,"3,310,500.00",NA,"94,875.00","14,074.88","603,500.00","359,191.38","46,783.63",NA,"159,625.00","320,625.00",NA,"744,250.00",NA,"958,000.00",NA,"4,065,625.00","609,750.00",NA,"-871,750.00","-951,750.00","26,349.63",NA,"-31,287.50","-110,687.50","185,100.00",NA,"-58,750.00",NA,NA,"377,500.00","1,243,250.00","82,625.00","565,465.00","1,324,875.00","-503,125.00","-107,374.75",NA,"387,384.00",NA,NA,"-18,000.00",NA,"257,750.00",NA,"77,875.00",NA,"-142,825.00",NA,"-492,125.00","171,775.00",NA,NA,"54,250.00","329,937.50",NA,"7,663,625.00",NA,NA,NA,NA,NA,NA,"-259,064.75","-1,387,000.00",NA,NA,NA,"156,250.00",NA,"7,744.07"
