SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,079,000","442,400","441,200",NA,NA,"1,951,000","5,083,000","1,980,000","380,926",NA,"950,100","9,323,023","3,028,000",NA,NA,NA,NA,"780,802","-182,000",NA,NA,"168,201","1,568,000","2,711,000",NA,NA,"3,115,000","16,228,000",NA,"2,910,000","163,764","7,333,000","4,407,000","3,406,000","3,730,000",NA,NA,NA,"2,838,000",NA,NA,NA,"2,139,181",NA,"1,198,000","1,080,000","189,815","599,000",NA,"174,897","1,197,900",NA,NA,NA,"141,374",NA,NA,"43,999,000","1,529,900","499,147","4,938,000",NA,"2,252,984","1,678,500",NA,"482,005","14,774,000",NA,NA,NA,NA,"368,000","1,438,082","462,000","864,500","3,803,000","6,499,000","4,431,000",NA,"488,262","21,339,000","8,930,000","113,879",NA,"3,008,361",NA,"5,926,500",NA,"975,000","767,999","2,707,000","576,208","70,670","315,000","-2,042,000","2,285,000",NA,"3,237,000",NA,"10,033,000",NA,"11,840,000","2,285,000",NA,"5,370,000","1,433,000","951,915",NA,"2,418,800","295,700","436,000",NA,"1,543,000",NA,"674,938","2,603,452","18,093,000","1,782,000","365,994","3,998,000","6,172,000","576,644","1,420,892","18,957,258","173,764",NA,"745,000",NA,"13,648,000","3,898,000","19,980,000","5,543,000","214,500","9,621,000","33,048,000","1,172,022",NA,NA,"1,226,000","3,004,800",NA,"35,251,000",NA,NA,NA,NA,NA,NA,"606,747","2,437,000",NA,"19,077,000",NA,"1,823,000",NA,NA
Gross Profit,271473,"3,494,000","256,400","393,600",NA,NA,"1,951,000","3,507,000","724,000","210,318.00",NA,"317,100.00","1,205,995.00","1,446,000.00",NA,NA,NA,NA,"490,132.00","-1,005,000.00",NA,NA,"116,160.00","365,000.00","856,000.00",NA,NA,"1,331,000.00","16,228,000.00",NA,"713,400.00","39,373.00","390,000.00","550,000.00","1,252,000.00","1,846,000.00",NA,NA,NA,"2,695,000.00",NA,NA,NA,"769,858.00",NA,"637,000.00","326,000.00","57,946.00","284,000.00",NA,"161,150.00","700,900.00",NA,NA,NA,"103,761.00",NA,NA,"4,104,000.00","892,500.00","235,397.00","1,932,000.00",NA,"1,357,173.00","766,000.00",NA,"202,260.00","2,691,000.00",NA,NA,NA,NA,"344,000.00","1,046,205.00","229,000.00","412,000.00","1,986,000.00","2,344,000.00","608,000.00",NA,"102,434.00","7,027,000.00","3,423,000.00","113,879.00",NA,"379,190.00",NA,"3,408,900.00",NA,"356,000.00","205,073.00","1,352,000.00","473,824.00","68,435.00","315,000.00","-407,000.00","607,000.00",NA,"1,558,000.00",NA,"1,824,000.00",NA,"9,443,000.00","586,000.00",NA,"1,845,000.00","665,000.00","201,038.00",NA,"587,700.00","73,000.00","92,900.00",NA,"1,171,000.00",NA,"674,938.00","841,576.00","3,567,000.00","197,000.00","146,214.00","4,878,000.00","1,360,000.00","208,700.00","312,407.00","3,487,946.00","90,205.00",NA,"335,000.00",NA,"1,664,000.00","3,898,000.00","2,291,000.00","5,399,000.00","52,300.00","7,706,000.00","8,313,000.00","399,024.00",NA,NA,"232,000.00","988,400.00",NA,"19,489,000.00",NA,NA,NA,NA,NA,NA,"170,701.00","1,050,000.00",NA,"19,077,000.00",NA,"389,000.00",NA,NA
Earnings from Cont. Ops.,271505,"543,000","54,700","167,600",NA,NA,"278,000","2,690,000","164,000","103,791.0",NA,"91,100.0","354,061.0","592,000.0",NA,NA,NA,NA,"158,031.0","137,000.0",NA,NA,"10,262.0","69,000.0","134,000.0",NA,NA,"1,013,000.0","2,536,000.0",NA,"157,700.0","14,262.0","28,000.0","-168,000.0","-27,000.0","1,018,000.0",NA,NA,NA,"1,025,000.0",NA,NA,NA,"263,579.0",NA,"158,000.0","-52,000.0","7,719.0","66,000.0",NA,"42,329.0","109,100.0",NA,NA,NA,"83,938.0",NA,NA,"1,259,000.0","227,200.0","-9,525.0","567,000.0",NA,"258,563.0","-128,600.0",NA,"53,364.0","-23,000.0",NA,NA,NA,NA,"114,000.0","140,936.0","8,000.0","400,000.0","453,000.0","299,000.0","-229,000.0",NA,"34,115.0","1,207,000.0","743,000.0","106,319.0",NA,"3,370.0",NA,"1,903,400.0",NA,"202,000.0","29,416.0","590,000.0","214,971.0","1,560.0","105,000.0","-275,000.0","-249,000.0",NA,"790,000.0",NA,"2,080,000.0",NA,"3,189,000.0","122,000.0",NA,"606,000.0","299,000.0","40,180.0",NA,"196,600.0","33,900.0","11,900.0",NA,"440,000.0",NA,"105,833.0","-500,244.0","1,468,000.0","44,000.0","12,355.0","507,000.0","-220,000.0","67,050.0","-277,535.0","509,989.0","44,766.0",NA,"108,000.0",NA,"-296,000.0","543,000.0","-663,000.0","1,968,000.0","4,800.0","1,326,000.0","569,000.0","117,515.0",NA,NA,"48,000.0","289,200.0",NA,"6,698,000.0",NA,NA,NA,NA,NA,NA,"-45,725.0","137,000.0",NA,"2,920,000.0",NA,"11,000.0",NA,170.9
Net Income,271510,"541,000","54,700","167,600",NA,NA,"278,000","2,690,000","163,000","103,791.00",NA,"91,100.00","349,402.00","594,000.00",NA,NA,NA,NA,"138,070.00","136,000.00",NA,NA,"10,262.00","69,000.00","134,000.00",NA,NA,"1,013,000.00","2,513,000.00",NA,"158,900.00","14,262.00","34,000.00","-207,000.00","-36,000.00","1,018,000.00",NA,NA,NA,"1,025,000.00",NA,NA,NA,"263,579.00",NA,"158,000.00","-52,000.00","7,719.00","66,000.00",NA,"42,329.00","108,200.00",NA,NA,NA,"84,206.00",NA,NA,"1,289,000.00","227,200.00","-9,418.00","554,000.00",NA,"249,306.00","-128,900.00",NA,"52,751.00","-23,000.00",NA,NA,NA,NA,"114,000.00","142,318.00","8,000.00","399,400.00","453,000.00","299,000.00","-229,000.00",NA,"34,115.00","1,207,000.00","743,000.00","106,319.00",NA,"3,224.00",NA,"1,903,400.00",NA,"202,000.00","29,416.00","589,000.00","214,971.00","1,863.00","105,000.00","-16,000.00","-249,000.00",NA,"790,000.00",NA,"2,080,000.00",NA,"3,189,000.00","124,000.00",NA,"606,000.00","299,000.00","40,180.00",NA,"195,500.00","33,900.00","11,900.00",NA,"440,000.00",NA,"104,165.00","-500,244.00","1,422,000.00","43,000.00","12,355.00","507,000.00","-220,000.00","67,050.00","-280,584.00","509,989.00","44,766.00",NA,"108,000.00",NA,"-277,000.00","543,000.00","-634,000.00","1,968,000.00","4,800.00","1,326,000.00","565,000.00","117,515.00",NA,NA,"48,000.00","289,200.00",NA,"6,577,000.00",NA,NA,NA,NA,NA,NA,"-29,180.00","137,000.00",NA,"3,155,000.00",NA,"11,000.00",NA,170.94
EBIT,271530,"3,055,000","119,200","235,500",NA,NA,NA,"3,025,000","322,000","82,533.00",NA,"142,200.00","521,201.00","879,000.00",NA,NA,NA,NA,"258,110.00","26,000.00",NA,NA,"19,711.00","178,000.00","344,000.00",NA,NA,"1,300,000.00",NA,NA,"468,900.00","13,871.00","11,000.00","-97,000.00","501,000.00","1,453,000.00",NA,NA,NA,NA,NA,NA,NA,"370,544.00",NA,"316,000.00","147,000.00","22,659.00","111,000.00",NA,"98,607.00","209,300.00",NA,NA,NA,"55,707.00",NA,NA,"4,650,000.00","291,900.00","3,229.00","716,000.00",NA,"484,480.00","288,400.00",NA,"110,565.00","940,000.00",NA,NA,NA,NA,"203,000.00",NA,"9,000.00","308,000.00","850,000.00","450,000.00","-139,000.00",NA,"42,203.00","1,849,000.00","990,000.00","99,003.00",NA,"78,277.00",NA,"2,597,400.00",NA,"17,000.00","70,394.00","741,000.00","307,737.00","35,965.00",NA,"-206,000.00","64,000.00",NA,"1,249,000.00",NA,"2,514,000.00",NA,"4,609,000.00","388,000.00",NA,"993,000.00","341,000.00","67,627.00",NA,"256,900.00","49,100.00","24,700.00",NA,"635,000.00",NA,NA,"18,979.00","1,957,000.00","107,000.00","53,336.00","1,002,000.00","-350,000.00","117,149.00","166,748.00","903,889.00","75,081.00",NA,"155,000.00",NA,"-302,000.00",NA,"296,000.00",NA,"11,500.00",NA,"1,073,000.00","151,193.00",NA,NA,"62,000.00","420,700.00",NA,"7,630,000.00",NA,NA,NA,NA,NA,NA,"-48,640.00","554,000.00",NA,NA,NA,"238,000.00",NA,-13.51
EBIT / Interest Expense (x),274483,26.57,2.15,5.48,NA,NA,NA,2.69,2.48,2.28,NA,2.26,2.52,10.10,NA,NA,NA,NA,2.15,0.67,NA,NA,2.34,NA,2.49,NA,NA,100.00,NA,NA,4.82,NA,0.17,NM,6.59,7.30,NA,NA,NA,NA,NA,NA,NA,11.19,NA,3.04,2.88,2.83,3.00,NA,3.20,3.84,NA,NA,NA,3.31,NA,NA,13.64,9.09,0.56,11.93,NA,4.43,6.30,NA,3.58,7.23,NA,NA,NA,NA,2.86,NA,0.39,7.98,6.91,6.92,NM,NA,NA,7.80,22.50,4.29,NA,1.57,NA,8.04,NA,0.20,6.19,12.15,6.75,2.89,NA,NM,1.00,NA,7.06,NA,20.95,NA,6.55,14.37,NA,2.06,3.02,4.29,NA,10.32,3.75,1.11,NA,19.24,NA,NA,0.04,5.90,4.12,1.46,3.35,NM,3.75,2.17,7.03,7.82,NA,2.98,NA,NM,NA,0.46,NA,1.49,NA,8.07,13.17,NA,NA,10.33,8.91,NA,6.91,NA,NA,NA,NA,NA,NA,NM,3.06,NA,NA,NA,3.61,NA,NM
Avg. Days Sales Out.,274485,52.7,53.4,36.6,NA,NA,NA,16.0,48.3,12,NA,31,115,7,NA,NA,NA,NA,166,NA,NA,NA,60,44,47,NA,NA,104,NA,NA,28,64,28,16,45,34,NA,NA,NA,NA,NA,NA,NA,65,NA,20,9,7,12,NA,31,65,NA,NA,NA,82,NA,NA,22,58,38,65,NA,41,73,NA,18,28,NA,NA,NA,NA,33,NA,60,61,36,NA,NA,NA,6,NA,3,NA,NA,89,NA,31,NA,51,115,82,95,140,NA,NM,55,NA,26,NA,73,NA,41,46,NA,121,52,22,NA,13,44,NA,NA,17,NA,NA,18,107,54,20,67,4,37,57,23,66,NA,40,NA,66,NA,53,NA,35,NA,5,26,NA,NA,29,NA,NA,64,NA,NA,NA,NA,NA,NA,50,57,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,6.98,6.89,10.05,NA,NA,NA,22.94,7.63,32,NA,12,3,50,NA,NA,NA,NA,2,NA,NA,NA,6,8,8,NA,NA,4,NA,NA,13,6,13,23,8,11,NA,NA,NA,NA,NA,NA,NA,6,NA,18,40,53,30,NA,12,6,NA,NA,NA,5,NA,NA,17,6,9,6,NA,9,5,NA,20,13,NA,NA,NA,NA,11,NA,6,6,10,NA,NA,NA,62,NA,136,NA,NA,4,NA,12,NA,7,3,4,4,3,NA,NM,7,NA,14,NA,5,NA,9,8,NA,3,7,18,NA,29,8,NA,NA,21,NA,NA,20,3,7,20,5,100,10,6,16,6,NA,9,NA,6,NA,7,NA,10,NA,71,15,NA,NA,13,NA,NA,6,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.23,0.15,0.14,NA,NA,NA,12.73,0.26,0,NA,0,51,6,NA,NA,NA,NA,0,NA,NA,NA,13,1,0,NA,NA,61,NA,NA,4,1,2,NA,1,0,NA,NA,NA,NA,NA,NA,NA,8,NA,0,0,0,0,NA,0,3,NA,NA,NA,0,NA,NA,4,12,8,9,NA,5,16,NA,0,15,NA,NA,NA,NA,0,NA,0,0,5,3,NA,NA,57,4,4,NA,NA,7,NA,1,NA,0,4,8,13,0,NA,NM,5,NA,0,NA,4,NA,5,2,NA,0,0,7,NA,9,0,NA,NA,1,NA,NA,0,4,22,1,0,1,0,1,15,0,NA,0,NA,49,NA,7,NA,0,NA,4,7,NA,NA,54,26,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.70,0.14,0.13,NA,NA,NA,0.57,0.21,0,NA,0,2,2,NA,NA,NA,NA,0,NM,NA,NA,1,0,0,NA,NA,0,NA,NA,1,1,1,0,0,0,NA,NA,NA,0,NA,NA,NA,1,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,1,0,2,1,NA,0,1,NA,0,2,NA,NA,NA,NA,0,0,0,0,0,2,NA,NA,1,2,2,0,NA,1,NA,0,NA,0,1,1,0,0,0,NM,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,2,0,NA,NA,0,NA,0,0,0,1,1,0,1,0,0,3,0,NA,0,NA,1,NA,1,0,0,0,3,1,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,922,000","142,300","257,800",NA,NA,"1,173,000","2,619,000","664,000","68,730",NA,"103,300","108,687","1,045,000",NA,NA,NA,NA,"369,996","-226,000",NA,NA,"37,220","103,000","485,000",NA,NA,"631,000","12,813,000",NA,"424,700","16,371","-2,433,000","471,000","617,000","1,364,000",NA,NA,NA,"2,175,000",NA,NA,NA,"338,643",NA,"-62,000","469,000","59,530","278,000",NA,"92,041","325,400",NA,NA,NA,"64,932",NA,NA,"1,178,000","464,200","103,927","1,042,000",NA,"709,532","110,700",NA,"109,750","1,904,000",NA,NA,NA,NA,"235,000","395,691","78,000","360,200","739,000","497,000","189,000",NA,"-10,899","934,000","1,871,000","10,392",NA,"233,626",NA,"2,201,400",NA,"375,000","62,538","1,273,000","315,427","46,357","207,000","183,000","295,000",NA,"798,000",NA,"2,251,000",NA,"3,985,000","675,000",NA,"891,000","67,000","181,930",NA,"395,000","15,300","6,300",NA,"552,000",NA,"-979,275","575,741","4,628,000","103,000","-4,761","1,161,000","579,000","39,813","104,105","1,045,415","-170,459",NA,"47,000",NA,"970,000","2,924,000","3,457,000","-2,107,000","44,300","-33,162,000","1,399,000","142,637",NA,NA,"486,000","356,900",NA,"8,942,000",NA,NA,NA,NA,NA,NA,"119,263","434,000",NA,"7,245,000",NA,"167,000",NA,"8,265"
Cash from Investing,272601,"(388,000)","(217,400)","(290,500)",NA,NA,"(3,355,000)","997,000","(912,000)","-157,848",NA,"-171,400","-23,736","-31,000",NA,NA,NA,NA,"-289,582","-680,000",NA,NA,"-5,208","-515,000","-1,399,000",NA,NA,"-287,000","-36,207,000",NA,"-92,000","-17,444","1,233,000","-3,923,000","-386,000","-487,000",NA,NA,NA,"-13,014,000",NA,NA,NA,"-138,863",NA,"-632,000","-307,000","-65,203","-267,000",NA,"-79,920","-152,400",NA,NA,NA,"-117,641",NA,NA,"-4,972,000","-34,200",-857,"-95,000",NA,"-188,603","-47,200",NA,"-64,870","-2,876,000",NA,NA,NA,NA,"-212,000","7,535","-152,000","100,900","-922,000","-179,000","-225,000",NA,"-3,862","-286,000","-167,000",NA,NA,"-579,489",NA,"-1,071,300",NA,"-469,000",43,"-652,000","-26,922","-49,198","3,773,000","-89,000","-77,000",NA,"-543,000",NA,"-578,000",NA,"-1,161,000","-50,000",NA,"-1,896,000","-684,000","-112,583",NA,"-166,400","-42,800","-123,000",NA,"-547,000",NA,"987,726","-116,049","-938,000","-20,000","-45,306","-1,453,000","-933,000","-191,100","-234,804","-294,885","-145,521",NA,"-448,000",NA,"-447,000","25,124,000","-2,151,000","11,540,000","-100,600","-6,292,000","-652,000","-67,719",NA,NA,"-21,000","-264,700",NA,"-5,342,000",NA,NA,NA,NA,NA,NA,"-278,927","-1,598,000",NA,"-15,926,000",NA,"-229,000",NA,NA
Cash from Financing,272618,"(1,315,000)","60,100","32,700",NA,NA,"2,680,000","(2,065,000)","284,000","49,358",NA,"75,900","-346,045","-475,000",NA,NA,NA,NA,"207,512","228,000",NA,NA,"-32,217","411,000","875,000",NA,NA,"-163,000","66,195,000",NA,"-331,000","2,143","487,000","3,642,000","-219,000","-1,230,000",NA,NA,NA,"7,866,000",NA,NA,NA,"-126,686",NA,"738,000","-163,000","6,715","-4,000",NA,"-67,677","-142,800",NA,NA,NA,"45,992",NA,NA,"7,055,000","-434,600","-79,243","-37,000",NA,"-572,126","-110,300",NA,"127,749","-1,269,000",NA,NA,NA,NA,"-22,000","-213,489","44,000","-417,800","-213,000","-604,000","-43,000",NA,"-5,901","-5,625,000","-310,000","-22,429",NA,"620,375",NA,"-1,517,000",NA,"-225,000","-37,036","-202,000","-172,553","-7,357","-3,085,000","-92,000","-576,000",NA,"-1,013,000",NA,"-762,000",NA,"-4,026,000","-299,000",NA,"1,575,000","1,036,000","-99,769",NA,"-237,900","25,700","115,200",NA,"-1,000",NA,"-361,865","-91,900","-2,849,000","-125,000","-137,118","967,000","-597,000","177,959","102,461","-745,964","123,685",NA,"330,000",NA,"-573,000","-26,150,000","-250,000","-15,959,000","48,400","-9,576,000","-1,214,000","-120,527",NA,NA,"-144,000","-116,300",NA,"-3,076,000",NA,NA,NA,NA,NA,NA,"305,370","1,168,000",NA,"2,383,000",NA,"-277,000",NA,"-7,900"
Foreign Exchange Rate Adj.,272619,"32,000",NA,NA,NA,NA,"2,000",NA,NA,NA,NA,NA,"104,024.00","-1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-383,000.00",NA,"1,900.00",NA,NA,"-1,000.00","29,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,772.00",NA,NA,NA,NA,NA,NA,-23.00,"13,300.00",NA,NA,NA,NA,NA,NA,"358,000.00","8,500.00","6,566.00","37,000.00",NA,"109,310.00","3,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"-1,960.00",NA,500.00,"3,000.00",NA,"-7,000.00",NA,NA,"-11,000.00",NA,NA,NA,404.00,NA,"142,400.00",NA,NA,"-4,081.00","84,000.00","10,500.00",NA,NA,"-7,000.00",0.00,NA,NA,NA,NA,NA,"-97,000.00","23,000.00",NA,NA,NA,NA,NA,"14,300.00",NA,NA,NA,NA,NA,NA,765.00,"15,000.00",NA,-6.00,NA,NA,NA,-153.00,"-18,283.00",NA,NA,NA,NA,NA,"31,000.00","61,000.00",NA,NA,"6,604,000.00",NA,"2,257.00",NA,NA,"-1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,279.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"251,000","(15,000)",NA,NA,NA,"500,000","1,551,000","36,000","-39,760.00",NA,"7,800.00","-157,070.00","538,000.00",NA,NA,NA,NA,"287,926.00","-678,000.00",NA,NA,-205.00,"-1,000.00","-39,000.00",NA,NA,"181,000.00","42,418,000.00",NA,"3,600.00","1,070.00","-713,000.00","189,000.00","41,000.00","-353,000.00",NA,NA,NA,"-2,973,000.00",NA,NA,NA,"74,866.00",NA,"44,000.00","-1,000.00","1,042.00","7,000.00",NA,"-55,579.00","43,500.00",NA,NA,NA,"-6,717.00",NA,NA,"3,619,000.00","3,900.00","30,393.00","947,000.00",NA,"58,113.00","-38,500.00",NA,"172,629.00","-2,241,000.00",NA,NA,NA,NA,"1,000.00","187,777.00","-30,000.00","43,800.00","-393,000.00","-286,000.00","-86,000.00",NA,"-20,662.00","-4,988,000.00","1,394,000.00","-12,037.00",NA,"274,916.00",NA,"-244,500.00",NA,"-319,000.00","21,464.00","503,000.00","126,452.00","-10,198.00","895,000.00","-5,000.00","-358,000.00",NA,"-758,000.00",NA,"911,000.00",NA,"-1,299,000.00","349,000.00",NA,"502,000.00","419,000.00","-30,422.00",NA,"5,000.00","-1,800.00","-1,500.00",NA,"4,000.00",NA,"-353,414.00","368,557.00","856,000.00","-42,000.00","-187,191.00","675,000.00","-951,000.00","26,672.00","-52,194.00","-13,717.00","-192,295.00",NA,"-71,000.00",NA,"-50,000.00","1,929,000.00","1,117,000.00","-6,526,000.00","-7,900.00","-42,426,000.00","-467,000.00","-43,352.00",NA,NA,"320,000.00","-24,100.00",NA,"524,000.00",NA,NA,NA,NA,NA,NA,"144,427.00","4,000.00",NA,"-6,298,000.00",NA,"-339,000.00",NA,365.38
Capital Expenditure,272592,"(506,000)","(355,200)","(409,000)",NA,NA,"(692,000)","(58,000)","(921,000)",NA,NA,"-341,200.00","-24,056.00","-29,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-576.00,"-495,000.00","-1,340,000.00",NA,NA,"-3,000.00","-1,965,000.00",NA,"-100,200.00","-18,421.00","-628,000.00",NA,"-403,000.00","-696,000.00",NA,NA,NA,"-58,000.00",NA,NA,NA,"-54,923.00",NA,"-623,000.00","-234,000.00","-51,218.00","-227,000.00",NA,NA,"-156,100.00",NA,NA,NA,NA,NA,NA,"-2,065,000.00","-36,100.00","-4,573.00","-77,000.00",NA,"-152,295.00","-43,500.00",NA,-734.00,"-144,000.00",NA,NA,NA,NA,"-214,000.00","-92,307.00","-194,000.00","-147,800.00","-93,000.00","-179,000.00","-180,000.00",NA,-130.00,"-597,000.00","-124,000.00",NA,NA,"-50,027.00",NA,"-528,900.00",NA,"-465,000.00","-32,718.00","-73,000.00","-5,605.00",528.00,NA,"-20,000.00","-91,000.00",NA,"-666,000.00",NA,"-632,000.00",NA,"-1,423,000.00","-140,000.00",NA,"-2,173,000.00","-685,000.00","-16,446.00",NA,"-113,000.00","-39,700.00","-673,700.00",NA,"-236,000.00",NA,NA,"-166,734.00","-855,000.00","-9,000.00","-45,306.00","-1,571,000.00","-1,364,000.00","-197,306.00","-246,905.00","-305,267.00","-49,491.00",NA,"-448,000.00",NA,"-68,000.00","-357,000.00","-326,000.00","-202,000.00","-92,700.00","-754,000.00","-606,000.00","-67,703.00",NA,NA,"-17,000.00","-31,400.00",NA,"-7,276,000.00",NA,NA,NA,NA,NA,NA,"-267,073.00","-1,645,000.00",NA,NA,NA,"-24,000.00",NA,NA
Change in Net Working Capital,272627,"(389,000)","(181,100)","(536,700)",NA,NA,NA,"1,247,000","(250,000)","80,369.00",NA,"-115,800.00","449,585.00","-342,000.00",NA,NA,NA,NA,"-108,180.00","-18,515,000.00",NA,NA,"-4,164.00","67,000.00","-38,000.00",NA,"-1,572,600.00","104,000.00",NA,NA,"-10,900.00","6,962.00","823,000.00","-1,677,000.00","-370,000.00","-47,000.00",NA,NA,NA,NA,NA,NA,"887,000.00","79,149.00","-326,000.00","-112,000.00","-332,000.00","-20,346.00","-117,000.00",NA,"25,217.00","-60,100.00","-133,000.00",NA,NA,"48,796.00",NA,NA,"1,024,000.00","-71,600.00","-103,651.00","-351,000.00",NA,"32,952.00","-37,400.00",NA,"-165,734.00","-856,000.00",NA,NA,NA,NA,"-40,000.00",NA,"-26,000.00","-279,600.00","-59,000.00","78,000.00",NA,NA,"35,007.00","193,000.00","-784,000.00","-25,428.00",NA,"-12,023.00",NA,"-381,900.00",NA,"110,000.00",-410.00,"-706,000.00","-110,427.00","13,214.00",NA,"230,000.00","-186,000.00",NA,"391,000.00",NA,"-1,194,000.00",NA,"268,000.00","-407,000.00",NA,"-48,000.00","513,000.00","-97,548.00",NA,"-185,600.00","17,500.00",NA,NA,"430,000.00",NA,NA,"-632,163.00","-1,770,000.00","23,000.00","56,309.00","-206,000.00","-538,000.00","47,223.00","1,131,751.00","-229,592.00","19,606.00",NA,"-132,000.00",NA,"-1,528,000.00",NA,"-2,593,000.00",NA,"51,300.00",NA,"-690,000.00","-2,905.00",NA,NA,"13,000.00","-510,400.00",NA,"-4,972,000.00",NA,NA,NA,NA,NA,NA,"8,640.00","-55,000.00",NA,NA,NA,"215,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"2,289,375","10,100","364,888",NA,NA,NA,"1,698,625","(87,750)","87,637.13",NA,"8,375.00","-94,374.38","908,375.00",NA,NA,NA,NA,"473,604.75","18,553,250.00",NA,NA,"40,113.38","-284,750.00","-722,000.00",NA,NA,"742,500.00",NA,NA,"292,862.50","2,086.38","-718,125.00","1,814,375.00","656,125.00","669,125.00",NA,NA,NA,NA,NA,NA,NA,"180,412.00",NA,"-61,500.00","363,875.00","9,539.88","41,375.00",NA,"81,787.38","191,512.50",NA,NA,NA,"28,421.88",NA,NA,"1,544,250.00","360,437.50","109,807.13","887,500.00",NA,"587,692.00","441,850.00",NA,"289,506.13","1,578,500.00",NA,NA,NA,NA,"31,875.00",NA,"-77,375.00","423,100.00","678,250.00","244,250.00",NA,NA,"-7,761.13","920,625.00","1,419,750.00","90,902.88",NA,"181,914.13",NA,"1,975,275.00",NA,"-252,375.00","36,045.25","1,251,125.00","330,207.63","28,210.13",NA,"-259,750.00","213,000.00",NA,"36,625.00",NA,"2,542,250.00",NA,"2,733,625.00","649,500.00",NA,"-329,375.00","-700,875.00","163,719.88",NA,"313,762.50","-4,312.50",NA,NA,"-36,125.00",NA,NA,"849,911.88","3,119,125.00","84,875.00","-35,945.00","-61,750.00","-593,750.00","-99,918.88","-1,149,981.50","747,814.63",-988.38,NA,"-101,125.00",NA,"1,574,250.00",NA,"3,439,000.00",NA,"-116,812.50",NA,"1,650,625.00","64,463.63",NA,NA,"72,750.00","821,637.50",NA,"6,528,750.00",NA,NA,NA,NA,NA,NA,"-169,011.00","-779,750.00",NA,NA,NA,"37,750.00",NA,-8.44
