SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,283,000","461,200","444,900",NA,NA,"1,852,000","5,438,000","1,695,000","395,548",NA,"826,500","8,514,516","1,618,000",NA,NA,NA,NA,"813,183","264,000",NA,NA,"168,176","745,000","1,875,000",NA,"768,500","2,605,000","17,679,000",NA,"3,312,900","67,055","5,446,000","5,870,000","3,243,000","3,699,000",NA,NA,NA,"2,556,000",NA,NA,"3,166,000",NA,"6,578,000","1,782,000","780,000","125,766","589,000",NA,"172,076","1,317,600","4,818,000",NA,NA,"153,657",NA,NA,"44,954,000","1,526,400","321,966","4,817,000",NA,"2,452,469","1,210,000",NA,NA,"12,907,000",NA,NA,NA,NA,"387,000","1,037,610","447,000",NA,"3,789,000","4,087,000","4,179,000",NA,"645,270","27,476,000","5,834,000","127,583",NA,"2,874,115",NA,"6,497,000",NA,"759,000","836,792","2,403,000","621,157","77,876","296,000","667,000","2,204,000",NA,"2,980,000",NA,"9,576,000",NA,"12,275,000","2,563,000",NA,"5,290,000","1,327,000","920,685",NA,"2,237,200","112,700","474,700",NA,"1,467,000",NA,"972,272","3,523,000","18,315,000","1,831,000","500,982","3,949,000","7,037,000","487,866","1,293,645","18,593,953","138,384",NA,"677,000",NA,"13,979,000","4,499,000","19,751,000","4,559,000","199,700","10,280,000","34,638,000","1,339,300",NA,NA,"1,209,000","3,112,200",NA,"32,596,000",NA,NA,NA,NA,NA,NA,"663,559","2,252,000",NA,"18,820,000",NA,"1,997,000",NA,NA
Gross Profit,271473,"2,599,000","341,000","414,200",NA,NA,"1,852,000","3,757,000","788,000","218,154.00",NA,"283,600.00","1,066,049.00","660,000.00",NA,NA,NA,NA,"513,678.00","-1,034,000.00",NA,NA,"112,805.00","275,000.00","873,000.00",NA,"298,700.00","708,000.00","17,679,000.00",NA,"922,300.00","22,282.00","1,118,000.00","1,505,000.00","1,013,000.00","1,864,000.00",NA,NA,NA,"2,406,000.00",NA,NA,"1,381,000.00",NA,"3,085,000.00","771,000.00","352,000.00","45,590.00","284,000.00",NA,"158,104.00","729,600.00","1,901,000.00",NA,NA,"113,900.00",NA,NA,"5,218,000.00","905,400.00","159,578.00","1,940,000.00",NA,"1,510,517.00","603,500.00",NA,NA,"2,914,000.00",NA,NA,NA,NA,"357,000.00","806,551.00","243,000.00",NA,"2,041,000.00","1,755,000.00","566,000.00",NA,"144,645.00","9,132,000.00","2,412,000.00","127,583.00",NA,"391,635.00",NA,"3,731,000.00",NA,"384,000.00","221,315.00","1,187,000.00","511,091.00","74,578.00","296,000.00","144,000.00","655,000.00",NA,"1,342,000.00",NA,"2,040,000.00",NA,"8,917,000.00","775,000.00",NA,"1,913,000.00","511,000.00","209,968.00",NA,"525,600.00","35,400.00","135,600.00",NA,"1,063,000.00",NA,"972,272.00","1,635,000.00","3,797,000.00","219,000.00","215,940.00","1,567,000.00","2,069,000.00","132,082.00","218,080.00","3,349,616.00","65,923.00",NA,"357,000.00",NA,"205,000.00","4,499,000.00","1,939,000.00","4,371,000.00","53,300.00","8,413,000.00","7,246,000.00","479,700.00",NA,NA,"262,000.00","1,115,300.00",NA,"19,846,000.00",NA,NA,NA,NA,NA,NA,"221,671.00","1,091,000.00",NA,"18,820,000.00",NA,"469,000.00",NA,NA
Earnings from Cont. Ops.,271505,"(7,166,000)","109,100","175,700",NA,NA,"329,000","2,117,000","239,000","115,414.0",NA,"42,900.0","237,791.0","120,000.0",NA,NA,NA,NA,"137,866.0","-175,000.0",NA,NA,"94,126.0","43,000.0","118,000.0",NA,"143,000.0","534,000.0","2,952,000.0",NA,"382,200.0","2,011.0","824,000.0","751,000.0","303,000.0","984,000.0",NA,NA,NA,"889,000.0",NA,NA,"415,000.0",NA,"751,000.0","258,000.0","114,000.0","12,664.0","71,000.0",NA,"13,600.0","139,400.0","343,000.0",NA,NA,"56,234.0",NA,NA,"2,016,000.0","209,000.0","-26,288.0","433,000.0",NA,"284,206.0","-234,900.0",NA,NA,"1,054,000.0",NA,NA,NA,NA,"118,000.0","8,684.0","29,000.0",NA,"503,000.0","143,000.0","-281,000.0",NA,"53,134.0","2,992,000.0","275,000.0","106,516.0",NA,"16,754.0",NA,"2,310,000.0",NA,"233,000.0","43,013.0","373,000.0","246,825.0","39,427.0","66,000.0","-119,000.0","18,000.0",NA,"356,000.0",NA,"812,000.0",NA,"1,741,000.0","344,000.0",NA,"480,000.0","106,000.0","42,357.0",NA,"134,300.0","3,900.0","51,000.0",NA,"398,000.0",NA,"386,685.0","463,000.0","1,359,000.0","74,000.0","53,564.0","449,000.0","683,000.0","19,120.0","30,259.0","141,216.0","25,759.0",NA,"132,000.0",NA,"-1,375,000.0","1,073,000.0","-149,000.0","1,294,000.0",-400.0,"1,216,000.0","732,000.0","167,500.0",NA,NA,"83,000.0","392,900.0",NA,"4,766,000.0",NA,NA,NA,NA,NA,NA,"-69,743.0","334,000.0",NA,"4,903,000.0",NA,"230,000.0",NA,313.0
Net Income,271510,"(6,841,000)","109,100","175,700",NA,NA,"329,000","2,117,000","237,000","115,414.00",NA,"42,900.00","236,559.00","120,000.00",NA,NA,NA,NA,"118,098.00","-175,000.00",NA,NA,"94,126.00","43,000.00","118,000.00",NA,"143,000.00","534,000.00","2,915,000.00",NA,"381,900.00","2,011.00","833,000.00","771,000.00","281,000.00","984,000.00",NA,NA,NA,"889,000.00",NA,NA,"583,000.00",NA,"-220,000.00","258,000.00","114,000.00","12,664.00","71,000.00",NA,"13,600.00","138,300.00","343,000.00",NA,NA,"56,023.00",NA,NA,"1,917,000.00","209,000.00","-26,529.00","418,000.00",NA,"274,148.00","-235,000.00",NA,NA,"1,054,000.00",NA,NA,NA,NA,"118,000.00","12,395.00","29,000.00",NA,"503,000.00","143,000.00","-281,000.00",NA,"53,134.00","2,992,000.00","275,000.00","106,516.00",NA,"15,542.00",NA,"2,310,000.00",NA,"233,000.00","43,013.00","371,000.00","246,825.00","39,779.00","66,000.00","17,000.00","18,000.00",NA,"356,000.00",NA,"812,000.00",NA,"1,741,000.00","345,000.00",NA,"480,000.00","106,000.00","42,357.00",NA,"134,300.00","3,900.00","51,000.00",NA,"398,000.00",NA,"379,796.00","459,000.00","1,327,000.00","73,000.00","53,564.00","449,000.00","683,000.00","19,120.00","28,878.00","141,216.00","25,759.00",NA,"132,000.00",NA,"-1,352,000.00","1,072,000.00","-149,000.00","1,294,000.00",-400.00,"1,216,000.00","731,000.00","167,500.00",NA,NA,"83,000.00","392,900.00",NA,"4,648,000.00",NA,NA,NA,NA,NA,NA,"-48,240.00","334,000.00",NA,"4,938,000.00",NA,"230,000.00",NA,312.98
EBIT,271530,"1,169,000","186,100","249,800",NA,NA,NA,"3,216,000","392,000","85,018.00",NA,"112,500.00","398,647.00","242,000.00",NA,NA,NA,NA,"268,608.00","-198,000.00",NA,NA,"12,334.00","92,000.00","375,000.00",NA,"250,600.00","679,000.00",NA,NA,"557,400.00","3,257.00","719,000.00","837,000.00","278,000.00","1,460,000.00",NA,NA,NA,NA,NA,NA,"610,000.00",NA,"1,399,000.00","400,000.00","180,000.00","21,973.00","114,000.00",NA,"89,990.00","236,900.00","712,000.00",NA,NA,"62,443.00",NA,NA,"2,301,000.00","291,300.00","-27,609.00","692,000.00",NA,"564,503.00","118,000.00",NA,NA,"1,034,000.00",NA,NA,NA,NA,"220,000.00",NA,"54,000.00",NA,"769,000.00","266,000.00","-152,000.00",NA,"67,794.00","4,257,000.00","408,000.00","112,482.00",NA,"90,799.00",NA,"3,070,000.00",NA,"119,000.00","74,762.00","547,000.00","345,953.00","42,428.00",NA,"16,000.00","165,000.00",NA,"605,000.00",NA,"1,100,000.00",NA,"3,232,000.00","531,000.00",NA,"958,000.00","182,000.00","75,575.00",NA,"196,000.00","8,400.00","59,200.00",NA,"560,000.00",NA,NA,"776,000.00","1,962,000.00","128,000.00","100,798.00","744,000.00","795,000.00","40,867.00","90,005.00","676,572.00","44,916.00",NA,"194,000.00",NA,"-1,623,000.00",NA,"4,000.00",NA,"6,300.00",NA,"975,000.00","218,800.00",NA,NA,"104,000.00","547,300.00",NA,"7,625,000.00",NA,NA,NA,NA,NA,NA,"14,185.00","592,000.00",NA,NA,NA,"316,000.00",NA,NA
EBIT / Interest Expense (x),274483,8.12,3.31,4.93,NA,NA,NA,13.02,2.93,2.44,NA,1.68,76.44,2.81,NA,NA,NA,NA,1.89,NM,NA,NA,1.51,2.04,2.25,NA,3.84,52.23,NA,NA,5.52,1.24,6.98,6.25,3.43,7.26,NA,NA,NA,NA,NA,NA,1.54,NA,1.92,4.60,3.46,2.49,2.65,NA,2.85,3.90,1.67,NA,NA,3.32,NA,NA,7.52,8.80,NM,4.77,NA,3.28,2.53,NA,NA,6.76,NA,NA,NA,NA,2.82,NA,2.16,NA,4.47,3.46,NM,NA,NA,15.83,9.71,4.20,NA,1.53,NA,9.30,NA,1.40,5.00,8.68,7.42,2.99,NA,0.18,2.17,NA,3.56,NA,7.48,NA,3.78,23.09,NA,1.73,1.36,4.14,NA,6.24,0.67,2.21,NA,22.40,NA,NA,2.39,5.27,4.27,2.70,2.27,13.25,1.10,1.30,5.12,3.29,NA,3.13,NA,NM,NA,0.01,NA,0.65,NA,7.68,14.88,NA,NA,17.33,11.19,NA,5.93,NA,NA,NA,NA,NA,NA,3.06,3.25,NA,NA,NA,4.51,NA,NA
Avg. Days Sales Out.,274485,69.4,50.2,46.0,NA,NA,NA,29.4,47.9,10,NA,33,116,10,NA,NA,NA,NA,166,NM,NA,NA,62,75,53,NA,7,111,NA,NA,23,153,29,13,47,33,NA,NA,NA,NA,NA,NA,71,NA,52,14,16,8,13,NA,31,64,39,NA,NA,85,NA,NA,10,56,47,69,NA,41,59,NA,NA,29,NA,NA,NA,NA,33,NA,51,NA,33,NA,39,NA,5,NA,4,NA,NA,103,NA,30,NA,43,114,93,92,131,NA,129,52,NA,27,NA,77,NA,45,50,NA,133,52,23,NA,13,71,23,NA,19,NA,NA,9,113,53,14,53,4,54,68,25,55,NA,36,NA,65,NA,57,NA,36,NA,5,29,NA,NA,29,NA,NA,66,NA,NA,NA,NA,NA,NA,48,59,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,5.24,7.25,7.92,NA,NA,NA,12.37,7.60,38,NA,11,3,37,NA,NA,NA,NA,2,0,NA,NA,6,5,7,NA,53,3,NA,NA,16,2,13,28,8,11,NA,NA,NA,NA,NA,NA,5,NA,7,27,23,46,29,NA,12,6,9,NA,NA,4,NA,NA,36,7,8,5,NA,9,6,NA,NA,12,NA,NA,NA,NA,11,NA,7,NA,11,NA,9,NA,74,NA,99,NA,NA,4,NA,12,NA,8,3,4,4,3,NA,3,7,NA,14,NA,5,NA,8,7,NA,3,7,16,NA,29,5,16,NA,19,NA,NA,40,3,7,26,7,96,7,5,15,7,NA,10,NA,6,NA,6,NA,10,NA,74,13,NA,NA,13,NA,NA,6,NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,2.49,0.15,0.13,NA,NA,NA,13.52,0.21,0,NA,0,60,3,NA,NA,NA,NA,0,NA,NA,NA,15,0,0,NA,1,52,NA,NA,5,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,5,10,6,8,NA,5,9,NA,NA,13,NA,NA,NA,NA,0,NA,0,NA,5,2,4,NA,62,5,3,NA,NA,6,NA,1,NA,0,4,7,14,0,NA,3,5,NA,0,NA,4,NA,4,3,NA,0,0,7,NA,7,0,0,NA,1,NA,NA,0,4,27,1,0,1,0,1,14,0,NA,0,NA,58,NA,8,NA,0,NA,4,8,NA,NA,83,27,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.53,0.14,0.12,NA,NA,NA,0.59,0.18,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,1,NA,0,1,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,1,2,1,0,NA,1,NA,1,NA,0,1,1,1,0,0,0,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,2,0,0,NA,0,NA,0,0,0,1,1,0,1,0,0,3,0,NA,0,NA,1,NA,1,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,509,000","90,300","183,600",NA,NA,"1,588,000","124,000","615,000","215,209",NA,"118,600","-126,804","15,000",NA,NA,NA,NA,"379,173","-128,000",NA,NA,"28,041","616,000","769,000",NA,NA,"575,000","-54,059,000",NA,"34,100","41,484","-207,000","1,271,000","619,000","1,222,000",NA,NA,NA,"1,507,000",NA,NA,"1,097,000",NA,NA,"671,000","208,000","6,657","35,000",NA,"99,358","262,100","1,277,000",NA,NA,"85,794",NA,NA,"5,035,000","321,000","2,814","-67,000",NA,"564,957","30,400",NA,NA,"636,000",NA,NA,NA,NA,"206,000","417,178","36,000",NA,"381,000","-86,000","387,000",NA,"15,235","3,035,000","55,000","27,712",NA,"-11,539",NA,"1,673,000",NA,"838,000","-41,099","93,000","291,804","50,496","99,000","227,000","354,000",NA,"673,000",NA,"919,000",NA,"849,000","494,000",NA,"1,365,000","568,000","179,301",NA,"223,700","57,800","182,800",NA,"590,000",NA,"50,257","1,392,000","719,000","141,000","120,278","882,000","1,416,000","280,783","197,928","344,860","93,410",NA,"313,000",NA,"1,169,000","1,148,000","2,875,000","-5,216,000","24,300","31,901,000","1,325,000","130,600",NA,NA,"144,000","313,600",NA,"9,731,000",NA,NA,NA,NA,NA,NA,"188,495","505,000",NA,"-755,000",NA,"496,000",NA,250
Cash from Investing,272601,"(233,000)","(371,000)","(214,900)",NA,NA,"(2,098,000)","(2,802,000)","(925,000)","-164,910",NA,"-269,800","-16,896","-74,000",NA,NA,NA,NA,"-269,272","-334,000",NA,NA,"-5,198","-810,000","-999,000",NA,NA,"-558,000","45,790,000",NA,"-58,500","-39,819","-48,000","587,000","-287,000","-465,000",NA,NA,NA,"-7,604,000",NA,NA,"-2,712,000",NA,NA,"-656,000","-214,000","-46,877","-90,000",NA,"-27,961","-156,100","-1,804,000",NA,NA,"-146,977",NA,NA,"-4,180,000","-16,100","-2,026","-84,000",NA,"205,257","-60,200",NA,NA,"-6,000",NA,NA,NA,NA,"-201,000","-81,204","-156,000",NA,"-98,000","-327,000","-298,000",NA,"-1,987","-399,000","-321,000",NA,NA,"-51,974",NA,"-670,000",NA,"-384,000","-48,907","-58,000","-26,668","33,501","1,826,000","-108,000","-26,000",NA,"-350,000",NA,"-303,000",NA,"-2,658,000","-126,000",NA,"-2,280,000","-885,000","-41,970",NA,"-101,000","-58,000","-116,100",NA,"-589,000",NA,"-261,405","-787,000","-623,000","-11,000","-69,797","-1,345,000","-627,000","-190,626","-228,232","-144,573","-36,969",NA,"-317,000",NA,"-253,000","-7,343,000","-3,015,000","18,167,000","-95,000","-3,959,000","-665,000","-40,800",NA,NA,"-8,000","-232,700",NA,"-4,090,000",NA,NA,NA,NA,NA,NA,"-283,956","-1,879,000",NA,"20,601,000",NA,"-749,000",NA,NA
Cash from Financing,272618,"(803,000)","268,900","31,300",NA,NA,"550,000","(373,000)","319,000","-97,344",NA,"158,500","152,871","-140,000",NA,NA,NA,NA,"554,307","514,000",NA,NA,"-13,076","194,000","332,000",NA,NA,"-224,000","-16,847,000",NA,"-3,000","-1,907","245,000","-1,595,000","84,000","-1,067,000",NA,NA,NA,"4,578,000",NA,NA,"-26,000",NA,NA,"14,000","6,000","39,247","37,000",NA,"-68,201","-173,900","479,000",NA,NA,"57,582",NA,NA,"3,413,000","-254,300","6,840","-227,000",NA,"-909,574","-139,600",NA,NA,"-459,000",NA,NA,NA,NA,"290,000","57,128","120,000",NA,"-220,000","-11,000","-28,000",NA,"-12,880","-4,568,000","-106,000","3,422",NA,"41,287",NA,"-3,094,000",NA,"-58,000","32,831","-366,000","-553,759","-80,250","-1,435,000","-91,000","-286,000",NA,"-319,000",NA,"273,000",NA,"-1,855,000","-169,000",NA,"458,000","888,000","-134,203",NA,"-108,600",300,"-65,900",NA,0,NA,"96,763","-1,105,000","-628,000","-87,000","-36,225","-159,000","10,000","39,696","169,392","-127,122","-268,189",NA,"5,000",NA,"-879,000","5,614,000","-3,413,000","-23,274,000","94,700","13,886,000","-940,000","-106,600",NA,NA,"-300,000","-95,700",NA,"-3,203,000",NA,NA,NA,NA,NA,NA,"24,184","1,371,000",NA,"-21,859,000",NA,"551,000",NA,NA
Foreign Exchange Rate Adj.,272619,"(39,000)",NA,NA,NA,NA,"3,000",NA,NA,NA,NA,NA,"25,657.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,935,000.00",NA,-300.00,NA,NA,"1,000.00","-24,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.00,-500.00,NA,NA,NA,NA,NA,NA,"-4,000.00","-10,600.00","-2,946.00","-11,000.00",NA,"15,959.00",-200.00,NA,NA,NA,NA,NA,NA,NA,NA,975.00,NA,NA,"11,000.00",NA,"-49,000.00",NA,NA,NA,NA,NA,NA,571.00,NA,"8,000.00",NA,NA,918.00,"19,000.00",344.00,NA,NA,"2,000.00","3,000.00",NA,NA,NA,NA,NA,"29,000.00","13,000.00",NA,NA,NA,NA,NA,"3,200.00",NA,NA,NA,NA,NA,NA,NA,"18,000.00",NA,"1,361.00",NA,NA,NA,194.00,"9,055.00",NA,NA,NA,NA,NA,"170,000.00","-8,000.00",NA,NA,"-224,000.00",NA,"-5,900.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,071.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"434,000","(11,800)",NA,NA,NA,"43,000","(3,051,000)","9,000","-47,045.00",NA,"7,300.00","34,828.00","-199,000.00",NA,NA,NA,NA,"664,208.00","52,000.00",NA,NA,"9,767.00",0.00,"102,000.00",NA,NA,"-207,000.00","-27,051,000.00",NA,"-27,300.00",-242.00,"-10,000.00","264,000.00","392,000.00","-310,000.00",NA,NA,NA,"-1,519,000.00",NA,NA,"-1,641,000.00",NA,NA,"29,000.00",0.00,-973.00,"-18,000.00",NA,"3,297.00","-68,400.00","-48,000.00",NA,NA,"-3,601.00",NA,NA,"4,264,000.00","40,000.00","4,682.00","-389,000.00",NA,"-123,401.00","-169,600.00",NA,NA,"171,000.00",NA,NA,NA,NA,"295,000.00","394,077.00",NA,NA,"74,000.00","-424,000.00","13,000.00",NA,368.00,"-1,932,000.00","-372,000.00","31,134.00",NA,"-21,655.00",NA,"-2,083,000.00",NA,"396,000.00","-56,257.00","-312,000.00","-288,279.00","3,747.00","490,000.00","30,000.00","45,000.00",NA,"4,000.00",NA,"889,000.00",NA,"-3,635,000.00","212,000.00",NA,"-326,000.00","571,000.00","3,128.00",NA,"17,300.00",100.00,800.00,NA,"1,000.00",NA,"-114,385.00","-501,000.00","-514,000.00","43,000.00","15,617.00","-622,000.00","799,000.00","129,853.00","139,282.00","82,220.00","-211,748.00",NA,"1,000.00",NA,"37,000.00","-411,000.00","-3,561,000.00","-10,323,000.00","24,000.00","41,604,000.00","-280,000.00","-22,700.00",NA,NA,"-164,000.00","-14,800.00",NA,"2,438,000.00",NA,NA,NA,NA,NA,NA,"-72,348.00","-3,000.00",NA,"-2,013,000.00",NA,"298,000.00",NA,250.38
Capital Expenditure,272592,"(377,000)","(383,800)","(436,400)",NA,NA,"(760,000)","(48,000)","(921,000)",NA,NA,"-270,800.00","-16,991.00","-73,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-309.00,"-416,000.00","-1,136,000.00",NA,NA,"-4,000.00","-1,491,000.00",NA,"-63,000.00","-14,184.00","-679,000.00",NA,"-388,000.00","-554,000.00",NA,NA,NA,"-82,000.00",NA,NA,"-2,631,000.00",NA,NA,"-623,000.00","-224,000.00","-49,132.00","-203,000.00",NA,NA,"-163,000.00","-1,804,000.00",NA,NA,NA,NA,NA,"-1,949,000.00","-21,000.00","-1,959.00","-70,000.00",NA,"-168,807.00","-58,900.00",NA,NA,"-130,000.00",NA,NA,NA,NA,"-196,000.00","-25,062.00","-144,000.00",NA,"-87,000.00","-327,000.00","-253,000.00",NA,-195.00,"-344,000.00","-207,000.00",NA,NA,"-55,721.00",NA,"-526,000.00",NA,"-381,000.00","-59,618.00","-53,000.00","-9,153.00",-481.00,NA,"-51,000.00","-59,000.00",NA,"-520,000.00",NA,"-304,000.00",NA,"-2,435,000.00","-122,000.00",NA,"-2,392,000.00","-886,000.00","-16,225.00",NA,"-111,800.00","-55,500.00","-262,500.00",NA,"-263,000.00",NA,NA,"-796,000.00","-526,000.00","-7,000.00","-69,797.00","-1,386,000.00","-933,000.00","-189,096.00","-219,611.00","-142,404.00","-35,776.00",NA,"-317,000.00",NA,"-62,000.00","-354,000.00","-296,000.00","-239,000.00","-86,000.00","-666,000.00","-685,000.00","-40,800.00",NA,NA,"-17,000.00","-27,200.00",NA,"-4,112,000.00",NA,NA,NA,NA,NA,NA,"-283,956.00","-1,865,000.00",NA,NA,NA,"-14,000.00",NA,NA
Change in Net Working Capital,272627,"68,000","101,000","5,900",NA,NA,NA,"(511,000)","(195,000)","-77,961.00",NA,"81,400.00","294,226.00","178,000.00",NA,NA,NA,NA,"-58,963.00","-1,337,000.00",NA,NA,"-9,010.00","-63,000.00","-227,000.00",NA,"48,000.00","-44,000.00",NA,NA,"509,600.00","4,521.00","298,000.00","2,938,000.00","379,000.00","256,000.00",NA,NA,NA,NA,NA,NA,"282,000.00","101,481.00","454,000.00","365,000.00","-2,000.00","13,220.00","-82,000.00",NA,"-1,164.00","54,100.00","123,000.00",NA,NA,"-24,105.00",NA,NA,"234,000.00","24,500.00","-28,939.00","679,000.00",NA,"-91,885.00","49,300.00",NA,"-4,695.00","404,000.00",NA,NA,NA,NA,"-5,000.00",NA,"20,000.00",NA,"308,000.00","363,000.00","-451,000.00",NA,"42,569.00","429,000.00","490,000.00","40,487.00",NA,"155,089.00",NA,"667,100.00",NA,"-423,000.00","77,596.00","317,000.00","-7,705.00","-16,044.00",NA,"28,000.00","-280,000.00",NA,"-125,000.00",NA,"-110,000.00",NA,"1,789,000.00","94,000.00",NA,"987,000.00","-304,000.00","-96,946.00",NA,"-37,800.00","-25,200.00","-41,300.00",NA,"308,000.00",NA,NA,"-508,232.00","142,000.00","-35,000.00","-21,939.00","444,000.00","-525,000.00","-226,234.00","-55,802.00","292,348.00","-3,268.00",NA,"47,000.00",NA,"-4,536,000.00",NA,"-2,280,000.00",NA,"-3,600.00",NA,"-209,000.00","55,796.00",NA,NA,"25,000.00","235,300.00",NA,"-1,718,000.00",NA,NA,NA,NA,NA,NA,"11,629.00","400,000.00",NA,NA,NA,"-108,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"769,625","(253,588)","(189,775)",NA,NA,NA,"2,535,000","(111,000)","252,804.25",NA,"-143,787.50","-15,798.63","-46,750.00",NA,NA,NA,NA,"442,915.00","1,213,250.00",NA,NA,"36,189.75","-173,500.00","-325,625.00",NA,NA,"498,375.00",NA,NA,"-95,725.00",-861.38,"78,375.00","-2,280,875.00","-191,250.00","525,500.00",NA,NA,NA,NA,NA,NA,"-1,771,750.00",NA,NA,"-376,000.00","60,500.00","-22,899.88","37,250.00",NA,"105,404.75","83,062.50","-615,000.00",NA,NA,"107,690.88",NA,NA,"801,125.00","279,062.50","16,057.38","-160,500.00",NA,"814,934.38","153,450.00",NA,NA,"419,250.00",NA,NA,NA,NA,"22,500.00",NA,"-76,250.00",NA,"284,625.00","-317,750.00","871,000.00",NA,"2,112.25","2,506,625.00","-349,000.00","33,901.25",NA,-379.63,NA,"1,262,650.00",NA,"350,375.00","-66,408.75","111,875.00","234,617.63","61,122.50",NA,"70,000.00","402,125.00",NA,"315,125.00",NA,"816,500.00",NA,"203,000.00","259,875.00",NA,"-1,666,250.00","-189,250.00","166,637.38",NA,"119,700.00","-2,850.00","-119,300.00",NA,"-18,000.00",NA,NA,"558,232.00","1,442,250.00","144,000.00","65,801.75","-678,000.00","455,875.00","137,524.88","4,149.13","206,472.50","47,121.50",NA,"-137,750.00",NA,"3,645,625.00",NA,"2,428,500.00",NA,"-58,262.50",NA,"960,375.00","73,554.00",NA,NA,"66,000.00","105,562.50",NA,"6,243,625.00",NA,NA,NA,NA,NA,NA,"-140,419.38","-1,426,000.00",NA,NA,NA,"417,500.00",NA,NA
Levered Free Cash Flow,272625,"679,625","(288,775)","(221,463)",NA,NA,NA,"2,380,625","(189,750)","234,091.75",NA,"-185,600.00","-19,058.00","-100,500.00",NA,NA,NA,NA,"353,869.38","1,188,875.00",NA,NA,"31,864.00","-201,625.00","-430,000.00",NA,NA,"490,250.00",NA,NA,"-158,787.50","-2,465.25","14,000.00","-2,364,625.00","-241,875.00","399,875.00",NA,NA,NA,NA,NA,NA,"-2,018,625.00",NA,NA,"-430,375.00","28,000.00","-28,405.50","10,375.00",NA,"87,810.38","45,125.00","-881,875.00",NA,NA,"96,844.00",NA,NA,"609,875.00","258,375.00","12,716.75","-251,125.00",NA,"707,246.88","124,325.00",NA,NA,"323,625.00",NA,NA,NA,NA,"-26,250.00",NA,"-91,875.00",NA,"177,125.00","-365,875.00","859,125.00",NA,"2,112.25","2,338,500.00","-372,250.00","18,009.00",NA,"-37,514.00",NA,"1,056,400.00",NA,"297,250.00","-75,760.63","72,500.00","206,744.00","53,285.25",NA,"13,125.00","354,625.00",NA,"208,875.00",NA,"724,625.00",NA,"-332,000.00","245,500.00",NA,"-2,011,875.00","-273,000.00","155,224.88",NA,"100,075.00","-10,725.00","-136,050.00",NA,"-33,625.00",NA,NA,"383,107.00","1,209,750.00","129,250.00","42,448.00","-883,000.00","418,375.00","114,334.88","-39,192.75","128,826.25","38,599.63",NA,"-176,500.00",NA,"3,584,375.00",NA,"2,040,375.00",NA,"-63,825.00",NA,"881,000.00","64,366.50",NA,NA,"62,250.00","75,000.00",NA,"5,440,500.00",NA,NA,NA,NA,NA,NA,"-143,318.13","-1,539,750.00",NA,NA,NA,"373,750.00",NA,"-2,660.30"
