SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,055,000","429,500","441,600",NA,NA,"1,880,000","4,763,000","1,991,000","397,703",NA,"987,700","8,736,428","1,450,000",NA,NA,NA,NA,"791,063","1,284,000",NA,NA,"167,068","1,717,000","2,779,000",NA,"559,500","2,241,000","19,727,000",NA,"2,904,300","187,044","7,565,000","4,244,000","3,178,000","3,706,000",NA,NA,NA,"2,624,000",NA,NA,"3,883,000","2,079,023","7,276,000","1,510,000","975,000","164,541","709,000",NA,"169,411","1,302,000","5,563,000",NA,NA,"177,057",NA,NA,"41,474,000","1,460,700","325,036","4,707,000",NA,"2,292,447","1,001,000",NA,"196,289","13,798,000",NA,NA,NA,NA,"383,000","1,283,492","449,000","877,300","3,353,000","3,715,000","4,288,000",NA,"487,357","23,659,000","5,565,000","120,254",NA,"2,584,659",NA,"5,898,000",NA,"920,000","760,103","2,171,000","592,218","82,388","336,000","906,000","1,805,000",NA,"3,132,000",NA,"9,301,000",NA,"11,445,000","2,331,000",NA,"6,209,000","1,484,000","900,100",NA,"2,196,500","319,100","417,000",NA,"1,541,000",NA,"517,070","2,886,000","17,214,000","1,996,000","84,554","3,950,000","5,706,000","914,879","1,603,304","19,126,830","171,572","928,000","552,000",NA,"13,786,000","4,388,000","17,921,000","5,213,000","237,800","12,395,000","44,600,000","1,148,800",NA,NA,"1,246,000","3,036,100",NA,"32,912,000",NA,NA,NA,NA,NA,NA,"575,056","2,384,000",NA,"19,522,000",NA,"1,881,000",NA,NA
Gross Profit,271473,"2,326,000","258,200.00","407,700",NA,NA,"1,880,000","3,329,000","798,000","214,759.00",NA,"383,100.00","1,113,822.00","669,000.00",NA,NA,NA,NA,"492,173.00","19,000.00",NA,NA,"113,172.00","500,000.00","1,000,000.00",NA,"172,000.00","307,000.00","19,727,000.00",NA,"720,300.00","52,219.00","435,000.00","331,000.00","1,003,000.00","1,840,000.00",NA,NA,NA,"2,485,000.00",NA,NA,"1,988,000.00","750,492.00","3,291,000.00","651,000.00","342,000.00","68,414.00","318,000.00",NA,"155,256.00","721,600.00","2,321,000.00",NA,NA,"134,875.00",NA,NA,"4,627,000.00","848,200.00","165,981.00","1,891,000.00",NA,"1,344,694.00","524,200.00",NA,"97,363.00","2,787,000.00",NA,NA,NA,NA,"356,000.00","1,020,682.00","223,000.00","411,400.00","1,744,000.00","1,575,000.00","611,000.00",NA,"100,852.00","8,050,000.00","2,334,000.00","120,254.00",NA,"227,665.00",NA,"3,314,000.00",NA,"364,000.00","203,686.00","1,052,000.00","483,571.00","70,688.00","336,000.00","224,000.00","487,000.00",NA,"1,448,000.00",NA,"1,985,000.00",NA,"8,408,000.00","597,000.00",NA,"2,097,000.00","524,000.00","194,244.00",NA,"486,000.00","131,400.00","96,000.00",NA,"1,154,000.00",NA,"517,070.00","1,192,000.00","3,569,000.00","226,000.00","-59,167.00","1,551,000.00","983,000.00","282,522.00","343,179.00","3,486,284.00","95,906.00","632,000.00","287,000.00",NA,"1,451,000.00","4,388,000.00","2,428,000.00","5,067,000.00","62,600.00","10,524,000.00","9,648,000.00","396,100.00",NA,NA,"316,000.00","1,047,600.00",NA,"19,408,000.00",NA,NA,NA,NA,NA,NA,"157,275.00","1,136,000.00",NA,"19,522,000.00",NA,"369,000.00",NA,NA
Earnings from Cont. Ops.,271505,"667,000","47,600.0","162,700",NA,NA,"320,000","1,787,000","265,000","137,699.00",NA,"112,500.00","275,325.00","155,000.00",NA,NA,NA,NA,"107,490.00","-497,000.00",NA,NA,"11,479.00","212,000.00","325,000.00",NA,"155,700.00","225,000.00","4,652,000.00",NA,"-77,500.00","20,464.00","102,000.00","-453,000.00","191,000.00","974,000.00",NA,NA,NA,"955,000.0",NA,NA,"700,000.00","228,574.00","970,000.00","205,000.00","106,000.00","24,183.00","100,000.00",NA,"57,657.00","113,500.00","669,000.00",NA,NA,"60,775.00",NA,NA,"1,663,000.00","173,600.00","-41,182.00","383,000.00",NA,"-4,420.00","-21,700.00",NA,"-22,627.00","469,000.00",NA,NA,NA,NA,"112,000.00","129,324.00","20,000.00","181,900.0","467,000.00","14,000.00","-250,000.00",NA,"26,962.00","2,333,000.00","286,000.00","79,592.00",NA,"-80,546.00",NA,"1,802,000.00",NA,"249,000.00","46,016.00","279,000.00","238,728.00","34,183.00","111,000.00","-72,000.00","-102,000.00",NA,"466,000.00",NA,"842,000.00",NA,"1,548,000.00","382,000.00",NA,"626,000.00","-120,000.00","30,173.00",NA,"113,600.00","76,900.00","-2,300.00",NA,"454,000.00",NA,"89,949.00","-48,000.00","1,481,000.00","74,000.00","-134,546.00","399,000.00","-159,000.00","134,696.00","47,650.00","465,568.00","27,545.00","46,000.0","79,000.00",NA,"-321,000.00","982,000.00","-425,000.00","1,603,000.00","9,600.00","3,234,000.00","666,000.00","106,900.00",NA,NA,"131,000.00","358,300.00",NA,"5,018,000.00",NA,NA,NA,NA,NA,NA,"-38,564.00","355,000.00",NA,"4,880,000.00",NA,"151,000.00",NA,303.8
Net Income,271510,"976,000","47,600.00","162,700",NA,NA,"319,000","1,787,000","264,000","137,699.00",NA,"112,500.00","273,750.00","155,000.00",NA,NA,NA,NA,"88,830.00","-499,000.00",NA,NA,"11,479.00","212,000.00","325,000.00",NA,"155,700.00","225,000.00","4,606,000.00",NA,"-77,500.00","20,464.00","96,000.00","-459,000.00","176,000.00","974,000.00",NA,NA,NA,"955,000.00",NA,NA,"981,000.00","228,574.00","804,000.00","205,000.00","106,000.00","24,183.00","100,000.00",NA,"57,657.00","112,400.00","669,000.00",NA,NA,"57,394.00",NA,NA,"1,757,000.00","173,600.00","-41,262.00","189,000.00",NA,"-11,041.00","-22,100.00",NA,"-22,745.00","469,000.00",NA,NA,NA,NA,"112,000.00","135,635.00","20,000.00","181,700.00","467,000.00","14,000.00","-250,000.00",NA,"26,962.00","2,333,000.00","286,000.00","79,592.00",NA,"-80,540.00",NA,"1,802,000.00",NA,"249,000.00","46,016.00","278,000.00","238,728.00","34,484.00","111,000.00","7,000.00","-102,000.00",NA,"466,000.00",NA,"842,000.00",NA,"1,548,000.00","383,000.00",NA,"626,000.00","-120,000.00","30,173.00",NA,"113,400.00","76,900.00","-2,300.00",NA,"454,000.00",NA,"91,249.00","-48,000.00","1,426,000.00","73,000.00","-134,545.00","399,000.00","-159,000.00","134,696.00","45,911.00","465,568.00","27,545.00","48,000.00","79,000.00",NA,"-320,000.00","982,000.00","-414,000.00","1,603,000.00","9,600.00","3,234,000.00","664,000.00","106,900.00",NA,NA,"131,000.00","358,300.00",NA,"4,909,000.00",NA,NA,NA,NA,NA,NA,"-21,564.00","355,000.00",NA,"4,991,000.00",NA,"151,000.00",NA,303.76
EBIT,271530,"942,000","108,500.00","237,700",NA,NA,NA,"2,898,000","415,000","84,187.00",NA,"206,400.00","422,440.00","280,000.00",NA,NA,NA,NA,"230,099.00","-615,000.00",NA,NA,"12,529.00","312,000.00","537,000.00",NA,"119,700.00","282,000.00",NA,NA,"401,900.00","28,266.00","50,000.00","-316,000.00","296,000.00","1,445,000.00",NA,NA,NA,NA,NA,NA,"1,313,000.00","327,433.00","1,675,000.00","341,000.00","168,000.00","35,729.00","148,000.00",NA,"90,550.00","205,400.00","1,105,000.00",NA,NA,"84,965.00",NA,NA,"1,956,000.00","240,400.00","-24,892.00","676,000.00",NA,"402,968.00","28,500.00",NA,"10,212.00","980,000.00",NA,NA,NA,NA,"211,000.00",NA,"43,000.00","310,900.00","576,000.00","82,000.00","-87,000.00",NA,"28,087.00","3,302,000.00","436,000.00","105,964.00",NA,"-70,840.00",NA,"2,661,000.00",NA,"94,000.00","63,560.00","444,000.00","314,602.00","47,113.00",NA,"26,000.00","15,000.00",NA,"1,127,000.00",NA,"1,079,000.00",NA,"2,789,000.00","369,000.00",NA,"1,051,000.00","192,000.00","56,234.00",NA,"161,100.00","104,300.00","21,200.00",NA,"638,000.00",NA,NA,"272,000.00","2,131,000.00","134,000.00","-119,313.00","730,000.00","-284,000.00","190,091.00","211,388.00","740,136.00","47,659.00","484,000.00","131,000.00",NA,"-293,000.00",NA,"532,000.00",NA,"17,900.00",NA,"1,528,000.00","137,100.00",NA,NA,"174,000.00","499,400.00",NA,"7,597,000.00",NA,NA,NA,NA,NA,NA,"-56,638.00","604,000.00",NA,NA,NA,"228,000.00",NA,NA
EBIT / Interest Expense (x),274483,7.66,1.91,5.26,NA,NA,NA,12.71,3.27,2.35,NA,3.16,4.40,3.15,NA,NA,NA,NA,1.72,NM,NA,NA,1.52,7.43,3.58,NA,1.85,20.14,NA,NA,4.10,11.60,0.47,NM,3.90,7.19,NA,NA,NA,NA,NA,NA,2.74,9.57,2.33,2.97,3.23,4.39,4.11,NA,2.85,3.57,2.68,NA,NA,4.99,NA,NA,6.27,7.49,NM,4.66,NA,3.39,0.62,NA,0.27,6.85,NA,NA,NA,NA,2.85,NA,1.65,7.97,25.04,1.21,NM,NA,NA,13.48,9.28,4.24,NA,NM,NA,8.06,NA,1.12,4.84,7.05,6.81,3.36,NA,0.31,0.22,NA,6.44,NA,8.36,NA,3.54,16.77,NA,2.02,1.55,3.04,NA,5.69,7.90,0.84,NA,23.63,NA,NA,0.78,6.29,4.96,NM,2.43,NM,4.92,2.73,5.96,4.54,4.65,2.22,NA,NM,NA,0.82,NA,2.16,NA,8.63,9.72,NA,NA,24.86,10.38,NA,6.29,NA,NA,NA,NA,NA,NA,NM,3.34,NA,NA,NA,3.46,NA,NA
Avg. Days Sales Out.,274485,68,50,35,NA,NA,NA,33,45,10,NA,30,120,13,NA,NA,NA,NA,163,NA,NA,NA,61,50,47,NA,9,102,NA,NA,26,70,28,16,48,33,NA,NA,NA,NA,NA,NA,53,65,50,16,9,9,9,NA,30,61,35,NA,NA,82,NA,NA,23,61,53,69,NA,41,89,NA,48,30,NA,NA,NA,NA,29,NA,54,53,39,NA,45,NA,4,NA,5,NA,NA,109,NA,32,NA,46,121,102,99,116,NA,74,62,NA,26,NA,76,NA,48,45,NA,104,49,20,NA,14,47,24,NA,19,NA,NA,14,114,48,63,51,4,33,54,24,69,NA,43,NA,64,NA,60,NA,32,NA,5,28,NA,NA,28,NA,NA,66,NA,NA,NA,NA,NA,NA,54,53,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,5,7,10,NA,NA,NA,11,8,35,NA,12,3,29,NA,NA,NA,NA,2,NA,NA,NA,6,7,8,NA,39,4,NA,NA,14,5,13,23,7,11,NA,NA,NA,NA,NA,NA,7,6,7,23,39,42,39,NA,12,6,10,NA,NA,4,NA,NA,16,6,7,5,NA,9,4,NA,8,12,NA,NA,NA,NA,12,NA,7,7,9,NA,8,NA,83,NA,81,NA,NA,3,NA,11,NA,8,3,4,4,3,NA,5,6,NA,14,NA,5,NA,8,8,NA,3,7,18,NA,26,8,15,NA,19,NA,NA,26,3,8,5,7,91,11,7,15,5,NA,8,NA,6,NA,6,NA,11,NA,96,14,NA,NA,13,NA,NA,5,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,2,0,0,NA,NA,NA,12,0,0,NA,0,48,3,NA,NA,NA,NA,0,NA,NA,NA,13,1,0,NA,1,45,NA,NA,4,1,2,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,4,10,6,8,NA,4,9,NA,0,14,NA,NA,NA,NA,0,NA,0,0,4,2,4,NA,50,4,3,NA,NA,5,NA,1,NA,0,4,6,13,0,NA,5,4,NA,0,NA,4,NA,4,2,NA,0,0,7,NA,8,0,0,NA,1,NA,NA,0,4,27,0,0,1,1,1,15,0,NA,0,NA,50,NA,6,NA,1,NA,6,7,NA,NA,87,26,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,1,0,0,NA,NA,NA,1,0,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,1,1,0,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,1,NA,0,0,NA,0,1,NA,NA,NA,NA,0,0,0,0,0,1,1,NA,1,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,0,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,2,0,0,NA,0,NA,0,0,0,1,0,0,1,0,1,3,0,NA,0,NA,1,NA,1,0,0,0,4,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,275,000","136,700","299,300",NA,NA,"1,432,000","2,984,000","496,000","200,467",NA,"164,300","223,804","66,000",NA,NA,NA,NA,"234,010","-500,000",NA,NA,"28,141","1,531,000","1,713,000",NA,"215,900","250,000","-30,485,000",NA,"263,700","38,714","-1,000,000","301,000","-49,000","1,251,000",NA,NA,NA,"1,791,000",NA,NA,"2,097,000","241,284","1,483,000","326,000","352,000","28,534","88,000",NA,"121,530","150,900","484,000",NA,NA,"70,318",NA,NA,"2,800,000","174,400","-85,862","468,000",NA,"599,526","88,800",NA,"-144,270","-16,000",NA,NA,NA,NA,"127,000","-1,818,848","74,000","341,800","71,000","-460,000","104,000",NA,"77,600","2,977,000","248,000","19,970",NA,"-86,371",NA,"2,420,000",NA,"272,000","8,083","-8,000","264,141","31,048","145,000","311,000","-77,000",NA,"1,173,000",NA,"-702,000",NA,"6,394,000","-164,000",NA,"1,262,000","339,000",-950,NA,"124,200","192,100","74,000",NA,"596,000",NA,"1,181,267","1,310,000","-863,000","118,000","-107,143","-20,000","706,000","-228,612","-185,742","158,606","-32,839","744,000","151,000",NA,"601,000","1,792,000","-318,000","9,777,000","-13,500","9,404,000","1,102,000","-68,900",NA,NA,"-77,000","150,600",NA,"8,289,000",NA,NA,NA,NA,NA,NA,"39,637","1,948,000",NA,"7,406,000",NA,"126,000",NA,243
Cash from Investing,272601,"-386,000","-443,000","-733,600",NA,NA,"-382,000","-56,000","-964,000","-72,912",NA,"-284,800","-9,247","-88,000",NA,NA,NA,NA,"-285,592","-1,325,000",NA,NA,"-5,371","-423,000","-1,155,000",NA,"54,500","-362,000","-3,073,000",NA,"-123,400","-15,985","219,000","-1,477,000","-228,000","-480,000",NA,NA,NA,"-1,229,000",NA,NA,"-2,302,000","-43,556","-3,209,000","-619,000","-147,000","-26,830","-397,000",NA,"-61,510","-162,600","-1,871,000",NA,NA,"-104,128",NA,NA,"-1,977,000","-24,800","-2,719","-266,000",NA,"-4,206,793","-55,600",NA,"-94,096","-435,000",NA,NA,NA,NA,"-254,000","-36,093","-137,000","-156,400","-105,000","-217,000","-218,000",NA,"-4,855","-310,000","-194,000",NA,NA,"-89,486",NA,"-741,000",NA,"-371,000","-25,293","-53,000","-21,762","-27,521","1,848,000","-86,000","-68,000",NA,"-391,000",NA,"-309,000",NA,"-29,436,000","24,000",NA,"-2,140,000","-644,000","-23,577",NA,"-89,100","-46,100","-292,100",NA,"-598,000",NA,"-590,573","-234,000","-579,000","-6,000","-54,697","-1,305,000","-1,577,000","-198,586","835,665","-174,835","48,231","-118,000","-254,000",NA,"-796,000","-17,752,000","-1,823,000","11,029,000","-91,800","-1,978,000","-723,000","-21,900",NA,NA,"-23,000","-40,500",NA,"-6,110,000",NA,NA,NA,NA,NA,NA,"-270,857","-1,519,000",NA,"-7,955,000",NA,"-69,000",NA,NA
Cash from Financing,272618,"-716,000","316,100","434,300",NA,NA,"3,323,000","-3,045,000","489,000","63,300",NA,"113,200","-210,957","-1,306,000",NA,NA,NA,NA,"279,052","1,395,000",NA,NA,"-35,647","-1,107,000","-519,000",NA,"-237,700","-197,000","15,766,000",NA,"-154,400","-23,557","607,000","1,065,000","-248,000","-1,438,000",NA,NA,NA,"704,000",NA,NA,"1,820,000","-306,565","1,747,000","251,000","-225,000","-3,260","319,000",NA,"-71,486","-43,300","1,380,000",NA,NA,"-39,609",NA,NA,"-3,874,000","-187,100","16,462","673,000",NA,"3,610,829","-156,600",NA,"28,601","-925,000",NA,NA,NA,NA,"125,000","-281,638","63,000","-227,800","-303,000","-264,000","-41,000",NA,"-61,777","-386,000","-1,094,000","-29,339",NA,"-53,442",NA,"-558,000",NA,"-108,000","59,396","-263,000","-158,293","-9,516","-4,022,000","-175,000","128,000",NA,"-686,000",NA,"929,000",NA,"12,310,000","-216,000",NA,"1,314,000","-311,000","32,463",NA,"-41,600","-146,100","217,900",NA,"-2,000",NA,"-407,982","-1,784,000","1,096,000","-162,000","94,177","1,249,000","-262,000","438,474","-714,823","-400,352","241,671","-28,000","97,000",NA,"121,000","14,413,000","-1,680,000","-10,096,000","95,000","-20,544,000","-818,000","74,400",NA,NA,"200,000","-106,200",NA,"-2,383,000",NA,NA,NA,NA,NA,NA,"144,211","-431,000",NA,"-2,177,000",NA,"-841,000",NA,NA
Foreign Exchange Rate Adj.,272619,"-4,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,039.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-274,000.00",NA,"-1,800.00",NA,NA,"2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,395.00,NA,NA,NA,NA,NA,NA,-8.00,"2,300.00",NA,NA,NA,NA,NA,NA,"70,000.00","1,100.00",298.00,"8,000.00",NA,"18,584.00","-3,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,682.00",NA,800.00,"6,000.00",NA,"-111,000.00",NA,NA,NA,NA,NA,NA,267.00,NA,"3,000.00",NA,NA,"4,492.00","21,000.00","2,958.00",NA,NA,"-10,000.00","-1,000.00",NA,NA,NA,NA,NA,"-203,000.00","14,000.00",NA,NA,NA,NA,NA,"4,900.00",NA,NA,NA,NA,NA,NA,NA,"1,000.00",NA,36.00,NA,NA,NA,104.00,"-11,369.00",NA,NA,NA,NA,NA,"41,000.00","10,000.00",NA,NA,"620,000.00",NA,"2,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,930.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"169,000","9,800.00",NA,NA,NA,"4,373,000","-117,000","21,000","190,855.00",NA,"-7,300.00","28,639.00","-1,328,000.00",NA,NA,NA,NA,"227,470.00","-430,000.00",NA,NA,"-12,877.00","1,000.00","39,000.00",NA,"32,700.00","-309,000.00","-18,066,000.00",NA,"-15,900.00",-828.00,"-174,000.00","-109,000.00","-525,000.00","-667,000.00",NA,NA,NA,"1,266,000.00",NA,NA,"1,615,000.00","-108,442.00","21,000.00","-42,000.00","-20,000.00","-1,556.00","10,000.00",NA,"-11,474.00","-52,700.00","-7,000.00",NA,NA,"-73,419.00",NA,NA,"-2,981,000.00","-36,400.00","-71,821.00","883,000.00",NA,"22,146.00","-126,900.00",NA,"-209,765.00","-1,376,000.00",NA,NA,NA,NA,"-2,000.00","-2,134,897.00",NA,"-41,600.00","-331,000.00","-941,000.00","-266,000.00",NA,"10,968.00","2,281,000.00","-1,040,000.00","-9,369.00",NA,"-229,032.00",NA,"1,124,000.00",NA,"-207,000.00","46,678.00","-303,000.00","87,044.00","-5,989.00","-2,029,000.00","40,000.00","-18,000.00",NA,"96,000.00",NA,"-82,000.00",NA,"-10,935,000.00","-342,000.00",NA,"49,000.00","-616,000.00","7,936.00",NA,"-1,600.00",-100.00,-200.00,NA,"-4,000.00",NA,"182,712.00","-708,000.00","-345,000.00","-50,000.00","-67,627.00","-76,000.00","-1,133,000.00","11,276.00","-40,993.00","-427,950.00","257,063.00","598,000.00","-6,000.00",NA,"-74,000.00","-1,506,000.00","-3,811,000.00","10,710,000.00","-10,300.00","-12,498,000.00","-439,000.00","-14,200.00",NA,NA,"100,000.00","3,900.00",NA,"-204,000.00",NA,NA,NA,NA,NA,NA,"-88,939.00","-2,000.00",NA,"-2,726,000.00",NA,"-784,000.00",NA,243.01
Capital Expenditure,272592,"-475,000","-450,400.00","-439,700",NA,NA,"-741,000","-55,000","-951,000",NA,NA,"-287,400.00","-20,114.00","-88,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-199.00,"-391,000.00","-1,123,000.00",NA,"-134,700.00","-4,000.00","-1,634,000.00",NA,"-125,400.00","-16,200.00","-677,000.00",NA,"-382,000.00","-443,000.00",NA,NA,NA,"-76,000.00",NA,NA,"-2,231,000.00","-48,375.00","-3,146,000.00","-609,000.00","-226,000.00","-50,699.00","-232,000.00",NA,NA,"-158,300.00","-1,881,000.00",NA,NA,NA,NA,NA,"-1,780,000.00","-24,800.00","-2,610.00","-143,000.00",NA,"-162,195.00","-53,200.00",NA,"-1,272.00","-192,000.00",NA,NA,NA,NA,"-249,000.00","-25,152.00","-127,000.00","-151,900.00","-62,000.00","-221,000.00","-213,000.00",NA,-76.00,"-343,000.00","-171,000.00",NA,NA,"-63,346.00",NA,"-503,000.00",NA,"-382,000.00","-30,125.00","-54,000.00","-6,225.00",-986.00,NA,"-19,000.00","-83,000.00",NA,"-428,000.00",NA,"-309,000.00",NA,"-1,719,000.00","-158,000.00",NA,"-2,288,000.00","-643,000.00","-20,266.00",NA,"-94,400.00","-43,900.00","-146,800.00",NA,"-196,000.00",NA,NA,"-252,000.00","-520,000.00","-5,000.00","-54,697.00","-1,324,000.00","-1,052,000.00","-192,097.00","-219,124.00","-167,260.00","-21,672.00","-130,000.00","-254,000.00",NA,"-79,000.00","-261,000.00","-468,000.00","-159,000.00","-88,800.00","-597,000.00","-745,000.00","-29,300.00",NA,NA,"-17,000.00","-29,100.00",NA,"-5,958,000.00",NA,NA,NA,NA,NA,NA,"-270,857.00","-1,483,000.00",NA,NA,NA,"-21,000.00",NA,NA
Change in Net Working Capital,272627,"242,000","-30,800.00","312,900",NA,NA,NA,"-698,000","181,000","-58,682.00",NA,"200,500.00","-17,710.00","114,000.00",NA,NA,NA,NA,"131,118.00","17,061,000.00",NA,NA,"8,875.00","-1,072,000.00","-956,000.00",NA,"-58,900.00","26,000.00",NA,NA,"95,700.00","-6,522.00","433,000.00","-2,731,000.00","313,000.00","65,000.00",NA,NA,NA,NA,NA,NA,"-177,000.00",-800.00,"867,000.00","-96,000.00","36,000.00","1,134.00","357,000.00",NA,"-3,753.00","136,800.00","1,076,000.00",NA,NA,"44,729.00",NA,NA,"2,972,000.00","73,400.00","49,428.00","-757,000.00",NA,"-236,863.00","-55,600.00",NA,"55,584.00","311,000.00",NA,NA,NA,NA,"50,000.00",NA,"-2,000.00","-80,000.00","446,000.00","709,000.00","-3,000.00",NA,"-41,392.00","71,000.00","58,000.00","24,359.00",NA,"139,131.00",NA,"-39,100.00",NA,"252,000.00","88,971.00","458,000.00","43,811.00","-10,663.00",NA,"-503,000.00","53,000.00",NA,"-550,000.00",NA,"1,219,000.00",NA,"-2,907,000.00","554,000.00",NA,"883,000.00","-50,000.00","71,940.00",NA,"57,100.00","-97,000.00","-6,200.00",NA,"361,000.00",NA,NA,"-986,126.00","2,567,000.00","-32,000.00","-6,449.00","1,325,000.00","-869,000.00","508,394.00","-700,015.00","472,125.00","59,937.00",NA,"1,016,000.00",NA,"1,435,000.00",NA,"734,000.00",NA,"-10,100.00",NA,"601,000.00","172,346.00",NA,NA,"-14,000.00","-90,600.00",NA,"3,603,000.00",NA,NA,NA,NA,NA,NA,"108,298.00","-465,000.00",NA,NA,NA,"179,000.00",NA,"8,297.59"
Unlevered Free Cash Flow,272626,"478,750","-240,787.50","-508,838",NA,NA,NA,"2,506,250","-495,625","229,839.88",NA,"-215,900.00","327,797.00","38,000.00",NA,NA,NA,NA,"245,517.88","-17,445,375.00",NA,NA,"23,608.63","994,000.00","487,625.00",NA,"47,712.50","197,250.00",NA,NA,"146,087.50","31,669.25","-482,750.00","2,638,500.00","-117,000.00","801,125.00",NA,NA,NA,NA,NA,NA,"-430,375.00","247,248.63","-1,622,125.00","-105,875.00","1,000.00","-2,714.38","-405,500.00",NA,"105,783.75","25,175.00","-1,406,375.00",NA,NA,"53,667.13",NA,NA,"-1,804,500.00","191,550.00","-61,274.50","1,217,500.00",NA,"852,675.00","205,412.50",NA,"6,388.50","485,500.00",NA,NA,NA,NA,"-86,125.00",NA,"-43,125.00","222,912.50","16,000.00","-660,750.00","492,625.00",NA,"62,455.38","2,202,750.00","172,500.00","45,968.50",NA,"-89,046.00",NA,"1,739,225.00",NA,"-333,250.00","-55,013.00","-81,500.00","188,236.25","59,143.63",NA,"612,250.00","-34,625.00",NA,"1,158,375.00",NA,"-536,625.00",NA,"5,147,125.00","-342,375.00",NA,"-1,320,125.00","-194,000.00","-16,307.75",NA,"25,687.50","140,287.50","-66,250.00",NA,"38,750.00",NA,NA,"1,290,126.00","-775,125.00","160,750.00","-104,084.63","-1,519,750.00","4,500.00","-504,079.13","728,964.50","66,890.00","1,683.88",NA,"-1,084,125.00",NA,"-1,520,125.00",NA,"362,500.00",NA,"-48,112.50",NA,"742,000.00","-82,458.50",NA,NA,"148,750.00","400,425.00",NA,"-1,092,875.00",NA,NA,NA,NA,NA,NA,"-269,234.75","-148,500.00",NA,NA,NA,"76,500.00",NA,NA
