SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,612,000","398,500","365,400",NA,NA,"2,185,000","5,086,000","1,483,000","338,092",NA,"807,200","9,016,077","2,718,000",NA,NA,NA,NA,"727,756","2,015,000",NA,NA,"158,305","1,275,000",NA,NA,"364,800","3,323,000","16,810,000",NA,"2,739,500","132,489","5,532,000","6,839,000","3,676,000","3,427,000",NA,NA,NA,"2,673,000",NA,"9,309,000","3,880,000","1,989,235",NA,"1,044,000","785,000","142,844","441,000",NA,"151,656","1,253,200",NA,NA,NA,"121,544",NA,NA,"37,678,000","1,374,800","604,228","4,589,000",NA,"2,193,981","2,013,400","196,109","805,676","16,675,000",NA,NA,NA,NA,"331,000","1,702,322","417,000","747,800","3,391,000","6,141,000","4,555,000",NA,"801,076","20,311,000","7,037,000","82,166",NA,"1,809,367",NA,"6,009,100",NA,"821,000","724,285","2,320,000","549,842","70,396","515,000","2,034,000","2,805,000",NA,"2,852,000",NA,"8,639,000",NA,"11,227,000","2,131,000",NA,"5,246,000","1,265,000","1,147,479",NA,"2,005,200","211,400","350,000",NA,"1,705,000",NA,"58,413","982,247","17,044,000","1,717,000","350,936","3,322,000","5,051,000","451,214","1,084,427","16,136,893","137,470",NA,"695,000",NA,"13,011,000","4,032,000","14,793,000","4,708,000","158,900","12,295,000","30,737,000","960,655",NA,NA,"1,232,000","2,979,100",NA,"34,067,000",NA,NA,NA,NA,NA,NA,"595,782","1,923,000",NA,"21,226,000",NA,"2,206,000",NA,NA
Gross Profit,271473,"3,915,000","249,700","331,900",NA,NA,"2,185,000","3,262,000","607,000","187,009.00",NA,"298,600.00","1,196,378.00","1,661,000.00",NA,NA,NA,NA,"463,907.00","750,000.00",NA,NA,"108,093.00","356,000.00",NA,NA,"83,400.00","1,887,000.00","16,810,000.00",NA,"721,700.00","41,721.00","851,000.00","2,331,000.00","1,351,000.00","1,746,000.00",NA,NA,NA,"2,548,000.00",NA,"4,087,000.00","1,900,000.00","723,442.00",NA,"513,000.00","329,000.00","44,542.00","226,000.00",NA,"138,723.00","727,600.00",NA,NA,NA,"88,630.00",NA,NA,"3,964,000.00","796,800.00","302,423.00","1,862,000.00",NA,"1,264,184.00","869,600.00","135,742.00","296,127.00","3,265,000.00",NA,NA,NA,NA,"305,000.00","1,590,451.00","201,000.00","394,700.00","1,776,000.00","2,141,000.00","544,000.00",NA,"213,471.00","6,466,000.00","2,239,000.00","82,166.00",NA,"250,059.00",NA,"3,261,000.00",NA,"293,000.00","195,569.00","1,184,000.00","453,939.00","66,277.00","515,000.00","528,000.00","911,000.00",NA,"1,453,000.00",NA,"1,551,000.00",NA,"9,105,000.00","565,000.00",NA,"1,616,000.00","554,000.00","227,024.00",NA,"414,300.00","74,700.00","86,300.00",NA,"1,314,000.00",NA,"58,413.00","-128,127.00","3,428,000.00","200,000.00","121,191.00","4,326,000.00","1,029,000.00","206,964.00","237,308.00","2,915,778.00","58,895.00",NA,"287,000.00",NA,"3,327,000.00","4,032,000.00","-1,843,000.00","4,578,000.00","51,800.00","10,675,000.00","7,934,000.00","289,386.00",NA,NA,"220,000.00","753,400.00",NA,"19,071,000.00",NA,NA,NA,NA,NA,NA,"195,669.00","1,039,000.00",NA,"21,226,000.00",NA,"705,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,340,000","64,400","146,000",NA,NA,"658,000","1,624,000","126,000","61,323.0",NA,"73,800.0","371,488.0","557,000.0",NA,NA,NA,NA,"226,564.0","64,000.0",NA,NA,"-2,884.0","87,000.0",NA,NA,"43,300.0","1,470,000.0","3,179,000.0",NA,"309,900.0","14,646.0","39,000.0","3,739,000.0","496,000.0","934,000.0",NA,NA,NA,"1,067,000.0",NA,"304,000.0","823,000.0","362,785.0",NA,"107,000.0","85,000.0","9,042.0","16,000.0",NA,"44,557.0","123,000.0",NA,NA,NA,"117,008.0",NA,NA,"12,273,000.0","167,900.0","19,804.0","576,000.0",NA,"217,178.0","84,800.0","16,610.0","111,349.0","3,099,000.0",NA,NA,NA,NA,"99,000.0","338,693.0","103,000.0","595,100.0","843,000.0","343,000.0","-740,000.0",NA,"111,303.0","978,000.0","160,000.0","94,349.0",NA,"76,395.0",NA,"1,638,800.0",NA,"155,000.0","34,568.0","402,000.0","193,865.0","6,505.0","-11,000.0","63,000.0","146,000.0",NA,"760,000.0",NA,"2,710,000.0",NA,"4,032,000.0","228,000.0",NA,"563,000.0","162,000.0","61,020.0",NA,"91,100.0","36,300.0","4,500.0",NA,"534,000.0",NA,"187,839.0","-1,356,968.0","771,000.0","61,000.0","-27,219.0","484,000.0","68,000.0","84,551.0","71,177.0","151,093.0","25,121.0",NA,"84,000.0",NA,"1,112,000.0","869,000.0","-4,164,000.0","1,580,000.0","6,800.0","3,935,000.0","-76,000.0","60,108.0",NA,NA,"69,000.0","159,700.0",NA,"4,737,000.0",NA,NA,NA,NA,NA,NA,"14,477.0","368,000.0",NA,"6,399,000.0",NA,"416,000.0",NA,53.9
Net Income,271510,"1,339,000","64,400","146,000",NA,NA,"652,000","1,624,000","125,000","61,323.00",NA,"73,800.00","371,208.00","860,000.00",NA,NA,NA,NA,"208,360.00","63,000.00",NA,NA,"-2,884.00","87,000.00",NA,NA,"43,300.00","1,470,000.00","3,173,000.00",NA,"309,500.00","14,646.00","42,000.00","3,122,000.00","487,000.00","934,000.00",NA,NA,NA,"1,067,000.00",NA,"304,000.00","1,341,000.00","362,785.00",NA,"107,000.00","85,000.00","9,042.00","16,000.00",NA,"44,557.00","122,100.00",NA,NA,NA,"116,934.00",NA,NA,"12,282,000.00","165,000.00","19,646.00","564,000.00",NA,"208,453.00","82,200.00","16,610.00","113,800.00","3,099,000.00",NA,NA,NA,NA,"99,000.00","331,862.00","103,000.00","594,500.00","843,000.00","343,000.00","-740,000.00",NA,"111,303.00","978,000.00","160,000.00","94,349.00",NA,"76,644.00",NA,"1,638,800.00",NA,"155,000.00","34,568.00","401,000.00","193,865.00","6,477.00","-11,000.00","64,000.00","146,000.00",NA,"760,000.00",NA,"2,710,000.00",NA,"4,032,000.00","227,000.00",NA,"563,000.00","162,000.00","61,020.00",NA,"86,800.00","36,300.00","4,500.00",NA,"534,000.00",NA,"182,931.00","-1,356,968.00","686,000.00","62,000.00","-27,219.00","484,000.00","68,000.00","84,551.00","69,943.00","151,093.00","25,121.00",NA,"84,000.00",NA,"817,000.00","863,000.00","-4,143,000.00","1,580,000.00","6,800.00","3,935,000.00","-77,000.00","60,108.00",NA,NA,"69,000.00","159,700.00",NA,"4,613,000.00",NA,NA,NA,NA,NA,NA,"7,357.00","368,000.00",NA,"5,750,000.00",NA,"416,000.00",NA,53.93
EBIT,271530,"1,691,000","114,900","193,400",NA,NA,NA,"2,872,000","231,000","74,044.00",NA,"126,300.00","494,364.00","1,123,000.00",NA,NA,NA,NA,"254,478.00","89,000.00",NA,NA,"4,062.00","156,000.00",NA,NA,"44,600.00","1,860,000.00",NA,NA,"401,900.00","18,038.00","-1,491,000.00","1,734,000.00","588,000.00","1,386,000.00",NA,NA,NA,NA,NA,"1,127,000.00","811,000.00","287,590.00",NA,"214,000.00","160,000.00","17,249.00","59,000.00",NA,"59,943.00","252,400.00",NA,NA,NA,"46,262.00",NA,NA,"4,435,000.00","218,100.00","53,320.00","726,000.00",NA,"480,276.00","203,700.00","41,725.00","209,549.00","1,134,000.00",NA,NA,NA,NA,"181,000.00",NA,"142,000.00","298,000.00","781,000.00","320,000.00","-114,000.00",NA,"143,064.00","2,769,000.00","291,000.00","67,130.00",NA,"82,912.00",NA,"2,419,500.00",NA,"-10,000.00","53,512.00","596,000.00","288,061.00","42,996.00",NA,"292,000.00","307,000.00",NA,"1,155,000.00",NA,"3,465,000.00",NA,"4,637,000.00","295,000.00",NA,"845,000.00","220,000.00","94,692.00",NA,"159,900.00","53,000.00","28,300.00",NA,"757,000.00",NA,NA,"-987,847.00","1,479,000.00","111,000.00","33,815.00","590,000.00","80,000.00","117,540.00","110,223.00","841,448.00","-17,650.00",NA,"115,000.00",NA,"1,524,000.00",NA,"-3,377,000.00",NA,"14,700.00",NA,"4,000.00","74,260.00",NA,NA,"98,000.00","242,300.00",NA,"8,065,000.00",NA,NA,NA,NA,NA,NA,"29,104.00","601,000.00",NA,NA,NA,"544,000.00",NA,-14.16
EBIT / Interest Expense (x),274483,14.33,2.61,5.27,NA,NA,NA,9.09,2.48,2.62,NA,2.37,40.23,9.77,NA,NA,NA,NA,2.46,2.23,NA,NA,0.43,NA,NA,NA,2.07,132.86,NA,NA,4.07,6.91,NM,18.45,8.06,7.70,NA,NA,NA,NA,NA,35.22,2.16,10.89,NA,2.68,3.33,2.65,2.03,NA,1.95,6.56,NA,NA,NA,4.41,NA,NA,10.29,8.66,11.10,121.00,NA,5.85,4.80,1.79,6.38,18.59,NA,NA,NA,NA,2.83,NA,6.17,7.66,6.56,4.57,NM,NA,NA,13.19,3.42,4.22,NA,5.91,NA,8.19,NA,NM,6.22,10.84,7.14,3.50,NA,4.56,5.20,NA,7.00,NA,26.05,NA,6.65,10.54,NA,2.48,2.04,5.67,NA,14.28,5.70,1.56,NA,13.28,NA,NA,NM,4.59,4.11,0.86,2.98,0.70,4.47,2.90,1.91,NM,NA,3.11,NA,18.14,NA,NM,NA,2.41,NA,0.04,10.61,NA,NA,19.60,4.79,NA,10.91,NA,NA,NA,NA,NA,NA,5.27,4.49,NA,NA,NA,7.07,NA,NM
Avg. Days Sales Out.,274485,51.1,49.5,31.0,NA,NA,NA,NA,49.1,12,NA,34,102,7,NA,NA,NA,NA,169,NM,NA,NA,58,34,NA,NA,10,103,NA,NA,27,62,NA,14,52,33,NA,NA,NA,NA,NA,NA,48,63,NA,19,11,5,21,NA,52,52,NA,NA,NA,78,NA,NA,20,58,38,NA,NA,39,73,71,10,29,NA,NA,NA,NA,34,NA,65,33,31,NA,42,NA,6,NA,3,NA,NA,111,NA,29,NA,61,115,91,97,151,NA,41,52,NA,24,NA,76,NA,41,45,NA,109,53,19,NA,11,46,18,NA,16,NA,NA,36,112,53,17,68,3,41,65,21,67,NA,37,NA,66,NA,73,NA,35,NA,5,27,NA,NA,24,NA,NA,64,NA,NA,NA,NA,NA,NA,33,57,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.20,7.43,11.87,NA,NA,NA,NA,7.50,31,NA,11,4,49,NA,NA,NA,NA,2,0,NA,NA,6,11,NA,NA,35,4,NA,NA,13,6,NA,26,7,11,NA,NA,NA,NA,NA,NA,8,6,NA,19,35,76,17,NA,7,7,NA,NA,NA,5,NA,NA,18,6,10,NA,NA,9,5,5,38,13,NA,NA,NA,NA,11,NA,6,11,12,NA,9,NA,60,NA,118,NA,NA,3,NA,13,NA,6,3,4,4,2,NA,9,7,NA,15,NA,5,NA,9,8,NA,3,7,20,NA,34,8,20,NA,23,NA,NA,10,3,7,23,5,112,9,6,18,6,NA,10,NA,6,NA,5,NA,10,NA,73,14,NA,NA,15,NA,NA,6,NA,NA,NA,NA,NA,NA,11,6,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.37,0.15,0.12,NA,NA,NA,13.25,0.21,0,NA,0,44,3,NA,NA,NA,NA,0,NA,NA,NA,12,1,NA,NA,1,64,NA,NA,4,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,NA,0,0,0,0,NA,0,4,NA,NA,NA,0,NA,NA,4,10,9,NA,NA,5,19,0,0,18,NA,NA,NA,NA,0,NA,0,0,4,3,4,NA,160,4,3,NA,NA,5,NA,1,NA,0,4,7,10,0,NA,7,7,NA,0,NA,4,NA,6,2,NA,0,0,10,NA,8,0,0,NA,1,NA,NA,0,4,20,1,0,1,0,1,13,0,NA,0,NA,47,NA,5,NA,0,NA,4,7,NA,NA,52,24,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.72,0.14,0.12,NA,NA,NA,0.51,0.17,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,0,1,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,1,0,2,NA,NA,0,1,0,0,2,NA,NA,NA,NA,0,0,0,0,0,2,1,NA,1,2,2,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,2,0,0,NA,0,NA,0,0,0,1,1,0,1,0,0,3,0,NA,0,NA,0,NA,0,0,0,0,3,1,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"2,005,000","142,000","249,300",NA,NA,"959,000","2,663,000","469,000","97,007",NA,"-78,900","27,893","1,333,000",NA,NA,NA,NA,"346,368","102,000",NA,NA,"21,777","140,000",NA,NA,"68,500","463,000","-12,095,000",NA,"398,100","14,349","-2,312,000","429,000","1,023,000","1,280,000",NA,NA,NA,"1,342,000",NA,"2,626,000","502,000","327,279",NA,"101,000","38,000","6,939","218,000",NA,"70,501","385,300",NA,NA,NA,"70,552",NA,NA,"3,531,000","274,600","87,025","-11,000",NA,"753,215","132,300","113,998","-243,558","2,848,000",NA,NA,NA,NA,"193,000","1,495,745","140,000","105,700","941,000","428,000","606,000",NA,"-79,387","-436,000","405,000","-356,661",NA,"293,977",NA,"2,666,500",NA,"329,000","62,646","703,000","279,664","53,358","168,000","252,000","394,000",NA,"942,000",NA,"1,442,000",NA,"4,842,000","335,000",NA,"228,000","260,000","104,713",NA,"140,300","-30,100","-21,300",NA,"734,000",NA,"3,570,367","-205,046","3,117,000","53,000","-28,902","452,000","247,000","-5,821","59,862","424,058","70,535",NA,"169,000",NA,"871,000","3,129,000","716,000","5,639,000","48,900","30,274,000","918,000","78,334",NA,NA,"234,000","480,100",NA,"8,377,000",NA,NA,NA,NA,NA,NA,"169,841","257,000",NA,"4,817,000",NA,"494,000",NA,"9,335"
Cash from Investing,272601,"115,000","(240,500)","(310,200)",NA,NA,"(9,523,000)","1,254,000","(882,000)","-542,004",NA,"-88,700","-20,377","-36,000",NA,NA,NA,NA,"-41,588","-2,573,000",NA,NA,"-21,571","-440,000",NA,NA,"-45,200","-166,000","1,323,000",NA,"-58,400","-26,906","643,000","1,077,000","-616,000","-414,000",NA,NA,NA,"-3,391,000",NA,"-234,000","360,000","-706,111",NA,"-623,000","-151,000","-60,243","-297,000",NA,"41,339","-1,957,900",NA,NA,NA,"-125,221",NA,NA,"-2,263,000","-1,432,000","-4,417","-1,532,000",NA,"-997,952","-35,500","-142,523","-75,444","-400,000",NA,NA,NA,NA,"-202,000","-153,199","-106,000","-123,900","560,000","-67,000","-147,000",NA,-562,"758,000","-11,000",NA,NA,"-640,477",NA,"-1,122,700",NA,"-636,000","-28,599","-217,000","-49,834","21,919","1,560,000","-114,000","-88,000",NA,"-375,000",NA,"-741,000",NA,"-3,911,000","-135,000",NA,"-2,227,000","-351,000","-231,018",NA,"-138,300","-38,400","-52,500",NA,"143,000",NA,"-500,790","-584,505","-1,225,000","-2,000","-19,635","-1,498,000","-183,000","-178,649","-1,721,219","-182,925","-117,789",NA,"-454,000",NA,"221,000","19,931,000","1,935,000","-21,693,000","-49,300","-13,938,000","-766,000","-57,761",NA,NA,"10,000","-434,800",NA,"-10,135,000",NA,NA,NA,NA,NA,NA,"-182,435","-1,045,000",NA,"-31,402,000",NA,"-217,000",NA,NA
Cash from Financing,272618,"(2,412,000)","85,000","60,900",NA,NA,"2,695,000","(2,361,000)","423,000","434,770",NA,"172,600","11,076","-119,000",NA,NA,NA,NA,"-885,543","2,837,000",NA,NA,"-12,644","314,000",NA,NA,"-54,000","-243,000","-50,594,000",NA,"-346,000","-1,307","226,000","-1,906,000","-462,000","-806,000",NA,NA,NA,"633,000",NA,"-2,849,000","-721,000","24,918",NA,"527,000","105,000","50,642","76,000",NA,"28,595","-224,700",NA,NA,NA,"52,429",NA,NA,"-8,078,000","1,137,100","-15,119","1,401,000",NA,"-95,176","-236,300","66,130","87,070","-1,588,000",NA,NA,NA,NA,"10,000","418,446","36,000","-111,300","-1,132,000","-29,000","1,039,000",NA,"83,746","-3,887,000","-264,000","329,721",NA,"467,478",NA,"-1,098,000",NA,"-2,000","-24,294","-250,000","-91,744","-85,987","-1,461,000","-18,000","-343,000",NA,"-1,193,000",NA,"-1,226,000",NA,"6,798,000","-165,000",NA,"1,900,000","-622,000","204,272",NA,"193,500","79,500","71,500",NA,"-896,000",NA,"-3,102,558","202,018","-1,530,000","-62,000","-460,347","841,000","-564,000","100,403","1,697,402","-2,138,496","-26,687",NA,"273,000",NA,"-1,175,000","-24,127,000","-4,362,000","49,291,000","-15,000","38,247,000","-645,000","-152,482",NA,NA,"-8,000","-92,000",NA,"-5,192,000",NA,NA,NA,NA,NA,NA,"-7,202","775,000",NA,"-5,872,000",NA,"-724,000",NA,"-9,066"
Foreign Exchange Rate Adj.,272619,"(22,000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-12,330.00","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-409,000.00",NA,"4,800.00",NA,NA,"-1,000.00","-9,000.00",NA,NA,NA,NA,NA,NA,NA,NA,274.00,NA,NA,NA,NA,NA,NA,-109.00,"-3,500.00",NA,NA,NA,NA,NA,NA,"-77,000.00","1,200.00","1,325.00","-11,000.00",NA,"-5,678.00","-22,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"-5,091.00",NA,"-1,200.00","-4,000.00",NA,"-10,000.00",NA,NA,"6,000.00",NA,NA,NA,-166.00,NA,"-42,400.00",NA,NA,-497.00,"-15,000.00","-1,301.00",NA,NA,"-6,000.00","-3,000.00",NA,NA,NA,NA,NA,"48,000.00","4,000.00",NA,NA,NA,NA,NA,"-3,700.00",NA,NA,NA,NA,NA,NA,-23.00,"-11,000.00",NA,"7,342.00",NA,NA,NA,-38.00,"9,431.00",NA,NA,NA,NA,NA,"-3,000.00","-5,000.00",NA,NA,"-5,377,000.00",NA,"2,191.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,599.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"(314,000)","(13,500)",NA,NA,NA,"(5,869,000)","1,556,000","10,000","-10,227.00",NA,"5,000.00","6,262.00","1,183,000.00",NA,NA,NA,NA,"-580,763.00","366,000.00",NA,NA,"-12,438.00","14,000.00",NA,NA,"-30,700.00","54,000.00","-61,775,000.00",NA,"-1,500.00","-13,864.00","-1,443,000.00","35,000.00","-64,000.00","60,000.00",NA,NA,NA,"-1,416,000.00",NA,"-457,000.00","141,000.00","-353,640.00",NA,"5,000.00","-8,000.00","-2,662.00","-3,000.00",NA,"140,326.00","-1,800,800.00",NA,NA,NA,"-2,240.00",NA,NA,"-6,887,000.00","-19,100.00","68,814.00","-153,000.00",NA,"-345,591.00","-162,000.00","37,605.00","-231,932.00","860,000.00",NA,NA,NA,NA,"1,000.00","1,755,901.00","70,000.00","-130,700.00","365,000.00","332,000.00","1,489,000.00",NA,"3,797.00","-3,559,000.00","130,000.00","-26,940.00",NA,"120,812.00",NA,"403,400.00",NA,"-309,000.00","9,256.00","221,000.00","136,785.00","-10,710.00","267,000.00","114,000.00","-40,000.00",NA,"-626,000.00",NA,"-525,000.00",NA,"7,777,000.00","39,000.00",NA,"-104,000.00","-713,000.00","77,967.00",NA,"191,800.00","11,000.00","-2,300.00",NA,"-19,000.00",NA,"-32,981.00","-587,556.00","351,000.00","-11,000.00","-501,542.00","-205,000.00","-500,000.00","-84,067.00","36,007.00","-1,887,932.00","-73,941.00",NA,"-12,000.00",NA,"-83,000.00","-1,070,000.00","-1,716,000.00","33,237,000.00","-15,400.00","49,206,000.00","-493,000.00","-129,718.00",NA,NA,"236,000.00","-46,700.00",NA,"-6,950,000.00",NA,NA,NA,NA,NA,NA,"-21,395.00","-13,000.00",NA,"-32,457,000.00",NA,"-447,000.00",NA,269.63
Capital Expenditure,272592,"(556,000)","(290,900)","(371,900)",NA,NA,"(889,000)","(67,000)","(891,000)",NA,NA,"-255,200.00","-20,766.00","-28,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-1,313.00","-519,000.00",NA,NA,"-39,700.00","-3,000.00","-1,308,000.00",NA,"-109,700.00","-27,397.00","-243,000.00",NA,"-623,000.00","-571,000.00",NA,NA,NA,"-48,000.00",NA,"-225,000.00","-1,832,000.00","-50,308.00",NA,"-607,000.00","-234,000.00","-42,336.00","-233,000.00",NA,NA,"-136,100.00",NA,NA,NA,NA,NA,NA,"-1,772,000.00","-22,000.00","-3,554.00","-72,000.00",NA,"-142,471.00","-34,600.00","-19,108.00",-591.00,"-172,000.00",NA,NA,NA,NA,"-208,000.00","-49,607.00","-94,000.00","-119,100.00","-98,000.00","-70,000.00","-152,000.00",NA,-88.00,"-619,000.00","-48,000.00",NA,NA,"-37,718.00",NA,"-687,200.00",NA,"-646,000.00","-40,161.00","-68,000.00","-12,902.00",64.00,NA,"-38,000.00","-108,000.00",NA,"-445,000.00",NA,"-733,000.00",NA,"-717,000.00","-173,000.00",NA,"-2,221,000.00","-356,000.00","-20,649.00",NA,"-93,600.00","-35,700.00","-112,500.00",NA,"-240,000.00",NA,NA,"-575,433.00","-954,000.00","-14,000.00","-19,635.00","-1,557,000.00","-183,000.00","-186,585.00","-208,889.00","-219,509.00","-51,257.00",NA,"-454,000.00",NA,"-59,000.00","-374,000.00","-222,000.00","-313,000.00","-46,000.00","-1,119,000.00","-803,000.00","-56,051.00",NA,NA,"-11,000.00","-27,900.00",NA,"-6,425,000.00",NA,NA,NA,NA,NA,NA,"-171,569.00","-1,097,000.00",NA,NA,NA,"-16,000.00",NA,NA
Change in Net Working Capital,272627,"(111,000)","(129,000)","(261,900)",NA,NA,NA,"(1,991,000)","(274,000)","63,006.00",NA,"101,100.00","432,866.00","-253,000.00",NA,NA,NA,NA,"-44,714.00","-592,000.00",NA,NA,-784.00,"-216,000.00","-940,000.00",NA,"-46,400.00","-85,000.00",NA,NA,"-170,100.00","11,545.00",NA,"-6,166,000.00","-422,000.00","-92,000.00",NA,NA,NA,NA,NA,NA,"-1,076,000.00","22,737.00","180,000.00","187,000.00","122,000.00","38,955.00","-45,000.00",NA,"19,084.00","-48,800.00","-1,509,000.00",NA,NA,"-15,560.00",NA,NA,"-3,370,000.00","55,400.00","-40,149.00",NA,NA,"-74,092.00","107,500.00","-16,683.00","123,165.00","198,000.00",NA,NA,NA,NA,"-56,000.00",NA,"-66,000.00","901,200.00","-470,000.00","217,000.00","-377,000.00",NA,"206,327.00","1,654,000.00","109,000.00","15,453.00",NA,"68,700.00",NA,"530,600.00",NA,"2,000.00",-272.00,"-180,000.00","-98,146.00","36,824.00",NA,"-19,000.00","-66,000.00",NA,"37,000.00",NA,"-404,000.00",NA,"-279,000.00","-111,000.00",NA,"-216,000.00","31,000.00","10,859.00",NA,"15,800.00","51,700.00","7,700.00",NA,"-293,000.00",NA,NA,"-744,810.00","-1,527,000.00","29,000.00","51,984.00","-314,000.00","177,000.00","128,917.00","87,435.00","244,893.00","18,157.00",NA,"-37,000.00",NA,"-7,130,000.00",NA,"-4,509,000.00",NA,"42,600.00",NA,"-485,000.00","-10,802.00",NA,NA,"-13,000.00","-320,400.00",NA,"-2,234,000.00",NA,NA,NA,NA,NA,NA,"-25,507.00","421,000.00",NA,NA,NA,"463,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"1,165,875","9,813","89,175",NA,NA,NA,"3,813,000","(130,625)","83,910.50",NA,"-137,762.50","-89,964.50","1,290,875.00",NA,NA,NA,NA,"387,350.75","670,625.00",NA,NA,"32,686.75","-35,500.00",NA,NA,"68,275.00","1,300,500.00",NA,NA,"431,187.50","-28,631.25",NA,"7,328,750.00","618,500.00","782,250.00",NA,NA,NA,NA,NA,NA,"502,875.00","184,643.75",NA,"-392,250.00","-91,000.00","-49,692.38","-66,125.00",NA,"62,281.38","215,250.00",NA,NA,NA,"82,507.75",NA,NA,"5,604,875.00","185,112.50","77,602.00",NA,NA,"716,897.50","332,912.50","96,849.13","59,518.13","608,750.00",NA,NA,NA,NA,"34,125.00",NA,"123,750.00","-737,950.00","1,064,125.00","145,000.00","982,750.00",NA,"-113,252.00","-53,375.00","239,875.00","29,429.25",NA,"58,706.00",NA,"817,287.50",NA,"-366,250.00","17,950.00","632,500.00","305,674.13","10,651.50",NA,"283,500.00","245,875.00",NA,"545,875.00",NA,"2,190,625.00",NA,"3,654,125.00","263,375.00",NA,"-482,875.00","27,500.00","61,764.50",NA,"64,137.50","-35,275.00","-54,912.50",NA,"770,125.00",NA,NA,"-106,458.38","2,570,375.00","82,375.00","-10,051.63","-277,250.00","71,000.00","-175,374.50","-122,445.63","319,600.00","-43,541.25",NA,"-234,125.00",NA,"8,420,500.00",NA,"3,148,375.00",NA,"-60,612.50",NA,"608,500.00","33,318.50",NA,NA,"97,250.00","509,137.50",NA,"4,956,625.00",NA,NA,NA,NA,NA,NA,"-13,840.00","-730,375.00",NA,NA,NA,"-11,000.00",NA,-8.85
