SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,702,000","478,800","364,400",NA,NA,"1,991,000","5,374,000","1,659,000","361,876",NA,"773,600","9,460,842","1,704,000",NA,NA,NA,NA,"771,770","3,862,000",NA,NA,"162,873","796,000","1,944,000",NA,"582,500","820,000","18,234,000",NA,"3,058,900","87,769","5,465,000","6,390,000","3,615,000","3,815,000",NA,NA,NA,"2,664,000",NA,NA,"1,893,000","2,158,715","6,564,000","1,628,000","918,000","131,691","545,000",NA,"161,841","1,316,700","4,239,000",NA,NA,"248,260",NA,NA,"40,190,000","1,463,300","371,168","4,484,000",NA,"2,280,906","1,339,200","200,534","276,708","16,460,000",NA,NA,NA,NA,"367,000","1,338,070","445,000","845,500","3,554,000","4,447,000","4,579,000",NA,"723,069","27,570,000","5,844,000","85,200",NA,"2,301,792",NA,"5,718,400",NA,"897,000","770,787","2,140,000","551,806","60,172","437,000","1,997,000","2,534,000",NA,"3,250,000",NA,"8,801,000",NA,"10,360,000","2,601,000",NA,"5,118,000","1,314,000","1,475,693",NA,"2,073,000","105,600","442,900",NA,"1,632,000",NA,"1,226,696","2,184,242","16,314,000","1,836,000","509,491","3,996,000","6,728,000","377,942","1,146,120","16,320,203","163,872",NA,"821,000",NA,"12,219,000","4,207,000","16,681,000","5,056,000","188,700","11,197,000","31,682,000","1,249,478",NA,NA,"1,200,000","3,039,600",NA,"33,789,000",NA,NA,NA,NA,NA,NA,"614,385","2,175,000",NA,"16,460,000",NA,"2,973,000",NA,NA
Gross Profit,271473,"3,609,000","312,000","331,000",NA,NA,"1,991,000","3,666,000","754,000","196,180.00",NA,"309,600.00","1,236,214.00","828,000.00",NA,NA,NA,NA,"490,982.00","2,703,000.00",NA,NA,"110,252.00","242,000.00","852,000.00",NA,"239,300.00","-1,013,000.00","18,234,000.00",NA,"754,800.00","26,333.00","684,000.00","3,651,000.00","1,246,000.00","1,979,000.00",NA,NA,NA,"2,543,000.00",NA,NA,"866,000.00","782,320.00","3,036,000.00","722,000.00","377,000.00","37,341.00","263,000.00",NA,"148,249.00","774,600.00","1,870,000.00",NA,NA,"213,400.00",NA,NA,"5,631,000.00","833,500.00","191,349.00","1,796,000.00",NA,"1,318,607.00","736,900.00","137,064.00","139,780.00","3,303,000.00",NA,NA,NA,NA,"340,000.00","912,914.00","239,000.00","428,600.00","1,779,000.00","2,021,000.00","508,000.00",NA,"233,385.00","9,312,000.00","2,491,000.00","85,200.00",NA,"273,681.00",NA,"3,302,100.00",NA,"403,000.00","214,717.00","992,000.00","451,038.00","53,921.00","437,000.00","484,000.00","836,000.00",NA,"1,608,000.00",NA,"1,959,000.00",NA,"8,201,000.00","741,000.00",NA,"1,769,000.00","488,000.00","327,104.00",NA,"484,600.00","37,800.00","123,800.00",NA,"1,218,000.00",NA,"1,226,696.00","549,739.00","3,458,000.00","232,000.00","227,908.00","1,353,000.00","2,225,000.00","103,477.00","176,276.00","2,891,150.00","92,257.00",NA,"383,000.00",NA,"969,000.00","4,207,000.00","2,513,000.00","4,887,000.00","55,500.00","9,436,000.00","6,768,000.00","406,393.00",NA,NA,"272,000.00","996,500.00",NA,"19,369,000.00",NA,NA,NA,NA,NA,NA,"178,230.00","1,153,000.00",NA,"16,460,000.00",NA,"1,184,000.00",NA,NA
Earnings from Cont. Ops.,271505,"82,000","90,000","118,500",NA,NA,"482,000","891,000","209,000","74,555.0",NA,"90,200.0","371,495.0","215,000.0",NA,NA,NA,NA,"272,334.0","1,745,000.0",NA,NA,"5,545.0","27,000.0","190,000.0",NA,"339,300.0","-818,000.0","4,789,000.0",NA,"275,900.0","2,134.0","-113,000.0","2,674,000.0","584,000.0","1,178,000.0",NA,NA,NA,"1,103,000.0",NA,NA,"-1,057,000.0","289,618.0","898,000.0","261,000.0","149,000.0","4,321.0","56,000.0",NA,"40,909.0","201,400.0","465,000.0",NA,NA,"133,676.0",NA,NA,"638,000.0","173,000.0","-18,935.0","486,000.0",NA,"-665,051.0","140,500.0","14,422.0","21,432.0","947,000.0",NA,NA,NA,NA,"111,000.0","116,858.0","35,000.0","194,100.0","218,000.0","382,000.0","-690,000.0",NA,"123,376.0","3,018,000.0","345,000.0","14,749.0",NA,"16,255.0",NA,"1,188,000.0",NA,"204,000.0","29,087.0","229,000.0","210,587.0","22,195.0","180,000.0","37,000.0","199,000.0",NA,"819,000.0",NA,"946,000.0",NA,"-1,247,000.0","343,000.0",NA,"600,000.0","82,000.0","116,524.0",NA,"142,000.0","6,800.0","43,000.0",NA,"492,000.0",NA,"33,331.0","-521,582.0","1,338,000.0","82,000.0","50,772.0","327,000.0","760,000.0","-2,266.0","-6,081.0","167,441.0","-380,148.0",NA,"145,000.0",NA,"-1,022,000.0","864,000.0","160,000.0","1,793,000.0","7,300.0","2,927,000.0","469,000.0","131,125.0",NA,NA,"85,000.0","367,300.0",NA,"5,315,000.0",NA,NA,NA,NA,NA,NA,"-19,254.0","47,000.0",NA,"2,976,000.0",NA,"788,000.0",NA,125.6
Net Income,271510,"78,000","90,000","118,500",NA,NA,"482,000","891,000","207,000","74,555.00",NA,"90,200.00","370,334.00","374,000.00",NA,NA,NA,NA,"253,788.00","1,745,000.00",NA,NA,"5,545.00","27,000.00","190,000.00",NA,"339,300.00","-818,000.00","4,547,000.00",NA,"275,500.00","2,134.00","-111,000.00","2,594,000.00","563,000.00","1,178,000.00",NA,NA,NA,"1,103,000.00",NA,NA,"-453,000.00","289,618.00","907,000.00","261,000.00","149,000.00","4,321.00","56,000.00",NA,"40,909.00","200,600.00","465,000.00",NA,NA,"119,419.00",NA,NA,"667,000.00","173,000.00","-19,074.00","485,000.00",NA,"-672,999.00","142,000.00","14,422.00","21,564.00","947,000.00",NA,NA,NA,NA,"111,000.00","116,085.00","35,000.00","194,100.00","218,000.00","382,000.00","-690,000.00",NA,"123,376.00","3,018,000.00","345,000.00","14,749.00",NA,"16,212.00",NA,"1,188,000.00",NA,"204,000.00","29,087.00","228,000.00","210,587.00","21,673.00","180,000.00","41,000.00","199,000.00",NA,"819,000.00",NA,"946,000.00",NA,"-1,247,000.00","343,000.00",NA,"600,000.00","82,000.00","116,524.00",NA,"-4,600.00","6,800.00","43,000.00",NA,"492,000.00",NA,"19,149.00","-521,582.00","1,304,000.00","82,000.00","50,771.00","327,000.00","760,000.00","-2,266.00","-6,575.00","167,441.00","-380,148.00",NA,"145,000.00",NA,"-1,013,000.00","869,000.00","193,000.00","1,793,000.00","7,300.00","2,927,000.00","467,000.00","131,125.00",NA,NA,"85,000.00","367,300.00",NA,"5,199,000.00",NA,NA,NA,NA,NA,NA,"3,291.00","47,000.00",NA,"3,142,000.00",NA,"788,000.00",NA,125.59
EBIT,271530,"177,000","156,900","176,600",NA,NA,NA,"3,197,000","356,000","72,918.00",NA,"134,600.00","534,487.00","384,000.00",NA,NA,NA,NA,"274,901.00","2,211,000.00",NA,NA,"15,385.00","69,000.00","350,000.00",NA,"200,900.00","-1,040,000.00",NA,NA,"450,100.00","7,388.00","307,000.00","3,009,000.00","491,000.00","1,610,000.00",NA,NA,NA,NA,NA,NA,"401,000.00","361,159.00","1,431,000.00","376,000.00","203,000.00","10,450.00","88,000.00",NA,"86,308.00","304,600.00","694,000.00",NA,NA,"168,681.00",NA,NA,"3,318,000.00","248,500.00","-7,884.00","633,000.00",NA,"517,228.00","219,100.00","47,770.00","59,030.00","1,339,000.00",NA,NA,NA,NA,"205,000.00",NA,"54,000.00","325,300.00","604,000.00","570,000.00","-203,000.00",NA,"161,032.00","4,210,000.00","610,000.00","72,021.00",NA,"37,722.00",NA,"2,597,900.00",NA,"93,000.00","71,506.00","410,000.00","302,200.00","21,423.00",NA,"163,000.00","332,000.00",NA,"1,304,000.00",NA,"1,331,000.00",NA,"3,911,000.00","502,000.00",NA,"917,000.00","159,000.00","174,027.00",NA,"193,100.00","12,700.00","52,700.00",NA,"707,000.00",NA,NA,"-217,742.00","1,805,000.00","147,000.00","113,270.00","612,000.00","1,158,000.00","27,262.00","45,473.00","467,963.00","-490,201.00",NA,"210,000.00",NA,"-1,227,000.00",NA,"1,382,000.00",NA,"13,800.00",NA,"920,000.00","172,313.00",NA,NA,"126,000.00","486,600.00",NA,"7,751,000.00",NA,NA,NA,NA,NA,NA,"-21,405.00","645,000.00",NA,NA,NA,"1,037,000.00",NA,NA
EBIT / Interest Expense (x),274483,1.38,3.00,4.49,NA,NA,NA,11.46,2.83,2.10,NA,2.44,NM,3.96,NA,NA,NA,NA,2.64,65.03,NA,NA,1.70,2.30,3.18,NA,5.72,NM,NA,NA,4.73,1.57,5.48,23.69,6.82,9.42,NA,NA,NA,NA,NA,NA,2.89,13.38,2.43,4.18,4.51,1.62,2.93,NA,2.59,7.32,1.94,NA,NA,15.19,NA,NA,10.64,11.83,NM,28.77,NA,5.33,5.25,1.93,2.10,18.60,NA,NA,NA,NA,3.11,NA,2.35,8.09,3.45,9.19,NM,NA,NA,19.14,7.63,4.16,NA,1.95,NA,8.94,NA,1.12,8.65,6.95,7.36,1.97,NA,2.43,6.04,NA,7.67,NA,10.16,NA,5.76,19.31,NA,2.60,1.49,11.76,NA,12.96,1.27,2.47,NA,15.37,NA,NA,NM,5.64,5.65,3.49,2.62,14.12,0.95,0.86,1.93,NM,NA,5.25,NA,NM,NA,2.11,NA,2.03,NA,6.72,21.48,NA,NA,25.20,10.27,NA,9.87,NA,NA,NA,NA,NA,NA,NM,4.45,NA,NA,NA,15.95,NA,NA
Avg. Days Sales Out.,274485,50.9,47.7,36.8,NA,NA,NA,0.8,48.3,10,NA,32,103,12,NA,NA,NA,NA,164,NM,NA,NA,58,63,58,NA,9,109,NA,NA,27,110,31,32,47,33,NA,NA,NA,NA,NA,NA,106,62,53,14,8,5,15,NA,36,60,41,NA,NA,79,NA,NA,9,58,46,NA,NA,39,86,71,29,29,NA,NA,NA,NA,34,NA,59,54,33,NA,NA,NA,6,NA,3,NA,NA,94,NA,28,NA,50,107,95,97,199,NA,47,54,NA,25,NA,85,NA,39,48,NA,119,49,22,NA,12,88,18,NA,15,NA,NA,21,120,52,15,53,4,55,63,24,53,NA,33,NA,66,NA,65,NA,33,NA,5,29,NA,NA,24,NA,NA,66,NA,NA,NA,NA,NA,NA,55,53,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.16,7.63,9.88,NA,NA,NA,NM,7.53,35,NA,11,4,30,NA,NA,NA,NA,2,0,NA,NA,6,6,6,NA,42,3,NA,NA,14,3,12,11,8,11,NA,NA,NA,NA,NA,NA,3,6,7,26,44,71,24,NA,10,6,9,NA,NA,5,NA,NA,40,6,8,NA,NA,9,4,5,13,12,NA,NA,NA,NA,11,NA,6,7,11,NA,NA,NA,58,NA,106,NA,NA,4,NA,13,NA,7,3,4,4,2,NA,8,7,NA,15,NA,4,NA,9,8,NA,3,7,17,NA,30,4,20,NA,24,NA,NA,17,3,7,25,7,96,7,6,15,7,NA,11,NA,5,NA,6,NA,11,NA,65,12,NA,NA,15,NA,NA,6,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.41,0.18,0.12,NA,NA,NA,13.85,0.22,0,NA,0,59,1,NA,NA,NA,NA,0,NA,NA,NA,15,0,0,NA,2,16,NA,NA,5,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,9,0,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,4,14,6,NA,NA,5,13,0,0,18,NA,NA,NA,NA,0,NA,0,0,4,2,NA,NA,116,5,3,96,NA,5,NA,1,NA,0,4,6,11,0,NA,8,6,NA,0,NA,4,NA,5,3,NA,0,0,12,NA,7,0,0,NA,1,NA,NA,0,4,22,1,0,2,0,1,13,0,NA,0,NA,50,NA,6,NA,0,NA,4,9,NA,NA,37,27,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.76,0.15,0.11,NA,NA,NA,0.56,0.18,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,NA,NA,0,1,0,0,2,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,1,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,2,0,0,NA,0,NA,0,0,0,1,1,0,1,0,0,3,0,NA,0,NA,1,NA,0,0,0,0,3,1,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,127,000","211,100","224,400",NA,NA,"1,831,000","(514,000)","484,000","220,254",NA,"-86,600","-82,582","324,000",NA,NA,NA,NA,"397,149","159,000",NA,NA,"11,922","283,000","398,000",NA,"245,600","557,000","23,491,000",NA,"122,300","13,803","-126,000","538,000","758,000","1,231,000",NA,NA,NA,"1,612,000",NA,NA,"236,000","178,773","2,240,000","533,000","128,000","40,535","53,000",NA,"88,963","275,300",NA,NA,NA,"199,021",NA,NA,"2,947,000","294,400","-50,734",NA,NA,"568,133","13,100","103,145","5,533","508,000",NA,NA,NA,NA,"195,000","1,223,439","191,000","133,800","676,000","1,414,000","-236,000",NA,"-125,513","2,421,000","471,000","10,242",NA,"-129,977",NA,"618,100",NA,"765,000","23,012","10,000","212,689","56,768","139,000","84,000","-178,000",NA,"1,017,000",NA,"-197,000",NA,"-3,682,000","466,000",NA,"-29,000","676,000","97,335",NA,"-7,900","52,300","21,900",NA,"671,000",NA,"1,465,146","478,640","1,286,000","92,000","241,614","490,000","1,906,000","76,625","76,998","266,235","42,634",NA,"152,000",NA,"1,673,000","4,990,000","81,000","-7,943,000","60,300","45,394,000","867,000","132,907",NA,NA,"-89,000","458,800",NA,"10,844,000",NA,NA,NA,NA,NA,NA,"162,670","4,000",NA,"7,588,000",NA,"1,146,000",NA,0
Cash from Investing,272601,"(551,000)","(916,500)","(452,500)",NA,NA,"(3,750,000)","(116,000)","(772,000)","-440,747",NA,"-203,000","-16,601","-112,000",NA,NA,NA,NA,"-828,835","-2,500,000",NA,NA,"-4,547","-385,000","-992,000",NA,"167,400","-162,000","-21,994,000",NA,"-89,300",-942,"297,000","-1,209,000","-289,000","-651,000",NA,NA,NA,"-5,794,000",NA,NA,"-3,574,000","-68,890","-2,793,000","-515,000","-351,000","-50,877","-281,000",NA,"-178,685","-60,500",NA,NA,NA,"-204,895",NA,NA,"827,000","-20,800","-1,550",NA,NA,"-202,874","-188,700","-46,725","-74,314","-182,000",NA,NA,NA,NA,"-212,000","-127,091","-115,000","-112,000","-134,000","-130,000","-114,000",NA,"-1,082","-1,368,000","-70,000",NA,NA,"-118,660",NA,"-319,200",NA,"-399,000","-48,425","-116,000","-19,103","194,283","2,205,000","-91,000","-60,000",NA,"-379,000",NA,"-219,000",NA,"10,730,000","-252,000",NA,"-2,505,000","-517,000","-44,441",NA,"-68,700","-39,900","-94,200",NA,"-676,000",NA,"1,201,652","-1,084,406","-618,000","-252,000","-61,809","-1,467,000","-1,555,000","-142,694","-211,575","-152,217",801,NA,"-306,000",NA,"-1,119,000","9,306,000","3,266,000","2,390,000","-72,300","-38,488,000","-431,000","-25,555",NA,NA,"22,000","-321,900",NA,"-6,661,000",NA,NA,NA,NA,NA,NA,"-214,071","-1,072,000",NA,"-4,508,000",NA,"-346,000",NA,NA
Cash from Financing,272618,"(1,048,000)","695,200","228,100",NA,NA,"2,066,000","(2,141,000)","295,000","235,678",NA,"294,700","160,016","-461,000",NA,NA,NA,NA,"452,193","3,311,000",NA,NA,"-19,694","100,000","1,024,000",NA,"1,126,500","-284,000","12,091,000",NA,"-29,200","-13,827","-985,000","602,000","-803,000","-1,792,000",NA,NA,NA,"6,010,000",NA,NA,"3,151,000","120,469","172,000","33,000","230,000","4,645","228,000",NA,"-67,898","-179,300",NA,NA,NA,"96,462",NA,NA,"-4,579,000","-250,300","56,118",NA,NA,"-366,316","-242,400","-37,569","-62,115","757,000",NA,NA,NA,NA,"32,000","-972,759","67,000","-2,500","-577,000","-324,000","1,068,000",NA,"115,241","-2,907,000","-60,000","15,189",NA,"155,032",NA,"-686,700",NA,0,"41,840","13,000","-16,819","-244,919","-2,122,000","-8,000","208,000",NA,"-950,000",NA,"-589,000",NA,"-12,053,000","-144,000",NA,"2,504,000","-100,000","-39,715",NA,"35,500","-19,900","73,000",NA,0,NA,"-2,688,204","742,032","-1,882,000","22,000","-104,019","925,000","-215,000","-307,664","-274,076","-789,836","-6,965",NA,"145,000",NA,"-918,000","-14,538,000","-602,000","-27,979,000","39,000","14,456,000","-520,000","-30,857",NA,NA,"-32,000","-92,100",NA,"-4,082,000",NA,NA,NA,NA,NA,NA,"-4,894","1,090,000",NA,"-49,835,000",NA,"-274,000",NA,NA
Foreign Exchange Rate Adj.,272619,"(53,000)",NA,NA,NA,NA,"(3,000)",NA,NA,NA,NA,NA,"-78,028.00",0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,645,000.00",NA,"-3,100.00",NA,NA,"-2,000.00","-53,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-4,965.00",NA,NA,NA,NA,NA,NA,446.00,"-12,800.00",NA,NA,NA,NA,NA,NA,"-344,000.00","-24,700.00",-296.00,NA,NA,"-78,821.00","-11,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"-9,328.00",NA,"-1,400.00","-5,000.00",NA,"-10,000.00",NA,NA,"-3,000.00",NA,NA,NA,-599.00,NA,"-75,400.00",NA,NA,"-1,022.00","-68,000.00","-13,782.00",NA,NA,"-13,000.00","-11,000.00",NA,NA,NA,NA,NA,"-116,000.00","-8,000.00",NA,NA,NA,NA,NA,"-11,300.00",NA,NA,NA,NA,NA,NA,"-2,565.00","-35,000.00",NA,-820.00,NA,NA,NA,-50.00,"-1,513.00",NA,NA,NA,NA,NA,"324,000.00","-68,000.00",NA,NA,"-6,920,000.00",NA,"-6,221.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,739.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"(525,000)","(10,200)",NA,NA,NA,"144,000","(2,771,000)","7,000","15,185.00",NA,"5,100.00","-17,195.00","-249,000.00",NA,NA,NA,NA,"20,507.00","970,000.00",NA,NA,"-12,319.00","-2,000.00","430,000.00",NA,"1,539,500.00","111,000.00","11,943,000.00",NA,700.00,-966.00,"-814,000.00","-71,000.00","-387,000.00","-1,212,000.00",NA,NA,NA,"1,828,000.00",NA,NA,"-187,000.00","225,387.00","-381,000.00","51,000.00","7,000.00","-5,697.00",0.00,NA,"-157,174.00","22,700.00",NA,NA,NA,"90,588.00",NA,NA,"-1,149,000.00","-1,400.00","3,538.00",NA,NA,"-79,878.00","-429,700.00","18,851.00","-130,896.00","1,083,000.00",NA,NA,NA,NA,"15,000.00","114,261.00","143,000.00","17,900.00","-40,000.00","960,000.00","708,000.00",NA,"-11,354.00","-1,857,000.00","341,000.00","25,431.00",NA,"-94,204.00",NA,"-463,200.00",NA,"366,000.00","15,405.00","-161,000.00","162,985.00","6,132.00","222,000.00","-28,000.00","-41,000.00",NA,"-312,000.00",NA,"-1,005,000.00",NA,"-5,121,000.00","62,000.00",NA,"-77,000.00","59,000.00","13,179.00",NA,"-52,400.00","-7,500.00",700.00,NA,"-5,000.00",NA,"-21,406.00","133,701.00","-1,249,000.00","-138,000.00","74,966.00","-52,000.00","136,000.00","-373,733.00","-408,703.00","-677,331.00","36,470.00",NA,"-9,000.00",NA,"-364,000.00","82,000.00","2,677,000.00","-33,532,000.00","27,000.00","14,442,000.00","-84,000.00","70,274.00",NA,NA,"-99,000.00","44,800.00",NA,"101,000.00",NA,NA,NA,NA,NA,NA,"-58,034.00","22,000.00",NA,"-46,755,000.00",NA,"526,000.00",NA,NA
Capital Expenditure,272592,"(384,000)","(291,000)","(313,800)",NA,NA,"(853,000)","(38,000)","(770,000)",NA,NA,"-216,900.00","-16,974.00","-113,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-439.00,"-410,000.00","-1,034,000.00",NA,"-111,600.00","-4,000.00","-1,236,000.00",NA,"-102,600.00","-13,976.00","-390,000.00",NA,"-353,000.00","-480,000.00",NA,NA,NA,"-48,000.00",NA,NA,"-1,681,000.00","-50,196.00","-2,566,000.00","-504,000.00","-221,000.00","-33,297.00","-196,000.00",NA,NA,"-158,900.00",NA,NA,NA,NA,NA,NA,"-1,699,000.00","-18,300.00","-1,936.00",NA,NA,"-167,925.00","-46,600.00","-26,394.00",-353.00,"-178,000.00",NA,NA,NA,NA,"-214,000.00","-57,133.00","-103,000.00","-101,600.00","-77,000.00","-132,000.00","-193,000.00",NA,0.00,"-385,000.00","-81,000.00",NA,NA,"-106,679.00",NA,"-437,900.00",NA,"-403,000.00","-37,028.00","-59,000.00","-3,483.00",NA,NA,"-17,000.00","-70,000.00",NA,"-448,000.00",NA,"-263,000.00",NA,"-925,000.00","-105,000.00",NA,"-2,229,000.00","-520,000.00","-25,799.00",NA,"-63,600.00","-24,800.00","-96,100.00",NA,"-206,000.00",NA,NA,"-954,661.00","-479,000.00","-7,000.00","-61,809.00","-1,501,000.00","-990,000.00","-152,074.00","-205,136.00","-96,355.00","-46,728.00",NA,"-306,000.00",NA,"-98,000.00","-600,000.00","-263,000.00","-241,000.00","-69,300.00","-1,051,000.00","-499,000.00","-24,066.00",NA,NA,"-15,000.00","-22,600.00",NA,"-4,670,000.00",NA,NA,NA,NA,NA,NA,"-202,181.00","-1,051,000.00",NA,NA,NA,"-275,000.00",NA,NA
Change in Net Working Capital,272627,"68,000","673,800","199,100",NA,NA,NA,"2,844,000","(58,000)","-112,459.00",NA,"285,000.00","447,348.00","752,000.00",NA,NA,NA,NA,"-95,954.00","3,211,000.00",NA,NA,"22,651.00","-153,000.00","180,000.00",NA,"1,370,900.00","-70,000.00",NA,NA,"254,600.00","17,221.00","-250,000.00","3,838,000.00","-56,000.00","348,000.00",NA,NA,NA,NA,NA,NA,"765,000.00","112,586.00","-481,000.00","-84,000.00","196,000.00","-6,089.00","107,000.00",NA,"11,935.00","46,200.00","-85,000.00",NA,NA,"-33,101.00",NA,NA,"-2,769,000.00","-50,600.00","33,246.00",NA,NA,"182,415.00","121,800.00","-3,668.00","-36,557.00","1,293,000.00",NA,NA,NA,NA,"35,000.00",NA,"-102,000.00","354,100.00","30,000.00","-879,000.00",NA,NA,"281,353.00","1,423,000.00","102,000.00","-8,858.00",NA,"351,818.00",NA,"1,434,000.00",NA,"-265,000.00","40,077.00","367,000.00","42,044.00","-96,692.00",NA,"104,000.00","376,000.00",NA,"144,000.00",NA,"967,000.00",NA,"2,873,000.00","214,000.00",NA,"691,000.00","-221,000.00","59,062.00",NA,"158,800.00","-12,400.00","84,100.00",NA,"484,000.00",NA,NA,"-555,789.00","-761,000.00","51,000.00","34,682.00","574,000.00","-510,000.00","-28,679.00","24,700.00","196,497.00","15,705.00",NA,"109,000.00",NA,"-2,367,000.00",NA,"526,000.00",NA,"-30,500.00",NA,"-125,000.00","31,362.00",NA,NA,"2,000.00","-193,100.00",NA,"-1,208,000.00",NA,NA,NA,NA,NA,NA,"2,008.00","733,000.00",NA,NA,NA,"-239,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"167,625","(750,538)","(316,825)",NA,NA,NA,"(826,875)","(142,500)","273,090.75",NA,"-274,875.00","-83,015.63","-574,000.00",NA,NA,NA,NA,"464,661.13","-1,829,125.00",NA,NA,"5,418.63","-100,875.00","-668,250.00",NA,"-1,322,037.50","-543,000.00",NA,NA,"32,812.50","-10,890.50","648,875.00","-1,791,375.00","435,875.00","560,250.00",NA,NA,NA,NA,NA,NA,"-1,433,375.00","145,451.38","252,375.00","77,000.00","-135,125.00","1,043.25","-164,000.00",NA,"86,853.50","127,175.00",NA,NA,NA,"179,951.63",NA,NA,"4,762,750.00","328,912.50","-30,161.50",NA,NA,"474,724.50","113,037.50","80,495.25","122,163.75","-371,125.00",NA,NA,NA,NA,"-46,875.00",NA,"77,750.00","-154,687.50","473,500.00","1,313,250.00",NA,NA,"-177,026.00","1,287,250.00","368,250.00","57,467.13",NA,"-313,445.75",NA,"252,287.50",NA,"207,125.00","-8,134.75","-13,750.00","162,876.00","136,448.38",NA,"90,875.00","-167,500.00",NA,"540,000.00",NA,"-68,125.00",NA,"86,375.00","138,750.00",NA,"-1,288,875.00","79,375.00","61,779.88",NA,"-32,212.50","17,037.50","-86,762.50",NA,"-35,125.00",NA,NA,"-183,418.75","2,306,125.00","57,875.00","31,564.75","-1,103,500.00","568,750.00","-50,426.25","-93,405.38","217,556.88","-321,094.63",NA,"-176,750.00",NA,"1,718,125.00",NA,"597,750.00",NA,"-10,475.00",NA,"989,000.00","86,182.63",NA,NA,"108,750.00","501,325.00",NA,"5,266,375.00",NA,NA,NA,NA,NA,NA,"-81,314.13","-868,875.00",NA,NA,NA,"731,125.00",NA,NA
