SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,350,000","432,000","304,100",NA,NA,"1,761,000","5,678,000","1,557,000","307,932",NA,"735,700","7,231,260","2,677,000",NA,NA,NA,NA,"685,951","308,000",NA,NA,"144,392","426,000","1,622,000",NA,"337,800","2,227,000","14,918,000",NA,"2,555,000","53,368",NA,NA,"3,001,000","2,648,000",NA,NA,NA,"1,964,000",NA,NA,"3,607,000","1,748,256","6,721,000","1,567,000","761,000","111,712","473,000",NA,"62,679","1,068,300","8,853,000",NA,NA,"116,032",NA,NA,"37,501,000","1,159,800","435,492",NA,NA,"1,917,815","1,776,600","187,748","154,440","14,294,000",NA,NA,NA,NA,"312,000","1,593,254","593,000","659,600","3,020,000","4,625,000","4,856,000",NA,"534,202","17,388,000","5,356,000","51,954",NA,"1,698,279",NA,"5,418,100",NA,"812,000","657,539","1,868,000","425,333","83,573","499,000","1,589,000","2,699,000",NA,"2,506,000",NA,"9,083,000",NA,"9,796,000","1,904,000",NA,"4,882,000","1,479,000","700,707",NA,"1,972,700","61,900","382,200",NA,"1,801,000",NA,"567,885","-33,688","14,747,000","1,630,000","87,457","4,635,000","1,793,000","210,834","791,226","13,698,699","148,517",NA,"596,000",NA,"10,678,000","3,838,000","14,139,000","2,448,000","177,000","10,503,000","27,974,000","840,972",NA,NA,"975,000","2,996,300",NA,"31,543,000",NA,NA,NA,NA,NA,NA,"588,224","2,248,000",NA,"18,554,000",NA,"2,110,000",NA,NA
Gross Profit,271473,"4,047,000","266,900","275,300",NA,NA,"1,761,000","3,718,000","895,000","158,166.00",NA,"313,900.00","788,590.00","959,000.00",NA,NA,NA,NA,"424,219.00","-3,264,000.00",NA,NA,"103,503.00","132,000.00","730,000.00",NA,"88,800.00","652,000.00","14,918,000.00",NA,"684,400.00","18,294.00",NA,NA,"1,125,000.00","1,494,000.00",NA,NA,NA,"1,853,000.00",NA,NA,"1,976,000.00","661,439.00","3,381,000.00","724,000.00","332,000.00","45,222.00","261,000.00",NA,"48,920.00","635,100.00","3,227,000.00",NA,NA,"85,677.00",NA,NA,"4,621,000.00","651,600.00","229,766.00",NA,NA,"1,016,894.00","904,200.00","130,375.00","79,182.00","2,393,000.00",NA,NA,NA,NA,"293,000.00","1,206,142.00","450,000.00","365,600.00","1,723,000.00","1,850,000.00","524,000.00",NA,"136,627.00","5,640,000.00","2,250,000.00","51,954.00",NA,"317,757.00",NA,"2,904,700.00",NA,"445,000.00","151,984.00","912,000.00","354,629.00","79,386.00","499,000.00","441,000.00","914,000.00",NA,"1,156,000.00",NA,"1,840,000.00",NA,"7,832,000.00","477,000.00",NA,"1,367,000.00","648,000.00","133,497.00",NA,"552,700.00","18,800.00","145,000.00",NA,"1,273,000.00",NA,"567,885.00","-335,118.00","1,743,000.00","174,000.00","-24,999.00","2,314,000.00","-831,000.00","73,354.00","150,190.00","2,564,240.00","79,053.00",NA,"339,000.00",NA,"3,084,000.00","3,838,000.00","1,624,000.00","2,375,000.00","63,000.00","9,152,000.00","6,176,000.00","295,661.00",NA,NA,"148,000.00","834,600.00",NA,"19,209,000.00",NA,NA,NA,NA,NA,NA,"183,994.00","1,296,000.00",NA,"18,554,000.00",NA,"720,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,434,000","82,600","117,600",NA,NA,"476,000","(956,000)","369,000","40,153.0",NA,"116,600.0","166,396.0","-252,000.0",NA,NA,NA,NA,"119,810.0","-2,993,000.0",NA,NA,"-12,261.0","-6,000.0","199,000.0",NA,"43,100.0","484,000.0","3,177,000.0",NA,"204,700.0","-1,306.0",NA,NA,"427,000.0","736,000.0",NA,NA,NA,"771,000.0",NA,NA,"112,000.0","200,300.0","1,234,000.0","287,000.0","119,000.0","12,396.0","70,000.0",NA,"-85,904.0","229,300.0","569,000.0",NA,NA,"36,707.0",NA,NA,"2,390,000.0","86,000.0","16,223.0",NA,NA,"230,230.0","220,000.0","-6,932.0","164,002.0","734,000.0",NA,NA,NA,NA,"92,000.0","303,435.0","92,000.0","190,200.0","443,000.0","123,000.0","-238,000.0",NA,"89,004.0","1,049,000.0","2,000.0","78,195.0",NA,"116,885.0",NA,"1,762,600.0",NA,"337,000.0","-12,590.0","206,000.0","182,358.0","42,661.0","207,000.0","32,000.0","304,000.0",NA,"569,000.0",NA,"986,000.0",NA,"2,571,000.0","206,000.0",NA,"170,000.0","286,000.0","37,336.0",NA,"166,900.0","-5,700.0","80,300.0",NA,"379,000.0",NA,"103,920.0","-1,339,312.0","185,000.0","56,000.0","-136,261.0","-218,000.0","-1,157,000.0","-15,973.0","21,063.0","-3,297.0","31,064.0",NA,"141,000.0",NA,"1,216,000.0","944,000.0","-466,000.0","698,000.0","17,800.0","3,367,000.0","143,000.0","88,968.0",NA,NA,"33,000.0","231,100.0",NA,"4,504,000.0",NA,NA,NA,NA,NA,NA,"10,590.0","475,000.0",NA,"3,401,000.0",NA,"283,000.0",NA,75.6
Net Income,271510,"1,430,000","82,600","117,600",NA,NA,"476,000","(952,000)","367,000","40,153.00",NA,"116,600.00","166,060.00","-252,000.00",NA,NA,NA,NA,"104,249.00","-2,995,000.00",NA,NA,"-12,261.00","-4,000.00","121,000.00",NA,"43,200.00","484,000.00","3,146,000.00",NA,"204,400.00","-1,306.00",NA,NA,"427,000.00","736,000.00",NA,NA,NA,"771,000.00",NA,NA,"356,000.00","200,300.00","1,304,000.00","287,000.00","119,000.00","12,396.00","70,000.00",NA,"-85,904.00","228,500.00","501,000.00",NA,NA,"36,639.00",NA,NA,"2,385,000.00","225,800.00","15,987.00",NA,NA,"220,971.00","220,900.00","-6,932.00","139,710.00","734,000.00",NA,NA,NA,NA,"92,000.00","304,409.00","92,000.00","189,800.00","443,000.00","123,000.00","-238,000.00",NA,"89,004.00","1,049,000.00","2,000.00","78,195.00",NA,"116,491.00",NA,"1,762,600.00",NA,"337,000.00","-12,590.00","205,000.00","182,358.00","42,595.00","207,000.00","31,000.00","304,000.00",NA,"569,000.00",NA,"986,000.00",NA,"2,571,000.00","206,000.00",NA,"170,000.00","286,000.00","37,336.00",NA,"166,800.00","-5,700.00","80,300.00",NA,"379,000.00",NA,"92,280.00","-1,346,756.00","264,000.00","55,000.00","-136,260.00","-218,000.00","-1,157,000.00","-15,973.00","18,273.00","-3,297.00","31,064.00",NA,"141,000.00",NA,"1,153,000.00","937,000.00","-449,000.00","698,000.00","17,800.00","3,367,000.00","263,000.00","88,968.00",NA,NA,"33,000.00","231,100.00",NA,"4,357,000.00",NA,NA,NA,NA,NA,NA,"6,476.00","475,000.00",NA,"3,216,000.00",NA,"283,000.00",NA,75.58
EBIT,271530,"1,949,000","123,300","161,600",NA,NA,NA,"3,202,000","526,000","58,600.00",NA,"156,600.00","244,696.00","97,000.00",NA,NA,NA,NA,"231,651.00","-3,797,000.00",NA,NA,"19,063.00","14,000.00","302,000.00",NA,"50,000.00","627,000.00",NA,NA,"401,800.00",953.00,NA,NA,"432,000.00","1,146,000.00",NA,NA,NA,NA,NA,NA,"1,047,000.00","285,326.00","1,840,000.00","431,000.00","169,000.00","21,269.00","106,000.00",NA,"-11,560.00","204,400.00","1,769,000.00",NA,NA,"43,823.00",NA,NA,"2,355,000.00","136,800.00","27,779.00",NA,NA,"356,119.00","342,500.00","43,813.00","-14,117.00","908,000.00",NA,NA,NA,NA,"178,000.00",NA,"124,000.00","272,000.00","849,000.00","204,000.00","-155,000.00",NA,"78,837.00","1,611,000.00","48,000.00","42,951.00",NA,"162,470.00",NA,"2,374,200.00",NA,"265,000.00","23,437.00","390,000.00","227,620.00","55,360.00",NA,"137,000.00","369,000.00",NA,"863,000.00",NA,"1,287,000.00",NA,"3,592,000.00","258,000.00",NA,"591,000.00","390,000.00","59,829.00",NA,"239,400.00","-3,900.00","94,900.00",NA,"617,000.00",NA,NA,"-906,215.00","19,000.00","106,000.00","-120,580.00","877,000.00","-1,577,000.00","-3,380.00","49,259.00","347,144.00","48,896.00",NA,"191,000.00",NA,"1,802,000.00",NA,"169,000.00",NA,"26,000.00",NA,"575,000.00","117,113.00",NA,NA,"45,000.00","349,000.00",NA,"7,974,000.00",NA,NA,NA,NA,NA,NA,"13,969.00","887,000.00",NA,NA,NA,"586,000.00",NA,-12.92
EBIT / Interest Expense (x),274483,15.23,2.77,4.94,NA,NA,NA,10.07,4.78,2.00,NA,2.85,6.55,1.05,NA,NA,NA,NA,2.09,NM,NA,NA,1.77,0.50,2.36,NA,2.54,48.23,NA,NA,3.38,0.41,NA,NA,6.17,6.13,NA,NA,NA,NA,NA,NA,3.64,10.29,3.53,5.32,5.83,3.02,4.08,NA,NM,5.47,4.38,NA,NA,3.20,NA,NA,4.69,3.71,3.45,NA,NA,4.34,6.93,1.89,NM,16.51,NA,NA,NA,NA,2.87,NA,5.91,6.89,5.74,3.92,NM,NA,NA,8.85,0.92,3.44,NA,11.99,NA,7.66,NA,3.35,2.48,6.50,6.06,4.29,NA,2.28,5.20,NA,5.57,NA,8.36,NA,7.86,7.59,NA,1.83,3.65,5.69,NA,13.84,NM,6.50,NA,7.09,NA,NA,NM,0.05,4.82,NM,4.67,NM,NM,1.74,4.14,5.80,NA,5.31,NA,23.10,NA,0.26,NA,4.41,NA,4.20,14.10,NA,NA,5.63,7.07,NA,7.64,NA,NA,NA,NA,NA,NA,1.51,6.57,NA,NA,NA,5.28,NA,NM
Avg. Days Sales Out.,274485,50.0,51.3,41.6,NA,NA,NA,2.4,45.9,11,NA,34,100,10,NA,NA,NA,NA,160,NM,NA,NA,53,77,57,NA,14,108,NA,NA,32,99,NA,NA,58,32,NA,NA,NA,NA,NA,NA,52,62,40,13,6,5,17,NA,218,52,31,NA,NA,73,NA,NA,8,92,33,NA,NA,39,74,63,46,34,NA,NA,NA,NA,36,NA,45,33,31,NA,NA,NA,10,NA,4,NA,NA,104,NA,45,NA,34,130,105,97,107,NA,70,59,NA,23,NA,77,NA,38,48,NA,100,42,21,NA,10,86,15,NA,19,NA,NA,NM,122,60,43,36,5,54,62,27,33,NA,38,NA,60,NA,75,NA,31,NA,5,38,NA,NA,35,NA,NA,68,NA,NA,NA,NA,NA,NA,48,52,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.36,7.18,8.85,NA,NA,NA,156.10,8.01,33,NA,11,4,37,NA,NA,NA,NA,2,0,NA,NA,7,5,6,NA,27,3,NA,NA,11,4,NA,NA,6,12,NA,NA,NA,NA,NA,NA,7,6,9,28,66,76,22,NA,2,7,12,NA,NA,5,NA,NA,43,4,11,NA,NA,10,5,6,8,11,NA,NA,NA,NA,10,NA,8,11,12,NA,NA,NA,36,NA,100,NA,NA,4,NA,8,NA,11,3,3,4,3,NA,5,6,NA,16,NA,5,NA,10,8,NA,4,9,18,NA,36,4,25,NA,20,NA,NA,NM,3,6,9,10,67,7,6,14,11,NA,10,NA,6,NA,5,NA,12,NA,71,10,NA,NA,11,NA,NA,5,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.34,0.18,0.12,NA,NA,NA,11.33,0.25,0,NA,0,36,2,NA,NA,NA,NA,0,NA,NA,NA,14,0,0,NA,1,42,NA,NA,4,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,4,6,5,NA,NA,5,15,0,0,15,NA,NA,NA,NA,0,NA,0,0,4,2,NA,NA,296,3,2,47,NA,6,NA,1,NA,0,4,5,7,0,NA,9,6,NA,0,NA,4,NA,5,2,NA,0,0,10,NA,8,0,0,NA,1,NA,NA,NM,4,23,0,0,0,0,0,10,0,NA,0,NA,39,NA,5,NA,0,NA,4,6,NA,NA,31,23,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.74,0.16,0.12,NA,NA,NA,0.47,0.21,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,NA,NA,0,1,0,0,2,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,1,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,2,0,0,NA,0,NA,0,NM,0,1,0,0,0,0,0,3,0,NA,0,NA,0,NA,0,0,0,0,2,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"2,480,000","188,100","241,700",NA,NA,"1,442,000","898,000","635,000","148,207",NA,"294,900","274,727","-252,000",NA,NA,NA,NA,"228,151","48,000",NA,NA,"39,237","59,000","258,000",NA,"60,400","505,000","-3,046,000",NA,"479,000","-15,898",NA,NA,"608,000","944,000",NA,NA,NA,"1,296,000",NA,NA,"1,674,000","339,247","3,409,000","637,000","314,000","26,819","106,000",NA,"2,065","367,000","1,542,000",NA,NA,"72,828",NA,NA,"11,088,000","481,700","84,228",NA,NA,"584,471","236,100","87,485","-71,155","1,667,000",NA,NA,NA,NA,"227,000","1,146,898","-41,000","294,400","604,000","369,000","233,000",NA,"-33,091","528,000","-178,000","-67,982",NA,"215,956",NA,"2,939,500",NA,"876,000","107,143","392,000","199,795","59,718","221,000","210,000","688,000",NA,"1,009,000",NA,"1,359,000",NA,"3,012,000","488,000",NA,"-21,970,000","521,000","73,386",NA,"366,000",300,"101,300",NA,"767,000",NA,"-880,445","-857,432","1,590,000","116,000","-55,791","479,000","-1,050,000","59,456","112,678","324,000","74,564",NA,"265,000",NA,NA,"778,000","-4,819,000","-80,000","11,000","34,936,000","771,000","234,991",NA,NA,"90,000","426,400",NA,"8,920,000",NA,NA,NA,NA,NA,NA,"110,070","673,000",NA,"-8,576,000",NA,"608,000",NA,"8,938"
Cash from Investing,272601,"(523,000)","(448,300)","(324,500)",NA,NA,"(300,000)","(44,000)","(666,000)","-114,626",NA,"-242,900","-39,129","-171,000",NA,NA,NA,NA,"-267,889","-2,059,000",NA,NA,"-3,878","-242,000","-540,000",NA,"-81,000","-170,000","8,489,000",NA,"-19,700","-11,113",NA,NA,"-148,000","-190,000",NA,NA,NA,"-5,575,000",NA,NA,"-1,526,000","-64,724","-2,493,000","-452,000","202,000","-53,730","-180,000",NA,"-17,919","-130,000","-393,000",NA,NA,"-28,583",NA,NA,"1,345,000","-39,800","-2,342",NA,NA,"-124,727","-16,900","-45,231","-137,033","-551,000",NA,NA,NA,NA,"-217,000","-24,986","-157,000","-114,000","-90,000","-231,000","-245,000",NA,-601,"-405,000","-275,000",NA,NA,"-40,504",NA,"-267,900",NA,"-521,000","-16,683","-228,000","-11,725","-3,293","1,526,000","-61,000","-50,000",NA,"-278,000",NA,"-289,000",NA,"480,000","-50,000",NA,"-2,083,000","-643,000","-110,407",NA,"-16,200","-77,900","-69,700",NA,"204,000",NA,"-5,395,518","-197,216","2,096,000","-3,000","-18,137","-1,302,000","-434,000","-167,044","-203,971","-132,298","-21,554",NA,"-318,000",NA,NA,"14,446,000","-4,137,000","-26,000,000","-44,600","2,996,000","-785,000","-21,096",NA,NA,"-30,000",600,NA,"-6,345,000",NA,NA,NA,NA,NA,NA,"-232,835","-851,000",NA,"42,658,000",NA,"-65,000",NA,NA
Cash from Financing,272618,"(2,097,000)","168,400","82,800",NA,NA,"(486,000)","(1,564,000)","36,000","247,201",NA,"-60,600","-229,416","-87,000",NA,NA,NA,NA,"-187,128","875,000",NA,NA,"-48,535","184,000","296,000",NA,"1,200","-127,000","8,309,000",NA,"-553,100","27,180",NA,NA,"-143,000","-247,000",NA,NA,NA,"-799,000",NA,NA,"-332,000","-496,832","-957,000","-201,000","-517,000","28,856","76,000",NA,"-5,994","-51,000","-1,349,000",NA,NA,"26,033",NA,NA,"-19,360,000","-31,700","-32,933",NA,NA,"-84,545","-128,000","108,992","110,405","-491,000",NA,NA,NA,NA,"-66,000","747,701","198,000","-154,000","-465,000","-273,000","18,000",NA,"30,925","-1,127,000","57,000","26,564",NA,"14,568",NA,"-2,268,500",NA,"-186,000","-103,975","-515,000","-274,433","-70,729","-1,522,000","-230,000","-413,000",NA,"-515,000",NA,"-253,000",NA,"-4,169,000","-371,000",NA,"14,648,000",0,"-11,694",NA,"-78,200","77,600","-30,000",NA,"-970,000",NA,"6,145,399","-74,444","-692,000","-125,000","-1,997","599,000","1,242,000","-60,962","-84,314","1,535,771","-41,186",NA,"60,000",NA,NA,"-15,255,000","-468,000","18,129,000","-14,400","-17,330,000","-70,000","-23,967",NA,NA,"-45,000","-488,800",NA,"-1,505,000",NA,NA,NA,NA,NA,NA,"83,238","201,000",NA,"-49,815,000",NA,"-346,000",NA,"-8,688"
Foreign Exchange Rate Adj.,272619,"42,000",NA,NA,NA,NA,"2,000",NA,NA,NA,NA,NA,"15,009.00","-3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"170,000.00",NA,800.00,NA,NA,NA,"39,000.00",NA,NA,NA,NA,NA,NA,NA,NA,778.00,NA,NA,NA,NA,NA,NA,48.00,"2,200.00",NA,NA,NA,NA,NA,NA,"218,000.00","16,000.00","-2,575.00",NA,NA,"19,998.00","3,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"33,270.00",NA,-500.00,"-8,000.00",NA,"-1,000.00",NA,NA,"2,000.00",NA,NA,NA,-484.00,NA,"25,000.00",NA,NA,-141.00,"17,000.00","4,244.00",NA,NA,0.00,"6,000.00",NA,NA,NA,NA,NA,"-34,000.00","-2,000.00",NA,NA,NA,NA,NA,"4,500.00",NA,NA,NA,NA,NA,NA,-811.00,"21,000.00",NA,260.00,NA,NA,NA,-39.00,"-14,422.00",NA,NA,NA,NA,NA,"40,000.00","37,000.00",NA,NA,NA,NA,"4,209.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.00,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"(98,000)","(91,800)",NA,NA,NA,"658,000","(710,000)","5,000","280,782.00",NA,"-8,600.00","21,191.00","-513,000.00",NA,NA,NA,NA,"-226,866.00","-1,136,000.00",NA,NA,"-13,176.00","1,000.00","14,000.00",NA,"-19,400.00","208,000.00","13,922,000.00",NA,"-93,000.00",169.00,NA,NA,"356,000.00","507,000.00",NA,NA,NA,"-5,078,000.00",NA,NA,"-184,000.00","-221,531.00","-41,000.00","-16,000.00","-1,000.00","1,945.00","2,000.00",NA,"-21,800.00","188,200.00","-200,000.00",NA,NA,"70,278.00",NA,NA,"-6,709,000.00","426,200.00","46,378.00",NA,NA,"395,197.00","94,500.00","151,246.00","-97,783.00","625,000.00",NA,NA,NA,NA,"-56,000.00","1,902,883.00",0.00,"25,900.00","41,000.00","-135,000.00","6,000.00",NA,"-2,767.00","-1,002,000.00","-396,000.00","-41,418.00",NA,"189,536.00",NA,"428,100.00",NA,"169,000.00","-13,656.00","-334,000.00","-82,119.00","-14,304.00","225,000.00","-81,000.00","231,000.00",NA,"216,000.00",NA,"817,000.00",NA,"-711,000.00","65,000.00",NA,"-544,000.00","-122,000.00","-48,715.00",NA,"276,100.00",0.00,"1,600.00",NA,"1,000.00",NA,"-130,564.00","-1,129,903.00","3,015,000.00","-12,000.00","-75,665.00","-224,000.00","-242,000.00","-168,550.00","-175,646.00","1,713,051.00","11,824.00",NA,"7,000.00",NA,NA,"9,000.00","-9,387,000.00","-7,951,000.00","-48,000.00","20,602,000.00","-84,000.00","194,137.00",NA,NA,"15,000.00","-61,800.00",NA,"1,070,000.00",NA,NA,NA,NA,NA,NA,"-39,267.00","23,000.00",NA,"-15,733,000.00",NA,"197,000.00",NA,249.36
Capital Expenditure,272592,"(368,000)","(314,100)","(338,400)",NA,NA,"(1,277,000)","(56,000)","(661,000)","-5,133.00",NA,"-166,400.00","-30,013.00","-148,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-3,878.00","-248,000.00","-611,000.00",NA,"-78,800.00","-6,000.00","-982,000.00",NA,"-81,600.00","-14,013.00",NA,NA,"-153,000.00","-408,000.00",NA,NA,NA,"-53,000.00",NA,NA,"-1,552,000.00","-44,393.00","-2,305,000.00","-444,000.00","-213,000.00","-55,409.00","-208,000.00",NA,NA,"-116,700.00","-1,833,000.00",NA,NA,NA,NA,NA,"-1,256,000.00","-13,400.00","-1,449.00",NA,NA,"-121,029.00","-28,100.00","-15,099.00",-232.00,"-117,000.00",NA,NA,NA,NA,"-216,000.00","-25,708.00","-126,000.00","-106,900.00","-80,000.00","-239,000.00","-278,000.00",NA,-601.00,"-401,000.00","-245,000.00",NA,NA,"-50,970.00",NA,"-390,200.00",NA,"-517,000.00","-16,960.00","-49,000.00","-4,555.00",-104.00,NA,"-5,000.00","-64,000.00",NA,"-318,000.00",NA,"-287,000.00",NA,"-396,000.00","-63,000.00",NA,"-2,076,000.00","-645,000.00","-10,854.00",NA,"-43,700.00","-78,200.00","-71,600.00",NA,"-279,000.00",NA,NA,"-181,350.00","-389,000.00",0.00,"-20,246.00","-1,382,000.00","-89,000.00","-170,720.00","-209,039.00","-210,486.00","-20,968.00",NA,"-318,000.00",NA,NA,"-333,000.00","-262,000.00","-130,000.00","-40,500.00","-998,000.00","-782,000.00","-19,460.00",NA,NA,"-9,000.00","-22,000.00",NA,"-4,318,000.00",NA,NA,NA,NA,NA,NA,"-218,667.00","-850,000.00",NA,NA,NA,"-9,000.00",NA,NA
Change in Net Working Capital,272627,"(537,000)","82,600","(31,200)",NA,NA,NA,"1,208,000","19,000","-59,715.00",NA,-300.00,"-15,729.00","464,000.00",NA,NA,NA,NA,"-177,303.00","-646,000.00",NA,NA,"10,800.00","3,000.00","93,000.00",NA,"31,900.00","-56,000.00",NA,NA,"-177,600.00","24,236.00",NA,NA,"281,000.00","178,000.00",NA,NA,NA,NA,NA,NA,"7,787,000.00","-40,040.00","-975,000.00","-239,000.00","-403,000.00","9,830.00","13,000.00",NA,"-37,215.00","-117,700.00","-522,000.00",NA,NA,"-65,854.00",NA,NA,"-3,518,000.00","-63,900.00","-13,957.00",NA,NA,"32,682.00","138,442.00","3,478.00","42,922.00","-1,034,000.00",NA,NA,NA,NA,"-15,000.00",NA,"64,000.00","-74,000.00","-131,000.00","-2,000.00",NA,NA,"107,931.00","997,000.00","51,000.00","-15,365.00",NA,"25,361.00",NA,"-696,300.00",NA,"-429,000.00","-56,846.00","82,000.00","25,772.00","-7,398.00",NA,"-42,000.00","-322,000.00",NA,"-53,000.00",NA,"177,000.00",NA,"935,000.00","-145,000.00",NA,"20,804,000.00","85,000.00","9,682.00",NA,"-109,200.00","4,200.00","35,300.00",NA,"-477,000.00",NA,NA,"269,613.00","-2,065,000.00","-31,000.00","-68,033.00","213,000.00","1,688,000.00","-27,763.00","-10,696.00","-175,879.00","-391,631.00",NA,"-49,000.00",NA,"-2,043,000.00",NA,"6,777,000.00",NA,"-40,600.00",NA,"263,000.00","-115,652.00",NA,NA,"64,000.00","-567,600.00",NA,"2,085,000.00",NA,NA,NA,NA,NA,NA,"-1,775.00","147,000.00",NA,NA,NA,"143,000.00",NA,"-9,061.01"
Unlevered Free Cash Flow,272626,"1,912,125","(211,938)","(144,700)",NA,NA,NA,"799,250","(58,250)","180,373.00",NA,"54,975.00","185,383.00","-403,375.00",NA,NA,NA,NA,"495,329.88","-1,727,125.00",NA,NA,"22,611.38","-164,250.00","-209,250.00",NA,"-48,950.00","461,875.00",NA,NA,"455,525.00","-26,045.38",NA,NA,"292,000.00","498,250.00",NA,NA,NA,NA,NA,NA,"-8,003,625.00","250,835.75","1,250,000.00","341,375.00","444,625.00","-31,727.88","-81,750.00",NA,"75,335.00","231,850.00","1,204,625.00",NA,NA,"132,650.38",NA,NA,"5,253,875.00","246,700.00","39,232.88",NA,NA,"537,856.38","206,720.50","77,725.13",420.88,"1,730,500.00",NA,NA,NA,NA,"-34,750.00",NA,"-72,500.00","226,300.00","755,625.00","119,500.00",NA,NA,"-56,866.88","-46,125.00","-79,000.00","44,770.38",NA,"113,409.75",NA,"2,237,375.00",NA,"265,625.00","77,992.13","246,750.00","132,636.50","63,437.00",NA,"191,625.00","579,625.00",NA,"580,375.00",NA,"657,375.00",NA,"2,023,000.00","374,250.00",NA,"-21,545,625.00","-279,250.00","40,023.13",NA,"302,425.00","-66,737.50","-7,487.50",NA,"913,625.00",NA,NA,"-700,208.38","2,821,875.00","129,250.00","41,478.50","-541,875.00","-2,447,625.00","-89,127.50","-87,417.13","398,835.00","440,740.00",NA,"-52,625.00",NA,NA,NA,"-6,331,375.00",NA,"34,550.00",NA,"86,375.00","198,636.63",NA,NA,"-12,875.00","793,525.00",NA,"816,750.00",NA,NA,NA,NA,NA,NA,"-111,670.38","-76,625.00",NA,NA,NA,"329,250.00",NA,"9,052.94"
Levered Free Cash Flow,272625,"1,832,125","(239,750)","(165,138)",NA,NA,NA,"600,500","(122,000)","163,948.13",NA,"20,600.00","162,048.00","-460,875.00",NA,NA,NA,NA,"425,959.25","-1,755,875.00",NA,NA,"16,917.50","-179,750.00","-281,250.00",NA,"-61,262.50","453,750.00",NA,NA,"381,150.00","-27,486.63",NA,NA,"248,250.00","381,375.00",NA,NA,NA,NA,NA,NA,"-8,183,625.00","233,508.25","923,750.00","290,750.00","426,500.00","-36,132.88","-98,000.00",NA,"50,743.00","208,475.00","952,125.00",NA,NA,"125,005.38",NA,NA,"4,940,125.00","223,637.50","34,203.50",NA,NA,"486,543.88","175,845.50","63,265.13","-17,419.13","1,696,125.00",NA,NA,NA,NA,"-73,500.00",NA,"-85,625.00","201,612.50","663,125.00","87,000.00",NA,NA,"-56,866.88","-159,875.00","-111,500.00","37,597.75",NA,"104,939.13",NA,"2,043,562.50",NA,"216,250.00","72,092.13","209,250.00","110,283.50","56,804.50",NA,"154,125.00","535,250.00",NA,"483,500.00",NA,"561,125.00",NA,"1,737,375.00","353,000.00",NA,"-21,747,500.00","-346,125.00","35,253.25",NA,"291,612.50","-72,862.50","-16,612.50",NA,"859,250.00",NA,NA,"-806,559.50","2,599,375.00","116,500.00","17,217.25","-659,375.00","-2,509,500.00","-105,441.88","-105,111.50","351,784.25","435,473.13",NA,"-75,125.00",NA,NA,NA,"-6,733,250.00",NA,"30,862.50",NA,750.00,"193,446.63",NA,NA,"-17,875.00","762,650.00",NA,"164,250.00",NA,NA,NA,NA,NA,NA,"-117,467.88","-161,000.00",NA,NA,NA,"259,875.00",NA,"6,321.10"
