SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,583,000","361,800","307,900",NA,NA,"2,107,000","5,055,000","1,272,000","296,551",NA,"673,600","8,454,192","4,707,000",NA,NA,NA,NA,"644,969","129,000",NA,NA,"153,008",NA,"2,054,000",NA,"278,200","2,694,000","19,314,000",NA,"3,287,900","111,317",NA,"2,872,000","3,350,000","2,825,000",NA,NA,NA,"2,293,000",NA,NA,"3,521,000","1,780,390",NA,"1,068,000","700,000","118,856","368,000",NA,"91,129","1,118,400","8,114,000",NA,NA,"116,725",NA,NA,"35,952,000","1,324,900","528,125",NA,NA,"1,930,193","1,722,900","187,407","213,701","15,258,000",NA,NA,NA,NA,"322,000","1,844,373","411,000","693,400","3,121,000","6,832,000","4,927,000",NA,"897,398","16,027,000","8,577,000","62,505",NA,"1,636,795",NA,"5,313,800",NA,"614,000","706,895","2,273,000","443,661","80,131","515,000",NA,"2,689,000",NA,"2,573,000",NA,"10,212,000",NA,"10,439,000","1,925,000",NA,"4,748,000","1,512,000","772,613",NA,"2,173,500","175,400","278,000",NA,"1,795,000",NA,"343,344","34,138","16,419,000","1,540,000","33,877","3,151,000","2,013,000","374,490","914,080","8,866,564","90,228",NA,"580,000",NA,"10,962,000","3,828,000","15,304,000","4,176,000","153,000","11,448,000","28,893,000","840,957",NA,NA,"1,063,000","4,273,500",NA,"34,692,000",NA,NA,NA,NA,NA,NA,"591,721","1,780,000",NA,"18,739,000",NA,"2,063,000",NA,NA
Gross Profit,271473,"4,301,000","201,100","276,700",NA,NA,"2,107,000","3,166,000","598,000","164,432.00",NA,"241,900.00","912,686.00","2,672,000.00",NA,NA,NA,NA,"387,320.00","-629,000.00",NA,NA,"107,543.00",NA,"718,000.00",NA,"52,200.00","1,357,000.00","19,314,000.00",NA,"922,800.00","33,763.00",NA,"111,000.00","1,273,000.00","1,581,000.00",NA,NA,NA,"2,095,000.00",NA,NA,"1,823,000.00","658,535.00",NA,"523,000.00","337,000.00","41,547.00","226,000.00",NA,"74,723.00","637,500.00","2,083,000.00",NA,NA,"85,017.00",NA,NA,"1,213,000.00","770,300.00","259,634.00",NA,NA,"1,046,598.00","828,200.00","130,190.00","106,735.00","2,679,000.00",NA,NA,NA,NA,"301,000.00","1,382,179.00","217,000.00","370,600.00","1,774,000.00","2,432,000.00","660,000.00",NA,"244,930.00","5,138,000.00","3,311,000.00","62,505.00",NA,"314,560.00",NA,"2,780,200.00",NA,"228,000.00","172,401.00","1,151,000.00","367,726.00","77,668.00","515,000.00",NA,"888,000.00",NA,"1,294,000.00",NA,"2,090,000.00",NA,"8,470,000.00","506,000.00",NA,"1,490,000.00","641,000.00","142,318.00",NA,"567,200.00","80,700.00","76,500.00",NA,"1,363,000.00",NA,"343,344.00","-234,006.00","2,242,000.00","167,000.00","-47,699.00","1,713,000.00","-457,000.00","193,453.00","255,766.00","1,565,655.00","47,042.00",NA,"277,000.00",NA,"4,083,000.00","3,828,000.00","-3,570,000.00","4,049,000.00","56,200.00","10,021,000.00","7,240,000.00","300,395.00",NA,NA,"151,000.00","669,900.00",NA,"19,870,000.00",NA,NA,NA,NA,NA,NA,"180,822.00","962,000.00",NA,"18,739,000.00",NA,"671,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,406,000","43,900","114,300",NA,NA,"687,000","1,922,000","116,000","45,342.0",NA,"56,500.0","236,976.0","-192,000.0",NA,NA,NA,NA,"26,652.0","-1,031,000.0",NA,NA,"7,219.0",NA,"136,000.0",NA,"16,400.0","1,049,000.0","4,325,000.0",NA,"201,300.0","8,008.0",NA,"-63,000.0","252,000.0","760,000.0",NA,NA,NA,"799,000.0",NA,NA,"815,000.0","182,106.0",NA,"148,000.0","109,000.0","7,507.0","51,000.0",NA,"-19,977.0","77,600.0","435,000.0",NA,NA,"85,507.0",NA,NA,"-2,791,000.0","1,251,600.0","-3,759.0",NA,NA,"184,818.0","106,200.0","28,507.0","-7,990.0","668,000.0",NA,NA,NA,NA,"102,000.0","312,235.0","14,000.0","166,300.0","428,000.0","265,000.0","-718,000.0",NA,"136,428.0","510,000.0","340,000.0","79,257.0",NA,"112,925.0",NA,"1,377,200.0",NA,"123,000.0","-77,977.0","413,000.0","156,216.0","37,163.0","185,000.0",NA,"127,000.0",NA,"671,000.0",NA,"330,000.0",NA,"3,116,000.0","230,000.0",NA,"263,000.0","111,000.0","37,824.0",NA,"198,800.0","39,900.0","6,600.0",NA,"395,000.0",NA,"101,522.0","-1,366,935.0","215,000.0","60,000.0","-105,453.0","500,000.0","-908,000.0","79,550.0","105,036.0","-618,419.0","10,563.0",NA,"89,000.0",NA,"2,270,000.0","755,000.0","-8,439,000.0","1,135,000.0","3,800.0","4,506,000.0","319,000.0","72,196.0",NA,NA,"22,000.0","135,400.0",NA,"4,718,000.0",NA,NA,NA,NA,NA,NA,"4,898.0","336,000.0",NA,"3,292,000.0",NA,"292,000.0",NA,77.3
Net Income,271510,"1,405,000","43,900","114,300",NA,NA,"687,000","1,924,000","115,000","45,342.00",NA,"56,500.00","236,071.00","-192,000.00",NA,NA,NA,NA,"12,672.00","-1,032,000.00",NA,NA,"7,219.00",NA,"200,000.00",NA,"17,100.00","1,049,000.00","4,309,000.00",NA,"201,400.00","8,008.00",NA,"-216,000.00","252,000.00","760,000.00",NA,NA,NA,"799,000.00",NA,NA,"682,000.00","182,106.00",NA,"148,000.00","109,000.00","7,507.00","51,000.00",NA,"-19,977.00","74,400.00","359,000.00",NA,NA,"85,484.00",NA,NA,"-2,788,000.00","1,215,600.00","-3,958.00",NA,NA,"182,644.00","105,200.00","28,507.00","-6,646.00","668,000.00",NA,NA,NA,NA,"102,000.00","312,901.00","14,000.00","165,700.00","428,000.00","265,000.00","-718,000.00",NA,"136,428.00","510,000.00","340,000.00","79,257.00",NA,"113,122.00",NA,"1,377,200.00",NA,"123,000.00","-77,977.00","412,000.00","156,216.00","37,140.00","185,000.00",NA,"127,000.00",NA,"671,000.00",NA,"330,000.00",NA,"3,116,000.00","232,000.00",NA,"263,000.00","111,000.00","37,824.00",NA,"198,800.00","39,900.00","6,600.00",NA,"395,000.00",NA,"82,966.00","-1,366,935.00","135,000.00","59,000.00","-105,452.00","500,000.00","-908,000.00","79,550.00","103,544.00","-618,419.00","10,563.00",NA,"89,000.00",NA,"2,624,000.00","750,000.00","-8,420,000.00","1,135,000.00","3,800.00","4,506,000.00","327,000.00","72,196.00",NA,NA,"22,000.00","135,400.00",NA,"4,588,000.00",NA,NA,NA,NA,NA,NA,"1,586.00","336,000.00",NA,"3,091,000.00",NA,"292,000.00",NA,77.31
EBIT,271530,"2,100,000","80,200","151,700",NA,NA,NA,"2,726,000","242,000","62,744.00",NA,"118,100.00","309,926.00","816,000.00",NA,NA,NA,NA,"190,001.00","-1,263,000.00",NA,NA,"15,897.00",NA,"282,000.00",NA,"22,700.00","1,330,000.00",NA,NA,"513,200.00","12,235.00",NA,"-11,000.00","567,000.00","1,234,000.00",NA,NA,NA,NA,NA,NA,"444,000.00","265,366.00",NA,"253,000.00","162,000.00","15,665.00","77,000.00",NA,"30,488.00","185,600.00","668,000.00",NA,NA,"45,033.00",NA,NA,"-2,248,000.00","280,600.00","35,725.00",NA,NA,"308,082.00","246,200.00","44,225.00","18,369.00","871,000.00",NA,NA,NA,NA,"187,000.00",NA,"14,000.00","275,900.00","850,000.00","459,000.00","-676,000.00",NA,"167,158.00","1,170,000.00","820,000.00","52,405.00",NA,"169,548.00",NA,"2,008,700.00",NA,"15,000.00","44,618.00","591,000.00","232,671.00","53,060.00",NA,NA,"248,000.00",NA,"1,007,000.00",NA,"409,000.00",NA,"4,369,000.00","325,000.00",NA,"667,000.00","374,000.00","64,109.00",NA,"262,800.00","57,500.00","23,300.00",NA,"636,000.00",NA,NA,"-804,683.00","526,000.00","106,000.00","-109,222.00","614,000.00","-1,200,000.00","111,064.00","147,789.00","-22,175.00","1,303.00",NA,"125,000.00",NA,"2,984,000.00",NA,"-5,897,000.00",NA,"17,600.00",NA,"660,000.00","93,681.00",NA,NA,"30,000.00","170,300.00",NA,"7,722,000.00",NA,NA,NA,NA,NA,NA,"14,092.00","582,000.00",NA,NA,NA,"529,000.00",NA,-13.22
EBIT / Interest Expense (x),274483,14.89,1.88,4.64,NA,NA,NA,8.11,2.24,2.20,NA,2.13,10.14,8.87,NA,NA,NA,NA,1.70,NM,NA,NA,1.13,NA,2.37,NA,1.10,95.00,NA,NA,4.07,5.33,NA,NM,7.56,6.53,NA,NA,NA,NA,NA,NA,1.46,9.40,NA,3.12,3.45,2.46,2.85,NA,0.72,5.03,1.70,NA,NA,3.13,NA,NA,NM,7.63,4.23,NA,NA,3.73,5.09,1.90,0.55,13.83,NA,NA,NA,NA,3.02,NA,0.61,7.06,5.82,9.18,NM,NA,NA,6.36,17.83,4.11,NA,11.89,NA,6.50,NA,0.18,4.97,10.19,6.23,4.32,NA,NA,3.59,NA,6.29,NA,2.56,NA,7.52,10.16,NA,1.92,3.50,5.73,NA,17.18,5.09,1.62,NA,7.57,NA,NA,NM,1.43,5.05,NM,3.18,NM,4.27,5.22,NM,0.15,NA,3.47,NA,37.30,NA,NM,NA,3.03,NA,4.71,11.66,NA,NA,6.00,3.74,NA,7.15,NA,NA,NA,NA,NA,NA,1.63,4.93,NA,NA,NA,3.67,NA,NM
Avg. Days Sales Out.,274485,50.0,53.1,32.8,NA,NA,NA,2.6,51.7,13,NA,36,97,6,NA,NA,NA,NA,170,NM,NA,NA,56,NA,49,NA,13,103,NA,NA,26,61,NA,NA,58,31,NA,NA,NA,NA,NA,NA,56,61,NA,19,7,6,24,NA,134,51,36,NA,NA,74,NA,NA,18,74,36,NA,NA,39,89,68,31,32,NA,NA,NA,NA,31,NA,64,33,31,NA,NA,NA,9,NA,3,NA,NA,104,NA,40,NA,41,121,96,102,117,NA,NA,60,NA,23,NA,65,NA,43,46,NA,101,44,19,NA,11,46,17,NA,18,NA,NA,531,109,66,105,55,5,43,58,34,59,NA,38,NA,61,NA,65,NA,39,NA,5,28,NA,NA,28,NA,NA,64,NA,NA,NA,NA,NA,NA,50,69,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.36,6.92,11.23,NA,NA,NA,140.42,7.12,29,NA,10,4,63,NA,NA,NA,NA,2,0,NA,NA,7,NA,7,NA,27,4,NA,NA,15,6,NA,NA,6,12,NA,NA,NA,NA,NA,NA,7,6,NA,19,54,62,16,NA,3,7,10,NA,NA,5,NA,NA,20,5,10,NA,NA,10,4,5,12,11,NA,NA,NA,NA,12,NA,6,11,12,NA,NA,NA,40,NA,114,NA,NA,4,NA,9,NA,9,3,4,4,3,NA,NA,6,NA,16,NA,6,NA,9,8,NA,4,8,20,NA,35,8,22,NA,20,NA,NA,1,3,6,4,7,78,9,6,11,6,NA,10,NA,6,NA,6,NA,9,NA,70,13,NA,NA,13,NA,NA,6,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.38,0.15,0.12,NA,NA,NA,10.06,0.19,0,NA,0,36,3,NA,NA,NA,NA,0,NA,NA,NA,12,NA,0,NA,1,51,NA,NA,5,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,7,NA,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,4,8,6,NA,NA,4,14,0,0,16,NA,NA,NA,NA,0,NA,0,0,4,3,NA,NA,NM,3,4,NA,NA,6,NA,1,NA,0,4,6,8,0,NA,NA,6,NA,0,NA,5,NA,6,2,NA,0,0,9,NA,9,0,0,NA,1,NA,NA,0,4,22,0,0,0,0,1,7,0,NA,0,NA,35,NA,5,NA,0,NA,4,6,NA,NA,34,31,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.74,0.13,0.11,NA,NA,NA,0.43,0.16,0,NA,0,2,2,NA,NA,NA,NA,0,0,NA,NA,1,NA,0,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,1,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,NA,NA,0,1,0,0,2,NA,NA,NA,NA,0,0,0,0,0,2,NA,NA,2,2,2,0,NA,1,NA,0,NA,0,1,1,0,0,0,NA,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,2,0,0,NA,0,NA,0,0,0,1,0,0,0,0,0,2,0,NA,0,NA,0,NA,0,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"2,515,000","128,300","236,400",NA,NA,"1,135,000","2,541,000","398,000","46,689",NA,"105,400","200,006","1,326,000",NA,NA,NA,NA,"374,417","373,000",NA,NA,"41,750",NA,"556,000",NA,"4,600","372,000","1,633,000",NA,"936,100","12,626",NA,"853,000","774,000","1,135,000",NA,NA,NA,"1,633,000",NA,NA,"417,000","417,891",NA,"325,000","143,000","32,957","177,000",NA,"5,795","297,200","13,000",NA,NA,"50,382",NA,NA,"4,539,000","284,700","5,379",NA,NA,"769,390","482,000","118,294","96,928","1,874,000",NA,NA,NA,NA,"165,000","768,090","131,000","260,100","790,000","612,000","305,000",NA,"89,177","185,000","1,436,000","-25,807",NA,"254,078",NA,"1,992,800",NA,"337,000","91,330","704,000","235,928","55,621","171,000",NA,"612,000",NA,"870,000",NA,"1,602,000",NA,"3,614,000","418,000",NA,"123,000","292,000","47,395",NA,"342,900","-10,900","4,300",NA,"820,000",NA,"-12,162","-825,398","1,335,000","69,000","-141,085","265,000","-596,000","11,016","138,262","540,211","-304,762",NA,"182,000",NA,"1,319,000","-865,000","-4,009,000","13,257,000","41,300","16,014,000","616,000","233,498",NA,NA,"586,000","-809,500",NA,"9,296,000",NA,NA,NA,NA,NA,NA,"143,574","335,000",NA,"-22,765,000",NA,"444,000",NA,"9,142"
Cash from Investing,272601,"(259,000)","(172,200)","(456,400)",NA,NA,"(2,578,000)","(36,000)","(1,348,000)","-205,833",NA,"-58,500","-34,657","-72,000",NA,NA,NA,NA,"-225,308","-1,659,000",NA,NA,"-4,109",NA,"-582,000",NA,"-26,600","-148,000","-12,112,000",NA,"-93,900","-22,922",NA,"-1,969,000","-378,000","-456,000",NA,NA,NA,"3,696,000",NA,NA,"1,944,000","-118,381",NA,"-437,000","-186,000","-69,757","-256,000",NA,"204,883","-111,800","-1,224,000",NA,NA,"22,617",NA,NA,"-5,745,000","-43,300","-1,446",NA,NA,"-43,324","-28,500","-159,341","-24,024","-85,000",NA,NA,NA,NA,"-311,000","2,212","-156,000","-112,800","-134,000","-167,000","-275,000",NA,"-3,362","-506,000","-273,000",NA,NA,"-39,428",NA,"-362,900",NA,"-487,000","-18,076","-68,000","-16,892","-6,294","1,530,000",NA,"-90,000",NA,"-357,000",NA,"-383,000",NA,"-4,256,000","-101,000",NA,"-2,224,000","-923,000","-192,460",NA,"-97,000","-84,300","-81,400",NA,"-205,000",NA,"-2,340,033","-389,873","-809,000","-7,000","-2,047","-1,408,000","91,000","-160,065","-183,556","-96,319","-27,176",NA,"-390,000",NA,"-2,198,000","-34,155,000","-1,543,000","-22,406,000","-60,700","-8,923,000","-787,000","-31,429",NA,NA,0,"822,400",NA,"-5,043,000",NA,NA,NA,NA,NA,NA,"-163,240","-904,000",NA,"20,512,000",NA,"-126,000",NA,NA
Cash from Financing,272618,"(1,802,000)","27,800","220,000",NA,NA,"(2,609,000)","(1,683,000)","1,083,000","-17,806",NA,"-37,400","-92,908","-96,000",NA,NA,NA,NA,"-194,569","-795,000",NA,NA,"-13,691",NA,"-15,000",NA,"-536,600","-238,000","-2,437,000",NA,"-385,800","10,597",NA,"1,113,000","-314,000","-448,000",NA,NA,NA,"-1,829,000",NA,NA,"-2,672,000","-222,954",NA,"127,000","35,000","35,653","83,000",NA,"-170,716","-54,500","-103,000",NA,NA,"-44,462",NA,NA,"2,284,000","64,100","-14,915",NA,NA,"-951,507","-144,600","-71,434","79,592","-1,604,000",NA,NA,NA,NA,"126,000","-501,806","24,000","-606,400","-624,000","-212,000","-38,000",NA,"-96,208","243,000","-783,000","30,605",NA,"-29,905",NA,"-1,935,600",NA,"-8,000","-97,029","-434,000","-229,554","-54,098","-2,378,000",NA,"-385,000",NA,"-757,000",NA,"-1,307,000",NA,"14,133,000","-252,000",NA,"2,088,000","53,000","127,485",NA,"-452,600","94,500","76,700",NA,"-608,000",NA,"2,411,092","1,880,026","-1,769,000","-36,000","291,007","1,169,000","-541,000","167,885","104,264","3,377,122","562,476",NA,"201,000",NA,"886,000","37,373,000","2,681,000","41,347,000","5,000","-4,450,000","25,000","-116,800",NA,NA,"-285,000","80,300",NA,"9,062,000",NA,NA,NA,NA,NA,NA,"276,727","541,000",NA,"20,095,000",NA,"-663,000",NA,"-8,887"
Foreign Exchange Rate Adj.,272619,"59,000",NA,NA,NA,NA,"4,000",NA,NA,NA,NA,NA,"74,155.00","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,164,000.00",NA,"-2,100.00",NA,NA,"3,000.00","76,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"9,018.00",NA,NA,NA,NA,NA,NA,252.00,"18,100.00",NA,NA,NA,NA,NA,NA,"385,000.00","30,100.00","4,142.00",NA,NA,"94,390.00","8,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"-1,417.00",NA,"1,300.00","5,000.00",NA,"4,000.00",NA,NA,0.00,NA,NA,NA,199.00,NA,"71,000.00",NA,NA,"3,238.00","45,000.00","8,181.00",NA,NA,NA,"19,000.00",NA,NA,NA,NA,NA,"-81,000.00","5,000.00",NA,NA,NA,NA,NA,"7,300.00",NA,NA,NA,NA,NA,NA,"2,931.00","43,000.00",NA,"3,391.00",NA,NA,NA,437.00,"-9,991.00",NA,NA,NA,NA,NA,"71,000.00","59,000.00",NA,NA,NA,NA,482.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-530.00,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"513,000","(16,100)",NA,NA,NA,"(4,048,000)","822,000","133,000","-176,950.00",NA,"9,500.00","146,596.00","1,159,000.00",NA,NA,NA,NA,"-45,460.00","-2,081,000.00",NA,NA,"23,950.00",NA,"-41,000.00",NA,"-558,600.00","-14,000.00","-14,080,000.00",NA,"454,300.00",301.00,NA,0.00,"158,000.00","231,000.00",NA,NA,NA,"3,500,000.00",NA,NA,"-311,000.00","85,574.00",NA,"15,000.00","-8,000.00","-1,147.00","4,000.00",NA,"40,214.00","149,000.00","-1,314,000.00",NA,NA,"28,537.00",NA,NA,"1,463,000.00","335,600.00","-6,840.00",NA,NA,"-131,051.00","317,300.00","-112,481.00","152,496.00","185,000.00",NA,NA,NA,NA,"-20,000.00","267,079.00","-1,000.00","-457,800.00","37,000.00","233,000.00","-5,000.00",NA,"-10,393.00","-78,000.00","380,000.00","4,798.00",NA,"184,944.00",NA,"-234,700.00",NA,"-158,000.00","-20,537.00","247,000.00","-2,337.00","-4,771.00","-677,000.00",NA,"156,000.00",NA,"-244,000.00",NA,"-88,000.00",NA,"13,410,000.00","70,000.00",NA,"59,000.00","-578,000.00","-17,580.00",NA,"-199,400.00",-700.00,-400.00,NA,"7,000.00",NA,"58,897.00","667,686.00","-1,200,000.00","26,000.00","151,266.00","26,000.00","-1,046,000.00","18,836.00","59,407.00","3,811,023.00","230,538.00",NA,"-7,000.00",NA,"7,000.00","2,424,000.00","-2,812,000.00","32,198,000.00","-14,400.00","2,641,000.00","-146,000.00","85,751.00",NA,NA,"301,000.00","93,200.00",NA,"13,315,000.00",NA,NA,NA,NA,NA,NA,"256,531.00","-28,000.00",NA,"17,842,000.00",NA,"-345,000.00",NA,255.06
Capital Expenditure,272592,"(422,000)","(318,900)","(458,100)",NA,NA,"(1,094,000)","(69,000)","(1,354,000)","-6,002.00",NA,"-200,800.00","-34,030.00","-66,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-4,109.00",NA,"-707,000.00",NA,"-24,100.00","-4,000.00","-1,146,000.00",NA,"-104,200.00","-17,872.00",NA,NA,"-391,000.00","-417,000.00",NA,NA,NA,"-55,000.00",NA,NA,"-1,677,000.00","-42,128.00",NA,"-447,000.00","-219,000.00","-61,827.00","-223,000.00",NA,NA,"-111,800.00","-2,442,000.00",NA,NA,NA,NA,NA,"-1,531,000.00","-16,800.00","-1,641.00",NA,NA,"-106,823.00","-33,700.00","-15,727.00",-781.00,"-116,000.00",NA,NA,NA,NA,"-316,000.00","-30,542.00","-110,000.00","-110,300.00","-105,000.00","-177,000.00","-286,000.00",NA,"-1,531.00","-557,000.00","-279,000.00",NA,NA,"-30,021.00",NA,"-463,100.00",NA,"-495,000.00","-17,861.00","-66,000.00","-9,674.00",0.00,NA,NA,"-101,000.00",NA,"-441,000.00",NA,"-592,000.00",NA,"-433,000.00","-104,000.00",NA,"-2,215,000.00","-922,000.00","-9,941.00",NA,"-82,100.00","-84,800.00","-81,500.00",NA,"-206,000.00",NA,NA,"-391,890.00","-623,000.00","-7,000.00","-8,204.00","-1,586,000.00","-90,000.00","-166,995.00","-192,631.00","-116,558.00","-26,366.00",NA,"-390,000.00",NA,"-73,000.00","-266,000.00","-265,000.00","-166,000.00","-49,400.00","-1,403,000.00","-765,000.00","-31,441.00",NA,NA,"-9,000.00","-19,600.00",NA,"-4,024,000.00",NA,NA,NA,NA,NA,NA,"-145,741.00","-875,000.00",NA,NA,NA,"-440,000.00",NA,NA
Change in Net Working Capital,272627,"(482,000)","(160,500)","(260,600)",NA,NA,NA,"(877,000)","(276,000)","25,412.00",NA,"-105,200.00","193,519.00","-665,000.00",NA,NA,NA,NA,"-73,992.00","-3,785,000.00",NA,NA,"-2,308.00","14,000.00","-306,000.00",NA,"28,400.00","56,000.00",NA,NA,"-519,200.00","18,790.00",NA,NA,"-223,000.00","331,000.00",NA,NA,NA,NA,NA,NA,"-8,127,000.00","-82,823.00","-381,000.00","25,000.00","20,000.00","5,329.00","-42,000.00",NA,"-13,738.00","-75,400.00","741,000.00",NA,NA,"60,962.00",NA,NA,"-483,000.00","-209,600.00","1,820.00",NA,NA,"-217,615.00","-284,939.00","-24,226.00","-121,068.00","-862,000.00",NA,NA,NA,NA,"-3,000.00",NA,"-40,000.00","10,700.00","-276,000.00","-49,000.00",NA,NA,"60,617.00","911,000.00","-594,000.00","9,005.00",NA,"-73,832.00",NA,"-621,100.00",NA,"45,000.00","-20,275.00","-265,000.00","-123,563.00","10,904.00",NA,"-275,000.00","-345,000.00",NA,"407,000.00",NA,"608,000.00",NA,"-517,000.00","-130,000.00",NA,"683,000.00","83,000.00","43,205.00",NA,"-37,500.00","75,500.00","48,600.00",NA,"12,000.00",NA,NA,"315,152.00","522,000.00","49,000.00","55,697.00","-1,812,000.00","28,000.00","119,915.00","65,453.00","-692,786.00","351,935.00",NA,"1,000.00",NA,"9,711,000.00",NA,"-4,490,000.00",NA,"43,600.00",NA,"358,000.00","-109,765.00",NA,NA,"-21,000.00","5,540,300.00",NA,"-593,000.00",NA,NA,NA,NA,NA,NA,"-28,240.00","56,000.00",NA,NA,NA,"-117,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"1,916,500","(14,275)","(30,088)",NA,NA,NA,"2,611,750","(638,750)","100,067.00",NA,"119,712.50","20,531.75","1,274,000.00",NA,NA,NA,NA,"367,275.63","3,016,625.00",NA,NA,"38,698.63",NA,"116,250.00",NA,"-4,212.50","797,250.00",NA,NA,"861,450.00","-18,276.13",NA,NA,"658,375.00","367,250.00",NA,NA,NA,NA,NA,NA,"7,449,500.00","289,190.75",NA,"-40,875.00","24,250.00","-36,934.38","-56,875.00",NA,"79,399.00","194,500.00","-1,280,500.00",NA,NA,"4,695.63",NA,NA,"-844,000.00","476,475.00","31,062.13",NA,NA,"774,361.25","596,714.00","109,116.63","190,249.63","1,543,375.00",NA,NA,NA,NA,"-135,125.00",NA,"-197,250.00","145,737.50","858,250.00","397,875.00",NA,NA,"47,651.75","-355,750.00","1,015,500.00","26,361.13",NA,"243,309.50",NA,"1,906,137.50",NA,"-336,625.00","52,566.25","706,375.00","295,365.38","43,824.50",NA,NA,"502,000.00",NA,"71,375.00",NA,"-570,375.00",NA,"3,922,625.00","361,125.00",NA,"-1,431,125.00","-560,250.00","12,020.13",NA,"197,450.00","-105,662.50","-71,837.50",NA,"530,500.00",NA,NA,"-882,031.88","377,750.00","51,250.00","-101,017.75","1,137,750.00","-536,000.00","-154,220.00","-77,372.88","812,464.63","-339,693.63",NA,"-206,875.00",NA,"-7,596,000.00",NA,"1,397,375.00",NA,"-63,800.00",NA,"213,500.00","167,712.63",NA,NA,"63,750.00","-5,395,062.50",NA,"6,233,250.00",NA,NA,NA,NA,NA,NA,"-16,806.50","-214,250.00",NA,NA,NA,"132,625.00",NA,-8.26
