SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditure,272592,"(379,000)","(334,500)","(333,900)",NA,NA,"(811,000)","(54,000)","(613,000)","-5,148.00",NA,"-181,100.00","-31,571.00","-121,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-2,970.00","-200,000.00","-614,000.00",NA,NA,"-6,000.00","-858,000.00",NA,"-77,100.00","-11,281.00",NA,NA,"-288,000.00","-420,000.00",NA,NA,NA,"-94,000.00",NA,NA,"-1,632,000.00","-38,999.00","-2,271,000.00","-510,000.00","-246,000.00","-44,063.00","-186,000.00",NA,NA,"-104,800.00","-1,757,000.00",NA,NA,NA,NA,NA,"-1,175,000.00","-19,300.00","-2,796.00",NA,NA,"-103,582.00","-33,200.00","-20,124.00",-328.00,"-149,000.00",NA,NA,NA,NA,"-163,000.00","-59,726.00","-122,000.00","-95,900.00","-125,000.00","-201,000.00","-236,000.00",NA,-143.00,"-321,000.00","-174,000.00",NA,NA,"-72,161.00",NA,"-305,000.00",NA,"-352,000.00","-26,153.00","-54,000.00","-3,984.00",-54.00,NA,"-8,000.00","-36,000.00",NA,"-369,000.00",NA,"-269,000.00",NA,"-349,000.00","-48,000.00",NA,"-1,758,000.00","-607,000.00","-3,725.00",NA,"-41,300.00","-44,700.00","-88,300.00",NA,"-289,000.00",NA,NA,"-139,337.00","-458,000.00","-5,000.00","-42,605.00","-1,245,000.00","-113,000.00","-181,148.00","-212,780.00","-217,651.00","-90,070.00",NA,"-329,000.00",NA,"-101,000.00","-359,000.00","-348,000.00","-179,000.00","-24,100.00","-1,065,000.00","-680,000.00","-15,346.00",NA,NA,"-12,000.00","-38,400.00",NA,"-4,576,000.00",NA,NA,NA,NA,NA,NA,"-163,443.00","-852,000.00",NA,NA,NA,"-11,000.00",NA,NA
Change in Net Working Capital,272627,"(879,000)","25,000","117,700",NA,NA,NA,"113,000","62,000","-54,961.00",NA,"110,000.00","-151,028.00","-4,000.00",NA,NA,NA,NA,"-12,750.00","-4,538,000.00",NA,NA,"-17,100.00","-407,000.00","-1,430,000.00",NA,"-121,100.00","-73,000.00",NA,NA,"160,400.00","-22,223.00",NA,NA,"-58,000.00","-155,000.00",NA,NA,NA,NA,NA,NA,"-1,419,000.00","-61,080.00","-924,000.00","41,000.00","-201,000.00","-8,019.00","-22,000.00",NA,"100,869.00","-33,600.00","-1,100,000.00",NA,NA,"-13,105.00",NA,NA,"-2,965,000.00","-224,900.00","-117,103.00",NA,NA,"-111,003.00","131,952.00","-17,718.00","-22,101.00","1,836,000.00",NA,NA,NA,NA,"105,000.00",NA,"45,000.00","-21,800.00","28,000.00","-83,000.00",NA,NA,"-27,767.00","492,000.00","37,000.00","13,711.00",NA,"-180,247.00",NA,"891,500.00",NA,"228,000.00","37,313.00","42,000.00","-75,360.00","-23,308.00",NA,"-87,000.00","33,000.00",NA,"-201,000.00",NA,"-1,130,000.00",NA,"1,946,000.00","-40,000.00",NA,"-23,452,000.00","67,000.00","-9,935.00",NA,"-246,800.00","-10,200.00","30,500.00",NA,"-168,000.00",NA,NA,"1,403,437.00","-911,000.00","13,000.00","-15,094.00","364,000.00","-1,275,000.00","-31,796.00","20,547.00","14,258.00","30,694.00",NA,"20,000.00",NA,"-995,000.00",NA,"1,690,000.00",NA,"-33,100.00",NA,"-124,000.00","17,132.00",NA,NA,"-49,000.00","1,304,500.00",NA,"-6,053,000.00",NA,NA,NA,NA,NA,NA,"-5,909.00","-253,000.00",NA,NA,NA,"-64,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"1,913,375","(140,463)","(326,450)",NA,NA,NA,"1,706,125","(144,000)","167,806.50",NA,"-92,625.00","291,011.50","142,375.00",NA,NA,NA,NA,"324,847.13","2,989,875.00",NA,NA,"34,558.00","306,625.00","1,259,250.00",NA,NA,"811,375.00",NA,NA,"180,675.00","24,204.75",NA,NA,"329,500.00","595,750.00",NA,NA,NA,NA,NA,NA,"1,108,750.00","218,918.88","738,000.00","-84,500.00","172,750.00","-6,599.13","-33,125.00",NA,"-36,479.63","130,850.00","1,060,375.00",NA,NA,"75,814.00",NA,NA,"2,569,375.00","385,625.00","109,801.13",NA,NA,"583,019.75","-39,239.50","95,159.63","63,466.75","-1,118,375.00",NA,NA,NA,NA,"-83,375.00",NA,"-84,125.00","134,512.50","470,750.00","349,375.00",NA,NA,"73,358.75","1,022,125.00","60,125.00","16,101.00",NA,"228,261.63",NA,"-113,562.50",NA,"-323,875.00","3,468.13","214,875.00","225,855.38","80,821.25",NA,"196,250.00","125,375.00",NA,"519,625.00",NA,"1,979,625.00",NA,"865,000.00","229,500.00",NA,"23,172,875.00","-302,750.00","33,290.25",NA,"343,875.00","-11,725.00","-35,237.50",NA,"630,375.00",NA,NA,"-1,926,760.75","1,334,750.00","79,375.00","-59,411.50","-780,125.00","128,750.00","-82,344.63","-119,131.25","365,481.00","-69,187.50",NA,"-154,500.00",NA,"2,437,625.00",NA,"-2,742,250.00",NA,"40,137.50",NA,"532,125.00","72,730.00",NA,NA,"177,125.00","-1,066,975.00",NA,"9,069,750.00",NA,NA,NA,NA,NA,NA,"-56,089.38","170,375.00",NA,NA,NA,"312,500.00",NA,NA
Levered Free Cash Flow,272625,"1,827,750","(166,838)","(346,950)",NA,NA,NA,"1,507,375","(205,500)","151,180.75",NA,"-126,437.50","267,555.88","83,000.00",NA,NA,NA,NA,"257,883.38","2,961,750.00",NA,NA,"30,426.50","290,500.00","1,182,875.00",NA,NA,"802,625.00",NA,NA,"104,550.00","22,691.63",NA,NA,"287,625.00","476,375.00",NA,NA,NA,NA,NA,NA,"786,250.00","200,974.50","391,750.00","-134,500.00","146,500.00","-10,361.63","-48,750.00",NA,"-58,791.13","107,975.00","793,500.00",NA,NA,"68,429.88",NA,NA,"2,288,125.00","363,000.00","104,879.88",NA,NA,"532,332.25","-70,239.50","79,986.50","47,416.63","-1,158,375.00",NA,NA,NA,NA,"-119,000.00",NA,"-97,875.00","110,700.00","372,625.00","316,250.00",NA,NA,"73,358.75","908,375.00","28,625.00","9,354.75",NA,"219,006.63",NA,"-313,000.00",NA,"-372,625.00","-2,938.75","177,375.00","201,230.50","73,525.13",NA,"160,625.00","81,000.00",NA,"422,125.00",NA,"1,883,375.00",NA,"575,625.00","207,000.00",NA,"23,054,750.00","-371,500.00","28,309.13",NA,"332,687.50","-18,162.50","-44,925.00",NA,"573,500.00",NA,NA,"-2,044,510.38","1,118,500.00","66,625.00","-83,352.13","-900,750.00","70,000.00","-97,339.00","-135,662.50","322,473.75","-74,521.25",NA,"-176,375.00",NA,"2,388,250.00",NA,"-3,087,875.00",NA,"36,137.50",NA,"450,875.00","67,318.13",NA,NA,"174,625.00","-1,096,662.50",NA,"8,389,125.00",NA,NA,NA,NA,NA,NA,"-62,051.88","84,750.00",NA,NA,NA,"248,125.00",NA,"-2,638.42"
Cash from Ops. to Curr. Liab. (x),274482,1.05,0.63,0.60,NA,NA,NA,0.77,0.81,2.13,NA,0.52,0.21,0.42,NA,NA,NA,NA,2.55,0.09,NA,NA,1.21,0.70,0.48,NA,NA,0.55,NA,NA,0.26,1.68,NA,NA,0.73,1.72,NA,NA,NA,0.08,NA,NA,0.63,0.51,0.43,0.93,0.80,0.54,0.80,NA,NM,0.61,0.58,NA,NA,2.65,NA,NA,0.39,0.67,0.77,NA,NA,0.50,NM,2.18,NM,NM,NA,NA,NA,NA,1.11,0.16,0.42,2.12,0.36,0.76,NA,NA,4.46,0.37,0.35,NM,NA,0.69,NA,NM,NA,0.37,0.21,0.24,1.24,3.34,0.07,0.41,0.15,NA,1.66,NA,0.96,NA,0.14,0.81,NA,0.11,0.76,0.48,NA,0.80,0.47,0.34,NA,1.17,NA,0.79,NM,0.00,0.33,NM,0.25,0.38,0.66,0.45,0.34,0.45,NA,0.55,NA,0.17,NA,NM,NM,0.79,NM,0.30,0.44,NA,NA,0.39,1.95,NA,1.52,NA,NA,NA,NA,NA,NA,1.09,1.06,NA,NA,NA,2.16,NA,0.00
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,7.62,2.00,2.56,NA,NA,0.53,14.07,3.24,1.345,NA,2.402,3.219,4.048,NA,NA,NA,NA,2.259,-2.696,NA,NA,-3.69,1.302,1.785,NA,-0.015,11.871,0.19,NA,5.51,0.491,NA,NA,2.202,5.441,NA,NA,NA,-1.3,NA,NA,2.246,5.505,1.837,4.033,2.42,1.998,2.604,NA,1.042,5.068,1.129,NA,NA,2.77,NA,NA,-1.935,1.513,-3.838,NA,NA,1.08,0.302,1.407,-0.228,7.405,NA,NA,NA,NA,5.051,0.319,2.069,4.76,3.586,6.602,NA,NA,10.294,14.187,1.867,4.301,NA,3.796,NA,4.986,NA,1.324,5.236,6.899,13.284,4.546,0.542,2.512,3.107,NA,4.198,NA,7.482,NA,7.876,4.859,NA,1.822,2.646,2.008,NA,4.616,0.694,3.201,NA,8.656,NA,0.736,-8.434,-0.534,5.577,-13.974,1.984,-17.237,0.804,1.791,8.054,1.956,NA,3.956,NA,4.653,0.848,-3.337,0.696,2.718,0.134,3.137,12.224,NA,NA,15.538,1.477,NA,6.504,NA,NA,NA,NA,NA,NA,1.067,4.086,NA,-0.769,NA,3.405,NA,NA
Return on Capital,274474,10.52,2.77,3.24,NA,NA,NA,20.23,5.11,1.385,NA,3.422,6.932,5.181,NA,NA,NA,NA,2.36,-17.746,NA,NA,-3.957,2.086,2.686,NA,-0.019,30.14,NA,NA,6.724,0.881,NA,NA,2.948,7.26,NA,NA,NA,NA,NA,NA,3.21,7.624,2.595,5.37,3.594,2.812,3.604,NA,1.071,6.392,1.894,NA,NA,2.918,NA,NA,-2.545,1.896,-5.476,NA,NA,1.263,0.384,1.46,-0.254,47.066,NA,NA,NA,NA,6.282,NA,3.088,5.737,4.618,8.334,NA,NA,11.065,23.77,2.762,4.377,NA,5.738,NA,5.863,NA,1.816,7.347,13.357,17.267,4.693,NA,3.781,4.278,NA,5.732,NA,11.947,NA,11.048,6.294,NA,4.771,3.821,2.365,NA,6.859,1.023,5.329,NA,10.596,NA,NA,-9.914,-0.83,7.054,-16.374,3.574,-28.44,1.242,2.73,12.885,5.919,NA,5.66,NA,17.143,NA,-12.832,NA,4.386,NA,4.77,17.687,NA,NA,34.558,7.24,NA,9.506,NA,NA,NA,NA,NA,NA,1.223,6.21,NA,NA,NA,3.791,NA,NA
Return on Equity,274475,49.35,8.80,6.78,NA,NA,7.08,124.04,11.76,2.111,NA,7.656,11.348,-16.639,NA,NA,NA,NA,14.809,-38.461,NA,NA,-29.135,2.705,7.03,NA,-24.898,42.034,2.194,NA,13.756,-0.99,NA,NA,-2.326,16.598,NA,NA,NA,-15.247,NA,NA,10.924,16.443,-7.536,12.314,6.946,5.82,6.982,NA,-8.861,15.553,6.608,NA,NA,8.079,NA,NA,14.77,3.263,-22.594,NA,NA,0.572,-4.823,1.626,-3.632,-257.131,NA,NA,NA,NA,21.564,1.71,5.374,9.281,5.232,17.693,NA,NA,25.022,228.182,5.444,12.816,NA,13.213,NA,-20.635,NA,9.958,15.41,-62.349,-138.439,11.805,23.958,17.374,8.92,NA,10.543,NA,42.825,NA,52.516,10.572,NA,-34.093,7.635,0.578,NA,-107.305,1.013,13.39,NA,16.995,NA,3.293,-64.126,-27.542,16.158,154.562,8.928,-36.686,2.239,5.984,60.746,16.141,NA,11.926,NA,17.295,9.046,92.373,9.403,12.651,1.617,13.36,41.516,NA,NA,87.728,10.43,NA,30.781,NA,NA,NA,NA,NA,NA,1.621,14.254,NA,-8.36,NA,3.537,NA,1.932
Return on Common Equity,274476,49.74,8.80,6.78,NA,NA,7.08,126.89,11.92,1.39,NA,7.656,11.436,-16.566,NA,NA,NA,NA,25.822,-38.718,NA,NA,-29.135,2.705,6.368,NA,-25.07,42.034,1.823,NA,13.845,-0.991,NA,NA,-3.909,16.618,NA,NA,NA,-16.462,NA,NA,11.907,16.443,-7.495,12.314,6.946,5.82,6.982,NA,-9.731,15.778,6.394,NA,NA,8.034,NA,NA,14.776,2.328,-22.223,NA,NA,0.545,-5.085,1.626,-3.817,-257.131,NA,NA,NA,NA,21.564,1.912,5.374,9.919,5.232,17.693,NA,NA,25.022,227.365,5.444,12.816,NA,13.287,NA,-20.635,NA,9.958,15.41,-60.742,-138.439,11.879,24.096,21.268,8.983,NA,10.543,NA,42.825,NA,54.383,10.8,NA,-36.058,7.636,0.578,NA,-107.329,1.013,13.39,NA,16.995,NA,-0.794,-68.319,-28.838,16.28,154.562,9.426,-36.686,2.239,5.887,61.564,16.141,NA,11.926,NA,18.298,9.379,89.105,10.132,12.651,0.935,13.602,41.516,NA,NA,87.728,10.43,NA,30.592,NA,NA,NA,NA,NA,NA,0.646,14.254,NA,-10.346,NA,3.537,NA,1.932
Gross Profit Margin,274477,46.98,70.31,90.34,NA,NA,NA,65.96,55.69,52.028,NA,43.608,11.359,33.873,NA,NA,NA,NA,63.113,210.954,NA,NA,65.745,33.126,41.968,NA,11.994,43.81,NA,NA,28.286,29.424,NA,NA,33.346,52.772,NA,NA,NA,81.006,NA,NA,52.994,37.298,49.068,47.92,46.191,41.654,57.92,NA,85.293,58.354,26.84,NA,NA,74.302,NA,NA,-4.089,55.952,54.282,NA,NA,46.545,53.365,68.625,49.986,19.994,NA,NA,NA,NA,94.152,68.034,53,51.78,55.168,42.438,10.956,NA,24.756,32.107,40.668,100,NA,14.495,NA,45.867,NA,51.948,27.187,48.269,82.8,98.26,100,25.404,31.454,NA,43.885,NA,20.554,NA,78.698,21.169,NA,32.98,45.28,17.385,NA,23.296,38.55,37.913,NA,72.763,NA,100,-272.885,13.136,11.606,NM,39.295,-142.857,36.444,20.697,18.825,56.782,NA,55.738,NA,35.615,NA,-2.761,96.816,39.778,88.39,21.872,33.351,NA,NA,29.008,28.949,NA,61.412,NA,NA,NA,NA,NA,NA,30.756,59.335,NA,NA,NA,21.337,NA,NA
Net Income Margin,274478,18.20,16.66,30.95,NA,NA,15.30,38.38,18.19,11.332,NA,12.753,2.01,1.309,NA,NA,NA,NA,46.411,215.944,NA,NA,-24.159,2.692,6.667,NA,-64.182,33.493,9.607,NA,9.235,-1.609,NA,NA,-2.772,22.129,NA,NA,NA,-59.74,NA,NA,-37.637,8.322,-14.794,17.28,13.128,10.35,15.603,NA,-60.411,10.195,7.113,NA,NA,33.284,NA,NA,5.766,12.481,-8.704,NA,NA,2.233,-3.94,7.658,-21.825,6.127,NA,NA,NA,NA,35.38,3.871,12,20.022,10.405,5.44,-7.874,NA,11.55,7.984,1.503,83.391,NA,3.633,NA,12.862,NA,33.766,6.5,8.344,28.105,53.246,32.134,4.313,3.695,NA,18.801,NA,11.312,NA,24.038,5.908,NA,-10.435,14.51,0.168,NA,-15.314,3.435,15.036,NA,23.902,NA,1.306,NM,-27.274,3.576,NM,13.792,-90.774,4.55,5.014,2.552,23,NA,21.311,NA,12.016,24.567,-20.124,27.388,11.626,3.187,1.054,10.592,NA,NA,13.291,8.788,NA,15.437,NA,NA,NA,NA,NA,NA,0.539,27.147,NA,-43.794,NA,4.414,NA,NA
Earnings from Cont Ops Margin,274479,18.16,16.66,30.95,NA,NA,15.37,38.29,18.26,11.332,NA,12.753,2.018,1.309,NA,NA,NA,NA,46.294,215.944,NA,NA,-24.159,3.52,8.571,NA,-12.75,33.493,9.616,NA,9.27,-1.609,NA,NA,-2.772,22.129,NA,NA,NA,-59.74,NA,NA,27.978,8.322,-16.455,17.28,13.128,10.35,15.603,NA,-60.411,10.216,7.836,NA,NA,33.37,NA,NA,5.772,5.741,-8.865,NA,NA,2.359,-3.824,7.658,-21.837,6.127,NA,NA,NA,NA,35.38,3.624,12,20.131,10.405,5.44,-7.874,NA,11.55,7.984,1.503,83.391,NA,3.621,NA,12.862,NA,33.766,6.5,8.405,28.105,53.315,32.134,4.313,3.695,NA,18.801,NA,11.312,NA,24.038,5.846,NA,-10.435,14.51,0.168,NA,-15.314,3.435,15.036,NA,23.902,NA,10.499,NM,-27.167,3.576,NM,13.792,-90.774,4.55,5.267,2.552,23,NA,21.311,NA,10.632,24.955,-20.285,27.388,11.626,3.187,1.019,10.592,NA,NA,13.291,8.788,NA,15.893,NA,NA,NA,NA,NA,NA,1.361,27.147,NA,-43.248,NA,4.414,NA,NA
EBIT Margin,274481,19.38,21.30,44.52,NA,NA,NA,57.15,28.74,17.709,NA,19.545,3.021,6.03,NA,NA,NA,NA,30.484,268.655,NA,NA,-16.885,8.489,14.857,NA,-0.108,42.704,NA,NA,17.52,3.233,NA,NA,9.528,37.517,NA,NA,NA,NA,NA,NA,30.071,13.262,21.693,26.56,21.718,16.85,23.404,NA,28.529,16.972,7.741,NA,NA,37.231,NA,NA,-10.66,9.773,-8.844,NA,NA,11.35,1.453,21.15,-5.38,7.771,NA,NA,NA,NA,61.111,NA,16.75,34.842,24.511,8.646,-5.658,NA,14.345,11.342,2.744,83.05,NA,4.781,NA,26.646,NA,18.994,9.215,17.985,52.531,69.128,NA,6.604,8.29,NA,30.36,NA,14.599,NA,33.534,11.077,NA,15.244,22.552,2.855,NA,5.451,9.924,19.994,NA,37.743,NA,NA,NM,-2.29,6.462,NM,17.55,-213.69,8.419,7.813,4.109,24.781,NA,29.872,NA,21.234,NA,-17.295,NA,13.521,NA,1.977,13.951,NA,NA,18.249,13.167,NA,25.112,NA,NA,NA,NA,NA,NA,3.111,37.618,NA,NA,NA,13.979,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
