SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,517,000","619,100","558,000",NA,NA,"1,978,000","5,251,000","2,600,000","466,728",NA,"1,056,000","7,712,541","1,610,000",NA,NA,NA,NA,"715,943","1,808,000",NA,NA,"181,573","607,000","1,988,000",NA,"683,000","3,726,000","19,836,000",NA,"2,841,000","55,539","6,570,000","5,183,000","4,100,000","3,587,000",NA,NA,NA,NA,NA,NA,"4,527,000","2,077,841","8,542,000","2,157,000","992,000","175,900","679,000",NA,"185,144","1,544,900","6,705,000",NA,NA,"181,817",NA,NA,"50,534,000","1,027,100","270,201","5,143,000",NA,"2,007,637","1,387,500",NA,"390,235","13,932,000",NA,NA,NA,NA,"454,000","2,047,432","864,000",NA,"4,306,000","3,710,000","3,744,000",NA,"396,632","20,170,000","4,903,000","139,831",NA,"3,966,948",NA,"7,078,000",NA,"1,126,000","971,363","3,009,000","793,426","89,920","-7,000","684,000","1,806,000",NA,"3,103,000",NA,"10,423,000",NA,"14,130,000","2,684,000",NA,"6,250,000","2,113,000","975,631",NA,"1,861,300","84,500","693,400",NA,"1,161,000",NA,"942,996","5,139,000","22,478,000","1,976,000","1,317,753","5,740,000","6,949,000","316,911","316,911","19,598,000","148,071",NA,"921,000",NA,"17,255,000","5,088,000","23,270,000","6,135,000","279,000","14,845,000","33,634,000","1,131,300",NA,NA,"1,215,000","3,378,400",NA,"33,821,000",NA,NA,NA,NA,NA,NA,"1,123,767","3,311,000",NA,"20,755,000",NA,"1,717,000",NA,NA
Gross Profit,271473,"2,725,000","408,600","508,100",NA,NA,"1,978,000","3,810,000","1,404,000","262,181.00",NA,"370,400.00","835,314.00","700,000.00",NA,NA,NA,NA,"373,148.00","1,346,000.00",NA,NA,"123,930.00","249,000.00","1,027,000.00",NA,"204,300.00","1,455,000.00","19,836,000.00",NA,"710,300.00","15,192.00","1,492,000.00","711,000.00","1,520,000.00","1,682,000.00",NA,NA,NA,NA,NA,NA,"2,273,000.00","837,866.00","4,381,000.00","1,032,000.00","454,000.00","79,900.00","365,000.00",NA,"170,666.00","881,700.00","2,841,000.00",NA,NA,"135,632.00",NA,NA,"4,311,000.00","649,200.00","132,426.00","1,989,000.00",NA,"1,450,955.00","851,500.00",NA,"265,956.00","2,851,000.00",NA,NA,NA,NA,"418,000.00","1,714,335.00","402,000.00",NA,"2,340,000.00","1,573,000.00","772,000.00",NA,"86,111.00","6,796,000.00","2,039,000.00","139,831.00",NA,"537,749.00",NA,"4,105,000.00",NA,"576,000.00","265,839.00","1,556,000.00","660,898.00","71,057.00","-7,000.00","172,000.00","616,000.00",NA,"1,483,000.00",NA,"2,227,000.00",NA,"9,935,000.00","779,000.00",NA,"2,468,000.00","725,000.00","220,964.00",NA,"400,000.00","11,600.00","222,800.00",NA,"782,000.00",NA,"942,996.00","2,700,000.00","4,580,000.00","237,000.00","665,810.00","2,886,000.00","1,476,000.00","140,418.00","139,449.00","3,581,000.00","78,675.00",NA,"494,000.00",NA,"6,433,000.00","5,088,000.00","-2,375,000.00","5,986,000.00","108,700.00","12,332,000.00","7,686,000.00","389,000.00",NA,NA,"199,000.00","759,100.00",NA,"20,475,000.00",NA,NA,NA,NA,NA,NA,"361,820.00","1,631,000.00",NA,"20,755,000.00",NA,"204,000.00",NA,NA
Earnings from Cont. Ops.,271505,"841,000","166,700","205,500",NA,NA,"398,000","2,375,000","641,000","130,527.5",NA,"81,100.0","109,262.0","106,000.0",NA,NA,NA,NA,"-112,224.0","481,000.0",NA,NA,"7,658.0","74,000.0","293,000.0",NA,"39,200.0","1,122,000.0","3,791,000.0",NA,"145,100.0","-3,470.0","929,000.0","137,000.0","470,000.0","694,000.0",NA,NA,NA,NA,NA,NA,"1,028,000.0","303,292.0","1,454,000.0","397,000.0","167,000.0","30,800.0","78,000.0",NA,"66,586.0","161,500.0","875,000.0",NA,NA,"67,364.0",NA,NA,"2,448,000.0","117,000.0","-40,038.0","464,000.0",NA,"473,275.0","233,900.0",NA,"119,402.0","763,000.0",NA,NA,NA,NA,"133,000.0","242,504.0","119,000.0",NA,"662,000.0","22,000.0","215,000.0",NA,"19,704.0","1,695,000.0","28,000.0","123,671.0",NA,"166,497.0",NA,"2,278,000.0",NA,"337,000.0","59,707.0","564,000.0","325,386.0","32,478.0","-86,000.0","-17,000.0","21,000.0",NA,"711,000.0",NA,"1,100,000.0",NA,"2,936,000.0","-495,000.0",NA,"913,000.0","257,000.0","35,303.0",NA,"-15,700.0","-15,300.0","129,800.0",NA,"176,000.0",NA,"228,798.0","1,579,000.0","2,006,000.0","106,000.0","-1,162,532.0","959,000.0","54,000.0","5,520.0","4,175.0","401,000.0","21,271.0",NA,"220,000.0",NA,"3,744,000.0","1,457,000.0","-5,339,000.0","2,358,000.0","16,900.0","4,098,000.0","617,000.0","53,500.0",NA,NA,"34,000.0","39,700.0",NA,"5,056,000.0",NA,NA,NA,NA,NA,NA,"-146,907.0","690,000.0",NA,"5,609,000.0",NA,"80,000.0",NA,NA
Net Income,271510,"834,000","166,700","178,900",NA,NA,"398,000","2,375,000","640,000","130,527.50",NA,"81,100.00","109,193.00","106,000.00",NA,NA,NA,NA,"-130,077.00","479,000.00",NA,NA,"7,658.00","74,000.00","293,000.00",NA,"38,100.00","1,122,000.00","3,752,000.00",NA,"145,100.00","-3,470.00","930,000.00","144,000.00","430,000.00","694,000.00",NA,NA,NA,NA,NA,NA,"1,006,000.00","301,996.00","1,421,000.00","397,000.00","167,000.00","30,800.00","78,000.00",NA,"66,586.00","160,200.00","875,000.00",NA,NA,"65,306.00",NA,NA,"2,447,000.00","55,000.00","-39,869.00","446,000.00",NA,"635,209.00","233,200.00",NA,"119,508.00","763,000.00",NA,NA,NA,NA,"133,000.00","252,545.00","119,000.00",NA,"662,000.00","22,000.00","215,000.00",NA,"19,704.00","1,695,000.00","28,000.00","123,671.00",NA,"160,660.00",NA,"2,278,000.00",NA,"337,000.00","59,707.00","562,000.00","325,386.00","32,862.00","-86,000.00","-19,000.00","21,000.00",NA,"711,000.00",NA,"1,100,000.00",NA,"2,936,000.00","-494,000.00",NA,"913,000.00","257,000.00","35,303.00",NA,"-15,800.00","-15,300.00","129,800.00",NA,"176,000.00",NA,"221,538.00","1,575,000.00","1,918,000.00","106,000.00","-1,187,348.00","959,000.00","54,000.00","5,520.00","270,476.00","401,000.00","21,271.00",NA,"220,000.00",NA,"3,746,000.00","1,445,000.00","-5,337,000.00","2,358,000.00","16,900.00","4,098,000.00","618,000.00","53,500.00",NA,NA,"34,000.00","39,700.00",NA,"4,950,000.00",NA,NA,NA,NA,NA,NA,"-158,413.00","668,000.00",NA,"5,589,000.00",NA,"80,000.00",NA,NA
EBIT,271530,"1,588,000","254,900","300,900",NA,NA,NA,"3,299,000","884,000","114,280.50",NA,"178,100.00","211,974.00","218,000.00",NA,NA,NA,NA,"102,516.00","615,000.00",NA,NA,"16,805.00","62,000.00","496,000.00",NA,"145,000.00","1,426,000.00",NA,NA,"398,300.00",-617.00,"1,086,000.00","159,000.00","597,000.00","1,258,000.00",NA,NA,NA,NA,NA,NA,"1,562,000.00","388,347.00","2,317,000.00","588,000.00","244,000.00","46,000.00","136,000.00",NA,"101,989.00","308,200.00","1,487,000.00",NA,NA,"81,142.00",NA,NA,"1,590,000.00","159,600.00","-14,404.00","731,000.00",NA,"639,223.00","341,100.00",NA,"175,122.00","837,000.00",NA,NA,NA,NA,"251,000.00",NA,"172,000.00",NA,"995,000.00","98,000.00","125,000.00",NA,"22,483.00","2,590,000.00","-21,000.00","121,987.00",NA,"252,144.00",NA,"3,320,000.00",NA,"325,000.00","103,162.00","799,000.00","447,690.00","44,152.00",NA,"58,000.00","127,000.00",NA,"1,135,000.00",NA,"1,378,000.00",NA,"4,422,000.00","485,000.00",NA,"1,382,000.00","365,000.00","66,293.00",NA,"62,700.00","-18,500.00","137,000.00",NA,"243,000.00",NA,NA,"1,703,000.00","2,787,000.00","160,000.00","436,606.00","1,850,000.00","35,000.00","42,346.00","41,377.00","734,000.00","24,899.00",NA,"300,000.00",NA,"4,217,000.00",NA,"-4,747,000.00",NA,"41,700.00",NA,"1,017,000.00","154,000.00",NA,NA,"48,000.00","106,700.00",NA,"8,094,000.00",NA,NA,NA,NA,NA,NA,"42,103.00","1,120,000.00",NA,NA,NA,"49,000.00",NA,NA
EBIT / Interest Expense (x),274483,6.85,3.84,4.91,NA,NA,NA,11.87,4.25,2.45,NA,2.54,3.24,2.83,NA,NA,NA,NA,0.62,16.62,NA,NA,2.20,1.27,2.04,NA,1.92,109.69,NA,NA,3.85,NM,8.10,1.18,7.65,5.99,NA,NA,NA,NA,NA,NA,2.96,14.26,2.57,4.98,3.70,4.04,2.62,NA,3.07,5.90,2.76,NA,NA,3.51,NA,NA,4.85,6.28,NM,5.71,NA,4.51,8.36,NA,3.99,7.54,NA,NA,NA,NA,2.73,NA,6.88,NA,5.29,1.29,5.21,NA,NA,7.06,NM,3.76,NA,5.55,NA,8.18,NA,3.13,5.80,7.76,8.35,3.21,NA,3.87,1.53,NA,5.76,NA,8.56,NA,4.96,7.46,NA,2.00,1.83,3.59,NA,1.89,NM,3.43,NA,9.72,NA,NA,6.87,5.77,5.00,4.80,4.59,1.59,0.92,0.84,4.93,1.38,NA,5.09,NA,41.75,NA,NM,NA,2.86,NA,4.37,10.20,NA,NA,3.69,2.04,NA,4.86,NA,NA,NA,NA,NA,NA,0.45,4.77,NA,NA,NA,0.69,NA,NA
Avg. Days Sales Out.,274485,53.2,50.8,36.0,NA,NA,NA,4.3,39.6,9,NA,32,182,10,NA,NA,NA,NA,186,NM,NA,NA,68,60,55,NA,11,108,NA,NA,25,125,43,11,54,36,NA,NA,NA,NA,NA,NA,47,65,44,37,44,40,59,NA,51,61,41,NA,NA,94,NA,NA,16,81,48,71,NA,40,65,NA,24,31,NA,NA,NA,NA,35,NA,35,NA,32,NA,36,NA,6,NA,5,NA,NA,80,NA,34,NA,34,115,102,89,133,NA,65,52,NA,24,NA,81,NA,52,53,NA,135,45,26,NA,11,71,19,NA,89,NA,NA,7,118,45,17,50,3,50,133,25,46,NA,34,NA,66,NA,49,NA,42,NA,5,43,NA,NA,1,NA,NA,59,NA,NA,NA,NA,NA,NA,56,49,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,6.92,7.25,10.22,NA,NA,NA,85.73,9.28,40,NA,11,2,37,NA,NA,NA,NA,2,0,NA,NA,5,6,7,NA,35,3,NA,NA,14,3,9,33,7,10,NA,NA,NA,NA,NA,NA,8,6,8,10,8,9,6,NA,7,6,9,NA,NA,4,NA,NA,23,4,8,5,NA,9,6,NA,15,12,NA,NA,NA,NA,10,NA,11,NA,12,NA,10,NA,57,NA,77,NA,NA,5,NA,11,NA,11,3,4,4,3,NA,6,7,NA,15,NA,5,NA,7,7,NA,3,8,14,NA,32,5,19,NA,4,NA,NA,56,3,8,21,7,112,7,3,15,8,NA,11,NA,6,NA,8,NA,9,NA,62,8,NA,NA,NM,NA,NA,6,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.31,0.17,0.14,NA,NA,NA,13.02,0.27,0,NA,0,65,3,NA,NA,NA,NA,0,NA,NA,NA,20,0,0,NA,1,70,NA,NA,4,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,4,9,7,7,NA,6,22,NA,0,14,NA,NA,NA,NA,0,NA,0,NA,4,1,4,NA,15,4,3,NA,NA,8,NA,1,NA,0,4,7,16,0,NA,7,4,NA,0,NA,3,NA,2,2,NA,0,0,6,NA,6,0,0,NA,1,NA,NA,1,5,29,1,0,1,0,0,12,0,NA,0,NA,113,NA,8,NA,0,NA,4,6,NA,NA,100,27,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
Total Asset Turnover (x),274487,0.69,0.15,0.13,NA,NA,NA,0.62,0.22,0,NA,0,1,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,1,0,NA,NA,0,NA,NA,1,0,2,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,0,2,1,0,NA,2,NA,0,NA,0,1,1,1,0,NM,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,1,0,0,NA,0,NA,0,1,1,2,1,0,1,0,0,3,0,NA,0,NA,1,NA,1,0,0,0,2,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,756,000","335,700","372,500",NA,NA,"1,202,000","3,094,000","1,104,000","184,533",NA,"422,400","-281,684","-99,000",NA,NA,NA,NA,"274,224","117,000",NA,NA,"58,838","103,000","742,000",NA,"187,700","1,114,000","1,100,000",NA,"592,000","-22,803","1,830,000","24,000","784,000","1,337,000",NA,NA,NA,NA,NA,NA,"1,945,000","422,949","3,632,000","903,000","349,000","63,000","299,000",NA,"136,483","559,900","2,299,000",NA,NA,"124,567",NA,NA,"7,402,000",NA,"-22,165","593,000",NA,"768,731","280,600",NA,"149,758","1,661,000",NA,NA,NA,NA,"321,000","184,188","55,000",NA,"639,000","-195,000","260,000",NA,"-13,228","1,299,000","-167,000","90,632",NA,"88,965",NA,"3,428,000",NA,"360,000","125,325","798,000","449,441","62,532","70,000","14,000","374,000",NA,"1,271,000",NA,"1,557,000",NA,"5,933,000","918,000",NA,"2,932,000","694,000","9,104",NA,"158,800","-8,600","405,700",NA,"427,000",NA,"-2,041,657","1,469,000","4,639,000","143,000","356,196","2,204,000","287,000","67,072",NA,"819,000","195,939",NA,"373,000",NA,"3,284,000","-1,064,000","1,123,000","538,000","81,300","2,680,000","926,000","225,800",NA,NA,"72,000","-371,800",NA,"11,266,000",NA,NA,NA,NA,NA,NA,"219,459","1,484,000",NA,"-869,000",NA,"210,000",NA,NA
Cash from Investing,272601,"465,000","(862,500)","(357,900)",NA,NA,"(2,381,000)","(60,000)","(1,001,000)","-49,881",NA,"-243,600","-30,276","-74,000",NA,NA,NA,NA,"-375,824","1,372,000",NA,NA,"-6,196","-419,000","-1,261,000",NA,"-255,300","-403,000","-10,003,000",NA,"-91,200","2,955","-463,000","-3,317,000","-299,000","-691,000",NA,NA,NA,NA,NA,NA,"-3,116,000","-58,857","-3,712,000","-782,000","-310,000","-146,500","-414,000",NA,"-36,329","-122,000","-2,138,000",NA,NA,"-70,896",NA,NA,"-7,377,000",NA,902,"-148,000",NA,"556,449","-102,600",NA,"-39,387","20,000",NA,NA,NA,NA,"-321,000","-54,583","-350,000",NA,"-112,000","-126,000","42,000",NA,"12,234","-520,000","-82,000",NA,NA,"-68,674",NA,"-1,112,000",NA,"-471,000","-33,441","-4,435,000","-26,147","41,667","559,000","-35,000","-23,000",NA,"-483,000",NA,"-300,000",NA,"-5,976,000","-166,000",NA,"-2,982,000","-772,000","-50,277",NA,"-17,100","-146,300","-500,100",NA,"-179,000",NA,"625,618","-2,387,000","471,000","1,000","-99,996","-1,489,000","-428,000","-207,951",NA,"-188,000","-90,138",NA,"-362,000",NA,"-2,805,000","31,030,000","-1,955,000","6,143,000","-101,600","-5,113,000","-497,000","-8,300",NA,NA,"-20,000","-189,300",NA,"-4,490,000",NA,NA,NA,NA,NA,NA,"-192,555","-2,514,000",NA,"-82,865,000",NA,"-521,000",NA,NA
Cash from Financing,272618,"(1,208,000)","520,800","(14,600)",NA,NA,"1,280,000","(849,000)","(62,000)","-252,607",NA,"-188,500","306,523","-150,000",NA,NA,NA,NA,"512,488","-423,000",NA,NA,"-25,223","316,000","465,000",NA,"50,500","-246,000","20,685,000",NA,"-489,100","19,894","630,000","3,317,000","-324,000","-421,000",NA,NA,NA,NA,NA,NA,"1,824,000","-73,878","377,000","-130,000","-35,000","84,300","119,000",NA,"-99,058","-436,700","686,000",NA,NA,"-51,814",NA,NA,"3,850,000",NA,"-10,765","-165,000",NA,"-1,603,741","-100,500",NA,"64,604","-1,537,000",NA,NA,NA,NA,"9,000","172,967","1,003,000",NA,"-525,000","264,000","-71,000",NA,"3,413","-1,868,000","-82,000","-147,048",NA,"20,233",NA,"-1,786,000",NA,"130,000","-97,414","1,333,000","-369,376","-41,897","-834,000","-4,000","-323,000",NA,"-673,000",NA,"-1,199,000",NA,"6,559,000","-671,000",NA,"213,000","-176,000","39,897",NA,"-130,300","53,000","93,700",NA,"-237,000",NA,"1,510,929","615,000","-3,923,000","-146,000","-291,111","-595,000","-432,000",-162,NA,"66,000","-9,803",NA,"-17,000",NA,"-634,000","-30,564,000","-87,000","-7,385,000","61,200","19,781,000","10,129,000","-193,200",NA,NA,"-132,000","-305,800",NA,"-2,551,000",NA,NA,NA,NA,NA,NA,"-2,004,894","1,583,000",NA,"63,117,000",NA,"120,000",NA,NA
Foreign Exchange Rate Adj.,272619,"(10,000)",NA,NA,NA,NA,"(5,000)",NA,NA,NA,NA,NA,"-2,921.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.00,NA,NA,NA,NA,NA,"-1,195,000.00",NA,300.00,NA,NA,"2,000.00","-4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-2,303.00",NA,NA,NA,NA,NA,NA,-124.00,"-1,200.00",NA,NA,NA,NA,NA,NA,"-41,000.00",NA,"4,398.00","-16,000.00",NA,"-24,696.00","-3,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"-44,189.00",NA,NA,"2,000.00",NA,"-56,000.00",NA,NA,NA,NA,NA,NA,-158.00,NA,"6,000.00",NA,NA,"1,818.00","-8,000.00","-1,147.00",NA,NA,"-1,000.00","-1,000.00",NA,NA,NA,NA,NA,"-51,000.00","-3,000.00",NA,NA,NA,NA,NA,200.00,NA,NA,NA,NA,NA,NA,0.00,"-10,000.00",NA,"-1,792.00",NA,NA,NA,NA,"12,000.00",NA,NA,NA,NA,NA,"-72,000.00","5,000.00",NA,NA,"-738,000.00",NA,200.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,709.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"959,000","(6,000)",NA,NA,NA,"96,000","2,185,000","41,000","-117,955.00",NA,"-9,700.00","-8,358.00","-323,000.00",NA,NA,NA,NA,"410,888.00","1,066,000.00",NA,NA,"27,368.00",0.00,"-54,000.00",NA,"-17,100.00","465,000.00","10,587,000.00",NA,"12,000.00",46.00,"1,997,000.00","26,000.00","157,000.00","225,000.00",NA,NA,NA,NA,NA,NA,"653,000.00","287,911.00","297,000.00","-9,000.00","4,000.00",800.00,"4,000.00",NA,972.00,0.00,"847,000.00",NA,NA,"1,857.00",NA,NA,"3,834,000.00",NA,"-27,630.00","264,000.00",NA,"-303,257.00","74,000.00",NA,"174,975.00","144,000.00",NA,NA,NA,NA,"9,000.00","258,385.00","708,000.00",NA,"4,000.00","-57,000.00","175,000.00",NA,"2,419.00","-1,089,000.00","-331,000.00","-56,416.00",NA,"40,366.00",NA,"537,000.00",NA,"19,000.00","-3,712.00","-2,312,000.00","52,771.00","62,302.00","-205,000.00","-26,000.00","27,000.00",NA,"115,000.00",NA,"58,000.00",NA,"6,465,000.00","78,000.00",NA,"17,000.00","-254,000.00","-1,276.00",NA,"11,600.00","-101,900.00",-700.00,NA,"11,000.00",NA,"94,890.00","-303,000.00","1,177,000.00","-2,000.00","-36,703.00","120,000.00","-573,000.00","-141,041.00",NA,"709,000.00","95,998.00",NA,"-6,000.00",NA,"-64,000.00","-670,000.00","-914,000.00","-704,000.00","40,900.00","16,610,000.00","10,558,000.00","24,500.00",NA,NA,"-80,000.00","-866,900.00",NA,"4,225,000.00",NA,NA,NA,NA,NA,NA,"-1,973,281.00","553,000.00",NA,"-20,617,000.00",NA,"-191,000.00",NA,NA
Capital Expenditure,272592,"(218,000)","(468,400)","(357,800)",NA,NA,"(1,484,000)","(54,000)","(989,000)",NA,NA,"-220,900.00","-30,276.00","-65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-559.00,"-421,000.00","-1,222,000.00",NA,"-59,800.00","-5,000.00","-1,617,000.00",NA,"-88,800.00","-20,808.00","-393,000.00",NA,"-334,000.00","-730,000.00",NA,NA,NA,NA,NA,NA,"-3,041,000.00","-54,150.00","-3,453,000.00","-730,000.00","-315,000.00","-59,700.00","-238,000.00",NA,NA,"-122,000.00","-2,136,000.00",NA,NA,NA,NA,NA,"-2,125,000.00",NA,-342.00,"-110,000.00",NA,"-169,809.00","-19,700.00",NA,-676.00,"-215,000.00",NA,NA,NA,NA,"-316,000.00","-58,178.00","-305,000.00",NA,"-112,000.00","-128,000.00","-109,000.00",NA,-39.00,"-571,000.00","-128,000.00",NA,NA,"-68,688.00",NA,"-1,011,000.00",NA,"-470,000.00","-32,659.00","-66,000.00","-3,932.00",NA,NA,"-4,000.00","-59,000.00",NA,"-551,000.00",NA,"-301,000.00",NA,"-5,862,000.00","-166,000.00",NA,"-2,931,000.00","-773,000.00","-26,298.00",NA,"-42,100.00","-144,500.00","-506,900.00",NA,"-175,000.00",NA,NA,"-2,458,000.00","-614,000.00","-9,000.00","-99,996.00","-1,503,000.00","-678,000.00","-207,894.00",NA,"-199,000.00","-56,067.00",NA,"-362,000.00",NA,"-48,000.00","-438,000.00","-885,000.00","-145,000.00","-98,600.00","-558,000.00","-954,000.00","-18,600.00",NA,NA,"-17,000.00","-30,800.00",NA,"-4,310,000.00",NA,NA,NA,NA,NA,NA,"-252,632.00","-2,457,000.00",NA,NA,NA,"-468,000.00",NA,NA
Change in Net Working Capital,272627,"837,000","282,100","(8,000)",NA,NA,NA,"(696,000)","182,000","93,825.00",NA,"-169,900.00","391,869.00","302,000.00",NA,NA,NA,NA,"143,421.00","-748,000.00",NA,NA,"-12,554.00","9,000.00","-22,000.00",NA,-400.00,"-107,000.00",NA,NA,"-313,300.00","-6,756.00","-91,000.00","832,000.00","239,000.00","-10,000.00",NA,NA,NA,NA,NA,NA,"566,000.00","-45,366.00","-463,000.00","-307,000.00","-25,000.00","70,900.00","81,000.00",NA,"-15,209.00","-164,400.00","-604,000.00",NA,NA,"-27,648.00",NA,NA,"-1,621,000.00","9,700.00","-29,151.00","-1,000.00",NA,"-406,635.00","108,600.00",NA,"35,074.00","-996,000.00",NA,NA,NA,NA,"-25,000.00",NA,"132,000.00",NA,"110,000.00","345,000.00","23,000.00",NA,"-21,810.00","770,000.00","50,000.00","-9,529.00",NA,"347,669.00",NA,"-629,000.00",NA,"112,000.00","38,157.00","71,000.00","-28,691.00","-13,310.00",NA,"-24,000.00","-296,000.00",NA,"-139,000.00",NA,"174,000.00",NA,"-465,000.00","-320,000.00",NA,"-1,198,000.00","-140,000.00","105,411.00",NA,"-64,400.00","37,400.00","-263,200.00",NA,"-93,000.00",NA,NA,"517,000.00","-545,000.00","37,000.00","155,698.00","-498,000.00","10,000.00","-1,112.00","-282,891.00","-117,000.00","-10,404.00",NA,"-34,000.00",NA,"-1,272,000.00",NA,"-5,111,000.00",NA,"-76,900.00",NA,"240,000.00","-75,900.00",NA,NA,"-2,000.00","4,188,500.00",NA,"167,000.00",NA,NA,NA,NA,NA,NA,"-182,102.00","40,000.00",NA,NA,NA,"48,000.00",NA,NA
Unlevered Free Cash Flow,272626,"288,500","(477,888)","(40,438)",NA,NA,NA,"2,773,875","(193,500)","109,677.81",NA,"212,112.50","-256,868.25","-161,750.00",NA,NA,NA,NA,"159,269.50","1,132,375.00",NA,NA,"40,325.13","-258,250.00","-498,000.00",NA,"-88,575.00","1,026,250.00",NA,NA,"578,037.50","-3,848.63","1,023,750.00","-533,625.00","236,125.00","504,250.00",NA,NA,NA,NA,NA,NA,"-1,944,750.00","339,121.88","543,125.00","583,500.00","65,500.00","-73,450.00","-113,000.00",NA,"125,187.13","420,125.00","310,375.00",NA,NA,"126,064.75",NA,NA,"2,011,750.00",NA,"24,944.50","495,875.00",NA,"1,001,518.38","96,287.50",NA,"120,197.25","1,710,125.00",NA,NA,NA,NA,"-46,125.00",NA,"-241,500.00",NA,"630,875.00","-227,750.00","678,125.00",NA,"38,400.88","771,750.00","-52,125.00","91,203.88",NA,"-144,911.00",NA,"2,291,000.00",NA,"-159,875.00","24,146.25","550,375.00","335,444.25","62,830.00",NA,"82,250.00","393,375.00",NA,"662,375.00",NA,"765,250.00",NA,"115,750.00","637,125.00",NA,"348,750.00","-100,875.00","-44,408.88",NA,"148,687.50","-168,062.50","-90,975.00",NA,"231,875.00",NA,NA,"-1,474,625.00","2,642,875.00","89,000.00","160,185.75","1,012,250.00","-272,125.00","-101,242.75",NA,"646,750.00","15,888.88",NA,"-12,500.00",NA,"3,974,625.00",NA,"1,739,125.00",NA,"33,762.50",NA,"337,625.00","191,250.00",NA,NA,"64,000.00","-4,121,012.50",NA,"5,093,750.00",NA,NA,NA,NA,NA,NA,"315,042.38","-1,339,000.00",NA,NA,NA,"-355,375.00",NA,NA
Levered Free Cash Flow,272625,"143,500","(519,388)","(78,750)",NA,NA,NA,"2,600,125","(319,500)","83,014.25",NA,"168,362.50","-297,772.00","-209,875.00",NA,NA,NA,NA,"56,582.63","1,109,250.00",NA,NA,"36,035.75","-288,875.00","-649,875.00",NA,"-135,825.00","1,018,125.00",NA,NA,"513,412.50","-6,221.00","940,000.00","-618,000.00","187,375.00","373,000.00",NA,NA,NA,NA,NA,NA,"-2,274,125.00","322,097.50","-20,625.00","509,750.00","24,250.00","-80,575.00","-145,500.00",NA,"106,533.38","387,500.00","-25,875.00",NA,NA,"113,005.25",NA,NA,"1,806,750.00",NA,"22,337.63","415,875.00",NA,"912,955.88","70,787.50",NA,"95,912.25","1,640,750.00",NA,NA,NA,NA,"-103,625.00",NA,"-257,125.00",NA,"513,375.00","-275,250.00","663,125.00",NA,"38,400.88","542,375.00","-68,125.00","72,689.88",NA,"-173,313.50",NA,"2,037,250.00",NA,"-224,875.00","13,027.50","486,000.00","303,490.75","55,725.25",NA,"72,875.00","341,500.00",NA,"539,250.00",NA,"664,625.00",NA,"-441,750.00","596,500.00",NA,"-83,125.00","-225,250.00","-55,118.75",NA,"128,000.00","-178,625.00","-115,975.00",NA,"216,250.00",NA,NA,"-1,603,625.00","2,341,000.00","69,000.00","103,275.75","760,375.00","-285,875.00","-130,090.25",NA,"556,625.00","4,640.75",NA,"-49,375.00",NA,"3,911,500.00",NA,"1,305,375.00",NA,"25,137.50",NA,"192,000.00","181,812.50",NA,NA,"55,875.00","-4,153,637.50",NA,"4,053,750.00",NA,NA,NA,NA,NA,NA,"255,994.88","-1,485,875.00",NA,NA,NA,"-399,750.00",NA,NA
