SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,010,000","502,700","435,700",NA,NA,NA,"5,106,000","1,872,000","436,593",NA,"1,000,900","7,282,877","2,912,000",NA,NA,NA,NA,"830,670","2,789,000",NA,NA,"180,431","1,134,000","2,262,000",NA,"624,200","2,538,000","16,907,000",NA,"2,905,900","115,592","5,382,000","6,224,000","3,501,000","3,539,000",NA,NA,NA,"3,557,000",NA,NA,"3,400,000","1,929,866","6,937,000","1,227,000","698,000","157,856","549,000",NA,"173,571","1,419,400","5,471,000",NA,NA,"176,722",NA,NA,"48,211,000","1,072,800","342,297","5,319,000",NA,"1,933,190","1,101,600",NA,"983,590","14,055,000",NA,NA,NA,NA,"404,000","1,956,603","527,000",NA,"4,070,000","5,956,000","3,850,000",NA,"557,396","18,602,000","8,375,000","140,440",NA,"3,403,102",NA,"6,388,000",NA,"771,000","917,072","3,011,000","743,509","85,755","206,000","678,000","1,949,000",NA,"3,024,000",NA,"10,686,000",NA,"14,287,000",NA,NA,"6,631,000","1,640,000","846,123",NA,"1,781,500","195,900","384,000",NA,"1,364,000",NA,"1,251,015","3,760,000","21,623,000","1,737,000","687,310","3,971,000","6,930,000","560,833","553,059","20,556,000","139,156",NA,"582,000",NA,"16,506,000","4,827,000","15,242,000","5,329,000","248,200","13,518,000","37,064,000","1,076,000",NA,NA,"1,262,000","3,236,600",NA,"35,681,000",NA,NA,NA,NA,NA,NA,NA,"2,447,000",NA,"19,283,000",NA,"1,708,000",NA,NA
Gross Profit,271473,"2,273,000","306,900","395,000",NA,NA,NA,"7,064,000","853,000","251,248.00",NA,"400,400.00","864,310.00","1,337,000.00",NA,NA,NA,NA,"497,004.00","1,410,000.00",NA,NA,"115,717.00","458,000.00","994,000.00",NA,"179,700.00","528,000.00","16,907,000.00",NA,"804,900.00","31,374.00","1,298,000.00","2,757,000.00","1,191,000.00","1,677,000.00",NA,NA,NA,"3,349,000.00",NA,NA,"1,496,000.00","756,809.00","3,919,000.00","710,000.00","330,000.00","71,479.00","381,000.00",NA,"158,383.00","804,400.00","2,388,000.00",NA,NA,"128,850.00",NA,NA,"3,980,000.00","695,500.00","192,132.00","2,275,000.00",NA,"1,413,398.00","638,100.00",NA,"331,607.00","3,001,000.00",NA,NA,NA,NA,"377,000.00","1,594,066.00","172,000.00",NA,"2,277,000.00","2,096,000.00","728,000.00",NA,"128,411.00","6,027,000.00","3,221,000.00","140,440.00",NA,"436,508.00",NA,"3,679,000.00",NA,"371,000.00","260,968.00","1,556,000.00","611,942.00","72,154.00","206,000.00","156,000.00","674,000.00",NA,"1,361,000.00",NA,"1,932,000.00",NA,"10,363,000.00",NA,NA,"2,194,000.00","609,000.00","187,227.00",NA,"384,000.00","75,200.00","135,500.00",NA,"1,014,000.00",NA,"1,251,015.00","1,771,000.00","4,235,000.00","192,000.00","251,935.00","3,630,000.00","1,551,000.00","257,066.00","255,520.00","3,838,000.00","72,943.00",NA,"305,000.00",NA,"5,083,000.00","4,827,000.00","-1,542,000.00","5,198,000.00","67,900.00","11,123,000.00","9,510,000.00","342,100.00",NA,NA,"161,000.00","1,087,700.00",NA,"20,167,000.00",NA,NA,NA,NA,NA,NA,NA,"1,175,000.00",NA,"19,283,000.00",NA,"304,000.00",NA,NA
Earnings from Cont. Ops.,271505,"728,000","79,500","140,200",NA,NA,NA,"3,039,000","208,000","143,873.0",NA,"117,400.0","99,888.0","579,000.0",NA,NA,NA,NA,"-236,113.0","672,000.0",NA,NA,"17,304.0","195,000.0","248,000.0",NA,"72,300.0","405,000.0","2,890,000.0",NA,"-567,200.0","3,902.0","850,000.0","2,222,000.0","340,000.0","733,000.0",NA,NA,NA,"1,291,000.0",NA,NA,"84,000.0","238,383.0","1,229,000.0","209,000.0","108,000.0","27,867.0","118,000.0",NA,"-8,395.0","173,400.0","647,000.0",NA,NA,"70,441.0",NA,NA,"1,831,000.0","193,200.0","-11,189.0","738,000.0",NA,"490,207.0","-26,500.0",NA,"162,320.0","906,000.0",NA,NA,NA,NA,"111,000.0","218,746.0","84,000.0",NA,"-144,000.0","186,000.0","-45,000.0",NA,"50,870.0","1,020,000.0","-128,000.0","174,233.0",NA,"84,702.0",NA,"2,016,000.0",NA,"185,000.0","44,611.0","612,000.0","305,515.0","42,787.0","24,000.0","-11,000.0","-54,000.0",NA,"733,000.0",NA,"1,264,000.0",NA,"3,144,000.0",NA,NA,"748,000.0","163,000.0","14,558.0",NA,"10,800.0","36,500.0","27,000.0",NA,"391,000.0",NA,"291,907.0","558,000.0","1,560,000.0","39,000.0","-264,216.0","475,000.0","261,000.0","98,105.0","86,837.0","612,000.0","21,457.0",NA,"84,000.0",NA,"1,890,000.0","1,157,000.0","-3,861,000.0","1,840,000.0",-100.0,"4,111,000.0","739,000.0","89,900.0",NA,NA,"-23,000.0","348,700.0",NA,"5,114,000.0",NA,NA,NA,NA,NA,NA,NA,"256,000.0",NA,"5,263,000.0",NA,"81,000.0",NA,417.8
Net Income,271510,"728,000","79,500","140,200",NA,NA,NA,"3,039,000","207,000","143,873.00",NA,"117,400.00","99,208.00","579,000.00",NA,NA,NA,NA,"-253,346.00","671,000.00",NA,NA,"17,304.00","195,000.00","248,000.00",NA,"71,700.00","405,000.00","2,856,000.00",NA,"-567,300.00","3,902.00","852,000.00","2,171,000.00","310,000.00","733,000.00",NA,NA,NA,"1,291,000.00",NA,NA,"134,000.00","1,435,983.00","1,205,000.00","209,000.00","108,000.00","27,867.00","118,000.00",NA,"-8,395.00","174,000.00","647,000.00",NA,NA,"76,111.00",NA,NA,"1,824,000.00","208,800.00","-7,559.00","721,000.00",NA,"567,173.00","-34,300.00",NA,"156,318.00","906,000.00",NA,NA,NA,NA,"111,000.00","232,163.00","84,000.00",NA,"-144,000.00","186,000.00","-45,000.00",NA,"50,870.00","1,020,000.00","-128,000.00","174,233.00",NA,"74,740.00",NA,"2,016,000.00",NA,"185,000.00","44,611.00","611,000.00","305,515.00","43,242.00","24,000.00","-11,000.00","-54,000.00",NA,"733,000.00",NA,"1,264,000.00",NA,"3,144,000.00",NA,NA,"748,000.00","163,000.00","14,558.00",NA,"10,600.00","36,500.00","27,000.00",NA,"391,000.00",NA,"290,170.00","552,000.00","1,482,000.00","39,000.00","-264,216.00","475,000.00","261,000.00","98,105.00","92,456.00","612,000.00","21,457.00",NA,"84,000.00",NA,"1,928,000.00","1,155,000.00","-3,865,000.00","1,840,000.00",-100.00,"4,111,000.00","736,000.00","89,900.00",NA,NA,"-23,000.00","348,700.00",NA,"5,005,000.00",NA,NA,NA,NA,NA,NA,NA,"309,000.00",NA,"5,079,000.00",NA,"81,000.00",NA,417.75
EBIT,271530,"1,058,000","152,600","204,800",NA,NA,NA,"6,341,000","333,000","106,493.00",NA,"205,000.00","270,309.00","696,000.00",NA,NA,NA,NA,"240,161.00","2,456,000.00",NA,NA,"19,781.00","271,000.00","477,000.00",NA,"114,000.00","492,000.00",NA,NA,"410,000.00","12,928.00","903,000.00","2,208,000.00","374,000.00","1,255,000.00",NA,NA,NA,NA,NA,NA,"872,000.00","336,058.00","2,134,000.00","412,000.00","151,000.00","42,886.00","183,000.00",NA,"91,718.00","281,200.00","1,089,000.00",NA,NA,"74,466.00",NA,NA,"1,880,000.00","213,000.00","20,089.00","905,000.00",NA,"501,340.00","109,500.00",NA,"245,562.00","1,126,000.00",NA,NA,NA,NA,"225,000.00",NA,"121,000.00",NA,"868,000.00","299,000.00","7,000.00",NA,"46,487.00","1,669,000.00","802,000.00","124,371.00",NA,"141,311.00",NA,"2,880,000.00",NA,"18,000.00","100,622.00","819,000.00","396,955.00","47,551.00",NA,"26,000.00","121,000.00",NA,"1,019,000.00",NA,"1,685,000.00",NA,"4,752,000.00",NA,NA,"1,117,000.00","268,000.00","39,592.00",NA,"75,300.00","43,600.00","51,300.00",NA,"528,000.00",NA,NA,"633,000.00","2,295,000.00","90,000.00","80,693.00","864,000.00","261,000.00","156,214.00","154,668.00","1,142,000.00","41,473.00",NA,"132,000.00",NA,"2,560,000.00",NA,"-3,650,000.00",NA,"11,200.00",NA,"1,338,000.00","90,200.00",NA,NA,"12,000.00","498,000.00",NA,"7,846,000.00",NA,NA,NA,NA,NA,NA,NA,"676,000.00",NA,NA,NA,"152,000.00",NA,-17.94
EBIT / Interest Expense (x),274483,4.20,2.21,3.81,NA,NA,NA,18.27,1.95,2.39,NA,3.03,NA,8.09,NA,NA,NA,NA,1.41,1.42,NA,NA,2.56,5.21,2.15,NA,1.57,37.85,NA,NA,3.83,3.27,10.03,15.23,4.73,6.06,NA,NA,NA,NA,NA,NA,1.94,11.87,2.45,3.49,2.70,4.17,3.81,NA,2.75,5.05,2.20,NA,NA,3.54,NA,NA,6.44,6.46,4.12,24.46,NA,3.28,2.52,NA,5.80,10.33,NA,NA,NA,NA,2.47,NA,6.37,NA,3.51,3.65,0.23,NA,NA,4.49,29.70,3.66,NA,3.24,NA,7.58,NA,0.17,7.47,11.07,8.72,3.12,NA,1.86,1.68,NA,5.12,NA,10.53,NA,5.41,NA,NA,1.70,1.44,2.09,NA,2.20,2.61,1.99,NA,29.33,NA,NA,2.44,4.47,2.81,1.02,2.22,5.55,3.58,2.86,6.92,2.37,NA,2.59,NA,25.35,NA,NM,NA,0.83,NA,10.21,6.22,NA,NA,0.80,9.49,NA,4.77,NA,NA,NA,NA,NA,NA,NA,3.13,NA,NA,NA,2.30,NA,NM
Avg. Days Sales Out.,274485,51.5,57.9,41.4,NA,NA,NA,2.4,46.0,10,NA,33,160,7,NA,NA,NA,NA,179,NA,NA,NA,67,42,46,NA,10,104,NA,NA,28,76,42,16,53,36,NA,NA,NA,NA,NA,NA,58,67,54,50,55,48,71,NA,46,62,44,NA,NA,88,NA,NA,21,80,45,67,NA,46,90,NA,9,32,NA,NA,NA,NA,33,NA,52,NA,33,NA,39,NA,6,NA,3,NA,NA,82,NA,36,NA,29,112,99,91,130,NA,68,43,NA,24,NA,66,NA,49,NA,NA,152,55,22,NA,11,48,26,NA,14,NA,NA,10,107,50,22,81,3,39,85,24,NA,NA,42,NA,63,NA,70,NA,35,NA,5,39,NA,NA,20,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.15,6.35,8.88,NA,NA,NA,154.73,8.01,37,NA,11,2,55,NA,NA,NA,NA,2,NA,NA,NA,5,9,8,NA,36,4,NA,NA,13,5,9,24,7,10,NA,NA,NA,NA,NA,NA,6,6,7,7,7,8,5,NA,8,6,8,NA,NA,4,NA,NA,18,5,8,6,NA,8,4,NA,41,12,NA,NA,NA,NA,11,NA,7,NA,11,NA,9,NA,57,NA,127,NA,NA,5,NA,10,NA,13,3,4,4,3,NA,5,9,NA,15,NA,6,NA,8,NA,NA,2,7,17,NA,34,8,14,NA,26,NA,NA,39,3,7,17,5,125,9,4,15,NA,NA,9,NA,6,NA,5,NA,11,NA,73,9,NA,NA,18,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,2.99,0.15,0.11,NA,NA,NA,12.63,0.21,0,NA,0,48,5,NA,NA,NA,NA,0,NA,NA,NA,14,0,0,NA,1,47,NA,NA,4,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,7,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,4,9,8,8,NA,4,10,NA,1,14,NA,NA,NA,NA,0,NA,0,NA,4,2,4,NA,34,3,4,NA,NA,7,NA,1,NA,0,4,8,16,0,NA,6,5,NA,0,NA,4,NA,2,NA,NA,0,0,6,NA,5,0,0,NA,1,NA,NA,0,5,30,1,0,1,0,0,13,NA,NA,0,NA,85,NA,5,NA,0,NA,5,6,NA,NA,129,25,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
Total Asset Turnover (x),274487,0.60,0.13,0.11,NA,NA,NA,0.59,0.17,0,NA,0,1,2,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,0,0,0,1,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,2,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,2,1,NA,1,2,2,0,NA,2,NA,0,NA,0,1,1,1,0,0,1,1,NA,0,NA,1,NA,0,NA,NA,0,0,1,NA,1,0,0,NA,0,NA,0,0,1,1,0,0,1,0,0,3,NA,NA,0,NA,1,NA,0,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,818,000","228,500","341,100",NA,NA,NA,"3,340,000","817,000","102,187",NA,"207,200","326,464","926,000",NA,NA,NA,NA,"383,746","-118,000",NA,NA,"30,007","210,000","889,000",NA,"130,600","642,000","24,796,000",NA,"484,300","26,095","-1,018,000","1,479,000","623,000","1,388,000",NA,NA,NA,"1,980,000",NA,NA,"641,000","-8,786","3,377,000","306,000","295,000","63,322","282,000",NA,"92,938","324,800","1,426,000",NA,NA,"76,834",NA,NA,"3,028,000","502,200","30,509","913,000",NA,"883,437","259,800",NA,"337,094","1,623,000",NA,NA,NA,NA,"221,000","1,709,626","182,000",NA,"849,000","789,000","145,000",NA,"57,008","1,108,000","1,147,000","145,046",NA,"471,699",NA,"2,631,000",NA,"612,000","151,307","1,070,000","430,633","57,573","8,000","-170,000","150,000",NA,"951,000",NA,"2,578,000",NA,"6,081,000",NA,NA,"1,996,000","486,000","102,651",NA,"206,300","29,800","85,800",NA,"548,000",NA,"-1,753,358","1,467,000","1,561,000","63,000","-32,571","1,346,000","476,000","158,527","201,444","1,616,000","-81,775",NA,"311,000",NA,"1,705,000","1,550,000","-3,450,000","-10,827,000","33,100","46,766,000","1,920,000","240,100",NA,NA,"65,000","485,800",NA,"10,432,000",NA,NA,NA,NA,NA,NA,NA,"651,000",NA,"8,904,000",NA,"218,000",NA,-594
Cash from Investing,272601,"(1,146,000)","(306,500)","(284,100)",NA,NA,NA,"(63,000)","(1,350,000)","-532,828",NA,"-298,700","-41,416","-47,000",NA,NA,NA,NA,"-386,609","-357,000",NA,NA,"-5,563","-437,000","-1,930,000",NA,"-129,400","-1,207,000","7,749,000",NA,"-79,400","-26,277","2,372,000","-1,349,000","-207,000","-883,000",NA,NA,NA,"619,000",NA,NA,"-3,476,000","1,909,898","-3,272,000","-641,000","-238,000","-59,528","-229,000",NA,"-30,710","-118,900","-1,928,000",NA,NA,"-64,115",NA,NA,"-6,861,000","3,800",-102,"-240,000",NA,"672,730","431,700",NA,"-54,495","-132,000",NA,NA,NA,NA,"-316,000","-106,526","-301,000",NA,"-1,076,000","-71,000","-203,000",NA,"22,261","-595,000","-197,000",NA,NA,"-76,692",NA,"-742,000",NA,"-591,000","-41,046","-107,000","-36,733","-161,199","907,000","172,000","-44,000",NA,"11,000",NA,"-798,000",NA,"-2,766,000",NA,NA,"-3,156,000","-941,000","-27,448",NA,"-52,700","-121,400","-427,200",NA,"-545,000",NA,"-337,627","-641,000","-779,000","-10,000","-93,911","-1,437,000","73,000","-204,190","-234,246","-261,000","-76,706",NA,"-433,000",NA,"-1,671,000","1,631,000","-12,626,000","7,734,000","-104,100","-7,115,000","-1,005,000","-16,300",NA,NA,"178,000","48,700",NA,"-5,561,000",NA,NA,NA,NA,NA,NA,NA,"-2,908,000",NA,"-1,064,000",NA,"-255,000",NA,"9,780"
Cash from Financing,272618,"(1,080,000)","56,400","(57,000)",NA,NA,NA,"(2,047,000)","537,000","463,008",NA,"96,600","-201,441","-206,000",NA,NA,NA,NA,"-133,425","-110,000",NA,NA,"-22,903","228,000","942,000",NA,"20,100","-204,000","-47,306,000",NA,"-406,400",-7,"-109,000","146,000","-220,000","-1,216,000",NA,NA,NA,"-4,923,000",NA,NA,"1,298,000","-453,228","-131,000","369,000","-52,000",-68,"-37,000",NA,"-64,468","-501,400","208,000",NA,NA,"-16,226",NA,NA,"3,790,000","-496,000","-16,403","-1,276,000",NA,"-1,845,795","-688,300",NA,"-204,822","-1,116,000",NA,NA,NA,NA,"-14,000","-281,170","119,000",NA,"281,000","-725,000","-47,000",NA,"-86,975","-802,000","-280,000","-151,216",NA,"-173,721",NA,"-1,878,000",NA,"-537,000","-98,833","-214,000","-476,183","112,361","-1,605,000","-64,000","-387,000",NA,"-296,000",NA,"-753,000",NA,"-2,274,000",NA,NA,"1,091,000","74,000","-94,248",NA,"-142,000","300,000","338,100",NA,"1,000",NA,"2,005,382","-852,000","-1,868,000","-270,000","119,139","126,000","-1,543,000","-44,917","-59,570","-1,098,000","109,194",NA,"111,000",NA,"-260,000","-5,258,000","19,971,000","1,604,000","76,000","-7,817,000","-757,000","-244,600",NA,NA,"500,000","-535,100",NA,"-5,623,000",NA,NA,NA,NA,NA,NA,NA,"2,331,000",NA,"9,934,000",NA,"-178,000",NA,"-9,378"
Foreign Exchange Rate Adj.,272619,"(42,000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-142,800.00","-1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-441.00,NA,NA,NA,NA,NA,"-11,801,000.00",NA,"1,200.00",NA,NA,"1,000.00","-41,000.00",NA,NA,NA,NA,NA,NA,NA,NA,227.00,NA,NA,NA,NA,NA,NA,-381.00,"-2,800.00",NA,NA,NA,NA,NA,NA,"-493,000.00","-8,000.00","1,851.00","-75,000.00",NA,"-113,912.00","-4,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"-21,147.00",NA,NA,"-6,000.00",NA,"-32,000.00",NA,NA,NA,NA,NA,NA,"-2,608.00",NA,"-148,000.00",NA,NA,"1,591.00","-51,000.00","-9,345.00",NA,NA,"-5,000.00","-21,000.00",NA,NA,NA,NA,NA,"-68,000.00",NA,NA,NA,NA,NA,NA,"-15,000.00",NA,NA,NA,NA,NA,NA,"-4,000.00","-39,000.00",NA,812.00,NA,NA,NA,-482.00,"-5,000.00",NA,NA,NA,NA,NA,"-189,000.00","-55,000.00",NA,NA,"-4,431,000.00",NA,-800.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"(450,000)","(21,600)",NA,NA,NA,NA,"1,230,000","4,000","32,367.00",NA,"5,100.00","-59,193.00","672,000.00",NA,NA,NA,NA,"-136,288.00","-585,000.00",NA,NA,"1,100.00","1,000.00","-99,000.00",NA,"21,300.00","-769,000.00","-26,562,000.00",NA,"-1,200.00",-189.00,"1,245,000.00","277,000.00","155,000.00","-711,000.00",NA,NA,NA,"-2,324,000.00",NA,NA,"-1,537,000.00","1,448,111.00","-26,000.00","34,000.00","5,000.00","3,726.00","16,000.00",NA,"-2,621.00","-298,300.00","-294,000.00",NA,NA,"-3,507.00",NA,NA,"-536,000.00","2,000.00","15,855.00","-679,000.00",NA,"-403,540.00","-1,100.00",NA,"77,777.00","375,000.00",NA,NA,NA,NA,"-109,000.00","1,300,783.00",NA,NA,"48,000.00","-7,000.00","-137,000.00",NA,"-7,706.00","-289,000.00","670,000.00","-6,170.00",NA,"218,678.00",NA,"-136,000.00",NA,"-516,000.00","13,019.00","698,000.00","-91,628.00","8,735.00","-690,000.00","-67,000.00","-302,000.00",NA,"666,000.00",NA,"1,027,000.00",NA,"973,000.00",NA,NA,"-7,000.00","-381,000.00","-19,045.00",NA,"-3,400.00","208,400.00","-3,300.00",NA,"4,000.00",NA,"-85,603.00","-30,000.00","-1,125,000.00","-217,000.00","-6,531.00","35,000.00","-994,000.00","-90,580.00","-92,854.00","252,000.00","-49,287.00",NA,"-11,000.00",NA,"-112,000.00","-2,266,000.00","3,840,000.00","-1,489,000.00","5,000.00","27,403,000.00","158,000.00","-21,600.00",NA,NA,"743,000.00",-600.00,NA,"-752,000.00",NA,NA,NA,NA,NA,NA,NA,"74,000.00",NA,"17,774,000.00",NA,"-215,000.00",NA,-192.22
Capital Expenditure,272592,"(291,000)","(371,200)","(438,900)",NA,NA,NA,"(47,000)","(1,324,000)",NA,NA,"-301,300.00","-22,548.00","-48,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-954.00,"-412,000.00","-2,012,000.00",NA,"-129,400.00","-4,000.00","-1,688,000.00",NA,"-78,500.00","-24,596.00","-739,000.00",NA,"-254,000.00","-838,000.00",NA,NA,NA,"-63,000.00",NA,NA,"-3,506,000.00","-53,907.00","-3,089,000.00","-594,000.00","-224,000.00","-46,575.00","-175,000.00",NA,NA,"-118,900.00","-1,936,000.00",NA,NA,NA,NA,NA,"-2,498,000.00","-22,600.00","-2,028.00","-102,000.00",NA,"-184,004.00","-19,300.00",NA,"-1,216.00","-153,000.00",NA,NA,NA,NA,"-311,000.00","-69,930.00","-280,000.00",NA,"-165,000.00","-82,000.00","-202,000.00",NA,-607.00,"-620,000.00","-146,000.00",NA,NA,"-48,317.00",NA,"-807,000.00",NA,"-604,000.00","-42,379.00","-86,000.00","-14,247.00",NA,NA,"-194,000.00","-96,000.00",NA,"-675,000.00",NA,"-816,000.00",NA,"-2,798,000.00",NA,NA,"-2,828,000.00","-945,000.00","-25,418.00",NA,"-69,000.00","-119,900.00","-195,100.00",NA,"-271,000.00",NA,NA,"-552,000.00","-1,069,000.00","-11,000.00","-93,199.00","-1,495,000.00","-434,000.00","-202,870.00","-202,870.00","-302,000.00","-77,100.00",NA,"-433,000.00",NA,"-50,000.00","-413,000.00","-648,000.00","-254,000.00","-98,300.00","-586,000.00","-997,000.00","-39,900.00",NA,NA,"-18,000.00","-32,000.00",NA,"-5,071,000.00",NA,NA,NA,NA,NA,NA,NA,"-2,934,000.00",NA,NA,NA,"-129,000.00",NA,NA
Change in Net Working Capital,272627,"(669,000)","(181,000)","(467,100)",NA,NA,NA,"(1,059,000)","(209,000)","87,213.00",NA,"-78,600.00","-222,491.00","-407,000.00",NA,NA,NA,NA,"38,117.00","-19,932,000.00",NA,NA,"2,422.00","121,000.00","413,000.00",NA,"-19,400.00","294,000.00",NA,NA,"-106,500.00","-32,017.00","-1,077,000.00","-195,000.00","-128,000.00","-140,000.00",NA,NA,NA,NA,NA,NA,"57,000.00","-454,889.00","-463,000.00","495,000.00","-120,000.00","-14,099.00","-74,000.00",NA,"-4,126.00","5,900.00","-255,000.00",NA,NA,"-174,491.00",NA,NA,"1,156,000.00","-189,600.00","-52,444.00","-447,000.00",NA,"232,422.00","-139,600.00",NA,"175,880.00","-634,000.00",NA,NA,NA,NA,"-99,000.00",NA,"-22,000.00",NA,"-272,000.00","-396,000.00","120,000.00",NA,"-49,647.00","588,000.00","29,000.00","-3,070.00",NA,"-248,634.00",NA,"1,618,000.00",NA,"-7,000.00","-85,672.00","-421,000.00","-83,763.00","-10,047.00",NA,"77,000.00","-114,000.00",NA,"45,000.00",NA,"-1,795,000.00",NA,"460,000.00","-331,000.00",NA,"-1,151,000.00","-133,000.00","-50,361.00",NA,"-154,200.00","30,000.00","268,000.00",NA,"372,000.00",NA,NA,"-541,000.00","790,000.00","75,000.00","190,348.00","-72,000.00","40,000.00","17,843.00","8,333.00","-755,491.00",NA,NA,"-109,000.00",NA,"-1,830,000.00",NA,"100,000.00",NA,"122,900.00",NA,"-517,000.00","-133,700.00",NA,NA,"-27,000.00","37,000.00",NA,"-2,982,000.00",NA,NA,NA,NA,NA,NA,"-434,798.00","-580,000.00",NA,NA,NA,"-31,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"1,408,250","30,375","266,300",NA,NA,NA,"5,104,125","(496,875)","108,167.13",NA,"62,925.00","412,968.13","878,000.00",NA,NA,NA,NA,"343,904.63","21,490,000.00",NA,NA,"35,923.13","-196,625.00","-1,736,875.00",NA,"29,050.00","29,500.00",NA,NA,"405,550.00","34,403.00","1,874,375.00","1,694,000.00","513,750.00","503,375.00",NA,NA,NA,NA,NA,NA,"-2,340,000.00","706,415.25","424,750.00","-517,500.00","166,375.00","21,398.75","126,375.00",NA,"105,935.75","234,350.00","-53,375.00",NA,NA,"269,366.25",NA,NA,"-922,000.00","431,225.00","67,811.63","1,083,625.00",NA,"288,064.50","259,437.50",NA,"25,386.25","1,477,750.00",NA,NA,NA,NA,"15,625.00",NA,"-56,375.00",NA,"844,500.00","698,875.00","398,375.00",NA,"80,479.38","381,125.00","462,250.00","85,741.88",NA,"412,442.38",NA,"-28,000.00",NA,"-260,750.00","133,887.75","995,875.00","372,772.88","59,841.38",NA,"-31,750.00","196,625.00",NA,"271,875.00",NA,"2,475,125.00",NA,"2,313,000.00",NA,NA,"262,125.00","-358,500.00","66,808.00",NA,"222,562.50","-97,750.00","-361,137.50",NA,"-117,000.00",NA,NA,"952,625.00","797,375.00","32,250.00","-116,829.88","-163,000.00","141,125.00","-37,526.25","-28,752.50","1,452,241.00",NA,NA,"-127,500.00",NA,"3,670,000.00",NA,"-2,135,250.00",NA,"-188,800.00",NA,"1,328,250.00","190,075.00",NA,NA,"73,500.00","316,250.00",NA,"7,983,750.00",NA,NA,NA,NA,NA,NA,NA,"-1,515,500.00",NA,NA,NA,"134,000.00",NA,-11.21
