SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,255,000","539,600","475,200",NA,NA,"1,720,000","5,277,000","1,624,000","423,494",NA,"910,200","6,892,868","1,559,000",NA,NA,NA,NA,"843,590","1,440,000",NA,NA,"178,894","679,000","1,905,000",NA,NA,"2,544,000","17,611,000",NA,"3,208,100","80,892","5,475,000","3,618,000","3,251,000","3,701,000",NA,NA,NA,"3,799,000",NA,NA,"3,486,000","1,948,782","7,172,000","1,716,000","747,000","147,300","608,000",NA,"171,903","1,430,500","5,361,000",NA,NA,"165,296",NA,NA,"47,808,000",NA,"259,991","4,839,000",NA,"1,971,025","995,300",NA,"283,468","12,800,000",NA,NA,NA,NA,"405,000","1,632,245","557,000",NA,"3,922,000","3,895,000","4,073,000",NA,"602,497","24,956,000","5,280,000","132,154",NA,"2,961,086",NA,"6,490,000",NA,"730,000","930,303","2,628,000","707,949","85,206","233,000","722,000","2,033,000",NA,"3,044,000",NA,"10,218,000",NA,"12,941,000","2,497,000",NA,"5,986,000","1,489,000","1,016,624",NA,"1,986,700","102,800","458,800",NA,"1,389,000",NA,"921,305","4,110,000","19,721,000","1,784,000","571,616","4,324,000","7,354,000","510,093",NA,"19,288,000","145,934",NA,"672,000",NA,"15,714,000","4,597,000","16,866,000","4,690,000","182,900","12,449,000","33,853,000","1,349,000",NA,NA,"1,226,000","3,233,400",NA,"32,796,000",NA,NA,NA,NA,NA,NA,"1,225,415","2,537,000",NA,"19,453,000",NA,"1,939,000",NA,NA
Gross Profit,271473,"2,686,000","370,100","430,200",NA,NA,"1,720,000","3,675,000","868,000","238,705.00",NA,"315,100.00","846,444.00","622,000.00",NA,NA,NA,NA,"512,136.00","139,000.00",NA,NA,"120,281.00","316,000.00","994,000.00",NA,NA,"433,000.00","17,611,000.00",NA,"846,600.00","30,829.00","1,538,000.00","889,000.00","1,090,000.00","1,870,000.00",NA,NA,NA,"3,632,000.00",NA,NA,"1,663,000.00","757,740.00","3,546,000.00","855,000.00","363,000.00","63,100.00","334,000.00",NA,"157,476.00","799,600.00","2,160,000.00",NA,NA,"122,245.00",NA,NA,"4,561,000.00",NA,"136,851.00","2,002,000.00",NA,"1,466,563.00","667,100.00",NA,"176,135.00","3,023,000.00",NA,NA,NA,NA,"378,000.00","1,330,457.00","325,000.00",NA,"2,172,000.00","1,653,000.00","651,000.00",NA,"152,058.00","8,399,000.00","2,104,000.00","132,154.00",NA,"420,639.00",NA,"3,718,000.00",NA,"355,000.00","266,778.00","1,339,000.00","579,840.00","71,515.00","233,000.00","145,000.00","706,000.00",NA,"1,443,000.00",NA,"2,191,000.00",NA,"9,201,000.00","830,000.00",NA,"2,266,000.00","488,000.00","231,294.00",NA,"449,500.00","37,500.00","134,600.00",NA,"1,016,000.00",NA,"921,305.00","2,038,000.00","3,580,000.00","216,000.00","250,927.00","1,832,000.00","1,846,000.00","137,987.00",NA,"3,514,000.00","78,932.00",NA,"364,000.00",NA,"2,621,000.00","4,597,000.00","1,229,000.00","4,518,000.00","76,900.00","10,295,000.00","7,378,000.00","453,000.00",NA,NA,"235,000.00","1,142,000.00",NA,"20,325,000.00",NA,NA,NA,NA,NA,NA,"459,125.00","1,294,000.00",NA,"19,453,000.00",NA,"404,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,210,000","128,400","175,700",NA,NA,"219,000","3,803,000","260,000","108,534.0",NA,"58,300.0","109,624.0","99,000.0",NA,NA,NA,NA,"108,652.0","34,000.0",NA,NA,"11,381.0","47,000.0","228,000.0",NA,NA,"312,000.0","3,263,000.0",NA,"286,200.0","7,360.0","809,000.0","341,000.0","122,000.0","963,000.0",NA,NA,NA,"1,523,000.0",NA,NA,"466,000.0","246,587.0","931,000.0","309,000.0","110,000.0","20,100.0","77,000.0",NA,"45,102.0","165,200.0","448,000.0",NA,NA,"52,876.0",NA,NA,"1,833,000.0",NA,"-38,843.0","435,000.0",NA,"314,972.0","138,500.0",NA,"47,367.0","607,000.0",NA,NA,NA,NA,"126,000.0","154,647.0","57,000.0",NA,"515,000.0","58,000.0","-142,000.0",NA,"58,573.0","2,673,000.0","-22,000.0","102,688.0",NA,"43,768.0",NA,"2,022,000.0",NA,"234,000.0","60,003.0","445,000.0","266,758.0","34,952.0","36,000.0","-90,000.0","45,000.0",NA,"737,000.0",NA,"940,000.0",NA,"2,503,000.0","257,000.0",NA,"565,000.0","-69,000.0","47,884.0",NA,"68,900.0","2,600.0","36,300.0",NA,"378,000.0",NA,"238,517.0","858,000.0","175,000.0","247,000.0","55,553.0","572,000.0","367,000.0","27,594.0",NA,"415,000.0","24,848.0",NA,"136,000.0",NA,"347,000.0","1,170,000.0","-1,439,000.0","1,332,000.0","15,100.0","3,043,000.0","-179,000.0","144,800.0",NA,NA,"60,000.0","389,500.0",NA,"4,702,000.0",NA,NA,NA,NA,NA,NA,"-765,763.0","477,000.0",NA,"4,909,000.0",NA,"173,000.0",NA,378.6
Net Income,271510,"1,145,000","128,400","175,700",NA,NA,"219,000","3,803,000","258,000","108,534.00",NA,"58,300.00","108,698.00","99,000.00",NA,NA,NA,NA,"90,827.00","34,000.00",NA,NA,"11,381.00","47,000.00","228,000.00",NA,NA,"312,000.00","3,217,000.00",NA,"286,200.00","7,360.00","814,000.00","365,000.00","104,000.00","963,000.00",NA,NA,NA,"1,523,000.00",NA,NA,"563,000.00","281,822.00","900,000.00","309,000.00","110,000.00","20,100.00","77,000.00",NA,"45,102.00","163,900.00","448,000.00",NA,NA,"49,495.00",NA,NA,"1,831,000.00",NA,"-38,785.00","428,000.00",NA,"374,760.00","138,500.00",NA,"21,092.00","607,000.00",NA,NA,NA,NA,"126,000.00","159,477.00","57,000.00",NA,"515,000.00","58,000.00","-142,000.00",NA,"58,573.00","2,673,000.00","-22,000.00","102,688.00",NA,"33,988.00",NA,"2,022,000.00",NA,"234,000.00","60,003.00","443,000.00","266,758.00","35,256.00","36,000.00","-73,000.00","45,000.00",NA,"737,000.00",NA,"940,000.00",NA,"2,503,000.00","285,000.00",NA,"565,000.00","-69,000.00","47,884.00",NA,"68,700.00","2,600.00","36,300.00",NA,"378,000.00",NA,"235,556.00","854,000.00","111,000.00","247,000.00","55,553.00","572,000.00","367,000.00","27,594.00",NA,"415,000.00","24,848.00",NA,"136,000.00",NA,"331,000.00","1,168,000.00","-1,439,000.00","1,332,000.00","15,100.00","3,043,000.00","-180,000.00","144,800.00",NA,NA,"60,000.00","389,500.00",NA,"4,593,000.00",NA,NA,NA,NA,NA,NA,"-767,238.00","477,000.00",NA,"4,910,000.00",NA,"173,000.00",NA,378.58
EBIT,271530,"511,000","208,000","248,000",NA,NA,NA,"3,133,000","437,000","99,409.00",NA,"133,600.00","247,812.00","188,000.00",NA,NA,NA,NA,"250,188.00","65,000.00",NA,NA,"9,517.00","116,000.00","461,000.00",NA,NA,"400,000.00",NA,NA,"493,700.00","11,137.00","1,096,000.00","324,000.00","331,000.00","1,460,000.00",NA,NA,NA,NA,NA,NA,"872,000.00","333,265.00","1,744,000.00","476,000.00","179,000.00","30,400.00","136,000.00",NA,"89,149.00","282,200.00","917,000.00",NA,NA,"69,205.00",NA,NA,"1,988,000.00",NA,"-16,753.00","713,000.00",NA,"528,988.00","231,800.00",NA,"88,464.00","1,049,000.00",NA,NA,NA,NA,"234,000.00",NA,"99,000.00",NA,"861,000.00","163,000.00","-22,000.00",NA,"68,695.00","3,886,000.00","128,000.00","116,461.00",NA,"117,806.00",NA,"3,028,000.00",NA,"86,000.00","110,244.00","684,000.00","385,339.00","48,943.00",NA,"10,000.00","189,000.00",NA,"1,108,000.00",NA,"1,257,000.00",NA,"3,723,000.00","527,000.00",NA,"1,269,000.00","148,000.00","84,689.00",NA,"119,700.00","9,500.00","48,800.00",NA,"530,000.00",NA,NA,"1,108,000.00","1,815,000.00","133,000.00","138,909.00","938,000.00","398,000.00","59,202.00",NA,"738,000.00","3,594.00",NA,"192,000.00",NA,"541,000.00",NA,"-961,000.00",NA,"28,800.00",NA,"996,000.00","192,000.00",NA,NA,"80,000.00","545,400.00",NA,"7,449,000.00",NA,NA,NA,NA,NA,NA,"79,733.00","777,000.00",NA,NA,NA,"248,000.00",NA,NA
EBIT / Interest Expense (x),274483,1.59,3.51,4.83,NA,NA,NA,12.00,2.65,2.57,NA,1.96,2.97,2.19,NA,NA,NA,NA,1.67,1.67,NA,NA,1.17,2.00,2.12,NA,NA,28.57,NA,NA,4.33,3.20,7.72,2.35,3.94,6.99,NA,NA,NA,NA,NA,NA,1.86,10.29,2.12,4.18,3.09,4.11,2.89,NA,2.72,4.93,1.90,NA,NA,3.14,NA,NA,7.13,NA,NM,5.06,NA,3.50,5.39,NA,2.23,8.60,NA,NA,NA,NA,2.72,NA,4.50,NA,4.22,1.83,NM,NA,NA,10.34,3.56,3.99,NA,2.33,NA,8.12,NA,0.78,6.12,7.86,8.26,3.30,NA,0.24,2.42,NA,5.43,NA,8.16,NA,4.19,8.37,NA,1.69,0.80,4.16,NA,3.46,0.65,1.81,NA,37.86,NA,NA,3.94,3.72,4.59,3.47,2.30,7.24,1.49,NA,4.92,0.30,NA,3.92,NA,5.52,NA,NM,NA,2.46,NA,10.71,11.50,NA,NA,5.00,10.93,NA,4.39,NA,NA,NA,NA,NA,NA,0.93,3.81,NA,NA,NA,3.70,NA,NA
Avg. Days Sales Out.,274485,60.6,52.3,42.5,NA,NA,NA,1.3,47.6,9,NA,36,145,9,NA,NA,NA,NA,172,NM,NA,NA,66,69,48,NA,NA,112,NA,NA,28,115,29,16,47,35,NA,NA,NA,NA,NA,NA,57,72,51,25,52,55,64,NA,41,64,44,NA,NA,89,NA,NA,12,NA,47,69,NA,51,65,NA,31,29,NA,NA,NA,NA,34,NA,54,NA,31,NA,36,NA,5,NA,4,NA,NA,89,NA,33,NA,33,113,99,94,127,NA,45,45,NA,25,NA,73,NA,47,56,NA,157,53,24,NA,12,84,31,NA,14,NA,NA,9,109,50,14,60,4,51,NA,25,50,NA,37,NA,65,NA,69,NA,44,NA,4,38,NA,NA,36,NA,NA,72,NA,NA,NA,NA,NA,NA,49,60,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,6.01,6.96,8.57,NA,NA,NA,283.33,7.64,38,NA,10,3,42,NA,NA,NA,NA,2,0,NA,NA,6,5,8,NA,NA,3,NA,NA,13,3,13,23,8,10,NA,NA,NA,NA,NA,NA,6,5,7,15,7,7,6,NA,9,6,8,NA,NA,4,NA,NA,30,NA,8,5,NA,7,6,NA,12,13,NA,NA,NA,NA,11,NA,7,NA,12,NA,10,NA,69,NA,86,NA,NA,4,NA,11,NA,11,3,4,4,3,NA,8,8,NA,15,NA,5,NA,8,6,NA,2,7,15,NA,31,4,12,NA,25,NA,NA,40,3,7,26,6,84,7,NA,15,7,NA,10,NA,6,NA,5,NA,8,NA,76,10,NA,NA,10,NA,NA,5,NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,2.80,0.16,0.13,NA,NA,NA,13.01,0.19,0,NA,0,54,3,NA,NA,NA,NA,0,NA,NA,NA,17,0,0,NA,NA,48,NA,NA,4,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,5,NA,5,8,NA,3,8,NA,0,13,NA,NA,NA,NA,0,NA,0,NA,4,2,5,NA,42,5,2,NA,NA,6,NA,1,NA,0,4,7,15,0,NA,7,5,NA,0,NA,4,NA,3,2,NA,0,0,7,NA,6,0,0,NA,1,NA,NA,1,5,30,1,0,1,0,NA,13,0,NA,0,NA,80,NA,6,NA,0,NA,4,7,NA,NA,136,27,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.51,0.15,0.12,NA,NA,NA,0.60,0.16,0,NA,0,1,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,NA,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,NA,1,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,1,2,NA,1,2,1,0,NA,1,NA,0,NA,0,1,1,1,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,1,0,0,NA,0,NA,0,0,0,1,1,0,1,0,NA,3,0,NA,0,NA,1,NA,0,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,021,000","218,300","299,100",NA,NA,"1,454,000","(75,000)","557,000","274,000",NA,"204,500","320,181","33,000",NA,NA,NA,NA,"367,064","334,000",NA,NA,"35,254","377,000","576,000",NA,NA,"742,000","-16,960,000",NA,"411,100","34,107","-591,000","-9,000","521,000","1,107,000",NA,NA,NA,"2,578,000",NA,NA,"856,000","203,664",NA,"673,000","169,000","33,900","121,000",NA,"78,655","267,500","1,462,000",NA,NA,"107,749",NA,NA,"5,508,000",NA,"38,364","-119,000",NA,NA,"187,300",NA,"-17,903","581,000",NA,NA,NA,NA,"194,000","32,682","81,000",NA,"657,000","430,000","46,000",NA,"-83,490","3,862,000","166,000","-186,474",NA,"264,449",NA,"1,689,000",NA,"620,000","-44,002","180,000","349,248","60,739","279,000","62,000","32,000",NA,"1,036,000",NA,"1,425,000",NA,"143,000","493,000",NA,"805,000","214,000","137,482",NA,"146,300","61,400","154,300",NA,"548,000",NA,"114,606","1,573,000","2,733,000","150,000","179,237","444,000","-23,000","374,132",NA,"769,000","-42,919",NA,"290,000",NA,"2,359,000","2,129,000","-3,923,000","-4,252,000","64,800","6,120,000","1,504,000","227,300",NA,NA,"39,000","339,100",NA,"9,485,000",NA,NA,NA,NA,NA,NA,"218,976","959,000",NA,"2,050,000",NA,"432,000",NA,189
Cash from Investing,272601,"(463,000)","(573,600)","(295,000)",NA,NA,"(986,000)","(37,000)","(1,026,000)","-40,166",NA,"-207,100","-20,788","-82,000",NA,NA,NA,NA,"-266,885","-1,082,000",NA,NA,"-6,480","-416,000","-756,000",NA,NA,"-385,000","12,269,000",NA,"-65,500","-34,422","1,820,000","-1,319,000","-154,000","-562,000",NA,NA,NA,"-2,490,000",NA,NA,"-57,000","28,165",NA,"-651,000","-240,000","-227,400","-362,000",NA,"-33,931","-136,700","-1,700,000",NA,NA,"-52,848",NA,NA,"-6,041,000",NA,"-1,758","-349,000",NA,NA,"-527,300",NA,"-94,554","-49,000",NA,NA,NA,NA,"-234,000","34,832","-206,000",NA,"-136,000","-241,000","-95,000",NA,"-4,946","-411,000","-261,000",NA,NA,"-11,439",NA,"-846,000",NA,"-327,000","-40,849","-71,000","-47,125","-13,351","3,268,000","-27,000","-34,000",NA,"-723,000",NA,"-321,000",NA,"-1,249,000","-3,008,000",NA,"-2,295,000","-703,000","-16,089",NA,"-109,100","-105,200","-117,100",NA,"-461,000",NA,"2,638,885","-2,198,000","-733,000","-2,000","-60,882","-1,391,000","-206,000","-203,926",NA,"-1,125,000","-28,407",NA,"-339,000",NA,"-2,524,000","5,427,000","-2,100,000","9,706,000","-124,200","-5,243,000","-848,000","-18,400",NA,NA,0,"-291,100",NA,"-3,865,000",NA,NA,NA,NA,NA,NA,"-231,472","-2,490,000",NA,"-14,584,000",NA,"-143,000",NA,NA
Cash from Financing,272618,"(1,358,000)","342,000","(4,100)",NA,NA,"(982,000)","(1,698,000)","415,000","364,521",NA,"6,500","-317,247","-208,000",NA,NA,NA,NA,"-129,312","1,366,000",NA,NA,"-31,020","23,000","83,000",NA,NA,"-205,000","-18,740,000",NA,"-376,300",-7,"-1,481,000","1,556,000","-304,000","-790,000",NA,NA,NA,"-3,634,000",NA,NA,"-928,000","-830,657",NA,"31,000","79,000","193,300","247,000",NA,"-70,372","-148,800","465,000",NA,NA,"-57,237",NA,NA,"842,000",NA,"-44,773","-57,000",NA,NA,"397,400",NA,"126,394","-432,000",NA,NA,NA,NA,"-31,000","3,186,069","125,000",NA,"-380,000","-271,000","-42,000",NA,"90,511","-2,907,000","-70,000","101,962",NA,"-204,256",NA,"-869,000",NA,"-16,000","19,004","-231,000","-368,636","-43,814","-2,489,000","-65,000","18,000",NA,"-306,000",NA,"-893,000",NA,"-2,289,000","1,555,000",NA,"1,902,000","-428,000","-95,043",NA,"-28,300","43,500","-38,200",NA,"-83,000",NA,"-2,749,770","580,000","-1,584,000","-218,000","-100,502","201,000","4,000","-41,715",NA,"712,000","-9,097",NA,"63,000",NA,"-86,000","-7,413,000","10,000,000","-16,012,000","74,000","-2,371,000","-868,000","-217,500",NA,NA,"-312,000","-194,400",NA,"-5,634,000",NA,NA,NA,NA,NA,NA,"-9,856","1,492,000",NA,"-25,282,000",NA,"-195,000",NA,NA
Foreign Exchange Rate Adj.,272619,"(28,000)",NA,NA,NA,NA,"(2,000)",NA,NA,NA,NA,NA,"-11,947.00","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-46.00,NA,NA,NA,NA,NA,"-3,165,000.00",NA,200.00,NA,NA,"-1,000.00","-9,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-2,374.00",NA,NA,NA,NA,NA,NA,-68.00,"-1,100.00",NA,NA,NA,NA,NA,NA,"-69,000.00",NA,385.00,"-22,000.00",NA,NA,-800.00,NA,NA,NA,NA,NA,NA,NA,NA,170.00,NA,NA,"-20,000.00",NA,"-18,000.00",NA,NA,NA,NA,NA,NA,-494.00,NA,"-21,000.00",NA,NA,"-1,250.00","-9,000.00","-1,401.00",NA,NA,"-7,000.00","-11,000.00",NA,NA,NA,NA,NA,"26,000.00","-28,000.00",NA,NA,NA,NA,NA,"-5,000.00",NA,NA,NA,NA,NA,NA,"-1,000.00","-4,000.00",NA,-123.00,NA,NA,NA,NA,"12,000.00",NA,NA,NA,NA,NA,"-18,000.00","3,000.00",NA,NA,"-1,565,000.00",NA,"-1,100.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,351.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"(828,000)","(13,300)",NA,NA,NA,"(516,000)","(1,810,000)","(54,000)","598,355.00",NA,"3,900.00","-29,801.00","-256,000.00",NA,NA,NA,NA,"-29,133.00","618,000.00",NA,NA,"-2,292.00","-16,000.00","-97,000.00",NA,NA,"152,000.00","-26,596,000.00",NA,"-30,200.00",-322.00,"-252,000.00","227,000.00","54,000.00","-245,000.00",NA,NA,NA,"-3,546,000.00",NA,NA,"-129,000.00","-601,202.00",NA,"53,000.00","8,000.00",-200.00,"6,000.00",NA,"-25,716.00","-19,100.00","227,000.00",NA,NA,"-2,336.00",NA,NA,"240,000.00",NA,"-7,782.00","-547,000.00",NA,NA,"56,600.00",NA,"13,937.00","100,000.00",NA,NA,NA,NA,"-71,000.00","3,254,325.00",NA,NA,"121,000.00","-82,000.00","-109,000.00",NA,"2,075.00","544,000.00","-165,000.00","-84,512.00",NA,"48,260.00",NA,"-46,000.00",NA,"277,000.00","-67,097.00","-131,000.00","-67,914.00","3,574.00","1,058,000.00","-37,000.00","5,000.00",NA,"7,000.00",NA,"211,000.00",NA,"-3,369,000.00","-988,000.00",NA,"533,000.00","-917,000.00","26,350.00",NA,"3,900.00",-300.00,"-1,000.00",NA,"4,000.00",NA,"3,721.00","-46,000.00","412,000.00","-70,000.00","17,730.00","-746,000.00","-225,000.00","128,491.00",NA,"368,000.00","-80,423.00",NA,"14,000.00",NA,"-251,000.00","125,000.00","3,980,000.00","-10,558,000.00","14,600.00","-3,059,000.00","-212,000.00","-9,700.00",NA,NA,"-273,000.00","-146,400.00",NA,"-14,000.00",NA,NA,NA,NA,NA,NA,"-23,703.00","-39,000.00",NA,"-37,816,000.00",NA,"94,000.00",NA,189.29
Capital Expenditure,272592,"(269,000)","(334,100)","(321,300)",NA,NA,"(900,000)","(29,000)","(1,027,000)",NA,NA,"-207,500.00","-22,101.00","-85,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-391.00,"-356,000.00","-812,000.00",NA,NA,"-5,000.00","-1,644,000.00",NA,"-70,400.00","-14,688.00","-547,000.00",NA,"-242,000.00","-549,000.00",NA,NA,NA,"-65,000.00",NA,NA,"-2,991,000.00","-35,822.00",NA,"-582,000.00","-214,000.00","-47,300.00","-200,000.00",NA,NA,"-136,700.00","-1,699,000.00",NA,NA,NA,NA,NA,"-2,100,000.00",NA,"-1,752.00","-64,000.00",NA,NA,"-27,400.00",NA,"-18,632.00","-119,000.00",NA,NA,NA,NA,"-227,000.00","-48,616.00","-193,000.00",NA,"-115,000.00","-244,000.00","-175,000.00",NA,-280.00,"-385,000.00","-175,000.00",NA,NA,"-31,498.00",NA,"-628,000.00",NA,"-310,000.00","-40,114.00","-68,000.00","-8,618.00",NA,NA,"-13,000.00","-53,000.00",NA,"-569,000.00",NA,"-320,000.00",NA,"-1,080,000.00","-157,000.00",NA,"-2,298,000.00","-704,000.00","-16,916.00",NA,"-67,200.00","-102,700.00","-113,900.00",NA,"-268,000.00",NA,NA,"-2,140,000.00","-537,000.00","-6,000.00","-60,882.00","-1,420,000.00","-500,000.00","-200,648.00",NA,"-176,000.00","-49,960.00",NA,"-339,000.00",NA,"-56,000.00","-382,000.00","-404,000.00","-89,000.00","-115,000.00","-542,000.00","-926,000.00","-20,400.00",NA,NA,"-17,000.00","-27,700.00",NA,"-3,695,000.00",NA,NA,NA,NA,NA,NA,"-365,738.00","-2,470,000.00",NA,NA,NA,"-62,000.00",NA,NA
Change in Net Working Capital,272627,"(2,230,000)","224,200","(25,300)",NA,NA,NA,"4,857,000","(116,000)","-85,897.00",NA,"-20,300.00","-149,233.00","155,000.00",NA,NA,NA,NA,"-49,494.00","-938,000.00",NA,NA,"-4,041.00","-136,000.00","-527,000.00",NA,"114,000.00","-165,000.00",NA,NA,"82,200.00","9,008.00","-257,000.00","47,000.00","-208,000.00","236,000.00",NA,NA,NA,NA,NA,NA,"-2,974,000.00","49,005.00","180,000.00","-152,000.00","41,000.00","203,244.00","222,000.00",NA,"28,657.00","63,700.00","-116,000.00",NA,NA,"18,574.00",NA,NA,"-817,000.00","42,900.00","-69,611.00","530,000.00",NA,"37,322.00","104,500.00",NA,"-24,377.00","486,000.00",NA,NA,NA,NA,"37,000.00",NA,"31,000.00",NA,"130,000.00","-251,000.00","99,000.00",NA,"123,191.00","-639,000.00","179,000.00","114,490.00",NA,"-107,662.00",NA,"534,000.00",NA,"-82,000.00","113,844.00","417,000.00","12,045.00","-6,054.00",NA,"-51,000.00","17,000.00",NA,"-28,000.00",NA,"-508,000.00",NA,"3,288,000.00","469,000.00",NA,"1,023,000.00","-51,000.00","-44,006.00",NA,"-51,300.00","-34,100.00","-32,900.00",NA,"237,000.00",NA,NA,"-237,000.00","-2,410,000.00","136,000.00","-42,233.00","1,093,000.00","987,000.00","-300,128.00","-112,108.00","125,782.00","67,290.00",NA,"-42,000.00",NA,"-1,277,000.00",NA,"3,145,000.00",NA,"-56,700.00",NA,"-140,000.00","-56,900.00",NA,NA,"40,000.00","134,400.00",NA,"423,000.00",NA,NA,NA,NA,NA,NA,"688,453.00","-394,000.00",NA,NA,NA,"-105,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"2,735,375","(303,400)","(34,300)",NA,NA,NA,"(2,853,875)","(236,875)","276,114.63",NA,"42,000.00","323,051.50","-56,500.00",NA,NA,NA,NA,"439,556.50","978,625.00",NA,NA,"31,298.13","-9,500.00","389,125.00",NA,NA,"452,000.00",NA,NA,"261,462.50",490.63,"1,077,000.00","187,500.00","575,875.00","550,500.00",NA,NA,NA,NA,NA,NA,"1,223,000.00","215,623.63",NA,"175,500.00","29,875.00","-205,144.00","-240,000.00",NA,"71,989.13","142,875.00","-115,875.00",NA,NA,"72,855.13",NA,NA,"1,477,500.00",NA,"61,907.38",625.00,NA,NA,"42,375.00",NA,"107,626.00","353,625.00",NA,NA,NA,NA,"-36,750.00",NA,"-159,125.00",NA,"504,125.00","294,875.00","496,250.00",NA,"-77,159.63","3,158,750.00","-152,000.00","-36,818.88",NA,"292,543.75",NA,"1,270,500.00",NA,"61,750.00","-58,083.50","88,500.00","252,489.88","55,543.38",NA,"91,250.00","127,125.00",NA,"499,500.00",NA,"1,299,625.00",NA,"540,875.00","-95,625.00",NA,"-1,396,875.00","-273,500.00","125,701.63",NA,"90,812.50","-39,162.50","13,600.00",NA,"13,250.00",NA,NA,"-817,500.00","3,924,375.00","-22,875.00","134,319.13","-1,182,750.00","-834,250.00","198,168.25",NA,"408,468.00","-70,880.75",NA,"-64,000.00",NA,"1,691,125.00",NA,"-3,839,625.00",NA,"-19,600.00",NA,"695,500.00","193,600.00",NA,NA,"41,000.00","207,975.00",NA,"4,856,625.00",NA,NA,NA,NA,NA,NA,"-648,892.88","-1,108,375.00",NA,NA,NA,"324,000.00",NA,NA
