SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,829,000","416,700","400,400",NA,NA,"2,185,000","4,819,000","1,800,000","356,105",NA,"907,300","9,074,125","1,470,000",NA,NA,NA,NA,"753,636","2,011,000",NA,NA,"158,207","1,764,000","2,763,000",NA,"364,100","1,218,000","18,928,000",NA,"2,653,300","198,194","5,591,000","7,109,000","3,680,000","3,413,000",NA,NA,NA,"2,737,000",NA,NA,"4,279,000","2,051,901","7,011,000","1,355,000","822,000","180,659","638,000",NA,"156,769","1,363,200","5,327,000",NA,NA,"125,491",NA,NA,"34,476,000","1,376,500","375,853","4,343,000",NA,"2,156,254","1,163,100","202,402","210,226","17,028,000",NA,NA,NA,NA,"365,000","1,692,842","486,000","778,200","3,078,000","3,887,000","4,431,000",NA,"546,050","24,422,000","4,865,000","79,395",NA,"1,954,400",NA,"5,665,600",NA,"1,005,000","724,086","1,892,000","559,945","71,624","544,000","1,866,000","2,388,000",NA,"2,915,000",NA,"8,797,000",NA,"9,728,000","2,346,000",NA,"5,798,000","1,297,000","1,342,175",NA,"1,792,900","330,700","387,600",NA,"1,656,000",NA,"1,751,685","1,059,231","15,716,000","1,878,000","98,835","3,961,000","4,694,000","676,539","1,267,409","16,456,546","141,376","457,000","691,000",NA,"12,336,000","3,924,000","13,991,000","4,663,000","197,000","12,372,000","41,298,000","932,650",NA,NA,"1,218,000","2,980,600",NA,"33,554,000",NA,NA,NA,NA,NA,NA,"570,780","2,167,000",NA,"18,515,000",NA,"3,112,000",NA,NA
Gross Profit,271473,"4,003,000","268,300.00","371,600",NA,NA,"2,185,000","3,313,000","772,000","190,454.00",NA,"377,800.00","1,207,504.00","742,000.00",NA,NA,NA,NA,"478,541.00","931,000.00",NA,NA,"109,148.00","493,000.00","990,000.00",NA,"93,200.00","-314,000.00","18,928,000.00",NA,"673,400.00","56,861.00","836,000.00","4,676,000.00","1,283,000.00","1,634,000.00",NA,NA,NA,"2,612,000.00",NA,NA,"1,983,000.00","743,401.00","3,165,000.00","616,000.00","311,000.00","62,324.00","226,000.00",NA,"142,830.00","809,800.00","2,095,000.00",NA,NA,"90,076.00",NA,NA,"4,089,000.00","792,000.00","184,313.00","1,678,000.00",NA,"1,199,096.00","601,400.00","136,374.00","105,805.00","3,385,000.00",NA,NA,NA,NA,"338,000.00","1,335,600.00","229,000.00","405,000.00","1,654,000.00","1,654,000.00","607,000.00",NA,"160,689.00","8,130,000.00","1,976,000.00","79,395.00",NA,"221,084.00",NA,"3,050,100.00",NA,"390,000.00","192,880.00","860,000.00","457,174.00","68,658.00","544,000.00","430,000.00","745,000.00",NA,"1,418,000.00",NA,"1,873,000.00",NA,"7,625,000.00","625,000.00",NA,"1,628,000.00","555,000.00","295,345.00",NA,"364,300.00","126,800.00","84,700.00",NA,"1,248,000.00",NA,"1,751,685.00","-90,011.00","3,156,000.00","217,000.00","-31,839.00","1,458,000.00","856,000.00","259,782.00","315,956.00","2,971,708.00","83,622.00","57,000.00","337,000.00",NA,"2,638,000.00","3,924,000.00","853,000.00","4,519,000.00","66,300.00","10,704,000.00","9,351,000.00","300,476.00",NA,NA,"325,000.00","831,400.00",NA,"19,204,000.00",NA,NA,NA,NA,NA,NA,"175,938.00","1,070,000.00",NA,"18,515,000.00",NA,"1,465,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,303,000","69,600.0","155,400",NA,NA,"655,000","1,959,000","253,000","70,014.00",NA,"120,200.00","365,996.00","91,000.00",NA,NA,NA,NA,"179,378.00","1,587,000.00",NA,NA,"4,340.00","636,000.00","531,000.00",NA,"42,100.00","-266,000.00","4,325,000.00",NA,"235,700.00","23,001.00","111,000.00","3,441,000.00","603,000.00","859,000.00",NA,NA,NA,"1,233,000.0",NA,NA,"692,000.00","226,153.00","835,000.00","171,000.00","-79,000.00","24,499.00","77,000.00",NA,"42,192.00","222,800.00","481,000.00",NA,NA,"37,123.00",NA,NA,"-3,119,000.00","165,100.00","-21,348.00","402,000.00",NA,"249,636.00","62,900.00","18,666.0","2,171.00","1,086,000.00",NA,NA,NA,NA,"106,000.00","327,975.00","27,000.00","188,000.0","585,000.00","14,000.00","-229,000.00",NA,"78,686.00","2,321,000.00","103,000.00","65,203.00",NA,"-34,959.00",NA,"1,104,400.00",NA,"241,000.00","46,265.00","268,000.00","228,423.00","8,246.00","255,000.00","-34,000.00","228,000.00",NA,"703,000.00",NA,"955,000.00",NA,"2,457,000.00","307,000.00",NA,"530,000.00","130,000.00","112,673.00",NA,"74,100.00","75,100.00","5,800.00",NA,"528,000.00",NA,"689,931.00","-1,167,142.00","1,126,000.00","82,000.00","-88,509.00","173,000.00","-278,000.00","111,795.00","97,250.00","378,013.00","31,432.00","-279,000.0","118,000.00",NA,"650,000.00","765,000.00","-1,242,000.00","1,402,000.00","16,900.00","3,939,000.00","143,000.00","69,510.00",NA,NA,"146,000.00","240,400.00",NA,"4,711,000.00",NA,NA,NA,NA,NA,NA,"-6,252.00","357,000.00",NA,"3,918,000.00",NA,"771,000.00",NA,134.1
Net Income,271510,"1,299,000","69,600.00","155,400",NA,NA,"655,000","1,959,000","252,000","70,014.00",NA,"120,200.00","364,749.00","277,000.00",NA,NA,NA,NA,"161,829.00","1,585,000.00",NA,NA,"4,340.00","636,000.00","531,000.00",NA,"42,100.00","-266,000.00","4,306,000.00",NA,"235,400.00","23,001.00","106,000.00","3,366,000.00","581,000.00","859,000.00",NA,NA,NA,"1,233,000.00",NA,NA,"711,000.00","226,153.00","857,000.00","171,000.00","-79,000.00","24,499.00","77,000.00",NA,"42,192.00","221,800.00","597,000.00",NA,NA,"37,105.00",NA,NA,"-3,110,000.00","165,100.00","-21,514.00","389,000.00",NA,"244,733.00","61,200.00","18,666.00","2,122.00","1,086,000.00",NA,NA,NA,NA,"106,000.00","329,517.00","27,000.00","187,400.00","585,000.00","14,000.00","-229,000.00",NA,"78,686.00","2,321,000.00","103,000.00","65,203.00",NA,"-34,978.00",NA,"1,104,400.00",NA,"241,000.00","46,265.00","267,000.00","228,423.00","8,399.00","255,000.00","-34,000.00","228,000.00",NA,"703,000.00",NA,"955,000.00",NA,"2,457,000.00","304,000.00",NA,"530,000.00","130,000.00","112,673.00",NA,"69,900.00","75,100.00","5,800.00",NA,"528,000.00",NA,"684,322.00","-1,167,142.00","1,084,000.00","81,000.00","-88,508.00","173,000.00","-278,000.00","111,795.00","96,178.00","378,013.00","31,432.00","-279,000.00","118,000.00",NA,"660,000.00","773,000.00","-1,219,000.00","1,402,000.00","16,900.00","3,939,000.00","140,000.00","69,510.00",NA,NA,"146,000.00","240,400.00",NA,"4,580,000.00",NA,NA,NA,NA,NA,NA,"16,968.00","357,000.00",NA,"3,788,000.00",NA,"771,000.00",NA,134.15
EBIT,271530,"1,708,000","126,400.00","222,900",NA,NA,NA,"2,882,000","377,000","73,218.00",NA,"199,700.00","514,385.00","337,000.00",NA,NA,NA,NA,"259,461.00","2,039,000.00",NA,NA,"11,841.00","311,000.00","482,000.00",NA,"57,300.00","-338,000.00",NA,NA,"388,800.00","34,125.00","437,000.00","4,019,000.00","594,000.00","1,274,000.00",NA,NA,NA,NA,NA,NA,"1,179,000.00","307,508.00","1,526,000.00","282,000.00","132,000.00","35,986.00","45,000.00",NA,"81,771.00","332,400.00","941,000.00",NA,NA,"47,425.00",NA,NA,"1,808,000.00","212,300.00","-11,445.00","511,000.00",NA,"426,947.00","120,000.00","48,540.00","12,665.00","1,482,000.00",NA,NA,NA,NA,"198,000.00",NA,"43,000.00","303,900.00","674,000.00","273,000.00","-98,000.00",NA,"98,002.00","3,245,000.00","243,000.00","68,899.00",NA,"-21,489.00",NA,"2,373,100.00",NA,"102,000.00","51,890.00","301,000.00","290,290.00","40,214.00",NA,"94,000.00","228,000.00",NA,"1,116,000.00",NA,"1,273,000.00",NA,"3,470,000.00","416,000.00",NA,"744,000.00","215,000.00","161,755.00",NA,"100,200.00","101,600.00","20,900.00",NA,"753,000.00",NA,NA,"-859,208.00","1,560,000.00","140,000.00","-82,224.00","734,000.00","-151,000.00","165,828.00","168,306.00","683,534.00","44,455.00","-112,000.00","171,000.00",NA,"896,000.00",NA,"-408,000.00",NA,"24,300.00",NA,"910,000.00","92,642.00",NA,NA,"214,000.00","342,600.00",NA,"8,095,000.00",NA,NA,NA,NA,NA,NA,"-7,165.00","566,000.00",NA,NA,NA,"1,332,000.00",NA,NA
EBIT / Interest Expense (x),274483,15.12,2.78,5.91,NA,NA,NA,NA,3.63,2.66,NA,3.68,12.64,2.96,NA,NA,NA,NA,2.56,56.64,NA,NA,1.27,10.72,3.07,NA,2.69,NM,NA,NA,4.11,7.60,7.80,49.62,8.37,7.12,NA,NA,NA,NA,NA,NA,6.78,11.58,2.68,3.36,2.93,5.45,1.50,NA,2.46,8.37,2.78,NA,NA,4.56,NA,NA,5.87,11.29,NM,85.17,NA,4.78,2.89,2.03,0.46,24.30,NA,NA,NA,NA,3.09,NA,1.87,7.81,3.59,4.08,NM,NA,NA,15.16,3.08,4.13,NA,NM,NA,8.26,NA,1.24,6.50,5.19,7.13,3.94,NA,1.49,3.86,NA,6.64,NA,9.57,NA,4.92,14.86,NA,2.04,2.03,10.87,NA,8.49,10.81,1.11,NA,14.77,NA,NA,NM,4.85,5.19,NM,3.45,NM,6.23,3.48,5.33,4.69,NM,4.50,NA,10.80,NA,NM,NA,4.12,NA,5.52,13.21,NA,NA,42.80,7.31,NA,10.30,NA,NA,NA,NA,NA,NA,NM,3.82,NA,NA,NA,18.50,NA,NA
Avg. Days Sales Out.,274485,48,47,29,NA,NA,NA,NA,39,11,NA,30,110,11,NA,NA,NA,NA,161,NM,NA,NA,56,34,42,NA,10,103,NA,NA,28,54,30,27,48,32,NA,NA,NA,NA,NA,NA,46,62,47,14,10,4,14,NA,43,52,32,NA,NA,77,NA,NA,21,61,55,NA,NA,40,107,68,37,29,NA,NA,NA,NA,29,NA,53,39,35,NA,47,NA,9,NA,5,NA,NA,103,NA,29,NA,45,114,113,101,135,NA,47,55,NA,24,NA,76,NA,47,45,NA,100,49,16,NA,12,40,16,NA,14,NA,NA,37,119,48,54,48,5,35,57,22,76,NA,33,NA,66,NA,73,NA,28,NA,5,30,NA,NA,25,NA,NA,66,NA,NA,NA,NA,NA,NA,48,48,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7,8,12,NA,NA,NA,NA,9,34,NA,12,3,32,NA,NA,NA,NA,2,0,NA,NA,6,10,9,NA,37,3,NA,NA,13,7,12,13,8,11,NA,NA,NA,NA,NA,NA,8,6,8,25,36,91,26,NA,8,7,11,NA,NA,5,NA,NA,17,6,7,NA,NA,9,3,5,10,13,NA,NA,NA,NA,13,NA,7,9,10,NA,8,NA,41,NA,78,NA,NA,3,NA,13,NA,8,3,3,4,3,NA,8,7,NA,15,NA,5,NA,8,8,NA,4,7,21,NA,30,9,22,NA,25,NA,NA,10,3,8,6,7,78,10,6,16,5,NA,11,NA,5,NA,5,NA,13,NA,89,12,NA,NA,15,NA,NA,5,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3,0,0,NA,NA,NA,12,0,0,NA,0,45,2,NA,NA,NA,NA,0,NA,NA,NA,13,1,0,NA,1,24,NA,NA,4,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,4,11,6,NA,NA,4,11,0,0,18,NA,NA,NA,NA,0,NA,0,0,4,2,4,NA,94,4,2,NA,NA,5,NA,1,NA,0,4,5,11,0,NA,7,5,NA,0,NA,4,NA,5,2,NA,0,0,11,NA,7,1,0,NA,1,NA,NA,0,4,22,0,0,1,0,1,13,0,NA,0,NA,44,NA,5,NA,0,NA,6,7,NA,NA,50,25,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,1,0,0,NA,NA,NA,0,0,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,1,0,NA,0,0,NA,NA,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,NA,NA,0,0,0,0,2,NA,NA,NA,NA,0,0,0,0,0,1,1,NA,1,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,1,0,0,NA,0,NA,0,0,0,1,0,0,1,0,0,3,0,NA,0,NA,1,NA,0,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,011,000","129,900","238,800",NA,NA,"1,641,000","3,075,000","388,000","158,742",NA,"416,100","-200,248","249,000",NA,NA,NA,NA,"219,490","-199,000",NA,NA,"30,358","484,000","580,000",NA,"135,200","198,000","-9,247,000",NA,"139,800","31,290","1,339,000","-3,000","534,000","1,299,000",NA,NA,NA,"1,734,000",NA,NA,"1,125,000","23,683","1,795,000","234,000","293,000","90,154","169,000",NA,"128,087","-198,500","1,782,000",NA,NA,"59,929",NA,NA,"-1,084,000","214,800","-115,045","468,000",NA,"630,000","134,700","49,308","-100,760","1,657,000",NA,NA,NA,NA,"154,000","-1,214,595","128,000","149,200","663,000","278,000","189,000",NA,"-137,787","4,492,000","494,000","-49,677",NA,"131,518",NA,"2,133,300",NA,"353,000","157,185","152,000","244,184","38,680","-109,000","34,000","-272,000",NA,"994,000",NA,"-488,000",NA,"5,391,000","158,000",NA,"1,732,000","537,000","-23,039",NA,"-49,100","103,400","15,900",NA,"687,000",NA,"3,890,152","-528,847","476,000","189,000","-95,366","827,000","1,071,000","164,338","186,620","110,812","40,011","38,000","142,000",NA,"432,000","3,429,000","-3,216,000","3,053,000","6,200","-19,534,000","2,256,000","-90,043",NA,NA,"214,000","325,800",NA,"6,821,000",NA,NA,NA,NA,NA,NA,"65,129","685,000",NA,"199,000",NA,"957,000",NA,0
Cash from Investing,272601,"-263,000","-342,800","-396,200",NA,NA,"-5,685,000","-34,000","-780,000","-512,764",NA,"-223,100",899,"-56,000",NA,NA,NA,NA,"-151,335","-2,519,000",NA,NA,"-68,778","1,779,000","1,934,000",NA,"-62,800","-162,000","-38,820,000",NA,"-154,900","-21,638","404,000","-1,246,000","-278,000","-368,000",NA,NA,NA,"661,000",NA,NA,"-1,574,000","-46,963","-2,699,000","-504,000","-101,000","-36,261","-187,000",NA,"-25,035","-268,200","-1,819,000",NA,NA,"-203,020",NA,NA,"3,315,000","-17,900","-2,275","-100,000",NA,"-160,823","-23,900","-33,180","33,859","-280,000",NA,NA,NA,NA,"-264,000","-105,811","-101,000","-115,800","3,000","-57,000","-225,000",NA,"-1,373","-477,000","-74,000",NA,NA,"-101,361",NA,"-554,500",NA,"-461,000",277,"-557,000","-15,310","-2,060","1,751,000","-86,000","559,000",NA,"-335,000",NA,"-249,000",NA,"-781,000","-88,000",NA,"-2,330,000","-371,000","-143,119",NA,"-39,200","-45,800","-653,000",NA,"-625,000",NA,"-736,320","-1,443,141","-518,000","-4,000","-33,981","-1,159,000","-139,000","-134,348","-154,210","-788,605","-94,802","-65,000","-298,000",NA,"981,000","-33,901,000","2,965,000","-3,642,000","-68,700","-17,021,000","-853,000","-413,371",NA,NA,"-213,000","-192,400",NA,"-7,995,000",NA,NA,NA,NA,NA,NA,"-399,575","-1,129,000",NA,"-22,961,000",NA,"-87,000",NA,NA
Cash from Financing,272618,"-2,054,000","222,400","157,400",NA,NA,"2,987,000","-2,232,000","391,000","369,235",NA,"-197,100","227,578","-1,291,000",NA,NA,NA,NA,"-86,970","2,345,000",NA,NA,"29,804","-2,273,000","-2,621,000",NA,"-68,000","-188,000","58,354,000",NA,"5,500","-8,686","-635,000","1,250,000","-375,000","-1,234,000",NA,NA,NA,"-4,084,000",NA,NA,"635,000","-75,204","1,404,000","234,000","-179,000","-50,375","20,000",NA,"-66,293","444,300","1,416,000",NA,NA,"128,956",NA,NA,"-1,661,000","-332,600","32,067","-420,000",NA,"-376,334","-77,500","-57,775","-96,216","-2,282,000",NA,NA,NA,NA,"108,000","-1,083,380","-90,000","-267,500","-644,000","-883,000","-43,000",NA,"141,971","-2,020,000","-300,000","35,000",NA,"-158,016",NA,"-3,830,100",NA,"7,000","-151,585","-577,000","-966,117","-36,177","-2,006,000","1,000","-393,000",NA,"73,000",NA,"-619,000",NA,"-11,468,000","-285,000",NA,"645,000","-11,000","107,155",NA,"-48,500","-59,700","638,700",NA,"-55,000",NA,"-2,716,060","1,237,731","-1,745,000","-95,000","117,906","171,000","-314,000","407,195","369,474","-237,731","63,845","-114,000","158,000",NA,"-1,046,000","30,095,000","-396,000","24,609,000","66,000","53,101,000","-781,000","293,300",NA,NA,"-353,000","-101,800",NA,"245,000",NA,NA,NA,NA,NA,NA,"315,222","454,000",NA,"-9,573,000",NA,"-1,664,000",NA,NA
Foreign Exchange Rate Adj.,272619,"-11,000",NA,NA,NA,NA,"2,000",NA,NA,NA,NA,NA,"-7,632.00","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-233,000.00",NA,"-2,600.00",NA,NA,"-2,000.00","-13,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"2,964.00",NA,NA,NA,NA,NA,NA,57.00,"-1,400.00",NA,NA,NA,NA,NA,NA,"-24,000.00",700.00,"-3,502.00","-3,000.00",NA,"-36,147.00","5,400.00",NA,NA,NA,NA,NA,NA,NA,NA,-467.00,NA,-600.00,"4,000.00",NA,"-7,000.00",NA,NA,"7,000.00",NA,NA,NA,256.00,NA,"-122,200.00",NA,NA,-65.00,"-14,000.00","-4,891.00",NA,NA,"-6,000.00","8,000.00",NA,NA,NA,NA,NA,"-181,000.00","4,000.00",NA,NA,NA,NA,NA,-300.00,NA,NA,NA,NA,NA,NA,991.00,"15,000.00",NA,285.00,NA,NA,NA,85.00,"-9,355.00",NA,NA,NA,NA,NA,"38,000.00","-3,000.00",NA,NA,"-3,418,000.00",NA,"-2,539.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,037.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"-1,317,000","9,500.00",NA,NA,NA,"-1,055,000","809,000","-1,000","15,213.00",NA,"-4,100.00","20,597.00","-1,096,000.00",NA,NA,NA,NA,"-18,815.00","-373,000.00",NA,NA,"-8,616.00","-10,000.00","-107,000.00",NA,"4,400.00","-152,000.00","10,054,000.00",NA,"-12,200.00",966.00,"1,108,000.00","-1,000.00","-132,000.00","-303,000.00",NA,NA,NA,"-1,689,000.00",NA,NA,"186,000.00","-95,520.00","500,000.00","-36,000.00","13,000.00","3,518.00","2,000.00",NA,"36,816.00","-23,800.00","1,379,000.00",NA,NA,"-14,135.00",NA,NA,"546,000.00","-135,000.00","-88,755.00","-55,000.00",NA,"56,696.00","38,700.00","-41,647.00","-163,117.00","-905,000.00",NA,NA,NA,NA,"-2,000.00","-2,404,253.00","-63,000.00","-234,700.00","26,000.00","-662,000.00","-86,000.00",NA,"2,811.00","2,002,000.00","120,000.00","-14,677.00",NA,"-127,603.00",NA,"-2,373,500.00",NA,"-101,000.00","5,812.00","-996,000.00","-742,134.00",443.00,"-364,000.00","-57,000.00","-98,000.00",NA,"732,000.00",NA,"-1,356,000.00",NA,"-7,039,000.00","-211,000.00",NA,"18,000.00","155,000.00","-59,003.00",NA,"-137,100.00","-2,100.00","1,600.00",NA,"7,000.00",NA,"437,772.00","-733,266.00","-1,772,000.00","90,000.00","-11,156.00","-161,000.00","618,000.00","437,185.00","401,969.00","-924,879.00","9,054.00","-141,000.00","2,000.00",NA,"367,000.00","-339,000.00","-650,000.00","24,020,000.00","3,500.00","13,128,000.00","622,000.00","-212,653.00",NA,NA,"-352,000.00","31,600.00",NA,"-929,000.00",NA,NA,NA,NA,NA,NA,"-20,261.00","10,000.00",NA,"-32,335,000.00",NA,"-794,000.00",NA,NA
Capital Expenditure,272592,"-424,000","-356,600.00","-417,100",NA,NA,"-946,000","-45,000","-790,000",NA,NA,"-233,900.00","-19,270.00","-65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-492.00,"-278,000.00","-846,000.00",NA,"-55,500.00","-4,000.00","-1,229,000.00",NA,"-154,900.00","-8,678.00","-410,000.00",NA,"-383,000.00","-331,000.00",NA,NA,NA,"-51,000.00",NA,NA,"-1,659,000.00","-50,381.00","-2,551,000.00","-514,000.00","-212,000.00","-38,475.00","-210,000.00",NA,NA,"-156,500.00","-1,922,000.00",NA,NA,NA,NA,NA,"-1,370,000.00","-18,800.00","-2,526.00","-100,000.00",NA,"-156,102.00","-29,200.00","-28,560.00",-281.00,"-273,000.00",NA,NA,NA,NA,"-265,000.00","-27,630.00","-84,000.00","-95,700.00","-109,000.00","-59,000.00","-180,000.00",NA,-993.00,"-461,000.00","-61,000.00",NA,NA,"-83,191.00",NA,"-401,200.00",NA,"-459,000.00","-37,059.00","-54,000.00","-1,254.00",NA,NA,"-15,000.00","-70,000.00",NA,"-389,000.00",NA,"-244,000.00",NA,"-1,062,000.00","-107,000.00",NA,"-2,310,000.00","-374,000.00","-18,668.00",NA,"-55,800.00","-43,400.00","-104,100.00",NA,"-144,000.00",NA,NA,"-1,363,086.00","-439,000.00","-10,000.00","-33,981.00","-1,207,000.00","-514,000.00","-141,123.00","-162,796.00","-85,019.00","-108,456.00","-44,000.00","-301,000.00",NA,"-130,000.00","-271,000.00","-349,000.00","-296,000.00","-64,200.00","-953,000.00","-820,000.00","-11,903.00",NA,NA,"-11,000.00","-21,800.00",NA,"-5,821,000.00",NA,NA,NA,NA,NA,NA,"-246,164.00","-1,101,000.00",NA,NA,NA,"-38,000.00",NA,NA
Change in Net Working Capital,272627,"899,000","22,300.00","173,800",NA,NA,NA,"-1,067,000","309,000","-8,251.00",NA,"-148,400.00","549,811.00","271,000.00",NA,NA,NA,NA,"90,228.00","543,000.00",NA,NA,"-2,945.00","-1,057,000.00","-1,433,000.00",NA,"-16,300.00","-111,000.00",NA,NA,"213,200.00","-14,675.00","-839,000.00","-1,775,000.00","143,000.00","-102,000.00",NA,NA,NA,NA,NA,NA,"855,000.00","231,931.00","1,278,000.00","190,000.00","-162,000.00","-39,341.00","-65,000.00",NA,"-41,313.00","632,300.00","461,000.00",NA,NA,"-5,403.00",NA,NA,"5,123,000.00","24,600.00","100,575.00",NA,NA,"-94,406.00","-35,500.00","22,257.00","-2,647.00","-345,000.00",NA,NA,NA,NA,"1,000.00",NA,"-37,000.00","103,100.00","160,000.00","101,000.00","-105,000.00",NA,"220,771.00","-1,408,000.00","418,000.00","-6,247.00",NA,"-45,921.00",NA,"-368,300.00",NA,"293,000.00","-120,098.00","18,000.00","44,682.00","60,517.00",NA,"39,000.00","293,000.00",NA,"8,000.00",NA,"883,000.00",NA,"-1,615,000.00","237,000.00",NA,"-71,000.00","27,000.00","198,335.00",NA,"217,600.00","3,700.00","1,400.00",NA,"454,000.00",NA,NA,"-85,166.00","469,000.00","-94,000.00","-13,493.00","-58,000.00","-392,000.00","59,439.00","49,393.00","485,220.00","4,369.00",NA,"188,000.00",NA,"149,000.00",NA,"2,628,000.00",NA,"2,300.00",NA,"-208,000.00","213,245.00",NA,NA,"-33,000.00","-419,900.00",NA,"6,654,000.00",NA,NA,NA,NA,NA,NA,"127,853.00","117,000.00",NA,NA,NA,"283,000.00",NA,"9,411.80"
Unlevered Free Cash Flow,272626,"338,500","-191,100.00","-368,488",NA,NA,NA,"2,875,250","-513,375","161,371.25",NA,"184,512.50","-181,934.38","-61,375.00",NA,NA,NA,NA,"269,250.13","731,375.00",NA,NA,"36,111.63","1,080,375.00","1,206,250.00",NA,"30,012.50","-51,250.00",NA,NA,"-26,000.00","51,306.13","1,295,125.00","4,443,875.00","260,250.00","963,250.00",NA,NA,NA,NA,NA,NA,"-1,004,125.00",-3.50,"-1,395,250.00","-254,750.00","189,500.00","44,169.25","-35,875.00",NA,"136,621.88","-419,450.00","-770,875.00",NA,NA,"76,633.63",NA,NA,"-3,749,000.00","226,987.50","-101,577.13",NA,NA,"698,122.88","290,100.00","52,554.50","62,751.63","1,328,250.00",NA,NA,NA,NA,"-64,250.00",NA,"55,875.00","87,337.50","309,250.00","233,625.00","705,750.00",NA,"-156,594.75","3,472,125.00","-130,125.00","52,126.88",NA,"66,418.38",NA,"1,984,287.50",NA,"-429,250.00","140,820.25","264,125.00","178,814.25","-11,776.25",NA,"120,750.00","-130,500.00",NA,"625,500.00",NA,"-10,375.00",NA,"4,023,750.00","54,000.00",NA,"-684,000.00","13,375.00","-80,594.13",NA,"-140,875.00","37,700.00","-39,737.50",NA,"82,625.00",NA,NA,"-1,452,619.00","1,102,000.00","219,500.00","-58,621.00","-68,250.00","107,625.00","-21,566.50","19,828.25","100,969.75","-48,391.63",NA,"-277,125.00",NA,"517,000.00",NA,"-2,214,000.00",NA,"-32,112.50",NA,"1,064,750.00","-137,078.75",NA,NA,"191,750.00","642,225.00",NA,"-5,017,625.00",NA,NA,NA,NA,NA,NA,"-255,845.13","-439,250.00",NA,NA,NA,"641,500.00",NA,NA
