SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,942,000","432,600","376,800",NA,NA,"2,100,000","5,531,000","1,730,000","339,563",NA,"804,000","8,512,391","1,702,000",NA,NA,NA,NA,"722,559","2,511,000",NA,NA,"156,553","609,000","1,749,000",NA,"393,000","1,785,000","17,639,000",NA,"2,771,100","62,420","4,406,000","5,521,000","3,615,000","3,292,000",NA,NA,NA,"2,592,000",NA,NA,"3,176,000","2,018,269","6,951,000","1,561,000","886,000","124,993","506,000",NA,"139,189","1,222,900","4,863,000",NA,NA,"121,067",NA,NA,"35,683,000","1,301,000","491,827","4,305,000",NA,"2,202,337","1,970,000","191,662","219,188","15,289,000",NA,NA,NA,NA,"340,000","1,917,617","565,000","744,000","3,250,000","3,979,000","4,579,000",NA,"751,608","22,309,000","4,185,000","76,779",NA,"2,404,332",NA,"6,201,300",NA,"966,000","707,352","2,107,000","517,099","73,276","492,000","1,901,000","2,787,000",NA,"2,852,000",NA,"8,720,000",NA,"10,085,000","2,213,000",NA,"5,465,000","1,491,000","1,060,177",NA,"1,789,000","67,300","483,800",NA,"1,730,000",NA,"1,066,152","456,958","16,213,000","1,818,000","753,404","5,293,000","4,679,000","255,848","888,696","11,824,589","154,319",NA,"747,000",NA,"12,480,000","4,080,000","15,278,000","4,570,000","186,100","13,433,000","29,723,000","976,836",NA,NA,"1,148,000","2,969,700",NA,"32,915,000",NA,NA,NA,NA,NA,NA,"575,559","1,976,000",NA,"20,233,000",NA,"2,345,000",NA,NA
Gross Profit,271473,"4,089,000","275,300","338,800",NA,NA,"2,100,000","3,673,000","966,000","177,028.00",NA,"308,700.00","1,075,772.00","863,000.00",NA,NA,NA,NA,"458,444.00","1,068,000.00",NA,NA,"107,493.00","210,000.00","812,000.00",NA,"105,700.00","223,000.00","17,639,000.00",NA,"758,400.00","14,116.00","1,822,000.00","2,531,000.00","1,321,000.00","1,760,000.00",NA,NA,NA,"2,471,000.00",NA,NA,"1,460,000.00","756,773.00","3,525,000.00","746,000.00","421,000.00","46,662.00","262,000.00",NA,"125,374.00","733,900.00","1,894,000.00",NA,NA,"87,671.00",NA,NA,"4,298,000.00","745,700.00","259,522.00","1,767,000.00",NA,"1,258,165.00","1,000,800.00","131,957.00","105,662.00","3,388,000.00",NA,NA,NA,NA,"310,000.00","1,419,863.00","306,000.00","383,600.00","1,838,000.00","1,555,000.00","505,000.00",NA,"203,241.00","7,300,000.00","1,616,000.00","76,779.00",NA,"346,996.00",NA,"3,431,400.00",NA,"539,000.00","190,602.00","1,047,000.00","427,425.00","70,094.00","492,000.00","523,000.00","854,000.00",NA,"1,459,000.00",NA,"1,934,000.00",NA,"8,170,000.00","603,000.00",NA,"1,363,000.00","719,000.00","208,161.00",NA,"431,300.00","16,300.00","164,400.00",NA,"1,304,000.00",NA,"1,066,152.00","-349,683.00","3,124,000.00","209,000.00","420,476.00","2,005,000.00","872,000.00","72,430.00","147,789.00","2,122,668.00","77,464.00",NA,"361,000.00",NA,"2,357,000.00","4,080,000.00","2,313,000.00","4,426,000.00","63,100.00","11,897,000.00","6,822,000.00","331,117.00",NA,NA,"236,000.00","947,700.00",NA,"19,387,000.00",NA,NA,NA,NA,NA,NA,"184,270.00","976,000.00",NA,"20,233,000.00",NA,"756,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,437,000","99,500","145,400",NA,NA,"712,000","(2,720,000)","426,000","48,501.0",NA,"86,300.0","290,550.0","196,000.0",NA,NA,NA,NA,"140,985.0","385,000.0",NA,NA,"2,431.0","8,000.0","150,000.0",NA,"61,400.0","153,000.0","4,669,000.0",NA,"281,700.0","-7,547.0","633,000.0","1,572,000.0","384,000.0","968,000.0",NA,NA,NA,"1,091,000.0",NA,NA,"601,000.0","263,756.0","1,276,000.0","297,000.0","181,000.0","13,524.0","58,000.0",NA,"32,117.0","206,600.0","457,000.0",NA,NA,"43,419.0",NA,NA,"1,822,000.0","152,600.0","31,924.0","517,000.0",NA,"305,463.0","254,900.0","22,042.0","2,117.0","1,108,000.0",NA,NA,NA,NA,"105,000.0","406,067.0","83,000.0","156,500.0","529,000.0","-12,000.0","-692,000.0",NA,"100,550.0","692,000.0","-91,000.0","83,956.0",NA,"112,457.0",NA,"2,149,900.0",NA,"373,000.0","36,122.0","308,000.0","169,876.0","30,849.0","173,000.0","13,000.0","190,000.0",NA,"753,000.0",NA,"1,063,000.0",NA,"5,021,000.0","259,000.0",NA,"-1,042,000.0","332,000.0","57,397.0",NA,"117,200.0","-7,000.0","93,200.0",NA,"582,000.0",NA,"170,681.0","-1,424,554.0","1,473,000.0","60,000.0","147,987.0","-257,000.0","446,000.0","-27,544.0","-9,294.0","88,927.0","27,499.0",NA,"149,000.0",NA,"206,000.0","943,000.0","-132,000.0","1,526,000.0","13,400.0","5,378,000.0","632,000.0","96,320.0",NA,NA,"77,000.0","328,600.0",NA,"6,554,000.0",NA,NA,NA,NA,NA,NA,"7,760.0","556,000.0",NA,"5,405,000.0",NA,"482,000.0",NA,55.1
Net Income,271510,"1,434,000","99,500","145,400",NA,NA,"712,000","(2,722,000)","425,000","48,501.00",NA,"86,300.00","290,027.00","331,000.00",NA,NA,NA,NA,"122,014.00","383,000.00",NA,NA,"2,431.00","8,000.00","218,000.00",NA,"61,400.00","153,000.00","4,644,000.00",NA,"281,400.00","-7,547.00","607,000.00","1,420,000.00","371,000.00","968,000.00",NA,NA,NA,"1,091,000.00",NA,NA,"654,000.00","263,756.00","1,405,000.00","297,000.00","181,000.00","13,524.00","58,000.00",NA,"32,117.00","205,400.00","1,203,000.00",NA,NA,"43,399.00",NA,NA,"1,832,000.00","152,300.00","31,420.00","514,000.00",NA,"296,736.00","253,200.00","22,042.00","4,053.00","1,108,000.00",NA,NA,NA,NA,"105,000.00","407,459.00","83,000.00","156,200.00","530,000.00","-12,000.00","-692,000.00",NA,"100,550.00","692,000.00","-91,000.00","83,956.00",NA,"111,087.00",NA,"2,149,900.00",NA,"373,000.00","36,122.00","307,000.00","169,876.00","30,814.00","173,000.00","12,000.00","190,000.00",NA,"753,000.00",NA,"1,063,000.00",NA,"5,021,000.00","260,000.00",NA,"-1,042,000.00","332,000.00","57,397.00",NA,"114,600.00","-7,000.00","93,200.00",NA,"582,000.00",NA,"161,680.00","-1,424,554.00","1,393,000.00","60,000.00","147,985.00","-257,000.00","446,000.00","-27,544.00","-11,576.00","88,927.00","27,499.00",NA,"149,000.00",NA,"538,000.00","947,000.00","-109,000.00","1,526,000.00","13,400.00","5,378,000.00","631,000.00","96,320.00",NA,NA,"77,000.00","328,600.00",NA,"6,407,000.00",NA,NA,NA,NA,NA,NA,"6,760.00","556,000.00",NA,"5,122,000.00",NA,"482,000.00",NA,55.12
EBIT,271530,"1,868,000","148,900","202,000",NA,NA,NA,"3,113,000","568,000","69,887.00",NA,"138,200.00","404,589.00","436,000.00",NA,NA,NA,NA,"246,207.00","530,000.00",NA,NA,"12,074.00","34,000.00","280,000.00",NA,"69,600.00","197,000.00",NA,NA,"472,900.00","-3,919.00","1,457,000.00","1,933,000.00","581,000.00","1,393,000.00",NA,NA,NA,NA,NA,NA,"961,000.00","348,134.00","1,889,000.00","427,000.00","253,000.00","21,271.00","92,000.00",NA,"77,853.00","273,200.00","802,000.00",NA,NA,"45,930.00",NA,NA,"1,974,000.00","202,300.00","53,804.00","653,000.00",NA,"470,783.00","367,900.00","45,136.00","9,994.00","1,503,000.00",NA,NA,NA,NA,"194,000.00",NA,"116,000.00","288,400.00","859,000.00","43,000.00","-204,000.00",NA,"138,890.00","2,175,000.00","-106,000.00","64,015.00",NA,"141,376.00",NA,"2,787,700.00",NA,"291,000.00","55,982.00","488,000.00","285,681.00","46,048.00",NA,"173,000.00","294,000.00",NA,"1,162,000.00",NA,"1,410,000.00",NA,"3,947,000.00","410,000.00",NA,"650,000.00","388,000.00","93,273.00",NA,"158,200.00","-7,600.00","105,500.00",NA,"859,000.00",NA,NA,"-1,006,062.00","1,803,000.00","117,000.00","252,152.00","1,209,000.00","-59,000.00","-12,544.00","32,794.00","245,627.00","36,191.00",NA,"193,000.00",NA,"318,000.00",NA,"676,000.00",NA,"22,200.00",NA,"858,000.00","127,689.00",NA,NA,"105,000.00","466,700.00",NA,"9,356,000.00",NA,NA,NA,NA,NA,NA,"21,760.00","547,000.00",NA,NA,NA,"612,000.00",NA,-14.47
EBIT / Interest Expense (x),274483,15.97,3.37,5.60,NA,NA,NA,11.97,6.04,2.25,NA,2.62,10.41,3.66,NA,NA,NA,NA,2.33,13.25,NA,NA,1.27,1.06,2.35,NA,3.21,15.15,NA,NA,4.68,NM,18.92,23.29,8.07,7.87,NA,NA,NA,NA,NA,NA,2.50,13.17,3.25,5.41,5.16,3.28,3.17,NA,2.13,7.81,2.48,NA,NA,4.32,NA,NA,4.50,8.06,8.38,65.30,NA,5.73,8.50,1.94,0.32,22.10,NA,NA,NA,NA,3.13,NA,4.83,7.40,7.41,0.55,NM,NA,NA,9.58,NM,4.35,NA,10.80,NA,9.49,NA,3.59,6.80,8.41,6.78,3.62,NA,2.54,4.52,NA,7.09,NA,10.68,NA,6.75,13.67,NA,1.90,3.53,6.04,NA,14.79,NM,6.51,NA,11.93,NA,NA,NM,5.37,3.66,5.85,5.73,NM,NM,1.05,1.69,3.80,NA,5.22,NA,4.61,NA,1.01,NA,3.64,NA,6.65,18.20,NA,NA,21.00,10.44,NA,11.68,NA,NA,NA,NA,NA,NA,2.76,4.02,NA,NA,NA,7.75,NA,NM
Avg. Days Sales Out.,274485,51.0,48.1,31.0,NA,NA,NA,1.4,42.1,13,NA,29,97,15,NA,NA,NA,NA,164,NM,NA,NA,59,41,49,NA,12,108,NA,NA,29,105,NA,NA,53,35,NA,NA,NA,NA,NA,NA,52,61,43,13,8,5,18,NA,64,52,62,NA,NA,76,NA,NA,11,58,41,NA,NA,37,66,70,34,30,NA,NA,NA,NA,37,NA,45,35,31,NA,35,NA,7,NA,4,NA,NA,78,NA,27,NA,51,116,90,88,136,NA,52,56,NA,24,NA,77,NA,40,49,NA,98,45,24,NA,12,81,13,NA,17,NA,NA,71,113,52,7,43,4,54,66,23,61,NA,35,NA,67,NA,72,NA,30,NA,4,32,NA,NA,27,NA,NA,63,NA,NA,NA,NA,NA,NA,36,52,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.22,7.66,11.87,NA,NA,NA,263.38,8.74,29,NA,13,4,24,NA,NA,NA,NA,2,0,NA,NA,6,9,8,NA,31,3,NA,NA,12,4,NA,NA,7,10,NA,NA,NA,NA,NA,NA,7,6,9,28,47,67,20,NA,6,7,6,NA,NA,5,NA,NA,33,6,9,NA,NA,10,6,5,11,12,NA,NA,NA,NA,10,NA,8,11,12,NA,10,NA,51,NA,87,NA,NA,5,NA,13,NA,7,3,4,4,3,NA,7,7,NA,15,NA,5,NA,9,7,NA,4,8,15,NA,31,5,29,NA,22,NA,NA,5,3,7,53,9,86,7,6,16,6,NA,10,NA,6,NA,5,NA,12,NA,76,11,NA,NA,14,NA,NA,6,NA,NA,NA,NA,NA,NA,10,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.51,0.17,0.13,NA,NA,NA,12.82,0.25,0,NA,0,48,1,NA,NA,NA,NA,0,NA,NA,NA,14,0,0,NA,1,34,NA,NA,4,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,9,0,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,4,9,7,NA,NA,5,17,0,0,17,NA,NA,NA,NA,0,NA,0,0,4,2,4,NA,193,4,2,77,NA,8,NA,1,NA,0,4,6,9,0,NA,7,7,NA,0,NA,4,NA,6,2,NA,0,0,10,NA,7,0,0,NA,1,NA,NA,0,4,21,2,0,1,0,0,9,0,NA,0,NA,50,NA,5,NA,0,NA,4,7,NA,NA,37,25,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.74,0.15,0.13,NA,NA,NA,0.53,0.20,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,1,0,NA,NA,1,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,NA,NA,0,1,0,0,2,NA,NA,NA,NA,0,0,0,0,0,1,2,NA,1,2,1,0,NA,2,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,2,0,0,NA,0,NA,0,0,0,1,1,0,0,0,0,2,0,NA,0,NA,0,NA,0,0,0,0,2,1,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,874,000","232,000","241,200",NA,NA,"1,461,000","3,063,000","756,000","166,406",NA,"323,200","114,246",NA,NA,NA,NA,NA,"226,383","575,000",NA,NA,"36,607","145,000","559,000",NA,"56,700","601,000","35,622,000",NA,"528,600",676,"1,331,000","603,000","895,000","1,420,000",NA,NA,NA,"1,621,000",NA,NA,"1,295,000","351,329","3,354,000","534,000","432,000","31,907","156,000",NA,"95,624","398,400","3,003,000",NA,NA,"77,976",NA,NA,"7,008,000","262,200","-27,225","578,000",NA,"917,969","108,500","80,691","39,535","1,093,000",NA,NA,NA,NA,"266,000","1,068,131","74,000","322,800","794,000","606,000","-236,000",NA,"-38,765","-267,000","251,000","-50,518",NA,"149,755",NA,"2,617,800",NA,"561,000","93,213","376,000","215,891","48,989","201,000","494,000","414,000",NA,"1,216,000",NA,"1,163,000",NA,"3,704,000","466,000",NA,"885,000","498,000","68,672",NA,"-42,200",-300,"163,700",NA,"749,000",NA,"327,866","-403,215","1,929,000","231,000","283,109","989,000","-575,000","60,458","50,164","543,106","86,225",NA,"282,000",NA,"1,329,000","54,000","-262,000","1,815,000","48,700","-39,260,000","492,000","158,516",NA,NA,"174,000","425,200",NA,"10,724,000",NA,NA,NA,NA,NA,NA,"223,852","956,000",NA,"-4,810,000",NA,"659,000",NA,"9,542"
Cash from Investing,272601,"(389,000)","(203,200)","(321,200)",NA,NA,"(1,484,000)","(33,000)","(886,000)","-606,303",NA,"-303,800","-20,803",NA,NA,NA,NA,NA,"-434,757","-5,253,000",NA,NA,"-4,784","-319,000","-728,000",NA,"-24,700","-365,000","-33,958,000",NA,"-11,400","-18,234","533,000","-1,526,000","-388,000","-936,000",NA,NA,NA,"-1,510,000",NA,NA,"-2,839,000","-135,439","-2,586,000","-439,000","-430,000","-49,311","-213,000",NA,"-12,711","-344,700","-1,021,000",NA,NA,"-129,944",NA,NA,"-1,170,000","-1,168,500","-2,886","-84,000",NA,"-133,929","343,800","-138,984","187,779","-297,000",NA,NA,NA,NA,"-189,000","-127,854","-99,000","-128,300","-150,000","-67,000","-114,000",NA,"-40,066","-1,092,000","-42,000",NA,NA,"-40,580",NA,"-384,900",NA,"-550,000","-28,834","-411,000","-963,558","158,129","894,000","-103,000","-75,000",NA,"-318,000",NA,"-223,000",NA,"-3,384,000","-29,000",NA,"-1,255,000","-331,000","-62,823",NA,"-85,500","-56,100","-306,800",NA,"-531,000",NA,"5,181,168","-376,559","-378,000","-6,000","-14,057","-1,243,000","-412,000","-138,797","-993,054","-82,015","11,074",NA,"-355,000",NA,"446,000","-4,158,000","2,966,000","-22,951,000","-53,900","-4,819,000","-700,000","-21,166",NA,NA,"-10,000","-399,100",NA,"-2,617,000",NA,NA,NA,NA,NA,NA,"-242,952","-1,007,000",NA,"-7,021,000",NA,"165,000",NA,NA
Cash from Financing,272618,"(1,299,000)","(12,800)","80,000",NA,NA,"(2,880,000)","(1,919,000)","8,000","458,355",NA,"-27,300","-92,761",NA,NA,NA,NA,NA,"653,015","3,904,000",NA,NA,"-32,501","173,000","168,000",NA,"-57,100","-154,000","23,252,000",NA,"-503,600","19,993","-446,000","930,000","-601,000","-1,291,000",NA,NA,NA,"-3,731,000",NA,NA,"1,507,000","-74,610","-590,000","-93,000",0,"20,288","61,000",NA,"-446,643","1,522,700","-507,000",NA,NA,"30,374",NA,NA,"-1,222,000","182,700","-41,185","-585,000",NA,"-218,426","-505,100","-12,581","-61,489","-781,000",NA,NA,NA,NA,"-79,000","-200,139","-78,000","-49,600","-602,000","-1,028,000","1,069,000",NA,"13,844","-2,033,000","13,000","51,291",NA,"-106,374",NA,"-927,400",NA,"499,000","-64,111","-209,000","64,391","-191,648","-1,546,000","-445,000","-462,000",NA,"-1,103,000",NA,"-826,000",NA,"-6,129,000","-396,000",NA,"405,000","682,000","-19,369",NA,"159,400","55,100","144,100",NA,"-203,000",NA,"-5,142,354","-180,433","-2,060,000","-239,000",61,"688,000","-157,000","163,379","1,082,005","-1,333,671","-53,379",NA,"79,000",NA,"-1,743,000","5,626,000","-1,171,000","26,507,000","30,200","15,620,000","-432,000","-97,111",NA,NA,"-23,000","-27,500",NA,"-3,081,000",NA,NA,NA,NA,NA,NA,"-15,039","41,000",NA,"4,345,000",NA,"-155,000",NA,"-9,266"
Foreign Exchange Rate Adj.,272619,"(3,000)",NA,NA,NA,NA,"(3,000)",NA,NA,NA,NA,NA,"-28,820.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-346,000.00",NA,-900.00,NA,NA,0.00,"-14,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-3,495.00",NA,NA,NA,NA,NA,NA,-101.00,"-9,000.00",NA,NA,NA,NA,NA,NA,"-154,000.00","-3,800.00",5.00,"-12,000.00",NA,"-36,724.00","-12,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"-3,051.00",NA,-700.00,"-9,000.00",NA,"-10,000.00",NA,NA,0.00,NA,NA,NA,-148.00,NA,"-49,100.00",NA,NA,378.00,"-24,000.00","-4,062.00",NA,NA,"-8,000.00","-8,000.00",NA,NA,NA,NA,NA,"129,000.00","-9,000.00",NA,NA,NA,NA,NA,"-5,000.00",NA,NA,NA,NA,NA,NA,-836.00,"-69,000.00",NA,952.00,NA,NA,NA,10.00,"8,127.00",NA,NA,NA,NA,NA,"-40,000.00","-20,000.00",NA,NA,NA,NA,"-2,544.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,050.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"183,000","16,000",NA,NA,NA,"(2,906,000)","1,111,000","(122,000)","18,458.00",NA,"-7,900.00","-28,138.00",NA,NA,NA,NA,NA,"444,641.00","-774,000.00",NA,NA,-678.00,"-1,000.00","-1,000.00",NA,"-25,100.00","82,000.00","24,570,000.00",NA,"12,700.00","2,435.00","1,418,000.00","-429,000.00","-108,000.00","-807,000.00",NA,NA,NA,"-3,620,000.00",NA,NA,"-37,000.00","137,785.00","178,000.00","2,000.00","2,000.00","2,884.00","4,000.00",NA,"-363,831.00","1,567,400.00","1,475,000.00",NA,NA,"-21,594.00",NA,NA,"4,462,000.00","-727,400.00","-71,291.00","-103,000.00",NA,"528,890.00","-47,000.00","-70,874.00","165,825.00","15,000.00",NA,NA,NA,NA,"-2,000.00","737,087.00","-103,000.00","144,200.00","33,000.00","-489,000.00","708,000.00",NA,"-64,987.00","-3,392,000.00","222,000.00",773.00,NA,"2,653.00",NA,"1,256,400.00",NA,"510,000.00",646.00,"-268,000.00","-687,338.00","15,470.00","-451,000.00","-62,000.00","-131,000.00",NA,"-205,000.00",NA,"114,000.00",NA,"-5,680,000.00","32,000.00",NA,"36,000.00","849,000.00","-13,520.00",NA,"26,700.00","-1,300.00","1,000.00",NA,"15,000.00",NA,"366,680.00","-961,043.00","-578,000.00","-14,000.00","270,065.00","434,000.00","-1,144,000.00","85,040.00","139,125.00","-864,453.00","43,920.00",NA,"6,000.00",NA,"32,000.00","1,482,000.00","1,513,000.00","5,371,000.00","25,000.00","-28,459,000.00","-640,000.00","37,695.00",NA,NA,"141,000.00","-1,400.00",NA,"5,026,000.00",NA,NA,NA,NA,NA,NA,"-33,089.00","-10,000.00",NA,"-7,486,000.00",NA,"669,000.00",NA,275.59
Capital Expenditure,272592,"(343,000)","(211,200)","(351,100)",NA,NA,"(1,205,000)","(49,000)","(865,000)","11,615.00",NA,"-211,600.00","-21,176.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4,784.00","-257,000.00","-765,000.00",NA,"-22,500.00","-3,000.00","-1,040,000.00",NA,"-114,700.00","-18,393.00","-367,000.00",NA,"-401,000.00","-466,000.00",NA,NA,NA,"-49,000.00",NA,NA,"-1,529,000.00","-47,926.00","-2,453,000.00","-440,000.00","-190,000.00","-48,373.00","-200,000.00",NA,NA,"-97,400.00","-1,930,000.00",NA,NA,NA,NA,NA,"-1,574,000.00","-10,900.00","-3,358.00","-60,000.00",NA,"-131,166.00","-35,000.00","-24,576.00",-292.00,"-158,000.00",NA,NA,NA,NA,"-189,000.00","-59,232.00","-83,000.00","-127,200.00","-121,000.00","-68,000.00","-193,000.00",NA,-502.00,"-462,000.00","-62,000.00",NA,NA,"-35,319.00",NA,"-501,500.00",NA,"-545,000.00","-30,554.00","-61,000.00","-4,646.00",0.00,NA,"-38,000.00","-67,000.00",NA,"-398,000.00",NA,"-247,000.00",NA,"-414,000.00","-66,000.00",NA,"-1,848,000.00","-338,000.00","-17,810.00",NA,"-80,100.00","-54,400.00","-73,700.00",NA,"-185,000.00",NA,NA,"-368,096.00","-433,000.00","-9,000.00","-14,057.00","-1,355,000.00","-138,000.00","-139,289.00","-168,688.00","-87,223.00","-32,398.00",NA,"-355,000.00",NA,"-89,000.00","-376,000.00","-245,000.00","-178,000.00","-49,300.00","-883,000.00","-719,000.00","-48,939.00",NA,NA,"-12,000.00","-24,800.00",NA,"-5,145,000.00",NA,NA,NA,NA,NA,NA,"-229,374.00","-992,000.00",NA,NA,NA,"-7,000.00",NA,NA
Change in Net Working Capital,272627,"(358,000)","(5,000)","48,600",NA,NA,NA,"(468,000)","171,000","-9,812.00",NA,"3,800.00","238,928.00","66,000.00",NA,NA,NA,NA,"78,629.00","708,000.00",NA,NA,"-2,444.00","1,044,000.00","1,848,000.00",NA,"37,500.00","-9,000.00",NA,NA,"-160,700.00","11,273.00",NA,NA,"125,000.00","-93,000.00",NA,NA,NA,NA,NA,NA,"2,494,000.00","-2,372.00","-299,000.00","-144,000.00","2,000.00","-2,668.00","-28,000.00",NA,"-25,828.00","-118,400.00","-213,000.00",NA,NA,"-45,040.00",NA,NA,"-6,532,000.00","-8,100.00","60,776.00",NA,NA,"-223,056.00","-234,900.00","-21,406.00","109,683.00","-121,000.00",NA,NA,NA,NA,0.00,NA,"59,000.00","-66,400.00","-50,000.00","-379,000.00","76,000.00",NA,"173,223.00","2,629,000.00","-230,000.00","4,271.00",NA,"104,642.00",NA,"-1,339,500.00",NA,"-22,000.00","-22,082.00","91,000.00","-88,076.00","13,692.00",NA,"-305,000.00","-189,000.00",NA,"-189,000.00",NA,"-176,000.00",NA,"-304,000.00","-60,000.00",NA,"-640,000.00","66,000.00","31,620.00",NA,"266,600.00","43,900.00","119,300.00",NA,"432,000.00",NA,NA,"-471,337.00","1,265,000.00","-72,000.00","-19,286.00","-68,000.00","1,613,000.00","-12,311.00","95,709.00","-228,375.00","-55,409.00",NA,"-35,000.00",NA,"-382,000.00",NA,"656,000.00",NA,"-55,600.00",NA,"863,000.00","-16,894.00",NA,NA,"6,000.00","-440,500.00",NA,"-1,612,000.00",NA,NA,NA,NA,NA,NA,"-55,001.00","-198,000.00",NA,NA,NA,"-710,000.00",NA,"-9,667.71"
Unlevered Free Cash Flow,272626,"1,701,500","(25,538)","(197,450)",NA,NA,NA,"2,426,625","(357,000)","162,658.38",NA,"6,375.00","40,818.13",NA,NA,NA,NA,NA,"261,572.38","-376,750.00",NA,NA,"30,758.25","-1,154,750.00","-2,085,000.00",NA,"11,000.00","152,125.00",NA,NA,"448,562.50","-6,521.38",NA,NA,"247,125.00","877,625.00",NA,NA,NA,NA,NA,NA,"-2,722,375.00","251,600.75","462,625.00","231,875.00","120,125.00","-11,321.63","-34,500.00",NA,"120,759.13","310,250.00","808,250.00",NA,NA,"112,437.25",NA,NA,"7,711,750.00","240,837.50","-20,458.50",NA,NA,"894,439.38","694,037.50","95,610.00","-47,506.75","1,167,375.00",NA,NA,NA,NA,"-9,750.00",NA,"-61,500.00","209,950.00","636,875.00","547,875.00","460,500.00",NA,"-83,523.75","-1,326,625.00","316,750.00","38,607.38",NA,"73,217.00",NA,"3,083,612.50",NA,"-114,125.00","51,055.75","292,000.00","278,879.63","36,364.00",NA,"501,125.00","383,750.00",NA,"828,250.00",NA,"1,124,250.00",NA,"3,567,875.00","385,250.00",NA,"161,250.00","110,500.00","43,448.63",NA,"-177,825.00","-81,950.00","-78,162.50",NA,"151,875.00",NA,NA,"-199,640.75","508,875.00","180,125.00","243,188.00","85,625.00","-1,465,875.00","-73,459.00","-152,520.75","497,990.88","85,614.38",NA,"-90,375.00",NA,"738,750.00",NA,"73,500.00",NA,"38,775.00",NA,"-269,750.00","77,206.63",NA,NA,"93,625.00","737,787.50",NA,"4,526,500.00",NA,NA,NA,NA,NA,NA,"-50,149.00","-66,125.00",NA,NA,NA,"1,203,500.00",NA,"9,658.67"
