SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,619,000","508,900","418,500",NA,NA,"1,816,000","5,412,000","2,223,000","391,627",NA,"888,900","9,266,432","1,681,000",NA,NA,NA,NA,"784,372","1,120,000",NA,NA,"164,595","672,000","1,903,000",NA,"383,100","1,410,000","17,170,000",NA,"2,913,700","73,946","6,051,000","6,010,000","3,488,000","3,895,000",NA,NA,NA,"2,695,000",NA,NA,"3,963,000","2,158,291","7,842,000","1,907,000","1,095,000","165,964","628,000",NA,"161,854","1,244,300","4,845,000",NA,NA,"139,746",NA,NA,"39,392,000","1,456,000","436,271","4,576,000",NA,"2,285,371","1,675,900",NA,"639,549","14,648,000",NA,NA,NA,NA,"366,000","1,509,844","662,000","882,200","3,622,000","4,600,000","4,556,000",NA,"547,074","22,918,000","5,653,000","98,387",NA,"2,513,484",NA,"5,872,100",NA,"1,148,000","772,911","2,373,000","560,639","76,298","362,000","1,972,000","2,252,000",NA,"3,343,000",NA,"8,971,000",NA,"10,513,000","2,529,000",NA,"5,394,000","1,635,000","1,112,089",NA,"2,352,700","88,000","608,200",NA,"1,618,000",NA,"795,365","2,993,075","16,951,000","1,898,000","843,063","5,217,000","6,220,000","303,944","1,125,588","16,902,139","179,800",NA,"912,000",NA,"13,208,000","4,309,000","15,956,000","5,500,000","259,900","11,460,000","31,860,000","1,160,550",NA,NA,"1,241,000","2,959,100",NA,"34,241,000",NA,NA,NA,NA,NA,NA,"625,267","2,875,000",NA,"18,782,000",NA,"2,276,000",NA,NA
Gross Profit,271473,"3,891,000","322,400","374,800",NA,NA,"1,816,000","3,697,000","1,093,000","205,341.00",NA,"319,600.00","1,186,912.00","839,000.00",NA,NA,NA,NA,"492,472.00","22,000.00",NA,NA,"114,342.00","206,000.00","873,000.00",NA,"102,600.00","-538,000.00","17,170,000.00",NA,"697,200.00","17,144.00","367,000.00","2,999,000.00","1,062,000.00","1,949,000.00",NA,NA,NA,"2,571,000.00",NA,NA,"1,790,000.00","774,832.00","3,713,000.00","825,000.00","362,000.00","59,841.00","301,000.00",NA,"147,147.00","701,800.00","2,258,000.00",NA,NA,"103,971.00",NA,NA,"3,406,000.00","845,400.00","219,620.00","1,773,000.00",NA,"1,354,122.00","811,400.00",NA,"239,805.00","2,884,000.00",NA,NA,NA,NA,"337,000.00","1,028,969.00","335,000.00","440,200.00","1,904,000.00","1,977,000.00","557,000.00",NA,"156,961.00","7,587,000.00","2,446,000.00","98,387.00",NA,"347,049.00",NA,"3,446,100.00",NA,"606,000.00","211,945.00","1,190,000.00","462,221.00","73,940.00","362,000.00","499,000.00","665,000.00",NA,"1,608,000.00",NA,"1,818,000.00",NA,"8,295,000.00","703,000.00",NA,"1,857,000.00","765,000.00","236,451.00",NA,"571,300.00","15,100.00","167,000.00",NA,"1,191,000.00",NA,"795,365.00","1,071,695.00","3,487,000.00","213,000.00","446,550.00","1,755,000.00","1,526,000.00","81,966.00","190,226.00","3,042,944.00","91,473.00",NA,"415,000.00",NA,"1,200,000.00","4,309,000.00","-374,000.00","5,369,000.00","31,900.00","9,684,000.00","6,901,000.00","400,307.00",NA,NA,"290,000.00","1,222,600.00",NA,"19,640,000.00",NA,NA,NA,NA,NA,NA,"181,035.00","1,352,000.00",NA,"18,782,000.00",NA,"582,000.00",NA,NA
Earnings from Cont. Ops.,271505,"3,863,000","93,600","152,700",NA,NA,"300,000","224,000","453,000","61,665.0",NA,"92,700.0","343,606.0","177,000.0",NA,NA,NA,NA,"422,379.0","415,000.0",NA,NA,"-2,941.0","-7,000.0","202,000.0",NA,"57,000.0","-416,000.0","3,515,000.0",NA,"218,900.0","-5,284.0","-193,000.0","2,532,000.0","226,000.0","1,111,000.0",NA,NA,NA,"1,013,000.0",NA,NA,"626,000.0","286,026.0","1,410,000.0","319,000.0","119,000.0","22,013.0","103,000.0",NA,"50,799.0","166,900.0","676,000.0",NA,NA,"126,875.0",NA,NA,"-930,000.0","189,900.0","6,282.0","493,000.0",NA,"300,166.0","128,200.0",NA,"107,669.0","1,122,000.0",NA,NA,NA,NA,"111,000.0","195,941.0","49,000.0","201,700.0","179,000.0","243,000.0","-731,000.0",NA,"90,390.0","1,896,000.0","239,000.0","55,338.0",NA,"49,222.0",NA,"1,981,600.0",NA,"300,000.0","50,409.0","280,000.0","216,592.0","34,229.0","105,000.0","69,000.0","19,000.0",NA,"958,000.0",NA,"915,000.0",NA,"2,319,000.0","469,000.0",NA,"490,000.0","409,000.0","58,819.0",NA,"190,700.0","-12,400.0","106,900.0",NA,"459,000.0",NA,"154,190.0","32,968.0","1,395,000.0","71,000.0","333,050.0","-53,000.0","277,000.0","-22,199.0","-11,318.0","303,325.0","27,357.0",NA,"169,000.0",NA,"-674,000.0","388,000.0","-3,308,000.0","2,020,000.0","-10,100.0","3,069,000.0","485,000.0","125,150.0",NA,NA,"77,000.0","510,300.0",NA,"5,024,000.0",NA,NA,NA,NA,NA,NA,"-30,443.0","571,000.0",NA,"3,564,000.0",NA,"310,000.0",NA,171.2
Net Income,271510,"3,859,000","93,600","152,700",NA,NA,"299,000","224,000","452,000","61,665.00",NA,"92,700.00","342,399.00","88,000.00",NA,NA,NA,NA,"403,578.00","413,000.00",NA,NA,"-2,941.00","-7,000.00","202,000.00",NA,"57,000.00","-416,000.00","3,479,000.00",NA,"218,400.00","-5,284.00","-188,000.00","2,406,000.00","208,000.00","1,111,000.00",NA,NA,NA,"1,013,000.00",NA,NA,"778,000.00","286,026.00","1,422,000.00","319,000.00","119,000.00","22,013.00","103,000.00",NA,"50,799.00","165,700.00","676,000.00",NA,NA,"126,789.00",NA,NA,"-827,000.00","189,900.00","5,849.00","487,000.00",NA,"290,454.00","129,200.00",NA,"108,096.00","1,122,000.00",NA,NA,NA,NA,"111,000.00","197,529.00","49,000.00","201,300.00","180,000.00","243,000.00","-731,000.00",NA,"90,390.00","1,896,000.00","239,000.00","55,338.00",NA,"48,896.00",NA,"1,981,600.00",NA,"300,000.00","50,409.00","279,000.00","216,592.00","34,468.00","105,000.00","69,000.00","19,000.00",NA,"958,000.00",NA,"915,000.00",NA,"2,319,000.00","470,000.00",NA,"490,000.00","409,000.00","58,819.00",NA,"186,300.00","-12,400.00","106,900.00",NA,"459,000.00",NA,"146,883.00","32,968.00","1,387,000.00","71,000.00","333,047.00","-53,000.00","277,000.00","-22,199.00","-12,309.00","303,325.00","27,357.00",NA,"169,000.00",NA,"-659,000.00","388,000.00","-3,275,000.00","2,020,000.00","-10,100.00","3,069,000.00","483,000.00","125,150.00",NA,NA,"77,000.00","510,300.00",NA,"4,900,000.00",NA,NA,NA,NA,NA,NA,"-6,613.00","571,000.00",NA,"3,592,000.00",NA,"310,000.00",NA,171.21
EBIT,271530,"1,503,000","163,400","218,700",NA,NA,NA,"3,197,000","644,000","79,036.00",NA,"142,500.00","504,004.00","409,000.00",NA,NA,NA,NA,"270,984.00","549,000.00",NA,NA,"19,899.00","35,000.00","377,000.00",NA,"64,200.00","-563,000.00",NA,NA,"375,300.00","-1,134.00","-13,000.00","2,356,000.00","319,000.00","1,571,000.00",NA,NA,NA,NA,NA,NA,"1,141,000.00","377,726.00","2,046,000.00","453,000.00","183,000.00","31,692.00","138,000.00",NA,"83,650.00","242,900.00","1,072,000.00",NA,NA,"57,094.00",NA,NA,"121,000.00","253,000.00","23,090.00","607,000.00",NA,"540,365.00","221,100.00",NA,"157,197.00","1,357,000.00",NA,NA,NA,NA,"215,000.00",NA,"70,000.00","336,500.00","746,000.00","387,000.00","-101,000.00",NA,"95,739.00","2,789,000.00","490,000.00","83,682.00",NA,"111,911.00",NA,"2,776,400.00",NA,"235,000.00","70,727.00","581,000.00","310,459.00","42,111.00",NA,"215,000.00","200,000.00",NA,"1,302,000.00",NA,"1,220,000.00",NA,"3,848,000.00","462,000.00",NA,"943,000.00","436,000.00","92,761.00",NA,"254,300.00","-11,900.00","95,000.00",NA,"660,000.00",NA,NA,"302,998.00","1,993,000.00","126,000.00","290,585.00","802,000.00","421,000.00","-3,305.00","49,749.00","584,817.00","43,508.00",NA,"237,000.00",NA,"-811,000.00",NA,"-2,087,000.00",NA,"-8,400.00",NA,"807,000.00","163,752.00",NA,NA,"134,000.00","692,800.00",NA,"8,022,000.00",NA,NA,NA,NA,NA,NA,"-28,731.00","821,000.00",NA,NA,NA,"439,000.00",NA,-13.53
EBIT / Interest Expense (x),274483,14.18,2.95,5.12,NA,NA,NA,NA,5.11,2.18,NA,2.31,NM,4.50,NA,NA,NA,NA,2.42,14.84,NA,NA,2.34,1.09,3.17,NA,1.77,NM,NA,NA,3.95,NM,NM,15.81,4.37,8.14,NA,NA,NA,NA,NA,NA,3.03,12.68,3.39,5.39,3.81,4.08,4.31,NA,2.55,5.16,2.94,NA,NA,4.11,NA,NA,0.38,9.58,4.50,NM,NA,4.00,5.28,NA,6.45,14.14,NA,NA,NA,NA,3.16,NA,3.18,8.65,3.60,5.86,NM,NA,NA,12.34,9.25,3.94,NA,4.16,NA,9.07,NA,2.80,7.75,9.37,7.03,3.69,NA,2.91,3.51,NA,7.36,NA,10.00,NA,5.77,16.50,NA,2.06,4.15,6.06,NA,12.65,NM,4.24,NA,15.71,NA,NA,0.86,6.11,4.85,8.71,3.11,5.61,NM,0.77,4.72,4.74,NA,4.94,NA,NM,NA,NM,NA,NM,NA,5.98,17.83,NA,NA,26.80,14.74,NA,8.56,NA,NA,NA,NA,NA,NA,NM,4.89,NA,NA,NA,6.55,NA,NM
Avg. Days Sales Out.,274485,51.4,48.7,37.3,NA,NA,NA,0.8,40.4,10,NA,29,108,13,NA,NA,NA,NA,163,NM,NA,NA,61,58,53,NA,16,108,NA,NA,30,101,27,25,45,35,NA,NA,NA,NA,NA,NA,51,64,48,13,8,4,13,NA,35,64,35,NA,NA,78,NA,NA,10,58,41,68,NA,40,77,NA,13,31,NA,NA,NA,NA,38,NA,41,63,36,NA,NA,NA,8,NA,4,NA,NA,95,NA,30,NA,42,111,91,91,125,NA,49,63,NA,25,NA,87,NA,39,48,NA,119,43,26,NA,12,67,NA,NA,16,NA,NA,16,119,52,10,54,4,49,66,24,42,NA,35,NA,66,NA,70,NA,27,NA,5,31,NA,NA,26,NA,NA,66,NA,NA,NA,NA,NA,NA,54,46,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.16,7.56,9.86,NA,NA,NA,NM,9.12,36,NA,13,3,28,NA,NA,NA,NA,2,0,NA,NA,6,6,7,NA,23,3,NA,NA,12,4,14,15,8,11,NA,NA,NA,NA,NA,NA,7,6,8,28,46,97,29,NA,11,6,11,NA,NA,5,NA,NA,37,6,9,5,NA,9,5,NA,28,12,NA,NA,NA,NA,10,NA,9,6,10,NA,NA,NA,49,NA,101,NA,NA,4,NA,12,NA,9,3,4,4,3,NA,8,6,NA,15,NA,4,NA,9,8,NA,3,9,14,NA,30,5,NA,NA,23,NA,NA,23,3,7,38,7,97,7,6,15,9,NA,11,NA,6,NA,5,NA,13,NA,66,12,NA,NA,14,NA,NA,6,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.42,0.18,0.13,NA,NA,NA,13.77,0.29,0,NA,0,61,2,NA,NA,NA,NA,0,NA,NA,NA,15,0,0,NA,1,28,NA,NA,4,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,9,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,3,14,7,9,NA,5,16,NA,0,16,NA,NA,NA,NA,0,NA,0,0,4,2,NA,NA,78,4,3,114,NA,6,NA,1,NA,0,4,7,12,0,NA,8,5,NA,0,NA,4,NA,5,3,NA,0,0,9,NA,9,0,NA,NA,1,NA,NA,0,4,23,2,0,1,0,1,13,0,NA,0,NA,53,NA,6,NA,1,NA,4,8,NA,NA,39,27,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.75,0.16,0.13,NA,NA,NA,0.61,0.24,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,1,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,2,0,NA,NA,0,NA,0,0,0,1,1,0,1,0,0,3,0,NA,0,NA,1,NA,0,0,0,0,3,1,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,531,000","248,600","274,300",NA,NA,"1,602,000","3,076,000","727,000","217,792",NA,"168,400","141,066","-126,000",NA,NA,NA,NA,"295,764","-962,000",NA,NA,"49,011","-14,000","347,000",NA,"43,700","666,000","-1,988,000",NA,"490,500","-16,822","-1,220,000","1,615,000","706,000","1,725,000",NA,NA,NA,"1,619,000",NA,NA,"1,310,000","264,625","1,153,000","137,000","211,000","-14,657","82,000",NA,"132,625","354,900","901,000",NA,NA,"87,015",NA,NA,"3,812,000","329,800","-49,004","622,000",NA,"336,375","114,400",NA,"310,731","394,000",NA,NA,NA,NA,"308,000","1,400,312","42,000","429,900","759,000","82,000","606,000",NA,"-96,252","2,266,000","-124,000","-217,893",NA,"117,130",NA,"2,433,900",NA,"668,000","4,067","388,000","323,069","43,535","68,000",NA,"-117,000",NA,"1,413,000",NA,"1,335,000",NA,"3,845,000","461,000",NA,"1,237,000","539,000","155,512",NA,"170,600","-39,100","703,600",NA,"716,000",NA,"1,376,863","-44,534","778,000","134,000","266,185","841,000","234,000","3,627","39,737","368,824","95,094",NA,"170,000",NA,"2,046,000","3,725,000","3,190,000","9,054,000","6,800","16,010,000","1,668,000","111,699",NA,NA,"-49,000","277,200",NA,"10,534,000",NA,NA,NA,NA,NA,NA,"158,579","705,000",NA,"12,016,000",NA,"562,000",NA,"8,278"
Cash from Investing,272601,"156,000","206,800","(300,000)",NA,NA,"(4,473,000)","(65,000)","(906,000)","-314,143",NA,"-407,700","-18,273","-60,000",NA,NA,NA,NA,"-333,050","-2,577,000",NA,NA,"-5,844","-473,000","-1,171,000",NA,"-211,600","-322,000","17,566,000",NA,"-98,700","-25,271","1,170,000","-875,000","-402,000","-625,000",NA,NA,NA,"-7,490,000",NA,NA,"629,000","-286,208","-3,138,000","-618,000","-272,000","-53,488","-287,000",NA,"-67,945","-478,400","-1,640,000",NA,NA,"-103,552",NA,NA,"-3,517,000","-29,600","-3,871","-118,000",NA,"-123,237","-53,200",NA,"-115,370","-211,000",NA,NA,NA,NA,"-237,000","164,828","-158,000","-185,600","-82,000","-204,000","-147,000",NA,349,"485,000","-59,000",NA,NA,"-21,673",NA,"-733,100",NA,"-539,000","-37,119","-62,000","-18,000","54,920","2,856,000",NA,"-79,000",NA,"-346,000",NA,"-195,000",NA,"2,432,000","-233,000",NA,"-3,338,000","-589,000","-21,324",NA,"-50,300","-47,200","-121,800",NA,"499,000",NA,"-1,320,157","-343,404","-755,000","-16,000","267,744","-1,478,000","-1,120,000","-186,566","-238,313","-642,499","-24,662",NA,"-365,000",NA,"-1,143,000","19,345,000","290,000","21,760,000","-64,100","-14,159,000","-675,000","-41,655",NA,NA,"-14,000","-176,900",NA,"-8,664,000",NA,NA,NA,NA,NA,NA,"-237,270","-1,396,000",NA,"919,000",NA,"-97,000",NA,NA
Cash from Financing,272618,"(933,000)","(437,400)","25,700",NA,NA,"3,842,000","(3,103,000)","198,000","131,906",NA,"232,300","68,233","-961,000",NA,NA,NA,NA,"-16,678","3,261,000",NA,NA,"-29,381","485,000","377,000",NA,"-38,400","-359,000","1,123,000",NA,"-383,300","42,093","394,000","-820,000","-252,000","487,000",NA,NA,NA,"6,270,000",NA,NA,"-2,006,000","-178,844","1,975,000","446,000","67,000","67,125","199,000",NA,"-67,524","151,500","176,000",NA,NA,"33,139",NA,NA,"1,696,000","-255,500","44,048","-505,000",NA,"-61,925","-123,100",NA,"-191,677","726,000",NA,NA,NA,NA,"-86,000","-573,597","-104,000","-202,700","-294,000","-574,000","1,040,000",NA,"106,592","-1,464,000","-1,711,000","235,668",NA,"-136,494",NA,"-546,400",NA,"-44,000","11,873","-140,000","-269,891","-112,801","-2,448,000",NA,"529,000",NA,"-1,112,000",NA,"-643,000",NA,"-1,579,000","-246,000",NA,"2,155,000","-95,000","-157,944",NA,"-112,300","83,400","-579,900",NA,"-1,215,000",NA,"-51,939","-146,863","617,000","-103,000","-366,321","661,000","-1,905,000","105,947","158,621","-213,367","-9,922",NA,"269,000",NA,"-883,000","-23,061,000","-18,000","-49,394,000","40,000","1,621,000","-930,000","-99,716",NA,NA,"-7,000","-108,400",NA,"-1,616,000",NA,NA,NA,NA,NA,NA,"27,932","653,000",NA,"-2,620,000",NA,"-276,000",NA,"-7,912"
Foreign Exchange Rate Adj.,272619,"(72,000)",NA,NA,NA,NA,"(8,000)",NA,NA,NA,NA,NA,"-82,637.00",0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,124,000.00",NA,"2,500.00",NA,NA,"-5,000.00","-51,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-8,942.00",NA,NA,NA,NA,NA,NA,-609.00,"-9,900.00",NA,NA,NA,NA,NA,NA,"-404,000.00","-22,300.00","3,154.00","-25,000.00",NA,"-93,561.00","-9,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"-10,388.00",NA,-300.00,"-9,000.00",NA,"-10,000.00",NA,NA,"-1,000.00",NA,NA,NA,"-2,216.00",NA,"-198,600.00",NA,NA,"-5,088.00","-81,000.00","-10,366.00",NA,NA,NA,"-10,000.00",NA,NA,NA,NA,NA,"46,000.00","-41,000.00",NA,NA,NA,NA,NA,"-12,900.00",NA,NA,NA,NA,NA,NA,"-1,191.00","-37,000.00",NA,"-4,157.00",NA,NA,NA,-736.00,"-2,755.00",NA,NA,NA,NA,NA,"-35,000.00","-63,000.00",NA,NA,"-7,827,000.00",NA,"-1,997.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-863.00,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"682,000","18,000",NA,NA,NA,"963,000","(92,000)","19,000","35,555.00",NA,"-7,000.00","108,389.00","-1,147,000.00",NA,NA,NA,NA,"-53,964.00","-278,000.00",NA,NA,"13,786.00","-2,000.00","-447,000.00",NA,"-206,300.00","-15,000.00","15,577,000.00",NA,"11,000.00",NA,"344,000.00","-85,000.00","1,000.00","1,587,000.00",NA,NA,NA,"399,000.00",NA,NA,"-67,000.00","-209,369.00","-10,000.00","-35,000.00","6,000.00","-1,020.00","-6,000.00",NA,"-3,453.00","18,100.00","-563,000.00",NA,NA,"16,602.00",NA,NA,"1,587,000.00","22,400.00","-5,673.00","-26,000.00",NA,"57,652.00","-76,600.00",NA,"3,684.00","909,000.00",NA,NA,NA,NA,"-15,000.00","981,155.00","-220,000.00","41,300.00","374,000.00","-696,000.00","1,489,000.00",NA,"10,689.00","1,286,000.00","-1,894,000.00","17,775.00",NA,"-43,253.00",NA,"955,800.00",NA,"85,000.00","-26,267.00","105,000.00","24,812.00","-14,346.00","476,000.00",NA,"323,000.00",NA,"-45,000.00",NA,"497,000.00",NA,"4,744,000.00","-59,000.00",NA,"-15,000.00","-145,000.00","-23,756.00",NA,"-4,900.00","-2,900.00","1,900.00",NA,0.00,NA,"4,767.00","-535,992.00","603,000.00","15,000.00","163,451.00","24,000.00","-2,791,000.00","-76,992.00","-40,691.00","-489,797.00","60,510.00",NA,"74,000.00",NA,"20,000.00","-26,000.00","3,399,000.00","-18,580,000.00","-17,300.00","-4,355,000.00","63,000.00","-31,669.00",NA,NA,"-70,000.00","-8,100.00",NA,"254,000.00",NA,NA,NA,NA,NA,NA,"-51,622.00","-38,000.00",NA,"10,315,000.00",NA,"189,000.00",NA,365.95
Capital Expenditure,272592,"(435,000)","(302,200)","(328,400)",NA,NA,"(1,041,000)","(64,000)","(899,000)",NA,NA,"-256,600.00","-18,536.00","-63,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-321.00,"-478,000.00","-1,199,000.00",NA,"-96,600.00","-4,000.00","-1,202,000.00",NA,"-106,700.00","-25,679.00","-290,000.00",NA,"-465,000.00","-626,000.00",NA,NA,NA,"-79,000.00",NA,NA,"-2,050,000.00","-65,462.00","-3,031,000.00","-606,000.00","-210,000.00","-37,327.00","-217,000.00",NA,NA,"-153,000.00","-1,672,000.00",NA,NA,NA,NA,NA,"-1,732,000.00","-22,600.00","-4,227.00","-74,000.00",NA,"-139,330.00","-54,900.00",NA,-636.00,"-196,000.00",NA,NA,NA,NA,"-240,000.00","-47,231.00","-102,000.00","-183,900.00","-74,000.00","-235,000.00","-152,000.00",NA,-64.00,"-410,000.00","-88,000.00",NA,NA,"-23,455.00",NA,"-531,200.00",NA,"-542,000.00","-32,626.00","-70,000.00","-3,275.00",-528.00,NA,NA,"-81,000.00",NA,"-445,000.00",NA,"-296,000.00",NA,"-1,101,000.00","-94,000.00",NA,"-2,872,000.00","-587,000.00","-18,970.00",NA,"-74,200.00","-44,700.00","-122,400.00",NA,"-263,000.00",NA,NA,"-225,519.00","-515,000.00","-10,000.00","-42,256.00","-1,497,000.00","-1,079,000.00","-192,628.00","-244,584.00","-146,161.00","-29,614.00",NA,"-372,000.00",NA,"-124,000.00","-118,000.00","-284,000.00","-232,000.00","-57,500.00","-990,000.00","-689,000.00","-47,028.00",NA,NA,"-13,000.00","-26,400.00",NA,"-5,320,000.00",NA,NA,NA,NA,NA,NA,"-222,862.00","-1,390,000.00",NA,NA,NA,"-11,000.00",NA,NA
Change in Net Working Capital,272627,"(287,000)","(500,300)","11,800",NA,NA,NA,"(959,000)","285,000","-18,860.00",NA,"88,200.00","191,791.00","-129,000.00",NA,NA,NA,NA,"55,613.00","2,441,000.00",NA,NA,"-17,027.00","169,000.00","375,000.00",NA,"35,900.00","8,000.00",NA,NA,"-170,600.00","33,769.00","-132,000.00","5,456,000.00","371,000.00","-257,000.00",NA,NA,NA,NA,NA,NA,"-981,000.00","49,505.00","935,000.00","518,000.00","142,000.00","53,434.00","135,000.00",NA,"-28,160.00","-10,800.00","-121,000.00",NA,NA,"5,035.00",NA,NA,"-150,000.00",-600.00,"44,038.00","-41,000.00",NA,"329,878.00","23,500.00",NA,"359,646.00","702,000.00",NA,NA,NA,NA,"35,000.00",NA,"189,000.00","-14,600.00","-260,000.00","295,000.00",NA,NA,"197,886.00","165,000.00","424,000.00","21,349.00",NA,"12,998.00",NA,"-108,900.00",NA,"-53,000.00","67,197.00","206,000.00","65,641.00","-18,042.00",NA,"146,000.00","226,000.00",NA,"-286,000.00",NA,"-617,000.00",NA,"-656,000.00","-115,000.00",NA,"-54,000.00","-210,000.00","-54,547.00",NA,"88,400.00","70,000.00",NA,NA,"-783,000.00",NA,NA,"219,725.00","1,409,000.00","-1,000.00","-152,862.00","162,000.00","-215,000.00","18,430.00","61,643.00","98,893.00","-33,827.00",NA,"78,000.00",NA,"-2,655,000.00",NA,"-4,557,000.00",NA,"-21,900.00",NA,"-711,000.00","36,761.00",NA,NA,"-23,000.00","-240,300.00",NA,"658,000.00",NA,NA,NA,NA,NA,NA,"-41,225.00","-454,000.00",NA,NA,NA,"-156,000.00",NA,"-8,270.95"
Unlevered Free Cash Flow,272626,"1,285,375","417,925","(116,113)",NA,NA,NA,"2,947,125","(412,500)","183,256.50",NA,"-112,837.50","150,905.50","373,625.00",NA,NA,NA,NA,"310,857.00","-2,097,875.00",NA,NA,"46,753.88","-512,125.00","-1,009,375.00",NA,"-87,875.00","-339,875.00",NA,NA,"403,062.50","-48,972.75","425,875.00","-3,844,500.00","-226,625.00","998,875.00",NA,NA,NA,NA,NA,NA,"443,125.00","203,951.75","-1,196,250.00","-585,875.00","-68,625.00","-48,279.50","-179,750.00",NA,"126,029.25","152,512.50","-56,000.00",NA,NA,"73,276.75",NA,NA,"120,625.00","274,025.00","-28,137.75","506,375.00",NA,"339,024.13","262,187.50",NA,"-212,104.88","201,125.00",NA,NA,NA,NA,"-66,625.00",NA,"-134,250.00","139,212.50","846,250.00","-78,125.00",NA,NA,"-136,409.13","1,649,125.00","-48,750.00","34,569.25",NA,"158,462.38",NA,"1,816,850.00",NA,"2,875.00","-32,333.63","240,125.00","146,960.88","62,489.38",NA,NA,"-107,000.00",NA,"973,750.00",NA,"1,410,500.00",NA,"3,409,000.00","443,750.00",NA,"-1,109,625.00","172,500.00","132,233.63",NA,"67,837.50","-100,337.50",NA,NA,"1,149,500.00",NA,NA,"99,214.75","235,625.00","100,750.00","363,230.63","-397,750.00","-265,875.00","-148,733.63","-158,200.88","341,859.63","80,035.50",NA,"-191,875.00",NA,"2,218,125.00",NA,"3,417,625.00",NA,"-21,050.00",NA,"1,322,375.00","50,607.00",NA,NA,"145,750.00","673,700.00",NA,"2,744,750.00",NA,NA,NA,NA,NA,NA,"-65,373.88","68,125.00",NA,NA,NA,"538,375.00",NA,"8,262.49"
