SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,950,000","398,500","365,500",NA,NA,"2,272,000","5,614,000","1,410,000","313,654",NA,"677,000","8,562,631",NA,NA,NA,NA,NA,"709,015","1,675,000",NA,NA,"155,530","721,000","1,742,000",NA,"515,100","2,295,000","19,384,000",NA,"2,995,200","64,898","4,153,000","3,687,000","3,501,000","2,990,000",NA,NA,NA,"3,444,000",NA,NA,"3,038,000","2,031,676","5,758,000","1,325,000","735,000","111,994","456,000",NA,"124,239","1,234,800","4,020,000",NA,NA,"117,332",NA,NA,"26,752,000","1,319,700","410,939","4,346,000",NA,"2,137,437","1,322,200","189,021","212,457","15,877,000",NA,NA,NA,NA,"342,000","1,927,312","414,000","749,500","3,140,000","3,407,000","4,751,000",NA,"791,512","27,302,000","3,727,000","67,294",NA,"1,962,658",NA,"5,887,900",NA,"693,000","736,402","1,971,000","498,180","73,421","511,000","1,677,000","2,709,000",NA,"2,799,000",NA,"9,151,000",NA,"9,800,000","2,239,000",NA,"5,215,000","1,298,000","1,019,953",NA,"1,924,800","81,600","344,500",NA,"1,724,000",NA,"802,123","50,914","15,880,000","1,764,000","224,137","3,306,000","4,008,000","292,796","821,421","11,558,982","161,313",NA,"654,000",NA,"12,646,000","4,046,000","16,998,000","4,527,000","145,900","15,480,000","30,489,000","1,149,107",NA,NA,"1,100,000","2,993,000",NA,"33,764,000",NA,NA,NA,NA,NA,NA,"554,278","1,741,000",NA,"21,567,000",NA,"3,144,000",NA,NA
Gross Profit,271473,"4,231,000","270,200","337,800",NA,NA,"2,272,000","3,732,000","693,000","171,692.00",NA,"295,100.00","1,000,105.00",NA,NA,NA,NA,NA,"457,565.00","628,000.00",NA,NA,"107,877.00","263,000.00","776,000.00",NA,"180,000.00","914,000.00","19,384,000.00",NA,"888,900.00","20,347.00","732,000.00","471,000.00","1,315,000.00","1,689,000.00",NA,NA,NA,"3,299,000.00",NA,NA,"1,510,000.00","777,011.00","2,854,000.00","646,000.00","342,000.00","42,114.00","236,000.00",NA,"109,561.00","751,800.00","1,647,000.00",NA,NA,"85,584.00",NA,NA,"2,864,000.00","755,500.00","221,839.00","1,773,000.00",NA,"1,201,127.00","755,000.00","131,546.00","102,921.00","3,440,000.00",NA,NA,NA,NA,"312,000.00","1,365,095.00","217,000.00","394,200.00","1,777,000.00","1,258,000.00","584,000.00",NA,"215,525.00","9,304,000.00","1,009,000.00","67,294.00",NA,"287,426.00",NA,"3,219,500.00",NA,"349,000.00","199,909.00","955,000.00","410,853.00","71,246.00","511,000.00","463,000.00","884,000.00",NA,"1,486,000.00",NA,"2,043,000.00",NA,"7,861,000.00","619,000.00",NA,"1,600,000.00","602,000.00","204,477.00",NA,"511,100.00","24,900.00","116,700.00",NA,"1,284,000.00",NA,"802,123.00","-369,105.00","3,225,000.00","200,000.00","44,562.00","1,288,000.00","688,000.00","113,163.00","161,452.00","2,098,458.00","82,401.00",NA,"327,000.00",NA,"3,642,000.00","4,046,000.00","2,925,000.00","4,361,000.00","54,500.00","13,984,000.00","6,938,000.00","402,953.00",NA,NA,"236,000.00","872,900.00",NA,"19,509,000.00",NA,NA,NA,NA,NA,NA,"166,965.00","989,000.00",NA,"21,567,000.00",NA,"1,561,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,525,000","79,800","148,600",NA,NA,"899,000","2,150,000","208,000","51,814.0",NA,"66,300.0","241,202.0",NA,NA,NA,NA,NA,"143,010.0","31,000.0",NA,NA,"5,966.0","73,000.0","200,000.0",NA,"108,300.0","703,000.0","6,193,000.0",NA,"379,500.0","1,563.0","13,000.0","-238,000.0","454,000.0","1,173,000.0",NA,NA,NA,"1,698,000.0",NA,NA,"269,000.0","264,508.0","698,000.0","217,000.0","103,000.0","8,763.0","39,000.0",NA,"18,552.0","215,900.0","326,000.0",NA,NA,"53,161.0",NA,NA,"553,000.0","182,000.0",-765.0,"591,500.0",NA,"266,813.0","-21,900.0","38,739.0","3,617.0","1,228,000.0",NA,NA,NA,NA,"102,000.0","350,067.0","41,000.0","-378,000.0","448,000.0","47,000.0","-393,000.0",NA,"118,134.0","2,828,000.0","-431,000.0","95,110.0",NA,"75,765.0",NA,"2,219,300.0",NA,"211,000.0","48,688.0","294,000.0","165,423.0","39,231.0","185,000.0","-9,000.0","197,000.0",NA,"819,000.0",NA,"1,037,000.0",NA,"2,442,000.0","298,000.0",NA,"440,000.0","225,000.0","58,985.0",NA,"155,200.0","-1,200.0","46,100.0",NA,"509,000.0",NA,"145,726.0","-1,347,255.0","1,088,000.0","53,000.0","-58,870.0","385,000.0","348,000.0","11,413.0","26,474.0","67,289.0","30,330.0",NA,"121,000.0",NA,"1,435,000.0","1,027,000.0","567,000.0","1,265,000.0","8,600.0","5,486,000.0","820,000.0","142,171.0",NA,NA,"91,000.0","182,900.0",NA,"5,949,000.0",NA,NA,NA,NA,NA,NA,"3,391.0","414,000.0",NA,"6,744,000.0",NA,"1,028,000.0",NA,139.8
Net Income,271510,"1,524,000","79,800","148,600",NA,NA,"900,000","2,149,000","207,000","51,814.00",NA,"66,300.00","240,641.00",NA,NA,NA,NA,NA,"125,846.00","31,000.00",NA,NA,"5,966.00","73,000.00","251,000.00",NA,"108,300.00","703,000.00","6,193,000.00",NA,"378,900.00","1,563.00","-61,000.00","-303,000.00","449,000.00","1,173,000.00",NA,NA,NA,"1,698,000.00",NA,NA,"285,000.00","264,508.00","765,000.00","217,000.00","103,000.00","8,763.00","39,000.00",NA,"18,552.00","215,100.00","401,000.00",NA,NA,"53,140.00",NA,NA,"561,000.00","180,900.00","-1,192.00","584,500.00",NA,"263,590.00","-22,900.00","38,739.00","4,841.00","1,228,000.00",NA,NA,NA,NA,"102,000.00","350,970.00","41,000.00","-378,500.00","448,000.00","47,000.00","-393,000.00",NA,"118,134.00","2,828,000.00","-431,000.00","95,110.00",NA,"75,451.00",NA,"2,219,300.00",NA,"211,000.00","48,688.00","293,000.00","165,423.00","39,183.00","185,000.00","-9,000.00","197,000.00",NA,"819,000.00",NA,"1,037,000.00",NA,"2,442,000.00","298,000.00",NA,"440,000.00","225,000.00","58,985.00",NA,"158,400.00","-1,200.00","46,100.00",NA,"509,000.00",NA,"135,673.00","-1,347,255.00","1,032,000.00","51,000.00","-58,869.00","385,000.00","348,000.00","11,413.00","25,119.00","67,289.00","30,330.00",NA,"121,000.00",NA,"1,625,000.00","1,022,000.00","587,000.00","1,265,000.00","8,600.00","5,486,000.00","819,000.00","142,171.00",NA,NA,"91,000.00","182,900.00",NA,"5,800,000.00",NA,NA,NA,NA,NA,NA,"1,963.00","414,000.00",NA,"6,040,000.00",NA,"1,028,000.00",NA,139.84
EBIT,271530,"2,051,000","131,400","205,300",NA,NA,NA,"3,240,000","320,000","67,782.00",NA,"125,300.00","344,339.00",NA,NA,NA,NA,NA,"247,582.00","60,000.00",NA,NA,"15,655.00","90,000.00","298,000.00",NA,"146,600.00","885,000.00",NA,NA,"556,100.00","2,396.00","-316,000.00","-107,000.00","594,000.00","1,341,000.00",NA,NA,NA,NA,NA,NA,"786,000.00","354,879.00","1,298,000.00","349,000.00","173,000.00","16,637.00","78,000.00",NA,"57,441.00","306,000.00","623,000.00",NA,NA,"44,669.00",NA,NA,"502,000.00","211,300.00","21,359.00","708,000.00",NA,"440,858.00","178,400.00","45,640.00","17,394.00","1,453,000.00",NA,NA,NA,NA,"192,000.00",NA,"69,000.00","298,100.00","800,000.00","-11,000.00","-127,000.00",NA,"147,453.00","3,957,000.00","-435,000.00","56,795.00",NA,"98,499.00",NA,"2,564,000.00",NA,"109,000.00","69,226.00","416,000.00","273,546.00","46,808.00",NA,"152,000.00","315,000.00",NA,"1,192,000.00",NA,"1,411,000.00",NA,"3,680,000.00","413,000.00",NA,"839,000.00","286,000.00","95,266.00",NA,"210,700.00","1,000.00","56,200.00",NA,"757,000.00",NA,NA,"-982,913.00","1,756,000.00","115,000.00","-36,496.00","617,000.00","-161,000.00","32,689.00","55,761.00","235,652.00","57,590.00",NA,"164,000.00",NA,"1,988,000.00",NA,"1,568,000.00",NA,"14,100.00",NA,"882,000.00","180,716.00",NA,NA,"121,000.00","389,100.00",NA,"8,516,000.00",NA,NA,NA,NA,NA,NA,"12,683.00","583,000.00",NA,NA,NA,"1,432,000.00",NA,NA
EBIT / Interest Expense (x),274483,16.95,2.90,5.99,NA,NA,NA,10.98,3.33,2.46,NA,2.37,NA,NA,NA,NA,NA,NA,2.33,1.54,NA,NA,1.59,2.81,2.28,NA,6.66,68.08,NA,NA,5.14,0.95,NM,NM,7.62,7.41,NA,NA,NA,NA,NA,NA,1.52,13.31,2.27,4.36,3.53,2.59,2.79,NA,1.50,8.77,1.92,NA,NA,3.49,NA,NA,1.11,8.39,3.27,59.00,NA,5.58,3.87,1.97,0.55,22.70,NA,NA,NA,NA,3.05,NA,3.00,7.62,6.40,NM,NM,NA,NA,17.43,NM,3.94,NA,7.12,NA,8.65,NA,1.40,8.02,9.04,6.92,3.65,NA,2.49,4.85,NA,7.40,NA,10.38,NA,6.13,11.80,NA,2.45,2.72,6.53,NA,19.69,0.11,3.99,NA,9.71,NA,NA,NM,5.32,3.59,NM,3.12,NM,1.35,2.15,1.61,6.01,NA,4.21,NA,21.85,NA,2.33,NA,2.35,NA,6.53,25.37,NA,NA,24.20,8.59,NA,10.09,NA,NA,NA,NA,NA,NA,1.30,4.56,NA,NA,NA,18.36,NA,NA
Avg. Days Sales Out.,274485,49.9,47.8,30.7,NA,NA,NA,2.2,45.5,13,NA,35,92,NA,NA,NA,NA,NA,160,NM,NA,NA,58,51,53,NA,8,110,NA,NA,27,123,NA,NA,51,33,NA,NA,NA,NA,NA,NA,53,58,46,14,8,6,19,NA,74,52,79,NA,NA,77,NA,NA,15,57,40,NA,NA,36,75,69,32,29,NA,NA,NA,NA,35,NA,53,35,31,NA,NA,NA,7,NA,5,NA,NA,88,NA,28,NA,68,110,87,91,131,NA,65,55,NA,24,NA,72,NA,42,49,NA,95,48,21,NA,11,93,17,NA,17,NA,NA,475,114,54,17,54,5,59,60,23,55,NA,34,NA,65,NA,61,NA,36,NA,4,28,NA,NA,29,NA,NA,61,NA,NA,NA,NA,NA,NA,43,51,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7.30,7.62,11.84,NA,NA,NA,163.91,8.00,27,NA,10,4,NA,NA,NA,NA,NA,2,1,NA,NA,6,7,7,NA,43,3,NA,NA,14,3,NA,NA,7,11,NA,NA,NA,NA,NA,NA,7,6,8,26,45,58,19,NA,5,7,5,NA,NA,5,NA,NA,24,6,9,NA,NA,10,5,5,11,12,NA,NA,NA,NA,11,NA,7,11,12,NA,NA,NA,49,NA,80,NA,NA,4,NA,13,NA,5,3,4,4,3,NA,6,7,NA,15,NA,5,NA,9,7,NA,4,8,17,NA,33,4,21,NA,21,NA,NA,1,3,7,21,7,80,6,6,16,7,NA,11,NA,6,NA,6,NA,10,NA,79,13,NA,NA,13,NA,NA,6,NA,NA,NA,NA,NA,NA,9,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.52,0.16,0.13,NA,NA,NA,11.47,0.20,0,NA,0,46,NA,NA,NA,NA,NA,0,NA,NA,NA,14,0,0,NA,2,43,NA,NA,5,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,9,0,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,3,9,5,NA,NA,5,11,0,0,17,NA,NA,NA,NA,0,NA,0,0,4,1,NA,NA,260,5,2,66,NA,6,NA,1,NA,0,4,5,9,0,NA,7,7,NA,0,NA,4,NA,6,2,NA,0,0,10,NA,8,0,0,NA,1,NA,NA,0,4,20,0,0,1,0,0,9,0,NA,0,NA,50,NA,6,NA,0,NA,4,9,NA,NA,35,24,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.75,0.14,0.13,NA,NA,NA,0.48,0.17,0,NA,0,2,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,1,0,NA,NA,1,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,1,0,NA,NA,0,NA,NA,0,0,1,NA,NA,0,1,0,0,2,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,2,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,2,0,0,NA,0,NA,0,0,0,1,0,0,0,0,0,2,0,NA,0,NA,0,NA,0,0,0,0,3,2,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,887,000","138,500","233,500",NA,NA,"452,000","(361,000)","471,000","179,790",NA,"52,100","281,380",NA,NA,NA,NA,NA,"408,413","173,000",NA,NA,"29,257","283,000","605,000",NA,"230,100","563,000","365,000",NA,"256,900","18,803","1,255,000","856,000","771,000","1,167,000",NA,NA,NA,"1,548,000",NA,NA,"788,000","260,073","1,785,000","429,000","198,000","34,279","89,000",NA,"62,494","407,700",NA,NA,NA,"77,102",NA,NA,"756,000","279,500","28,078","520,000",NA,"510,235","199,500","125,574","4,807","1,446,000",NA,NA,NA,NA,"184,000","514,352","67,000","281,100","593,000","251,000",NA,NA,"-20,834","7,302,000","157,000","-83,243",NA,"92,178",NA,"1,733,200",NA,"807,000","43,272","388,000","225,057","51,600","154,000","152,000","101,000",NA,"1,082,000",NA,"1,028,000",NA,"1,388,000","498,000",NA,"52,000","577,000","28,453",NA,NA,"33,400","109,700",NA,"736,000",NA,"-519,013","-460,371","1,307,000","104,000","37,398","-1,331,000","2,005,000","66,040","53,814","5,764","73,693",NA,"166,000",NA,"1,528,000","2,829,000","-483,000","-594,000","21,300","20,467,000","1,160,000","223,594",NA,NA,"-15,000","676,000",NA,"10,744,000",NA,NA,NA,NA,NA,NA,"176,615","500,000",NA,"-8,062,000",NA,"1,308,000",NA,0
Cash from Investing,272601,"(674,000)","(279,300)","(329,300)",NA,NA,"(543,000)","20,000","(871,000)","-376,928",NA,"-13,400","-20,929",NA,NA,NA,NA,NA,"-321,338","-4,212,000",NA,NA,"-6,876","-397,000","-772,000",NA,"-18,200","-373,000","-37,177,000",NA,"-127,600","-5,443","267,000","-1,992,000","-127,000","-230,000",NA,NA,NA,"-1,247,000",NA,NA,"-1,460,000","-121,631","-2,477,000","-488,000","-203,000","-40,501","-215,000",NA,"3,128","-122,100",NA,NA,NA,"-139,596",NA,NA,"6,669,000","-6,500",-646,"-72,500",NA,"-1,065,005","-40,800","-42,049","46,108","-312,000",NA,NA,NA,NA,"-196,000","-96,472","-106,000","-165,000","-101,000","159,000",NA,NA,"-30,167","-1,272,000","-159,000",NA,NA,"-541,502",NA,"-413,500",NA,"-423,000","-37,311","-62,000","-11,961","14,362","1,334,000","-2,391,000","-51,000",NA,"-327,000",NA,"-174,000",NA,"3,852,000","-92,000",NA,"-1,772,000","-379,000","-235,848",NA,NA,"-74,300","-188,000",NA,"-152,000",NA,"-1,575,635","-216,115","-343,000","-21,000","-15,725","-1,129,000","-469,000","-144,216","-176,523","-80,892","-63,240",NA,"-318,000",NA,"-670,000","-779,000","1,659,000","-17,861,000","-46,100","-9,221,000","-659,000","-47,439",NA,NA,"-132,000","-1,095,300",NA,"-4,748,000",NA,NA,NA,NA,NA,NA,"-230,622","-919,000",NA,"15,276,000",NA,"-220,000",NA,NA
Cash from Financing,272618,"(1,183,000)","129,400","95,800",NA,NA,"(2,496,000)","(3,577,000)","495,000","168,570",NA,"-32,100","-258,453",NA,NA,NA,NA,NA,"-398,978","4,896,000",NA,NA,"-23,920","110,000","157,000",NA,"3,800","-134,000","11,359,000",NA,"-500,400","-39,998","-1,683,000","1,094,000","-1,199,000","-906,000",NA,NA,NA,"-4,607,000",NA,NA,"414,000","-75,949","565,000","79,000",0,"1,854","120,000",NA,"-96,195","-591,700",NA,NA,NA,"-34,590",NA,NA,"-6,405,000","-12,900","-22,089","-539,500",NA,"277,259","-347,600","-26,273","57,501","-1,870,000",NA,NA,NA,NA,"15,000","-293,666","77,000","-50,800","-673,000","-21,000",NA,NA,"114,548","-363,000","-198,000","77,038",NA,"174,029",NA,"-1,306,300",NA,"-390,000","-11,551","286,000","11,316","-147,465","-1,828,000","2,543,000","-99,000",NA,"-83,000",NA,"-430,000",NA,"-4,554,000","-126,000",NA,"1,809,000","-197,000","259,626",NA,NA,"45,200","78,500",NA,"-587,000",NA,"2,114,873","-164,932","-1,556,000","-162,000",-62,"2,485,000","617,000","66,099","77,844","-205,234","-23,458",NA,"162,000",NA,"-842,000","-1,941,000","-19,000","-254,000","12,800","37,888,000","-407,000","-111,069",NA,NA,"-13,000","-19,400",NA,"-11,406,000",NA,NA,NA,NA,NA,NA,"171,792","412,000",NA,"-19,774,000",NA,"-327,000",NA,NA
Foreign Exchange Rate Adj.,272619,"29,000",NA,NA,NA,NA,"1,000",NA,NA,NA,NA,NA,"14,371.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9,000.00",NA,900.00,NA,NA,"-1,000.00","7,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"2,354.00",NA,NA,NA,NA,NA,NA,-26.00,"-1,700.00",NA,NA,NA,NA,NA,NA,"92,000.00","6,100.00",981.00,"-5,500.00",NA,"15,161.00","4,900.00",NA,NA,NA,NA,NA,NA,NA,NA,869.00,NA,600.00,"2,000.00",NA,NA,NA,NA,"19,000.00",NA,NA,NA,159.00,NA,"16,300.00",NA,NA,"-1,732.00","-11,000.00",443.00,NA,NA,"2,000.00","8,000.00",NA,NA,NA,NA,NA,"39,000.00","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.00,"56,000.00",NA,-745.00,NA,NA,NA,85.00,"59,961.00",NA,NA,NA,NA,NA,"-8,000.00","4,000.00",NA,NA,NA,NA,-845.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.00,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"59,000","(11,400)",NA,NA,NA,"(2,586,000)","(3,918,000)","95,000","-28,568.00",NA,"6,600.00","16,369.00",NA,NA,NA,NA,NA,"-311,903.00","857,000.00",NA,NA,"-1,539.00","-4,000.00","-10,000.00",NA,"215,700.00","56,000.00","-25,444,000.00",NA,"-370,200.00","-26,638.00","-161,000.00","-43,000.00","-548,000.00","31,000.00",NA,NA,NA,"-4,306,000.00",NA,NA,"-258,000.00","64,847.00","-127,000.00","20,000.00","-5,000.00","-4,368.00","-6,000.00",NA,"-30,599.00","-307,800.00",NA,NA,NA,"-97,084.00",NA,NA,"1,112,000.00","266,200.00","6,324.00","-97,500.00",NA,"-262,350.00","-202,200.00","57,252.00","108,416.00","-736,000.00",NA,NA,NA,NA,"3,000.00","125,083.00","38,000.00","65,900.00","-179,000.00","389,000.00",NA,NA,"63,547.00","5,686,000.00","-200,000.00","-6,205.00",NA,"-275,136.00",NA,"29,700.00",NA,"-6,000.00","-7,322.00","601,000.00","224,855.00","-81,503.00","-340,000.00","306,000.00","-41,000.00",NA,"672,000.00",NA,"424,000.00",NA,"725,000.00","283,000.00",NA,"106,000.00","1,000.00","52,231.00",NA,NA,"4,300.00",200.00,NA,"-3,000.00",NA,"20,225.00","-841,094.00","-536,000.00","-79,000.00","20,866.00","25,000.00","2,153,000.00","-12,077.00","-44,780.00","-220,401.00","-13,005.00",NA,"10,000.00",NA,"16,000.00","101,000.00","1,161,000.00","-18,709,000.00","-12,000.00","49,134,000.00","94,000.00","64,241.00",NA,NA,"-160,000.00","-438,700.00",NA,"-5,410,000.00",NA,NA,NA,NA,NA,NA,"118,015.00","-7,000.00",NA,"-12,560,000.00",NA,"761,000.00",NA,NA
Capital Expenditure,272592,"(394,000)","(236,100)","(319,200)",NA,NA,"(1,757,000)","(27,000)","(879,000)","-3,357.00",NA,"-187,300.00","-20,929.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6,876.00","-415,000.00","-789,000.00",NA,"-17,300.00","-4,000.00","-941,000.00",NA,"-136,500.00","-14,215.00","-337,000.00",NA,"-324,000.00","-448,000.00",NA,NA,NA,"-56,000.00",NA,NA,"-1,349,000.00","-41,971.00","-2,421,000.00","-480,000.00","-208,000.00","-36,008.00","-195,000.00",NA,NA,"-122,500.00",NA,NA,NA,NA,NA,NA,"-1,513,000.00","-8,700.00","-1,245.00","-55,000.00",NA,"-133,420.00","-39,200.00","-24,540.00",-531.00,"-121,000.00",NA,NA,NA,NA,"-198,000.00","-32,523.00","-94,000.00","-144,500.00","-109,000.00","-34,000.00",NA,NA,140.00,"-382,000.00","-106,000.00",NA,NA,"-48,971.00",NA,"-482,600.00",NA,"-423,000.00","-37,710.00","-62,000.00","-1,809.00",-56.00,NA,"-20,000.00","-60,000.00",NA,"-362,000.00",NA,"-230,000.00",NA,"-568,000.00","-93,000.00",NA,"-1,842,000.00","-380,000.00","-12,106.00",NA,NA,"-70,500.00","-66,000.00",NA,"-153,000.00",NA,NA,"-224,484.00","-360,000.00","-14,000.00","-17,130.00","-1,234,000.00","-95,000.00","-147,565.00","-185,340.00","-88,405.00","-28,189.00",NA,"-318,000.00",NA,"-136,000.00","-245,000.00","-222,000.00","-239,000.00","-42,400.00","-1,353,000.00","-645,000.00","-15,694.00",NA,NA,"-12,000.00","-26,700.00",NA,"-4,222,000.00",NA,NA,NA,NA,NA,NA,"-217,576.00","-845,000.00",NA,NA,NA,"-159,000.00",NA,NA
Change in Net Working Capital,272627,"174,000","78,900","68,900",NA,NA,NA,"2,791,000","(128,000)","-65,919.00",NA,"-25,700.00","15,164.00","-722,000.00",NA,NA,NA,NA,"-293,391.00","-1,105,000.00",NA,NA,"7,322.00","1,250,000.00","1,358,000.00",NA,"-74,300.00","-39,000.00",NA,NA,"248,200.00","-5,722.00",NA,NA,"-814,000.00","165,000.00",NA,NA,NA,NA,NA,NA,"328,000.00","53,551.00","357,000.00","16,000.00","4,000.00","-9,544.00","20,000.00",NA,"-18,129.00","-61,100.00","-569,000.00",NA,NA,"-73,913.00",NA,NA,"5,451,000.00","-67,400.00","-17,110.00",NA,NA,"56,708.00","333,100.00","60,946.00","-48,887.00","225,000.00",NA,NA,NA,NA,"17,000.00",NA,"29,000.00","-735,300.00","4,000.00","-147,000.00",NA,NA,"158,418.00","-3,800,000.00","-658,000.00","18,748.00",NA,"149,158.00",NA,"452,300.00",NA,"-400,000.00","28,778.00","20,000.00","4,321.00","26,763.00",NA,"-118,000.00","153,000.00",NA,"37,000.00",NA,"-175,000.00",NA,"1,654,000.00","-67,000.00",NA,"1,424,000.00","-74,000.00","92,685.00",NA,"90,100.00","-21,800.00","25,300.00",NA,"-19,000.00",NA,NA,"-427,717.00","383,000.00","47,000.00","-86,484.00","1,434,000.00","-1,817,000.00","25,037.00","74,386.00","277,438.00","48,620.00",NA,"76,000.00",NA,"-542,000.00",NA,"2,258,000.00",NA,"8,500.00",NA,"108,000.00","-40,635.00",NA,NA,"9,000.00","482,500.00",NA,"-1,158,000.00",NA,NA,NA,NA,NA,NA,"-50,702.00","411,000.00",NA,NA,NA,"93,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"1,238,875","(130,875)","(187,388)",NA,NA,NA,"(728,000)","(230,000)","199,193.75",NA,"52,112.50","227,657.88",NA,NA,NA,NA,NA,"629,407.75","1,142,500.00",NA,NA,"20,884.38","-1,452,750.00","-1,633,750.00",NA,"184,225.00","611,125.00",NA,NA,"75,262.50","4,750.50",NA,NA,"1,274,250.00","600,125.00",NA,NA,NA,NA,NA,NA,"-512,750.00","204,668.38","-598,750.00","-29,875.00","49,125.00","4,687.13","-90,250.00",NA,"98,143.63","249,550.00",NA,NA,NA,"140,030.13",NA,NA,"-5,468,250.00","306,662.50","39,679.38",NA,NA,"573,701.25","-77,800.00","15,530.00","108,977.25","824,125.00",NA,NA,NA,NA,"-38,000.00",NA,"-40,875.00","868,312.50","588,000.00","325,125.00",NA,NA,"-62,770.88","6,265,125.00","492,125.00","19,507.88",NA,"-23,042.13",NA,"1,167,500.00",NA,"263,125.00","1,475.25","319,000.00","182,999.25","24,348.00",NA,"291,000.00","63,875.00",NA,"656,000.00",NA,"1,126,875.00",NA,"1,297,000.00","365,125.00",NA,"-1,772,625.00","147,750.00","-13,055.75",NA,NA,"-27,475.00","-5,975.00",NA,"570,125.00",NA,NA,"-87,648.63","1,458,500.00","53,875.00","84,174.00","-1,736,375.00","1,936,375.00","-94,540.38","-142,027.38","-5,896.50","-2,233.25",NA,"-184,500.00",NA,"1,959,500.00",NA,"-935,000.00",NA,"-23,587.50",NA,"558,250.00","168,829.50",NA,NA,"96,625.00","-235,712.50",NA,"5,783,500.00",NA,NA,NA,NA,NA,NA,"-52,581.13","-533,625.00",NA,NA,NA,"763,000.00",NA,NA
