SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,344,000","531,200","741,800",NA,NA,"1,914,000","5,290,000","2,147,000","457,503",NA,"947,600","7,579,947","1,526,000",NA,NA,NA,NA,"856,663","860,000",NA,NA,"178,739","731,000","1,944,000",NA,"934,400","3,248,000","19,351,000",NA,"3,195,100","73,477","6,101,000","3,156,000","3,862,000","3,574,000",NA,NA,NA,NA,NA,NA,"3,810,000","2,049,592","7,508,000","1,885,000","821,000","150,400","654,000",NA,"176,321","1,537,000","5,427,000",NA,NA,"180,099",NA,NA,"50,184,000",NA,"220,388","5,007,000",NA,"1,956,747","980,800",NA,"260,880","13,220,000",NA,NA,NA,NA,"444,000","1,634,447","592,000",NA,"4,163,000","3,732,000","3,774,000",NA,"483,485","23,586,000","5,096,000","143,973",NA,"3,544,705",NA,"6,843,000",NA,"860,000","934,022","2,765,000","772,679","92,186","119,000","666,000","1,935,000",NA,"3,110,000",NA,"10,351,000",NA,"14,059,000","2,747,000",NA,"5,898,000","1,810,000","1,047,554",NA,"1,875,500","113,700","469,500",NA,"1,206,000",NA,"997,578","4,538,000","21,581,000","1,818,000","930,390","4,532,000","7,244,000","396,318",NA,"20,151,000","143,858",NA,"839,000",NA,"16,633,000","5,045,000","22,749,000","5,851,000","203,300","14,199,000","33,912,000","1,317,900",NA,NA,"1,220,000","3,361,400",NA,"34,504,000",NA,NA,NA,NA,NA,NA,"1,122,262","2,712,000",NA,"19,817,000",NA,"1,884,000",NA,NA
Gross Profit,271473,"2,698,000","337,200","699,600",NA,NA,"1,914,000","3,850,000","928,000","260,347.00",NA,"361,600.00","848,657.00","626,000.00",NA,NA,NA,NA,"514,879.00","-537,000.00",NA,NA,"119,558.00","311,000.00","927,000.00",NA,"392,100.00","903,000.00","19,351,000.00",NA,"846,700.00","32,806.00","1,352,000.00","261,000.00","1,392,000.00","1,717,000.00",NA,NA,NA,NA,NA,NA,"1,920,000.00","828,398.00","3,817,000.00","934,000.00","410,000.00","55,800.00","343,000.00",NA,"161,660.00","872,400.00","2,210,000.00",NA,NA,"134,645.00",NA,NA,"3,230,000.00",NA,"126,729.00","1,984,000.00",NA,"1,457,959.00","664,800.00",NA,"164,373.00","2,739,000.00",NA,NA,NA,NA,"414,000.00","1,301,018.00","303,000.00",NA,"2,255,000.00","1,604,000.00","760,000.00",NA,"111,650.00","7,895,000.00","2,158,000.00","143,973.00",NA,"435,542.00",NA,"3,962,000.00",NA,"413,000.00","256,618.00","1,419,000.00","635,012.00","80,269.00","119,000.00","157,000.00","686,000.00",NA,"1,505,000.00",NA,"2,210,000.00",NA,"9,974,000.00","868,000.00",NA,"2,334,000.00","608,000.00","250,632.00",NA,"382,000.00","35,600.00","144,400.00",NA,"843,000.00",NA,"997,578.00","2,332,000.00","4,376,000.00","210,000.00","349,447.00","1,822,000.00","1,678,000.00","157,532.00",NA,"3,650,000.00","76,585.00",NA,"445,000.00",NA,"4,120,000.00","5,045,000.00","2,435,000.00","5,675,000.00","80,300.00","11,714,000.00","7,651,000.00","440,400.00",NA,NA,"202,000.00","1,084,500.00",NA,"20,619,000.00",NA,NA,NA,NA,NA,NA,"347,184.00","1,413,000.00",NA,"19,817,000.00",NA,"325,000.00",NA,NA
Earnings from Cont. Ops.,271505,"725,000","121,100","616,500",NA,NA,"352,000","2,378,000","277,000","123,624.0",NA,"106,900.0","187,022.0","152,000.0",NA,NA,NA,NA,"120,943.0","85,000.0",NA,NA,"7,009.0","86,000.0","198,000.0",NA,"217,600.0","685,000.0","4,033,000.0",NA,"284,500.0","10,586.0","833,000.0","-668,000.0","500,000.0","829,000.0",NA,NA,NA,NA,NA,NA,"813,000.0","280,130.0","1,008,000.0","344,000.0","117,000.0","13,800.0","64,000.0",NA,"75,643.0","192,600.0","391,000.0",NA,NA,"56,879.0",NA,NA,"-29,000.0",NA,"-2,101.0","500,000.0",NA,"212,095.0","-854,700.0",NA,"-12,076.0","406,000.0",NA,NA,NA,NA,"127,000.0","91,395.0","66,000.0",NA,"547,000.0","66,000.0","-43,000.0",NA,"31,533.0","2,383,000.0","150,000.0","122,534.0",NA,"90,133.0",NA,"2,253,000.0",NA,"243,000.0","54,610.0","515,000.0","303,650.0","36,689.0","14,000.0","1,000.0","46,000.0",NA,"768,000.0",NA,"1,174,000.0",NA,"3,151,000.0","333,000.0",NA,"612,000.0","105,000.0","32,436.0",NA,"-79,100.0","7,700.0","63,700.0",NA,"277,000.0",NA,"318,006.0","1,215,000.0","1,725,000.0","81,000.0","-74,832.0","476,000.0","213,000.0","33,677.0",NA,"406,000.0","21,325.0",NA,"188,000.0",NA,"2,099,000.0","1,435,000.0","-612,000.0","2,126,000.0","5,500.0","3,723,000.0","465,000.0","136,800.0",NA,NA,"37,000.0","335,600.0",NA,"5,121,000.0",NA,NA,NA,NA,NA,NA,"-121,796.0","589,000.0",NA,"5,522,000.0",NA,"87,000.0",NA,400.7
Net Income,271510,"723,000","121,100","555,800",NA,NA,"352,000","2,378,000","275,000","123,624.00",NA,"106,900.00","187,749.00","152,000.00",NA,NA,NA,NA,"100,843.00","85,000.00",NA,NA,"7,009.00","86,000.00","198,000.00",NA,"216,900.00","685,000.00","4,019,000.00",NA,"284,500.00","10,586.00","839,000.00","-660,000.00","469,000.00","829,000.00",NA,NA,NA,NA,NA,NA,"760,000.00","279,064.00","984,000.00","344,000.00","117,000.00","13,800.00","64,000.00",NA,"75,643.00","191,300.00","391,000.00",NA,NA,"53,742.00",NA,NA,"-36,000.00",NA,"-2,294.00","486,000.00",NA,"241,640.00","-855,800.00",NA,"-12,144.00","406,000.00",NA,NA,NA,NA,"127,000.00","99,063.00","66,000.00",NA,"547,000.00","66,000.00","-43,000.00",NA,"31,533.00","2,383,000.00","150,000.00","122,534.00",NA,"85,766.00",NA,"2,253,000.00",NA,"243,000.00","54,610.00","513,000.00","303,650.00","36,987.00","14,000.00",0.00,"46,000.00",NA,"768,000.00",NA,"1,174,000.00",NA,"3,151,000.00","363,000.00",NA,"612,000.00","105,000.00","32,436.00",NA,"-79,300.00","7,700.00","63,700.00",NA,"277,000.00",NA,"311,717.00","1,210,000.00","1,657,000.00","81,000.00","-99,648.00","476,000.00","213,000.00","33,677.00",NA,"406,000.00","21,325.00",NA,"188,000.00",NA,"2,109,000.00","1,423,000.00","-611,000.00","2,126,000.00","5,500.00","3,723,000.00","466,000.00","136,800.00",NA,NA,"37,000.00","335,600.00",NA,"5,003,000.00",NA,NA,NA,NA,NA,NA,"-137,584.00","535,000.00",NA,"5,494,000.00",NA,"87,000.00",NA,400.72
EBIT,271530,"1,128,000","196,700","504,900",NA,NA,NA,"3,302,000","473,000","113,400.00",NA,"157,300.00","208,705.00","183,000.00",NA,NA,NA,NA,"250,247.00","120,000.00",NA,NA,"15,246.00","125,000.00","412,000.00",NA,"331,200.00","869,000.00",NA,NA,"497,900.00","16,447.00","939,000.00","-302,000.00","578,000.00","1,290,000.00",NA,NA,NA,NA,NA,NA,"1,238,000.00","368,720.00","1,819,000.00","514,000.00","175,000.00","25,200.00","121,000.00",NA,"94,391.00","310,800.00","938,000.00",NA,NA,"78,887.00",NA,NA,"538,000.00",NA,"15,783.00","732,000.00",NA,"560,639.00","223,700.00",NA,"66,201.00","797,000.00",NA,NA,NA,NA,"249,000.00",NA,"99,000.00",NA,"898,000.00","166,000.00","110,000.00",NA,"40,650.00","3,490,000.00","189,000.00","125,853.00",NA,"156,268.00",NA,"3,262,000.00",NA,"116,000.00","96,266.00","739,000.00","421,459.00","52,888.00",NA,"33,000.00","183,000.00",NA,"1,159,000.00",NA,"1,331,000.00",NA,"4,304,000.00","550,000.00",NA,"1,306,000.00","177,000.00","86,722.00",NA,"39,700.00","6,600.00","59,100.00",NA,"377,000.00",NA,NA,"1,333,000.00","2,492,000.00","134,000.00","119,903.00","815,000.00","225,000.00","69,710.00",NA,"776,000.00","30,183.00",NA,"256,000.00",NA,"1,928,000.00",NA,"-222,000.00",NA,"21,900.00",NA,"966,000.00","180,400.00",NA,NA,"50,000.00","469,000.00",NA,"8,034,000.00",NA,NA,NA,NA,NA,NA,"9,872.00","925,000.00",NA,NA,NA,"160,000.00",NA,NA
EBIT / Interest Expense (x),274483,4.76,3.24,8.92,NA,NA,NA,12.01,2.53,2.45,NA,2.25,3.01,2.38,NA,NA,NA,NA,1.54,3.16,NA,NA,2.00,3.21,1.78,NA,4.46,62.07,NA,NA,4.58,4.02,7.96,NM,6.96,6.09,NA,NA,NA,NA,NA,NA,2.45,13.76,2.03,4.43,3.07,2.40,2.37,NA,2.84,5.85,1.77,NA,NA,3.42,NA,NA,1.81,NA,3.65,5.90,NA,3.71,5.51,NA,1.52,6.99,NA,NA,NA,NA,2.74,NA,4.50,NA,4.99,1.93,4.40,NA,NA,9.46,6.10,3.87,NA,3.56,NA,8.36,NA,1.11,4.93,10.41,9.13,3.53,NA,2.36,2.23,NA,5.77,NA,7.69,NA,4.97,8.73,NA,1.83,0.88,4.60,NA,1.20,0.45,2.04,NA,15.71,NA,NA,5.85,5.19,4.32,1.30,1.94,8.65,1.56,NA,4.85,1.75,NA,4.49,NA,19.28,NA,NM,NA,1.60,NA,7.92,11.42,NA,NA,3.33,9.02,NA,4.90,NA,NA,NA,NA,NA,NA,0.09,3.69,NA,NA,NA,2.42,NA,NA
Avg. Days Sales Out.,274485,52.1,52.7,27.9,NA,NA,NA,4.3,41.4,10,NA,36,166,8,NA,NA,NA,NA,182,NM,NA,NA,69,148,56,NA,9,108,NA,NA,25,131,46,16,51,35,NA,NA,NA,NA,NA,NA,52,63,49,36,51,50,64,NA,50,61,51,NA,NA,92,NA,NA,14,NA,51,70,NA,46,75,NA,36,29,NA,NA,NA,NA,34,NA,46,NA,31,NA,36,NA,5,NA,5,NA,NA,78,NA,34,NA,36,117,104,91,123,NA,68,46,NA,25,NA,79,NA,52,53,NA,146,49,24,NA,11,87,24,NA,84,NA,NA,8,115,47,18,55,3,53,NA,25,37,NA,30,NA,64,NA,49,NA,53,NA,5,38,NA,NA,1,NA,NA,63,NA,NA,NA,NA,NA,NA,58,55,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,6.99,6.91,13.04,NA,NA,NA,84.81,8.79,36,NA,10,2,46,NA,NA,NA,NA,2,0,NA,NA,5,2,6,NA,43,3,NA,NA,14,3,8,22,7,10,NA,NA,NA,NA,NA,NA,7,6,7,10,7,7,6,NA,7,6,7,NA,NA,4,NA,NA,25,NA,7,5,NA,8,5,NA,10,12,NA,NA,NA,NA,11,NA,8,NA,12,NA,10,NA,69,NA,75,NA,NA,5,NA,11,NA,10,3,4,4,3,NA,5,8,NA,15,NA,5,NA,7,7,NA,2,7,15,NA,34,4,15,NA,4,NA,NA,46,3,8,20,7,120,7,NA,15,10,NA,12,NA,6,NA,7,NA,7,NA,66,10,NA,NA,296,NA,NA,6,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.19,0.15,0.18,NA,NA,NA,13.15,0.23,0,NA,0,64,3,NA,NA,NA,NA,0,NA,NA,NA,20,0,0,NA,1,60,NA,NA,4,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,5,NA,6,7,NA,4,14,NA,0,13,NA,NA,NA,NA,0,NA,0,NA,4,1,4,NA,22,4,3,NA,NA,7,NA,1,NA,0,4,7,15,0,NA,7,5,NA,0,NA,3,NA,2,3,NA,0,0,7,NA,6,0,0,NA,1,NA,NA,1,5,29,1,0,1,0,NA,12,0,NA,0,NA,106,NA,8,NA,0,NA,4,7,NA,NA,122,27,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.65,0.14,0.18,NA,NA,NA,0.62,0.19,0,NA,0,1,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,1,0,NA,NA,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,1,0,NA,NA,0,NA,NA,1,NA,1,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,0,2,1,0,NA,2,NA,0,NA,0,1,1,1,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,1,0,0,NA,0,NA,0,0,1,1,0,0,1,0,NA,3,0,NA,0,NA,1,NA,1,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"(954,000)","177,400","268,800",NA,NA,"947,000","205,000","862,000","271,858",NA,"33,300","-205,896","-46,000",NA,NA,NA,NA,"353,145","-1,000",NA,NA,"26,228","447,000","560,000",NA,"239,600","741,000","-36,579,000",NA,"485,600","26,804","1,475,000","-259,000","708,000","635,000",NA,NA,NA,NA,NA,NA,"1,246,000","212,947",NA,"591,000","310,000","45,800","150,000",NA,"87,321","361,100","1,511,000",NA,NA,"126,076",NA,NA,"6,317,000",NA,"9,423","94,000",NA,NA,"71,300",NA,"176,718","38,000",NA,NA,NA,NA,"200,000","-978,332","121,000",NA,"431,000","254,000","149,000",NA,"-86,373","3,153,000","8,000","102,524",NA,"5,646",NA,"1,998,000",NA,"835,000","40,016","273,000","336,138","59,817","126,000","-242,000","-58,000",NA,"1,077,000",NA,"868,000",NA,"1,304,000","327,000",NA,"1,132,000","575,000","149,390",NA,"320,300","58,600","195,300",NA,"480,000",NA,"-557,080","1,746,000","458,000","138,000","186,980","997,000","401,000","173,455",NA,"445,000","86,337",NA,"128,000",NA,"1,873,000","2,197,000","227,000","3,177,000","-35,900","5,672,000","1,122,000","171,700",NA,NA,"75,000","348,000",NA,"8,975,000",NA,NA,NA,NA,NA,NA,"239,189","692,000",NA,"-11,216,000",NA,"396,000",NA,NA
Cash from Investing,272601,"70,000","(392,500)","(365,300)",NA,NA,"2,909,000","(36,000)","(1,024,000)","-120,716",NA,"-263,400","106,240","6,000",NA,NA,NA,NA,"-303,261","112,000",NA,NA,"-8,388","815,000","-1,107,000",NA,"-86,000","-556,000","50,034,000",NA,"-79,700","-27,617","-872,000","-2,672,000","-301,000","-807,000",NA,NA,NA,NA,NA,NA,"-3,147,000","-691,380",NA,"-641,000","-550,000","-47,700","-252,000",NA,"-12,574","-121,400","-2,020,000",NA,NA,"-76,700",NA,NA,"-3,221,000",NA,"20,235","-223,000",NA,NA,"-36,800",NA,"-59,080","-833,000",NA,NA,NA,NA,"-304,000","-99,369","-301,000",NA,"-221,000","-111,000","-75,000",NA,"2,317","-422,000","-156,000",NA,NA,"-51,748",NA,"-869,000",NA,"-334,000","-39,835","-60,000","-34,563","-48,316","745,000","-40,000","-65,000",NA,"-414,000",NA,"61,000",NA,"-3,788,000","-188,000",NA,"-3,004,000","-716,000","-20,532",NA,"-31,400","-115,400","-1,516,300",NA,"-496,000",NA,"1,901,199","-706,000","-509,000","-9,000","-168,147","-1,626,000","-882,000","-189,636",NA,"-158,000","-33,448",NA,"-440,000",NA,"-1,208,000","-35,746,000","-2,229,000","9,076,000","-76,700","-11,334,000","-891,000","-23,300",NA,NA,"1,000","972,800",NA,"-3,438,000",NA,NA,NA,NA,NA,NA,"-110,808","-2,587,000",NA,"8,048,000",NA,"-111,000",NA,NA
Cash from Financing,272618,"(1,769,000)","215,000","96,500",NA,NA,"(3,775,000)","(3,608,000)","180,000","96,600",NA,"235,200","-73,832","-301,000",NA,NA,NA,NA,"-1,250","762,000",NA,NA,"-21,956","-1,263,000","-613,000",NA,"-139,200","-200,000","7,089,000",NA,"-495,300",-7,"-485,000","2,828,000","-293,000","-580,000",NA,NA,NA,NA,NA,NA,"1,837,000","-84,235",NA,"68,000","240,000",0,"100,000",NA,"-73,416","-251,000","178,000",NA,NA,"-51,837",NA,NA,"-1,288,000",NA,"-1,530","1,361,000",NA,NA,"-112,200",NA,"842,840","631,000",NA,NA,NA,NA,"116,000","859,108","180,000",NA,"-402,000","-140,000","-50,000",NA,"86,016","-1,608,000","-82,000","-124,720",NA,"-109,580",NA,"-555,000",NA,"11,000","-11,518","1,375,000","-321,102","-129,455","-849,000","-12,000","112,000",NA,"-366,000",NA,"-715,000",NA,"2,938,000","-376,000",NA,"86,000","-4,000","-193,445",NA,"-272,000",NA,"1,321,400",NA,NA,NA,"-1,283,807","-696,000","-353,000","-131,000","27,317","-339,000","-4,178,000","-47,191",NA,"-234,000","-23,669",NA,"316,000",NA,"-620,000","33,305,000","-387,000","-18,665,000","90,000","-13,262,000","-294,000","-149,500",NA,NA,"66,000","-363,700",NA,"-4,378,000",NA,NA,NA,NA,NA,NA,"1,591,459","1,819,000",NA,"20,123,000",NA,"-253,000",NA,NA
Foreign Exchange Rate Adj.,272619,"39,000",NA,NA,NA,NA,"10,000",NA,NA,NA,NA,NA,"163,576.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,385.00,NA,NA,NA,NA,NA,"8,598,000.00",NA,"-1,900.00",NA,NA,0.00,"18,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"22,241.00",NA,NA,NA,NA,NA,NA,463.00,"5,100.00",NA,NA,NA,NA,NA,NA,"365,000.00",NA,"3,997.00","57,000.00",NA,NA,"3,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"69,532.00",NA,NA,"6,000.00",NA,"34,000.00",NA,NA,NA,NA,NA,NA,985.00,NA,"65,000.00",NA,NA,255.00,"54,000.00","6,174.00",NA,NA,"4,000.00","1,000.00",NA,NA,NA,NA,NA,"-129,000.00","62,000.00",NA,NA,NA,NA,NA,"15,900.00",NA,NA,NA,NA,NA,NA,"5,000.00","38,000.00",NA,-276.00,NA,NA,NA,NA,"-32,000.00",NA,NA,NA,NA,NA,"147,000.00","22,000.00",NA,NA,"4,483,000.00",NA,"6,300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,669.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"(2,614,000)",(100),NA,NA,NA,"91,000","(3,439,000)","18,000","247,742.00",NA,"5,100.00","-9,912.00","-341,000.00",NA,NA,NA,NA,"48,634.00","873,000.00",NA,NA,"-3,731.00","-1,000.00","-1,160,000.00",NA,"14,400.00","-15,000.00","29,142,000.00",NA,"-91,300.00",-820.00,"118,000.00","-103,000.00","132,000.00","-752,000.00",NA,NA,NA,NA,NA,NA,"-64,000.00","-540,427.00",NA,"18,000.00",0.00,"-1,900.00","-2,000.00",NA,"1,794.00","-6,200.00","-331,000.00",NA,NA,"-2,461.00",NA,NA,"2,173,000.00",NA,"32,125.00","1,290,000.00",NA,NA,"-74,200.00",NA,"960,478.00","-164,000.00",NA,NA,NA,NA,"12,000.00","-149,063.00",NA,NA,"-186,000.00","3,000.00","57,000.00",NA,"1,960.00","1,123,000.00","-230,000.00","-22,196.00",NA,"-154,697.00",NA,"638,000.00",NA,"512,000.00","-11,082.00","1,642,000.00","-13,353.00","-117,954.00","22,000.00","-290,000.00","-10,000.00",NA,"297,000.00",NA,"214,000.00",NA,"325,000.00","-175,000.00",NA,"-1,624,000.00","-145,000.00","-64,587.00",NA,"32,800.00","-56,800.00",400.00,NA,"-16,000.00",NA,"60,312.00","349,000.00","-366,000.00","-2,000.00","45,874.00","-968,000.00","-4,659,000.00","-63,372.00",NA,"21,000.00","29,220.00",NA,"4,000.00",NA,"-247,000.00","-97,000.00","-2,367,000.00","-6,412,000.00","-22,600.00","-14,441,000.00","-63,000.00","5,200.00",NA,NA,"142,000.00","957,100.00",NA,"1,159,000.00",NA,NA,NA,NA,NA,NA,"1,718,171.00","-76,000.00",NA,"16,955,000.00",NA,"32,000.00",NA,NA
Capital Expenditure,272592,"(208,000)","(413,000)","(365,100)",NA,NA,"(1,081,000)","(32,000)","(1,067,000)",NA,NA,"-266,100.00","-18,618.00","-55,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-2,531.00","-354,000.00","-1,129,000.00",NA,"-84,700.00","-4,000.00","-1,755,000.00",NA,"-82,400.00","-17,153.00","-772,000.00",NA,"-308,000.00","-776,000.00",NA,NA,NA,NA,NA,NA,"-3,012,000.00","-60,932.00",NA,"-659,000.00","-292,000.00","-62,500.00","-247,000.00",NA,NA,"-122,200.00","-2,013,000.00",NA,NA,NA,NA,NA,"-2,088,000.00",NA,-804.00,"-86,000.00",NA,NA,"-16,100.00",NA,"-16,303.00","-183,000.00",NA,NA,NA,NA,"-303,000.00","-43,669.00","-271,000.00",NA,"-106,000.00","-113,000.00","-134,000.00",NA,-54.00,"-426,000.00","-117,000.00",NA,NA,"-63,812.00",NA,"-744,000.00",NA,"-335,000.00","-37,604.00","-48,000.00","-11,448.00",NA,NA,"-7,000.00","-59,000.00",NA,"-475,000.00",NA,"-231,000.00",NA,"-3,970,000.00","-198,000.00",NA,"-3,065,000.00","-718,000.00","-18,275.00",NA,"-40,500.00","-113,300.00","-1,516,700.00",NA,"-204,000.00",NA,NA,"-836,000.00","-530,000.00","-6,000.00","-168,147.00","-1,711,000.00","-635,000.00","-199,323.00",NA,"-211,000.00","-18,399.00",NA,"-459,000.00",NA,"1,000.00","-359,000.00","-427,000.00","-128,000.00","-72,200.00","-476,000.00","-875,000.00","-19,300.00",NA,NA,"-18,000.00","-27,900.00",NA,"-3,808,000.00",NA,NA,NA,NA,NA,NA,"-228,808.00","-2,509,000.00",NA,NA,NA,"-9,000.00",NA,NA
Change in Net Working Capital,272627,"1,727,000","54,000","165,200",NA,NA,NA,"2,296,000","(292,000)","-74,652.00",NA,"240,200.00","373,364.00","127,000.00",NA,NA,NA,NA,"-119,495.00","-422,000.00",NA,NA,"12,672.00","-1,443,000.00","-111,000.00",NA,"77,600.00","-144,000.00",NA,NA,"-93,200.00",-876.00,"-318,000.00","-2,002,000.00","-18,000.00","563,000.00",NA,NA,NA,NA,NA,NA,"874,000.00","180,858.00","-508,000.00","-156,000.00","153,000.00","-19,200.00","17,000.00",NA,"11,756.00","25,000.00","-507,000.00",NA,NA,"-1,737.00",NA,NA,"-4,676,000.00","-9,300.00","-25,695.00","522,000.00",NA,"844,082.00","129,900.00",NA,"-307,469.00","695,000.00",NA,NA,NA,NA,"27,000.00",NA,"26,000.00",NA,"335,000.00","37,000.00","-30,000.00",NA,"126,991.00","-280,000.00","364,000.00","-13,600.00",NA,"174,768.00",NA,"478,000.00",NA,"-376,000.00","61,308.00","394,000.00","46,277.00","-13,760.00",NA,"302,000.00","135,000.00",NA,"40,000.00",NA,"71,000.00",NA,"1,985,000.00","229,000.00",NA,"719,000.00","-654,000.00","-66,942.00",NA,"-204,900.00","-44,500.00","-135,700.00",NA,"2,954,000.00",NA,NA,"15,000.00","1,071,000.00","-18,000.00","-62,977.00","366,000.00","186,000.00","-65,259.00","5,037.00","147,000.00","-1,871.00",NA,"219,000.00",NA,"1,010,000.00",NA,"2,101,000.00",NA,"37,300.00",NA,"205,000.00","-16,800.00",NA,NA,"-8,000.00","-741,100.00",NA,"-88,000.00",NA,NA,NA,NA,NA,NA,"-108,498.00","888,000.00",NA,NA,NA,"-120,000.00",NA,0.00
Unlevered Free Cash Flow,272626,"(896,000)","(237,263)","(95,838)",NA,NA,NA,"(193,250)","(81,375)","278,939.00",NA,"-237,187.50","-226,379.38","3,375.00",NA,NA,NA,NA,"509,469.38","497,000.00",NA,NA,"13,688.75","1,298,125.00","-390,500.00",NA,"111,300.00","729,125.00",NA,NA,"428,687.50","5,271.38","782,875.00","1,907,250.00","474,250.00","-90,750.00",NA,NA,NA,NA,NA,NA,"-2,456,250.00","90,046.00",NA,"378,250.00","-111,625.00",50.00,"-66,375.00",NA,"93,149.38","226,350.00","-18,750.00",NA,NA,"100,655.38",NA,NA,"4,358,250.00",NA,"37,949.38","-2,500.00",NA,NA,-287.50,NA,"376,926.63","-34,875.00",NA,NA,NA,NA,"-88,375.00",NA,"-198,125.00",NA,"326,250.00","141,750.00","667,750.00",NA,"-97,924.75","2,516,250.00","-235,875.00","97,674.13",NA,"-28,891.50",NA,"1,404,750.00",NA,"377,500.00","-10,394.75","179,875.00","237,899.88","68,529.00",NA,"-256,375.00",-625.00,NA,"572,375.00",NA,"879,875.00",NA,"-596,000.00","95,750.00",NA,"-1,785,750.00","418,625.00","151,577.25",NA,"279,112.50","-40,275.00","-1,276,962.50",NA,"-2,748,375.00",NA,NA,"399,125.00","910,500.00","129,750.00","113,332.38","-742,625.00","-280,375.00","-21,555.25",NA,"399,000.00","47,453.38",NA,"-394,000.00",NA,"323,000.00",NA,"-2,185,750.00",NA,"-66,812.50",NA,"413,750.00","147,150.00",NA,NA,"67,250.00","1,036,525.00",NA,"5,824,250.00",NA,NA,NA,NA,NA,NA,"263,326.00","-2,378,875.00",NA,NA,NA,"336,000.00",NA,NA
Levered Free Cash Flow,272625,"(1,044,125)","(275,200)","(131,213)",NA,NA,NA,"(365,125)","(193,250)","252,462.63",NA,"-280,937.50","-269,725.63","-44,750.00",NA,NA,NA,NA,"407,730.00","473,250.00",NA,NA,"9,388.25","1,273,750.00","-534,875.00",NA,"64,925.00","720,375.00",NA,NA,"360,687.50","2,755.50","709,125.00","1,821,625.00","422,375.00","-223,250.00",NA,NA,NA,NA,NA,NA,"-2,771,875.00","73,301.63",NA,"305,750.00","-147,250.00","-6,512.50","-98,250.00",NA,"74,472.63","193,162.50","-350,625.00",NA,NA,"87,577.13",NA,NA,"4,172,625.00",NA,"35,248.75","-80,000.00",NA,NA,"-25,662.50",NA,"352,691.88","-106,125.00",NA,NA,NA,NA,"-145,250.00",NA,"-211,875.00",NA,"213,750.00","88,000.00","652,125.00",NA,"-97,924.75","2,285,625.00","-253,250.00","78,981.75",NA,"-56,299.00",NA,"1,161,000.00",NA,"311,875.00","-22,612.25","135,500.00","210,321.88","60,828.38",NA,"-265,125.00","-51,875.00",NA,"446,750.00",NA,"771,750.00",NA,"-1,137,250.00","56,375.00",NA,"-2,231,375.00","292,375.00","140,601.13",NA,"258,362.50","-49,525.00","-1,295,087.50",NA,"-2,763,375.00",NA,NA,"279,625.00","610,500.00","110,375.00","55,576.75","-1,005,750.00","-296,625.00","-49,515.88",NA,"303,000.00","36,659.63",NA,"-429,625.00",NA,"260,500.00",NA,"-2,629,500.00",NA,"-74,975.00",NA,"337,500.00","137,275.00",NA,NA,"57,875.00","1,004,025.00",NA,"4,799,875.00",NA,NA,NA,NA,NA,NA,"191,238.50","-2,535,750.00",NA,NA,NA,"294,750.00",NA,NA
