SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"5,954,000","523,000","527,100",NA,NA,"1,590,000","4,519,000","2,016,000","459,276",NA,"1,172,900","6,814,017","1,384,000",NA,NA,NA,NA,"854,920","2,373,000",NA,NA,"179,024","1,788,000","2,920,000",NA,"643,000","2,566,000","19,040,000",NA,"2,794,900","194,159","6,788,000","3,680,000","3,452,000","3,423,000",NA,NA,NA,"3,007,000",NA,NA,"4,076,000","1,866,059","8,249,000","1,444,000","858,000","208,600","766,000",NA,"172,386","1,442,000","6,714,000",NA,NA,"180,551",NA,NA,"40,659,000","993,100","233,293","4,777,000",NA,"1,820,318","887,100",NA,"199,328","13,504,000",NA,NA,NA,NA,"440,000","1,593,019","566,000",NA,"3,635,000","3,382,000","3,739,000",NA,"351,420","21,364,000","5,000,000","137,046",NA,"2,847,718",NA,"5,956,000",NA,"1,014,000","907,882","2,528,000","745,800","89,711","126,000","612,000","1,566,000",NA,"2,993,000",NA,"9,468,000",NA,"13,307,000","2,530,000",NA,"5,983,000","1,768,000","1,003,420",NA,"1,557,900","318,100","394,000",NA,"1,222,000",NA,"712,684","3,999,000","20,306,000","1,847,000","202,057","3,802,000","6,428,000","748,516","746,416","20,484,000","141,811",NA,"649,000",NA,"16,452,000","4,774,000","19,496,000","5,599,000","252,100","14,775,000","45,269,000","995,000",NA,NA,"1,274,000","3,091,600",NA,"33,485,000",NA,NA,NA,NA,NA,NA,"1,126,460","2,765,000",NA,"19,217,000",NA,"1,763,000",NA,NA
Gross Profit,271473,"2,476,000","332,500.00","492,700",NA,NA,"1,590,000","3,286,000","941,000","254,504.00",NA,"465,800.00","773,992.00","606,000.00",NA,NA,NA,NA,"515,009.00","1,015,000.00",NA,NA,"116,924.00","622,000.00","1,166,000.00",NA,"190,000.00","-81,000.00","19,040,000.00",NA,"736,000.00","46,834.00","859,000.00","375,000.00","1,214,000.00","1,473,000.00",NA,NA,NA,"2,827,000.00",NA,NA,"2,060,000.00","749,820.00","4,277,000.00","777,000.00","403,000.00","82,300.00","392,000.00",NA,"157,215.00","785,300.00","2,845,000.00",NA,NA,"132,240.00",NA,NA,"2,760,000.00","637,500.00","142,992.00","2,012,000.00",NA,"1,325,143.00","618,200.00",NA,"123,083.00","2,840,000.00",NA,NA,NA,NA,"411,000.00","1,284,694.00","290,000.00",NA,"1,985,000.00","1,459,000.00","805,000.00",NA,"74,522.00","7,090,000.00","2,054,000.00","137,046.00",NA,"311,100.00",NA,"3,337,000.00",NA,"418,000.00","245,078.00","1,305,000.00","609,000.00","75,985.00","126,000.00","134,000.00","506,000.00",NA,"1,329,000.00",NA,"1,580,000.00",NA,"9,401,000.00","725,000.00",NA,"2,450,000.00","626,000.00","228,591.00",NA,"267,100.00","137,800.00","135,700.00",NA,"868,000.00",NA,"712,684.00","1,921,000.00","4,116,000.00","213,000.00","-119,023.00","1,793,000.00","1,229,000.00","334,530.00","331,170.00","3,753,000.00","79,426.00",NA,"346,000.00",NA,"3,217,000.00","4,774,000.00","2,417,000.00","5,446,000.00","93,400.00","12,419,000.00","10,145,000.00","339,400.00",NA,NA,"261,000.00","924,600.00",NA,"20,429,000.00",NA,NA,NA,NA,NA,NA,"415,635.00","1,379,000.00",NA,"19,217,000.00",NA,"335,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,122,000","101,600.0","211,500",NA,NA,"-225,000","1,077,000","290,000","128,713.00",NA,"164,600.00","79,864.00","87,000.00",NA,NA,NA,NA,"88,608.00","-266,000.00",NA,NA,"-2,013.00","305,000.00","297,000.00",NA,"77,000.00","-90,000.00","4,108,000.00",NA,"466,900.00","18,399.00","129,000.00","-657,000.00","185,000.00","646,000.00",NA,NA,NA,"1,104,000.0",NA,NA,"712,000.00","239,241.00","1,404,000.00","234,000.00","126,000.00","32,400.00","100,000.00",NA,"65,803.00","133,800.00","908,000.00",NA,NA,"52,884.00",NA,NA,"473,000.00","112,600.00","-17,850.00","588,000.00",NA,"235,938.00","99,500.00",NA,"10,838.00","565,000.00",NA,NA,NA,NA,"127,000.00","136,849.00","49,000.00",NA,"517,000.00","-27,000.00","11,000.00",NA,"3,994.00","1,755,000.00","62,000.00","116,082.00",NA,"12,327.00",NA,"1,868,000.00",NA,"228,000.00","57,526.00","432,000.00","288,600.00","33,817.00","-2,000.00","-21,000.00","-37,000.00",NA,"750,000.00",NA,"481,000.00",NA,"2,929,000.00","255,000.00",NA,"695,000.00","177,000.00","38,238.00",NA,"-66,700.00","83,500.00","27,500.00",NA,"284,000.00",NA,"80,710.00","736,000.00","1,625,000.00","77,000.00","-219,718.00","1,601,000.00","-149,000.00","142,595.00","134,288.00","490,000.00","23,389.00",NA,"114,000.00",NA,"596,000.00","1,222,000.00","-31,000.00","1,909,000.00","10,700.00","4,738,000.00","956,000.00","52,800.00",NA,NA,"85,000.00","189,100.00",NA,"4,983,000.00",NA,NA,NA,NA,NA,NA,"-21,687.00","531,000.00",NA,"4,804,000.00",NA,"83,000.00",NA,378.0
Net Income,271510,"1,116,000","101,600.00","211,500",NA,NA,"-225,000","1,077,000","289,000","128,713.00",NA,"164,600.00","79,720.00","87,000.00",NA,NA,NA,NA,"69,859.00","-268,000.00",NA,NA,"-2,013.00","305,000.00","297,000.00",NA,"77,000.00","-90,000.00","4,064,000.00",NA,"466,800.00","18,399.00","118,000.00","-664,000.00","157,000.00","646,000.00",NA,NA,NA,"1,104,000.00",NA,NA,"665,000.00","230,821.00","1,379,000.00","234,000.00","126,000.00","32,400.00","100,000.00",NA,"65,803.00","133,100.00","908,000.00",NA,NA,"49,546.00",NA,NA,"471,000.00","171,900.00","-17,576.00","564,000.00",NA,"305,734.00","98,600.00",NA,"10,533.00","565,000.00",NA,NA,NA,NA,"127,000.00","143,832.00","49,000.00",NA,"517,000.00","-27,000.00","11,000.00",NA,"3,994.00","1,755,000.00","62,000.00","116,082.00",NA,"9,903.00",NA,"1,868,000.00",NA,"228,000.00","57,526.00","430,000.00","288,600.00","34,165.00","-2,000.00","-17,000.00","-37,000.00",NA,"750,000.00",NA,"481,000.00",NA,"2,929,000.00","-93,000.00",NA,"695,000.00","177,000.00","38,238.00",NA,"-66,800.00","83,500.00","27,500.00",NA,"284,000.00",NA,"78,811.00","730,000.00","1,535,000.00","77,000.00","-219,718.00","1,601,000.00","-149,000.00","142,595.00","113,870.00","490,000.00","23,389.00",NA,"114,000.00",NA,"595,000.00","1,220,000.00","-37,000.00","1,909,000.00","10,700.00","4,738,000.00","947,000.00","52,800.00",NA,NA,"85,000.00","189,100.00",NA,"4,879,000.00",NA,NA,NA,NA,NA,NA,"-32,912.00","485,000.00",NA,"4,894,000.00",NA,"83,000.00",NA,377.96
EBIT,271530,"1,218,000","182,900.00","304,500",NA,NA,NA,"2,771,000","496,000","109,905.00",NA,"267,500.00","167,917.00","187,000.00",NA,NA,NA,NA,"244,321.00","-333,000.00",NA,NA,"6,660.00","406,000.00","643,000.00",NA,"135,000.00","-115,000.00",NA,NA,"406,400.00","24,063.00","439,000.00","-221,000.00","451,000.00","1,048,000.00",NA,NA,NA,NA,NA,NA,"1,362,000.00","305,222.00","2,337,000.00","391,000.00","195,000.00","49,000.00","164,000.00",NA,"90,143.00","235,800.00","1,550,000.00",NA,NA,"72,372.00",NA,NA,"340,000.00","165,300.00","9,153.00","706,000.00",NA,"462,666.00","197,500.00",NA,"34,201.00","927,000.00",NA,NA,NA,NA,"244,000.00",NA,"74,000.00",NA,"801,000.00","43,000.00","146,000.00",NA,978.00,"2,653,000.00","147,000.00","120,978.00",NA,"36,189.00",NA,"2,655,000.00",NA,"69,000.00","91,390.00","629,000.00","377,000.00","48,304.00",NA,"-22,000.00","46,000.00",NA,"983,000.00",NA,"703,000.00",NA,"4,061,000.00","405,000.00",NA,"1,399,000.00","269,000.00","65,569.00",NA,"-36,100.00","108,400.00","51,000.00",NA,"388,000.00",NA,NA,"949,000.00","2,401,000.00","131,000.00","-311,872.00","872,000.00","-161,000.00","221,448.00","218,088.00","834,000.00","30,621.00",NA,"168,000.00",NA,"835,000.00",NA,"509,000.00",NA,"27,700.00",NA,"1,473,000.00","94,000.00",NA,NA,"112,000.00","295,600.00",NA,"7,884,000.00",NA,NA,NA,NA,NA,NA,"59,735.00","884,000.00",NA,NA,NA,"162,000.00",NA,NA
EBIT / Interest Expense (x),274483,4.78,2.50,5.54,NA,NA,NA,10.74,2.83,2.42,NA,3.96,2.48,2.28,NA,NA,NA,NA,1.50,NM,NA,NA,0.87,7.25,2.70,NA,1.88,NM,NA,NA,3.81,6.40,3.01,NM,5.50,5.01,NA,NA,NA,NA,NA,NA,2.83,11.06,2.63,3.31,3.31,4.76,3.49,NA,2.73,4.46,3.04,NA,NA,3.54,NA,NA,1.12,5.17,2.05,5.79,NA,3.20,4.75,NA,0.83,8.91,NA,NA,NA,NA,2.74,NA,3.52,NA,5.41,0.52,5.21,NA,NA,7.11,4.74,3.88,NA,0.93,NA,7.06,NA,0.66,5.63,9.12,8.11,3.37,NA,NM,0.57,NA,4.94,NA,4.51,NA,4.82,6.33,NA,2.14,1.44,3.43,NA,NM,6.86,1.67,NA,17.64,NA,NA,3.97,4.78,3.85,NM,3.96,NM,4.96,4.01,5.21,1.91,NA,3.06,NA,8.35,NA,0.72,NA,1.88,NA,9.26,6.27,NA,NA,8.00,5.69,NA,4.83,NA,NA,NA,NA,NA,NA,0.57,3.64,NA,NA,NA,2.46,NA,NA
Avg. Days Sales Out.,274485,51,50,35,NA,NA,NA,4,40,9,NA,29,164,11,NA,NA,NA,NA,176,NA,NA,NA,68,67,39,NA,11,105,NA,NA,29,57,42,15,53,35,NA,NA,NA,NA,NA,NA,47,66,44,37,47,39,55,NA,48,62,38,NA,NA,89,NA,NA,26,81,60,73,NA,47,96,NA,47,32,NA,NA,NA,NA,27,NA,47,NA,35,NA,38,NA,6,NA,5,NA,NA,92,NA,37,NA,25,113,109,95,123,NA,73,51,NA,25,NA,75,NA,55,48,NA,153,48,19,NA,12,43,24,NA,49,NA,NA,9,116,46,60,67,3,34,64,25,NA,NA,31,NA,62,NA,54,NA,39,NA,5,42,NA,NA,2,NA,NA,71,NA,NA,NA,NA,NA,NA,55,51,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7,7,10,NA,NA,NA,83,9,38,NA,13,2,32,NA,NA,NA,NA,2,NA,NA,NA,5,5,9,NA,33,3,NA,NA,12,6,9,24,7,10,NA,NA,NA,NA,NA,NA,8,5,8,10,8,9,7,NA,7,6,9,NA,NA,4,NA,NA,14,4,7,5,NA,8,4,NA,8,12,NA,NA,NA,NA,13,NA,8,NA,10,NA,10,NA,56,NA,70,NA,NA,4,NA,10,NA,14,3,3,4,3,NA,5,7,NA,15,NA,5,NA,7,8,NA,2,7,18,NA,30,8,15,NA,7,NA,NA,42,3,8,6,5,109,10,6,15,NA,NA,12,NA,6,NA,7,NA,9,NA,88,9,NA,NA,192,NA,NA,5,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3,0,0,NA,NA,NA,11,0,0,NA,0,46,2,NA,NA,NA,NA,0,NA,NA,NA,15,1,0,NA,1,48,NA,NA,4,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,7,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,4,9,6,7,NA,4,12,NA,0,13,NA,NA,NA,NA,0,NA,0,NA,4,1,4,NA,21,4,3,NA,NA,6,NA,1,NA,0,4,7,15,0,NA,6,4,NA,0,NA,3,NA,2,2,NA,0,0,7,NA,5,0,0,NA,1,NA,NA,0,5,31,0,0,1,0,0,13,NA,NA,0,NA,90,NA,6,NA,0,NA,6,5,NA,NA,157,24,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
Total Asset Turnover (x),274487,1,0,0,NA,NA,NA,1,0,0,NA,0,1,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,1,1,0,1,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,0,2,1,0,NA,1,NA,0,NA,0,1,1,1,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,1,0,0,NA,0,NA,0,0,0,1,0,0,1,0,0,3,NA,NA,0,NA,1,NA,0,0,0,0,4,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"-79,000","181,400","296,500",NA,NA,"940,000","2,720,000","431,000","223,403",NA,"352,900","351,679","76,000",NA,NA,NA,NA,"210,036","146,000",NA,NA,"29,455","578,000","410,000",NA,"247,000","310,000","-58,708,000",NA,"268,600","43,714","27,000","375,000","151,000","1,255,000",NA,NA,NA,"2,132,000",NA,NA,"1,183,000","156,612","2,177,000","437,000","275,000","53,100","171,000",NA,"99,369","223,900","1,200,000",NA,NA,"88,585",NA,NA,"3,679,000","241,700","-60,356","250,000",NA,"555,124","138,100",NA,"-224,924","374,000",NA,NA,NA,NA,"146,000","-2,665,165","205,000",NA,"209,000","-7,000","-48,000",NA,"-127,148","4,262,000","129,000","-20,399",NA,"78,365",NA,"2,428,000",NA,"259,000","-132,910","510,000","301,700","46,478","71,000","-42,000","-213,000",NA,"950,000",NA,"-1,565,000",NA,"7,427,000","-49,000",NA,"2,955,000","488,000","40,077",NA,"83,200","77,000","-29,600",NA,"453,000",NA,"1,421,267","1,627,000","1,305,000","98,000","-178,036","1,254,000","860,000","285,832","291,268","53,000","45,164",NA,"131,000",NA,"1,964,000","412,000","-1,616,000","6,359,000","43,200","-37,230,000","2,342,000","-48,600",NA,NA,"95,000","353,600",NA,"7,782,000",NA,NA,NA,NA,NA,NA,"151,096","1,142,000",NA,"-11,037,000",NA,"70,000",NA,NA
Cash from Investing,272601,"1,220,000","-438,500","-437,400",NA,NA,"-1,341,000","-43,000","-1,087,000","-107,689",NA,"-260,600","-24,979","-46,000",NA,NA,NA,NA,"-309,143","563,000",NA,NA,"-20,736","-360,000","-234,000",NA,"-80,000","-58,000","-98,983,000",NA,"-286,300","-2,798","-886,000","-3,873,000","-165,000","-647,000",NA,NA,NA,"3,006,000",NA,NA,"-3,238,000","-74,186","-3,300,000","-680,000","-255,000","-54,100","-247,000",NA,"42,397","-107,200","-1,942,000",NA,NA,"-213,348",NA,NA,"210,000","-26,200",702,"-407,000",NA,"-173,088","-52,400",NA,"-63,591","-300,000",NA,NA,NA,NA,"-349,000","-57,775","-226,000",NA,"-57,000","-126,000","-166,000",NA,-245,"-378,000","-217,000",NA,NA,"-34,905",NA,"-771,000",NA,"-401,000","-19,122","-477,000","-32,900","-75,469","661,000","-35,000","-27,000",NA,"-1,021,000",NA,"-252,000",NA,"-2,765,000","-159,000",NA,"-3,264,000","-683,000","-66,086",NA,"-28,300","-112,200","64,800",NA,"-439,000",NA,"-1,304,457","-440,000","-678,000","-7,000","-139,932","-1,373,000","623,000","-163,272","-186,645","-46,000","-22,540",NA,"-309,000",NA,"-1,293,000","-18,804,000","-1,717,000","10,470,000","-86,700","-22,747,000","-1,014,000","-19,100",NA,NA,"-8,000","-12,100",NA,"-3,752,000",NA,NA,NA,NA,NA,NA,"-221,519","-2,728,000",NA,"-27,508,000",NA,"-97,000",NA,NA
Cash from Financing,272618,"-422,000","247,000","140,900",NA,NA,"438,000","-1,085,000","704,000","-247,072",NA,"-93,100","-342,116","-259,000",NA,NA,NA,NA,"-756,882","-1,087,000",NA,NA,"-27,387","-219,000","1,053,000",NA,"-148,000","-225,000","184,976,000",NA,"70,100","-40,007","-334,000","3,074,000","-403,000","-402,000",NA,NA,NA,"-802,000",NA,NA,"2,167,000","-122,234","1,238,000","201,000","-24,000",-200,"64,000",NA,"-150,490","-95,800","1,385,000",NA,NA,"110,491",NA,NA,"-6,120,000","-141,000","10,239","-286,000",NA,"-31,526","-162,400",NA,"128,064","-433,000",NA,NA,NA,NA,"187,000","2,026,160","21,000",NA,"-7,000","178,000","-51,000",NA,"131,796","-1,568,000","-70,000","51,328",NA,"-97,694",NA,"-1,543,000",NA,"-7,000","163,867","-597,000","-321,700","139,766","-780,000","-74,000","270,000",NA,"-564,000",NA,"-851,000",NA,"-4,585,000","264,000",NA,"1,575,000","598,000","79,009",NA,"-56,900",NA,"-33,600",NA,NA,NA,"55,953","-1,191,000","-1,056,000","-136,000","296,425","1,236,000","-858,000","-47,224","-62,128","-131,000","-48,963",NA,"182,000",NA,"-334,000","21,100,000","-338,000","-20,362,000","79,300","42,826,000","-348,000","44,600",NA,NA,"-494,000","-266,600",NA,"-5,893,000",NA,NA,NA,NA,NA,NA,"-22,453","1,674,000",NA,"12,821,000",NA,"-97,000",NA,NA
Foreign Exchange Rate Adj.,272619,"7,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58,491.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,-570.00,NA,NA,NA,NA,NA,"4,514,000.00",NA,"-2,700.00",NA,NA,"-1,000.00","8,000.00",NA,NA,NA,NA,NA,NA,NA,NA,251.00,NA,NA,NA,NA,NA,NA,-49.00,"4,400.00",NA,NA,NA,NA,NA,NA,"118,000.00","4,300.00","4,087.00","27,000.00",NA,"61,790.00","2,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"-8,062.00",NA,NA,"-2,000.00",NA,"-17,000.00",NA,NA,NA,NA,NA,NA,80.00,NA,"39,000.00",NA,NA,"-2,564.00","26,000.00","4,200.00",NA,NA,"1,000.00","3,000.00",NA,NA,NA,NA,NA,"85,000.00","23,000.00",NA,NA,NA,NA,NA,"6,100.00",NA,NA,NA,NA,NA,NA,"2,000.00","16,000.00",NA,-119.00,NA,NA,NA,11.00,"13,000.00",NA,NA,NA,NA,NA,"126,000.00","12,000.00",NA,NA,"2,467,000.00",NA,"-5,100.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,442.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"726,000","-10,100.00",NA,NA,NA,"37,000","1,592,000","48,000","-131,358.00",NA,-800.00,"43,075.00","-229,000.00",NA,NA,NA,NA,"-855,989.00","-378,000.00",NA,NA,"-19,238.00","-1,000.00","1,229,000.00",NA,"19,000.00","27,000.00","31,799,000.00",NA,"51,000.00",909.00,"-1,193,000.00","-425,000.00","-409,000.00","206,000.00",NA,NA,NA,"4,336,000.00",NA,NA,"112,000.00","-39,557.00","115,000.00","-42,000.00","-4,000.00","-1,200.00","-12,000.00",NA,"-8,773.00","25,300.00","643,000.00",NA,NA,"-14,272.00",NA,NA,"-2,113,000.00","78,800.00","-45,328.00","-416,000.00",NA,"412,300.00","-73,900.00",NA,"-160,451.00","-359,000.00",NA,NA,NA,NA,"-16,000.00","-704,842.00",NA,NA,"143,000.00","45,000.00","-281,000.00",NA,"4,403.00","2,316,000.00","-158,000.00","30,929.00",NA,"-54,154.00",NA,"153,000.00",NA,"-149,000.00","9,271.00","-538,000.00","-48,700.00","110,775.00","-48,000.00","-150,000.00","33,000.00",NA,"-635,000.00",NA,"-2,668,000.00",NA,"162,000.00","79,000.00",NA,"883,000.00","403,000.00","53,000.00",NA,"4,100.00","-35,200.00","1,600.00",NA,"14,000.00",NA,"172,763.00","-2,000.00","-413,000.00","-45,000.00","-21,662.00","1,117,000.00","625,000.00","75,336.00","42,506.00","-111,000.00","-26,339.00",NA,"4,000.00",NA,"538,000.00","2,834,000.00","-3,659,000.00","-3,533,000.00","35,800.00","-14,684,000.00","980,000.00","-28,200.00",NA,NA,"-407,000.00","74,900.00",NA,"-1,863,000.00",NA,NA,NA,NA,NA,NA,"-89,434.00","88,000.00",NA,"-25,724,000.00",NA,"-124,000.00",NA,NA
Capital Expenditure,272592,"-236,000","-450,400.00","-421,800",NA,NA,"-819,000","-38,000","-1,082,000",NA,NA,"-261,500.00","-24,979.00","-46,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-811.00,"-311,000.00","-1,395,000.00",NA,"-80,000.00","-3,000.00","-1,517,000.00",NA,"-133,000.00","-12,963.00","-811,000.00",NA,"-208,000.00","-719,000.00",NA,NA,NA,"-64,000.00",NA,NA,"-3,214,000.00","-48,192.00","-3,148,000.00","-559,000.00","-234,000.00","-50,500.00","-224,000.00",NA,NA,"-107,200.00","-1,946,000.00",NA,NA,NA,NA,NA,"-1,818,000.00","-21,100.00",-285.00,"-152,000.00",NA,"-127,577.00","-13,800.00",NA,-533.00,"-302,000.00",NA,NA,NA,NA,"-354,000.00","-49,578.00","-206,000.00",NA,"-120,000.00","-126,000.00","-122,000.00",NA,-831.00,"-382,000.00","-154,000.00",NA,NA,"-47,264.00",NA,"-551,000.00",NA,"-405,000.00","-32,778.00","-37,000.00","-11,600.00",NA,NA,"-39,000.00","-59,000.00",NA,"-449,000.00",NA,"-256,000.00",NA,"-2,303,000.00","-203,000.00",NA,"-2,635,000.00","-688,000.00","-20,171.00",NA,"-35,600.00","-110,100.00","-167,800.00",NA,"-203,000.00",NA,NA,"-428,000.00","-513,000.00","-6,000.00","-139,932.00","-1,407,000.00","-527,000.00","-163,134.00","-163,134.00","-122,000.00","-13,265.00",NA,"-309,000.00",NA,"-92,000.00","-320,000.00","-674,000.00","-117,000.00","-85,300.00","-499,000.00","-1,304,000.00","-19,100.00",NA,NA,"-16,000.00","-35,800.00",NA,"-4,145,000.00",NA,NA,NA,NA,NA,NA,"-301,019.00","-2,724,000.00",NA,NA,NA,"-22,000.00",NA,NA
Change in Net Working Capital,272627,"1,545,000","-12,300.00","142,900",NA,NA,NA,"-802,000","529,000","23,723.00",NA,"-75,900.00","-266,923.00","104,000.00",NA,NA,NA,NA,"118,959.00","21,185,000.00",NA,NA,"-1,014.00","131,000.00","-716,000.00",NA,"-75,500.00","52,000.00",NA,NA,"111,900.00","-20,575.00","451,000.00","1,559,000.00","409,000.00","-161,000.00",NA,NA,NA,NA,NA,NA,"283,000.00","113,301.00","1,003,000.00","98,000.00","59,000.00","13,232.00","49,000.00",NA,"12,886.00","122,400.00","477,000.00",NA,NA,"-31,550.00",NA,NA,"635,000.00","78,500.00","44,642.00","341,000.00",NA,"-393,539.00","-11,500.00",NA,"49,075.00","685,000.00",NA,NA,NA,NA,"55,000.00",NA,"-98,000.00",NA,"484,000.00","51,000.00","240,000.00",NA,"161,328.00","-1,753,000.00","-45,000.00","37,589.00",NA,"45,947.00",NA,"-24,000.00",NA,"343,000.00","213,119.00","78,000.00","85,632.00","14,640.00",NA,"10,000.00","298,000.00",NA,"162,000.00",NA,"2,019,000.00",NA,"-2,927,000.00","545,000.00",NA,"-402,000.00","185,000.00","50,652.00",NA,"-60,600.00","33,700.00","-92,900.00",NA,"302,000.00",NA,NA,"-564,000.00","1,233,000.00","-17,000.00","-135,021.00","-116,000.00","-711,000.00","5,115.00","-59,595.00","654,000.00",NA,NA,"127,000.00",NA,"1,774,000.00",NA,"2,024,000.00",NA,"-42,800.00",NA,"-73,000.00","146,800.00",NA,NA,"21,000.00","150,400.00",NA,"4,645,000.00",NA,NA,NA,NA,NA,NA,"151,721.00","380,000.00",NA,NA,NA,"189,000.00",NA,"9,278.83"
Unlevered Free Cash Flow,272626,"-644,750","-214,887.50","-260,288",NA,NA,NA,"2,566,875","-879,000","177,556.63",NA,"144,587.50","401,261.13","49,875.00",NA,NA,NA,NA,"274,984.63","-21,393,125.00",NA,NA,"34,754.50","-46,250.00","85,875.00",NA,"144,875.00","-66,875.00",NA,NA,"128,800.00","45,793.38","-349,625.00","-1,608,125.00","37,875.00","536,000.00",NA,NA,NA,NA,NA,NA,"-1,985,750.00","140,562.75","-999,375.00","-70,625.00","20,875.00","-5,607.00","-57,500.00",NA,"88,328.38","127,675.00","-540,250.00",NA,NA,"144,604.50",NA,NA,"-735,500.00","135,112.50","-34,178.38","106,250.00",NA,"921,879.25","151,737.50",NA,"21,255.63","-18,625.00",NA,NA,NA,NA,"-163,500.00",NA,"-40,750.00",NA,"70,625.00","47,875.00","374,250.00",NA,"-158,061.75","3,570,125.00","136,875.00","42,864.25",NA,"45,211.13",NA,"1,697,375.00",NA,"-389,875.00","-159,701.25","425,125.00","211,593.00","37,990.00",NA,"6,250.00","-237,250.00",NA,"367,375.00",NA,"-1,478,625.00",NA,"5,597,125.00","-315,875.00",NA,"-185,625.00","-405,875.00","18,052.63",NA,"88,437.50","-51,950.00","25,475.00",NA,"-71,500.00",NA,NA,"1,194,125.00","980,625.00","140,875.00","-80,425.00","-5,000.00","479,375.00","68,258.00","131,205.00","44,250.00",NA,NA,"-209,000.00",NA,"-1,212,125.00",NA,"-1,360,875.00",NA,"3,612.50",NA,"911,625.00","-70,650.00",NA,NA,"77,000.00","28,550.00",NA,"592,500.00",NA,NA,NA,NA,NA,NA,"-65,019.63","-2,112,500.00",NA,NA,NA,"26,250.00",NA,NA
