SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,016,000","466,400","482,800",NA,NA,"1,683,000","4,717,000","1,744,000","423,555",NA,"1,093,000","6,924,260","1,396,000",NA,NA,NA,NA,"859,802","56,000",NA,NA,"180,176","1,512,000","2,620,000",NA,"590,900","2,935,000","18,651,000",NA,"2,904,000","167,749","6,161,000","5,789,000","2,975,000","3,681,000",NA,NA,NA,"2,663,000",NA,NA,"3,632,000","1,883,719","7,671,000","1,436,000","759,000","182,100","678,000",NA,"163,605","1,389,400","6,043,000",NA,NA,"163,674",NA,NA,"42,777,000","1,524,500","254,884","4,650,000",NA,"1,834,094","757,300",NA,"156,484","13,185,000",NA,NA,NA,NA,"408,000","1,738,203","466,000",NA,"3,468,000","3,571,000","4,193,000",NA,"390,851","22,347,000","5,173,000","131,606",NA,"2,686,849",NA,"6,169,000",NA,"843,000","856,850","2,389,000","679,965","81,679","275,000","710,000","1,653,000",NA,"3,004,000",NA,"10,133,000",NA,"12,453,000","2,017,000",NA,"5,861,000","1,548,000","933,492",NA,"1,758,300","292,500","387,800",NA,"1,392,000",NA,"891,419","3,728,000","19,305,000","2,028,000","101,615","4,064,000","6,329,000","1,052,933","1,580,956","19,620,000","152,620",NA,"548,000",NA,"15,259,000","4,500,000","16,569,000","4,740,000","224,300","13,895,000","45,165,000","1,001,900",NA,NA,"1,264,000","3,200,300",NA,"32,981,000",NA,NA,NA,NA,NA,NA,"779,791","2,489,000",NA,"19,925,000",NA,"1,796,000",NA,NA
Gross Profit,271473,"2,533,000","303,500.00","447,600",NA,NA,"1,683,000","3,280,000","867,000","232,902.00",NA,"403,600.00","857,826.00","596,000.00",NA,NA,NA,NA,"539,117.00","-1,565,000.00",NA,NA,"122,129.00","561,000.00","1,123,000.00",NA,"185,200.00","992,000.00","18,651,000.00",NA,"823,100.00","56,755.00","1,258,000.00","1,373,000.00","993,000.00","1,758,000.00",NA,NA,NA,"2,500,000.00",NA,NA,"1,699,000.00","711,110.00","3,724,000.00","662,000.00","308,000.00","79,100.00","353,000.00",NA,"148,685.00","761,700.00","2,362,000.00",NA,NA,"116,660.00",NA,NA,"3,609,000.00","904,200.00","133,251.00","1,901,000.00",NA,"1,335,040.00","494,100.00",NA,"90,713.00","2,888,000.00",NA,NA,NA,NA,"381,000.00","1,437,866.00","257,000.00",NA,"1,940,000.00","1,524,000.00","744,000.00",NA,"92,204.00","7,527,000.00","2,185,000.00","131,606.00",NA,"307,177.00",NA,"3,439,000.00",NA,"345,000.00","233,199.00","1,195,000.00","551,451.00","68,622.00","275,000.00","146,000.00","512,000.00",NA,"1,267,000.00",NA,"2,133,000.00",NA,"8,843,000.00","635,000.00",NA,"2,380,000.00","509,000.00","204,855.00",NA,"352,200.00","134,200.00","114,200.00",NA,"1,022,000.00",NA,"891,419.00","1,798,000.00","3,561,000.00","235,000.00","-66,692.00","1,765,000.00","982,000.00","292,070.00","300,170.00","3,648,000.00","81,419.00",NA,"273,000.00",NA,"3,523,000.00","4,500,000.00","1,956,000.00","4,599,000.00","74,100.00","11,928,000.00","10,085,000.00","344,500.00",NA,NA,"278,000.00","1,142,100.00",NA,"20,109,000.00",NA,NA,NA,NA,NA,NA,"234,880.00","1,244,000.00",NA,"19,925,000.00",NA,"355,000.00",NA,NA
Earnings from Cont. Ops.,271505,"710,000","79,700.0","181,200",NA,NA,"143,000","2,129,000","262,000","128,095.00",NA,"136,500.00","83,098.00","81,000.00",NA,NA,NA,NA,"108,301.00","-491,000.00",NA,NA,784.00,"264,000.00","350,000.00",NA,"80,400.00","755,000.00","3,408,000.00",NA,"319,900.00","24,112.00","883,000.00","827,000.00","225,000.00","880,000.00",NA,NA,NA,"851,000.0",NA,NA,"285,000.00","602,102.00","1,154,000.00","179,000.00","67,000.00","32,200.00","94,000.00",NA,"62,709.00","126,100.00","658,000.00",NA,NA,"70,498.00",NA,NA,"1,334,000.00","207,400.00","-24,314.00","388,000.00",NA,"249,926.00","59,100.00",NA,"-20,438.00","622,000.00",NA,NA,NA,NA,"123,000.00","164,283.00","-8,000.00",NA,"454,000.00","14,000.00","-141,000.00",NA,"17,053.00","2,260,000.00","155,000.00","107,147.00",NA,"-34,459.00",NA,"1,929,000.00",NA,"235,000.00","47,812.00","-38,000.00","255,954.00","30,657.00","73,000.00","-71,000.00","-9,000.00",NA,"53,000.00",NA,"944,000.00",NA,"2,420,000.00","277,000.00",NA,"781,000.00","121,000.00","35,093.00",NA,"3,900.00","77,400.00","72,000.00",NA,"353,000.00",NA,"287,487.00","364,000.00","1,743,000.00","98,000.00","-133,467.00","106,000.00","-231,000.00","135,825.00","87,562.00","503,000.00","31,118.00",NA,"63,000.00",NA,"1,198,000.00","1,027,000.00","-355,000.00","1,362,000.00","9,400.00","4,132,000.00","962,000.00","64,900.00",NA,NA,"91,000.00","395,200.00",NA,"4,722,000.00",NA,NA,NA,NA,NA,NA,"-76,902.00","461,000.00",NA,"4,623,000.00",NA,"114,000.00",NA,380.4
Net Income,271510,"928,000","79,700.00","181,200",NA,NA,"143,000","2,129,000","261,000","128,095.00",NA,"136,500.00","83,601.00","81,000.00",NA,NA,NA,NA,"91,080.00","-493,000.00",NA,NA,784.00,"264,000.00","350,000.00",NA,"80,400.00","755,000.00","3,371,000.00",NA,"319,700.00","24,112.00","883,000.00","878,000.00","209,000.00","880,000.00",NA,NA,NA,"851,000.00",NA,NA,"403,000.00","632,221.00","1,138,000.00","179,000.00","67,000.00","32,200.00","94,000.00",NA,"62,709.00","124,900.00","658,000.00",NA,NA,"70,275.00",NA,NA,"1,332,000.00","207,400.00","-24,296.00","374,000.00",NA,"313,307.00","58,200.00",NA,"-51,915.00","622,000.00",NA,NA,NA,NA,"123,000.00","163,830.00","-8,000.00",NA,"454,000.00","14,000.00","-141,000.00",NA,"17,053.00","2,260,000.00","155,000.00","107,147.00",NA,"-41,180.00",NA,"1,929,000.00",NA,"235,000.00","47,812.00","-39,000.00","255,954.00","30,947.00","73,000.00","-40,000.00","-9,000.00",NA,"53,000.00",NA,"944,000.00",NA,"2,420,000.00","299,000.00",NA,"781,000.00","121,000.00","35,093.00",NA,"3,800.00","77,400.00","72,000.00",NA,"353,000.00",NA,"284,035.00","360,000.00","1,709,000.00","98,000.00","-133,467.00","106,000.00","-231,000.00","135,825.00","87,737.00","503,000.00","31,118.00",NA,"63,000.00",NA,"1,218,000.00","1,025,000.00","-343,000.00","1,362,000.00","9,400.00","4,132,000.00","962,000.00","64,900.00",NA,NA,"91,000.00","395,200.00",NA,"4,602,000.00",NA,NA,NA,NA,NA,NA,"-77,004.00","461,000.00",NA,"4,619,000.00",NA,"114,000.00",NA,380.38
EBIT,271530,"1,263,000","150,500.00","268,300",NA,NA,NA,"2,781,000","447,000","95,291.00",NA,"214,900.00","187,938.00","181,000.00",NA,NA,NA,NA,"272,080.00","-594,000.00",NA,NA,"12,744.00","369,000.00","613,000.00",NA,"130,400.00","966,000.00",NA,NA,"508,800.00","32,680.00","811,000.00","733,000.00","257,000.00","1,348,000.00",NA,NA,NA,NA,NA,NA,"876,000.00","273,526.00","1,951,000.00","308,000.00","128,000.00","45,400.00","152,000.00",NA,"78,595.00","224,700.00","1,105,000.00",NA,NA,"62,634.00",NA,NA,"1,209,000.00","239,100.00","-19,021.00","644,000.00",NA,"437,391.00","131,000.00",NA,"8,542.00","1,028,000.00",NA,NA,NA,NA,"228,000.00",NA,"4,000.00",NA,"765,000.00","98,000.00","-34,000.00",NA,"19,536.00","3,390,000.00","239,000.00","116,583.00",NA,515.00,NA,"2,718,000.00",NA,"77,000.00","80,708.00","574,000.00","340,888.00","45,426.00",NA,"8,000.00","55,000.00",NA,"930,000.00",NA,"1,239,000.00",NA,"3,441,000.00","407,000.00",NA,"1,395,000.00","167,000.00","59,342.00",NA,"39,000.00","106,100.00","32,700.00",NA,"495,000.00",NA,NA,"750,000.00","1,841,000.00","152,000.00","-117,270.00","897,000.00","-393,000.00","188,475.00","162,256.00","854,000.00","38,798.00",NA,"109,000.00",NA,"1,571,000.00",NA,"68,000.00",NA,"20,900.00",NA,"1,581,000.00","92,500.00",NA,NA,"122,000.00","545,200.00",NA,"7,627,000.00",NA,NA,NA,NA,NA,NA,"-14,116.00","703,000.00",NA,NA,NA,"191,000.00",NA,NA
EBIT / Interest Expense (x),274483,3.70,2.45,4.90,NA,NA,NA,11.08,2.90,2.47,NA,3.16,1.86,2.03,NA,NA,NA,NA,1.68,NM,NA,NA,1.53,7.53,3.01,NA,1.85,74.31,NA,NA,4.75,9.86,6.39,5.31,3.10,6.42,NA,NA,NA,NA,NA,NA,1.52,7.52,2.39,2.78,2.25,6.14,3.38,NA,2.48,3.76,2.36,NA,NA,2.87,NA,NA,4.14,5.43,NM,4.35,NA,2.77,3.40,NA,0.22,8.86,NA,NA,NA,NA,2.75,NA,0.15,NA,4.30,1.17,NM,NA,NA,9.29,6.46,4.35,NA,0.01,NA,7.31,NA,0.71,4.84,9.41,7.30,3.06,NA,0.21,0.70,NA,4.63,NA,8.49,NA,3.95,25.44,NA,2.13,0.87,2.95,NA,1.22,7.22,1.95,NA,26.05,NA,NA,2.44,4.38,4.75,NM,2.40,NM,5.17,2.27,6.37,3.47,NA,2.14,NA,16.20,NA,0.12,NA,1.87,NA,10.33,5.71,NA,NA,7.63,11.01,NA,4.67,NA,NA,NA,NA,NA,NA,NM,3.70,NA,NA,NA,2.85,NA,NA
Avg. Days Sales Out.,274485,63,54,40,NA,NA,NA,1,42,9,NA,29,151,12,NA,NA,NA,NA,171,NA,NA,NA,64,40,39,NA,12,106,NA,NA,30,63,28,10,49,35,NA,NA,NA,NA,NA,NA,55,69,48,17,35,27,37,NA,40,63,37,NA,NA,90,NA,NA,24,62,58,73,NA,54,100,NA,55,28,NA,NA,NA,NA,28,NA,58,NA,35,NA,33,NA,8,NA,5,NA,NA,102,NA,35,NA,30,120,104,106,133,NA,50,59,NA,26,NA,69,NA,50,54,NA,147,50,20,NA,15,44,34,NA,15,NA,NA,10,109,43,63,60,5,31,54,24,43,NA,44,NA,64,NA,65,NA,36,NA,5,39,NA,NA,18,NA,NA,70,NA,NA,NA,NA,NA,NA,61,61,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,6,7,9,NA,NA,NA,255,9,39,NA,13,2,30,NA,NA,NA,NA,2,NA,NA,NA,6,9,9,NA,29,3,NA,NA,12,6,13,35,7,11,NA,NA,NA,NA,NA,NA,7,5,8,22,10,14,10,NA,9,6,10,NA,NA,4,NA,NA,15,6,6,5,NA,7,4,NA,7,13,NA,NA,NA,NA,13,NA,6,NA,10,NA,11,NA,46,NA,72,NA,NA,4,NA,10,NA,12,3,3,3,3,NA,7,6,NA,14,NA,5,NA,7,7,NA,2,7,18,NA,25,8,11,NA,25,NA,NA,36,3,8,6,6,72,12,7,15,8,NA,8,NA,6,NA,6,NA,10,NA,90,10,NA,NA,20,NA,NA,5,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3,0,0,NA,NA,NA,12,0,0,NA,0,42,2,NA,NA,NA,NA,0,NA,NA,NA,14,1,0,NA,1,56,NA,NA,4,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,7,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,4,10,5,8,NA,3,7,NA,0,13,NA,NA,NA,NA,0,NA,0,NA,4,1,5,NA,30,4,2,NA,NA,6,NA,1,NA,0,4,6,15,0,NA,6,4,NA,0,NA,4,NA,3,2,NA,0,0,7,NA,5,0,0,NA,1,NA,NA,0,4,33,0,0,1,1,1,14,0,NA,0,NA,67,NA,6,NA,0,NA,6,5,NA,NA,130,25,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0,0,0,NA,NA,NA,1,0,0,NA,0,1,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,1,0,0,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,1,NA,0,0,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,0,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,1,0,0,NA,0,NA,0,0,0,1,0,0,1,0,1,3,0,NA,0,NA,1,NA,0,0,0,0,4,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"767,000","167,800","274,000",NA,NA,"1,266,000","2,877,000","492,000","201,780",NA,"406,300","403,210","44,000",NA,NA,NA,NA,"197,595","-530,000",NA,NA,"33,468","378,000","538,000",NA,"254,700","353,000","-10,831,000",NA,"443,500","25,361","-759,000","598,000","96,000","1,066,000",NA,NA,NA,"1,843,000",NA,NA,"1,982,000","166,592","2,474,000","764,000","279,000","148,300","261,000",NA,"99,543","252,700","992,000",NA,NA,"62,509",NA,NA,"1,385,000","256,700",622,"419,000",NA,"529,579","177,800",NA,"-170,870","121,000",NA,NA,NA,NA,"142,000","-1,302,903","83,000",NA,"85,000","-202,000","-173,000",NA,"-99,493","2,106,000","105,000","-118,077",NA,"107,750",NA,"2,390,000",NA,"260,000","60,391","382,000","300,137","40,827","182,000","-35,000","32,000",NA,"839,000",NA,"-706,000",NA,"6,974,000","24,000",NA,"2,309,000","683,000","35,176",NA,"-105,400","133,200","-17,500",NA,"471,000",NA,"-1,314,546","1,328,000","342,000","82,000","-110,610","1,086,000","-104,000","577,562","543,709","87,000","70,339",NA,"205,000",NA,"1,666,000","-2,680,000","-3,362,000","-1,349,000","16,900","-28,038,000","2,860,000","-92,200",NA,NA,"91,000","298,300",NA,"7,084,000",NA,NA,NA,NA,NA,NA,"103,666","1,475,000",NA,"-12,125,000",NA,"124,000",NA,NA
Cash from Investing,272601,"-393,000","-310,000","-559,600",NA,NA,"3,576,000","2,316,000","-906,000","-68,146",NA,"-250,900","-24,396","-94,000",NA,NA,NA,NA,"-286,619","-625,000",NA,NA,"-6,013","-289,000","-844,000",NA,"-153,400","-355,000","14,844,000",NA,"-138,400","-25,260","830,000","-2,645,000","-184,000","-486,000",NA,NA,NA,"358,000",NA,NA,"1,385,000","429,851","-3,342,000","-688,000","-417,000","-87,600","-393,000",NA,"-38,551","-131,900","-1,767,000",NA,NA,"-19,031",NA,NA,"-5,880,000","-1,737,400","-1,330","-188,000",NA,"-147,998","-48,100",NA,"-73,636","-228,000",NA,NA,NA,NA,"-263,000","-145,287","-215,000",NA,"-193,000","-94,000","-113,000",NA,"2,018","-304,000","-270,000",NA,NA,"-13,031",NA,"-2,493,000",NA,"-425,000","-43,107","-47,000","-32,333","-16,193","2,330,000","-54,000","-50,000",NA,"-1,844,000",NA,"-269,000",NA,"-1,562,000","-146,000",NA,"-2,930,000","-768,000","-370,724",NA,"-56,700","-83,400","-155,900",NA,"-274,000",NA,"-4,050,190","-296,000","693,000","336,000","-57,086","-1,276,000","-585,000","-170,781","-199,790","-380,000","-188,259",NA,"-265,000",NA,"-1,372,000","-26,741,000","2,074,000","9,475,000","-179,800","-7,980,000","-947,000","-19,100",NA,NA,"-47,000","17,700",NA,"-5,245,000",NA,NA,NA,NA,NA,NA,"-769,547","-2,145,000",NA,"21,095,000",NA,"-77,000",NA,NA
Cash from Financing,272618,"4,621,000","150,900","285,600",NA,NA,"-3,638,000","-5,268,000","497,000","-72,204",NA,"-159,300","-317,662","-135,000",NA,NA,NA,NA,"-756,909","1,127,000",NA,NA,"-35,203","-73,000","376,000",NA,"-101,100","-286,000","12,351,000",NA,"-307,100",-7,"113,000","1,844,000","-308,000","-450,000",NA,NA,NA,"514,000",NA,NA,"-3,332,000","-80,782","1,029,000","-123,000","135,000","-62,300","113,000",NA,"-79,484","-131,900","982,000",NA,NA,"-38,438",NA,NA,"-458,000","306,900","-4,703","-153,000",NA,"-276,698","-108,900",NA,"83,278","-708,000",NA,NA,NA,NA,"13,000","317,608","132,000",NA,"158,000","429,000","-38,000",NA,"97,493","-200,000","-94,000","172,978",NA,"-374,822",NA,"-3,661,000",NA,"188,000","38,905","-512,000","-207,223","-35,922","-2,357,000","80,000","60,000",NA,"89,000",NA,"927,000",NA,"-3,528,000","-234,000",NA,"769,000","2,159,000","341,749",NA,"115,700","-50,600","174,400",NA,"-193,000",NA,"5,225,635","-1,091,000","-2,007,000","-105,000","137,914","934,000","-232,000","-41,532","7,694","66,000","229,361",NA,"61,000",NA,"-166,000","28,433,000","-4,462,000","-24,926,000","155,000","7,171,000","-296,000","114,100",NA,NA,"-243,000","-182,900",NA,"-1,428,000",NA,NA,NA,NA,NA,NA,"1,278,348","705,000",NA,"23,574,000",NA,"-308,000",NA,NA
Foreign Exchange Rate Adj.,272619,"-17,000",NA,NA,NA,NA,"-3,000",NA,NA,NA,NA,NA,"-36,395.00","-1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-87.00,NA,NA,NA,NA,NA,"-4,566,000.00",NA,"1,400.00",NA,NA,"1,000.00","-18,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-1,568.00",NA,NA,NA,NA,NA,NA,-84.00,"-4,700.00",NA,NA,NA,NA,NA,NA,"-171,000.00","-10,400.00",691.00,"-19,000.00",NA,"-34,035.00","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-1,683.00",NA,NA,NA,NA,"-15,000.00",NA,NA,NA,NA,NA,NA,-132.00,NA,"21,000.00",NA,NA,"1,495.00","-16,000.00","-2,959.00",NA,NA,"-7,000.00","-3,000.00",NA,NA,NA,NA,NA,"-36,000.00","-5,000.00",NA,NA,NA,NA,NA,"-2,800.00",NA,NA,NA,NA,NA,NA,"-1,000.00","-8,000.00",NA,-578.00,NA,NA,NA,-197.00,"-11,000.00",NA,NA,NA,NA,NA,"-142,000.00","-28,000.00",NA,NA,"-3,345,000.00",NA,"2,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617.00,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"4,978,000","8,700.00",NA,NA,NA,"1,201,000","-75,000","83,000","61,430.00",NA,"-3,900.00","24,757.00","-186,000.00",NA,NA,NA,NA,"-845,933.00","-28,000.00",NA,NA,"-7,835.00","16,000.00","70,000.00",NA,200.00,"-288,000.00","11,798,000.00",NA,"-1,600.00",94.00,"184,000.00","-202,000.00","-414,000.00","130,000.00",NA,NA,NA,"2,715,000.00",NA,NA,"35,000.00","514,093.00","161,000.00","-47,000.00","-3,000.00","-1,600.00","-19,000.00",NA,"-18,576.00","-15,800.00","207,000.00",NA,NA,"5,040.00",NA,NA,"-5,124,000.00","-1,184,200.00","-4,720.00","59,000.00",NA,"70,848.00","24,800.00",NA,"-161,228.00","-815,000.00",NA,NA,NA,NA,"-108,000.00","-1,146,061.00",NA,NA,"50,000.00","133,000.00","-339,000.00",NA,18.00,"1,602,000.00","-259,000.00","54,901.00",NA,"-280,235.00",NA,"-3,741,000.00",NA,"23,000.00","57,684.00","-193,000.00","57,622.00","-11,288.00","155,000.00","-16,000.00","39,000.00",NA,"-916,000.00",NA,"-48,000.00",NA,"1,848,000.00","-361,000.00",NA,"-209,000.00","2,074,000.00","6,201.00",NA,"-49,200.00",-800.00,"1,000.00",NA,"4,000.00",NA,"-139,101.00","-60,000.00","-980,000.00","313,000.00","-30,360.00","744,000.00","-921,000.00","365,249.00","351,416.00","-238,000.00","111,441.00",NA,"1,000.00",NA,"128,000.00","-1,130,000.00","-5,778,000.00","-16,800,000.00","-7,900.00","-32,192,000.00","1,617,000.00","5,400.00",NA,NA,"-199,000.00","133,100.00",NA,"411,000.00",NA,NA,NA,NA,NA,NA,"613,084.00","35,000.00",NA,"32,544,000.00",NA,"-261,000.00",NA,NA
Capital Expenditure,272592,"-375,000","-331,200.00","-336,500",NA,NA,"-709,000","-35,000","-902,000",NA,NA,"-236,000.00","-29,535.00","-93,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-708.00,"-303,000.00","-845,000.00",NA,"-155,000.00","-7,000.00","-1,607,000.00",NA,"-143,600.00","-21,096.00","-752,000.00",NA,"-252,000.00","-517,000.00",NA,NA,NA,"-71,000.00",NA,NA,"-2,930,000.00","-40,050.00","-3,208,000.00","-669,000.00","-275,000.00","-53,400.00","-217,000.00",NA,NA,"-131,900.00","-1,767,000.00",NA,NA,NA,NA,NA,"-2,094,000.00","-26,400.00","-1,678.00","-145,000.00",NA,"-145,441.00","-22,100.00",NA,-462.00,"-158,000.00",NA,NA,NA,NA,"-264,000.00","-96,241.00","-194,000.00",NA,"-158,000.00","-94,000.00","-100,000.00",NA,"-1,001.00","-380,000.00","-215,000.00",NA,NA,"-25,409.00",NA,"-547,000.00",NA,"-428,000.00","-37,416.00","-46,000.00","-4,271.00",NA,NA,"-8,000.00","-59,000.00",NA,"-2,199,000.00",NA,"-270,000.00",NA,"-1,314,000.00","-152,000.00",NA,"-2,638,000.00","-774,000.00","-15,495.00",NA,"-72,100.00","-81,600.00","-156,900.00",NA,"-277,000.00",NA,NA,"-242,000.00","-467,000.00","-6,000.00","-57,086.00","-1,278,000.00","-592,000.00","-190,699.00","-221,198.00","-171,000.00","-149,088.00",NA,"-268,000.00",NA,"-41,000.00","-299,000.00","-567,000.00","-149,000.00","-173,100.00","-497,000.00","-1,028,000.00","-19,100.00",NA,NA,"-18,000.00","-28,300.00",NA,"-4,376,000.00",NA,NA,NA,NA,NA,NA,"-374,926.00","-2,102,000.00",NA,NA,NA,"-22,000.00",NA,NA
Change in Net Working Capital,272627,"97,000","-136,800.00","264,800",NA,NA,NA,"-1,046,000","315,000","42,362.00",NA,"-112,800.00","-406,392.00","90,000.00",NA,NA,NA,NA,"157,910.00","18,063,000.00",NA,NA,"19,823.00","1,134,000.00","1,669,000.00",NA,"-78,900.00","-114,000.00",NA,NA,"23,200.00","15,721.00","213,000.00","15,000.00","306,000.00","194,000.00",NA,NA,NA,NA,NA,NA,"-4,759,000.00","-132,700.00","6,000.00","-325,000.00","120,000.00","-56,344.00","98,000.00",NA,"14,098.00","70,800.00","487,000.00",NA,NA,"213,524.00",NA,NA,"1,529,000.00","141,500.00","-24,804.00","29,000.00",NA,"118,888.00","-89,900.00",NA,"-334,911.00","639,000.00",NA,NA,NA,NA,"30,000.00",NA,"-13,000.00",NA,"637,000.00","366,000.00","322,000.00",NA,"99,707.00","583,000.00","5,000.00","-10,782.00",NA,"-34,756.00",NA,"196,000.00",NA,"323,000.00","30,237.00","96,000.00","50,023.00","8,061.00",NA,"-5,000.00","48,000.00",NA,"-519,000.00",NA,"1,160,000.00",NA,"-2,563,000.00","480,000.00",NA,"1,124,000.00","-466,000.00","69,574.00",NA,"159,800.00","-45,000.00","96,800.00",NA,"84,000.00",NA,NA,"-444,000.00","1,018,000.00","-289,000.00","-23,101.00","252,000.00","316,000.00","-379,673.00","-501,405.00","686,093.00","-38,417.00",NA,"-19,000.00",NA,"-1,008,000.00",NA,"3,824,000.00",NA,"8,900.00",NA,"-887,000.00","195,100.00",NA,NA,"25,000.00","-373,600.00",NA,"4,723,000.00",NA,NA,NA,NA,NA,NA,"-39,183.00","38,000.00",NA,NA,NA,"147,000.00",NA,"9,298.97"
Unlevered Free Cash Flow,272626,"653,375","16,362.50","-327,713",NA,NA,NA,"2,814,125","-532,625","142,845.88",NA,"160,912.50","549,492.25",125.00,NA,NA,NA,NA,"249,473.00","-18,434,250.00",NA,NA,"16,568.00","-1,079,375.00","-1,767,875.00",NA,"60,900.00","761,750.00",NA,NA,"245,100.00","3,607.00","230,875.00","507,125.00",-375.00,"557,500.00",NA,NA,NA,NA,NA,NA,"3,070,500.00","360,064.75","-460,625.00","132,500.00","-145,000.00","59,919.00","-120,000.00",NA,"79,100.88","145,537.50","-683,375.00",NA,NA,"-118,437.75",NA,NA,"-1,236,375.00","147,237.50","17,060.88","410,500.00",NA,"536,418.38","154,275.00",NA,"388,262.75","227,500.00",NA,NA,NA,NA,"-68,500.00",NA,"-146,500.00",NA,"-149,875.00","-201,750.00","350,750.00",NA,"-83,996.00","1,679,750.00","80,375.00","87,749.38",NA,"160,467.88",NA,"1,515,750.00",NA,"-466,875.00","10,601.50","355,750.00","221,629.00","40,713.25",NA,"41,000.00","28,375.00",NA,"-742,750.00",NA,"-336,625.00",NA,"5,723,625.00","-237,625.00",NA,"-1,790,125.00","88,375.00","-2,185.25",NA,"-132,125.00","52,912.50","-165,862.50",NA,"135,375.00",NA,NA,"1,102,750.00","755,625.00","426,000.00","-91,682.75","-262,375.00","-745,625.00","392,804.88","501,720.00","-64,343.00","-45,415.25",NA,"-68,875.00",NA,"2,080,875.00",NA,"-3,181,500.00",NA,"-146,837.50",NA,"2,041,125.00","-117,287.50",NA,NA,"84,250.00","716,150.00",NA,"-336,125.00",NA,NA,NA,NA,NA,NA,"-148,234.50","-1,214,625.00",NA,NA,NA,"85,375.00",NA,NA
