SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,075,000","423,600","295,000",NA,NA,"757,000","5,046,000","1,375,000","287,342",NA,"749,400","6,381,417","2,629,000",NA,NA,NA,NA,"750,571","8,983,000",NA,NA,"148,094","1,011,000","2,167,000",NA,"252,900","-99,000","14,348,000",NA,"2,390,700","140,341",NA,NA,"2,391,000","2,855,000",NA,NA,NA,"1,081,000",NA,NA,"3,938,000","1,655,939","5,949,000","1,080,000","692,000","125,466","498,000",NA,"150,224","957,900","8,747,000",NA,NA,"110,314",NA,NA,"34,320,000","1,108,100","390,718",NA,NA,"1,903,598","1,105,600","186,198","175,175","14,618,000",NA,NA,NA,NA,"322,000","1,364,774","378,000","731,700","2,613,000","4,087,000","4,784,500",NA,"454,727","17,741,000","5,676,000","56,150",NA,"1,416,604",NA,"4,714,400",NA,"686,000","754,843","1,655,000","416,780","82,634","130,000","1,503,000","1,886,000",NA,"2,625,000",NA,"8,620,000",NA,"9,218,000","1,601,000",NA,"4,306,000","1,206,000","589,232",NA,"1,424,900","209,500","297,300",NA,"1,918,000","7,165,000","-1,481,949","2,032,750","11,360,000","1,615,000","53,635","2,780,000","4,234,000","502,827","836,320","15,303,005","130,664",NA,"547,000",NA,"9,866,000","3,939,000","16,908,000","2,617,000","169,000","7,806,000","37,251,000","767,483",NA,NA,"1,048,000","2,871,100",NA,"31,610,000",NA,NA,NA,NA,NA,NA,"537,037","1,930,000","42,779,000","14,168,000",NA,"1,728,000",NA,NA
Gross Profit,271473,"3,966,000","285,500","268,000",NA,NA,"757,000","3,265,000","621,000","154,422.00",NA,"331,500.00","728,391.00","934,000.00",NA,NA,NA,NA,"480,169.00","6,767,000.00",NA,NA,"107,191.00","324,000.00","820,000.00",NA,"30,300.00","-1,540,000.00","14,348,000.00",NA,"664,500.00","52,401.00",NA,NA,"722,000.00","1,532,000.00",NA,NA,NA,"967,000.00",NA,NA,"1,954,000.00","613,785.00","2,866,000.00","477,000.00","312,000.00","52,395.00","251,000.00",NA,"137,131.00","543,800.00","2,676,000.00",NA,NA,"81,233.00",NA,NA,"1,063,000.00","612,000.00","140,360.00",NA,NA,"969,727.00","597,900.00","129,196.00","-4,118.00","2,872,000.00",NA,NA,NA,NA,"295,000.00","935,312.00","186,000.00","389,000.00","1,453,000.00","1,672,000.00","512,000.00",NA,"107,187.00","5,581,000.00","2,273,000.00","56,150.00",NA,"190,307.00",NA,"2,341,900.00",NA,"312,000.00","211,257.00","793,000.00","342,171.00","79,526.00","130,000.00","397,000.00","617,000.00",NA,"1,267,000.00",NA,"1,722,000.00",NA,"7,261,000.00","309,000.00",NA,"1,512,000.00","535,000.00","109,481.00",NA,"312,600.00","100,500.00","58,400.00",NA,"1,445,000.00","1,920,000.00","-1,481,949.00","543,677.00","2,788,000.00","180,000.00","-59,118.00","993,000.00","842,000.00","238,918.00","252,404.00","2,943,370.00","68,778.00",NA,"268,000.00",NA,"3,010,000.00","3,939,000.00","1,074,000.00","2,542,000.00","58,900.00","6,455,000.00","8,268,000.00","288,558.00",NA,NA,"219,000.00","722,900.00",NA,"19,314,000.00",NA,NA,NA,NA,NA,NA,"152,578.00","1,029,000.00","23,498,000.00","14,168,000.00",NA,"346,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,310,000","47,600","117,800",NA,NA,"(319,000)","1,550,000","148,000","37,527.0",NA,"115,300.0","49,755.0","40,000.0",NA,NA,NA,NA,"588,444.0","4,959,000.0",NA,NA,"-787,434.0","131,000.0","-1,053,000.0",NA,"-22,600.0","-1,226,000.0","2,548,000.0",NA,"174,300.0","21,772.0",NA,NA,"-96,000.0","770,000.0",NA,NA,NA,"-61,000.0",NA,NA,"-468,000.0","176,279.0","890,000.0","120,000.0","99,000.0","18,332.0","65,000.0",NA,"37,118.0","118,800.0","376,000.0",NA,NA,"41,529.0",NA,NA,"-1,993,000.0","54,800.0","-85,444.0",NA,NA,"150,608.0","-67,900.0","18,208.0","-125,082.0","678,000.0",NA,NA,NA,NA,"92,000.0","112,021.0","-17,000.0","152,300.0","156,000.0","62,000.0","-527,500.0",NA,"42,839.0","1,046,000.0","136,000.0","-171,438.0",NA,"36,062.0",NA,"1,106,900.0",NA,"150,000.0","50,027.0","198,000.0","148,125.0","61,062.0","-106,000.0","24,000.0","-1,279,000.0",NA,"381,000.0",NA,"868,000.0",NA,"2,137,000.0","-916,000.0",NA,"451,000.0","176,000.0","21,187.0",NA,"-5,400.0","56,900.0","-10,300.0",NA,"503,000.0","790,000.0","-1,607,255.0","-1,437,035.0","492,000.0","56,000.0","-215,977.0","249,000.0","-94,000.0","83,599.0","73,005.0","453,781.0","28,513.0",NA,"77,000.0",NA,"837,000.0","962,000.0","-641,000.0","795,000.0","11,700.0","1,213,000.0","763,000.0","70,091.0",NA,NA,"91,000.0","161,000.0",NA,"4,287,000.0",NA,NA,NA,NA,NA,NA,"-9,737.0","-280,000.0","4,963,000.0","767,000.0",NA,"150,000.0",NA,128.0
Net Income,271510,"1,308,000","47,600","117,800",NA,NA,"(319,000)","1,552,000","146,000","37,527.00",NA,"115,300.00","49,503.00","40,000.00",NA,NA,NA,NA,"568,958.00","4,957,000.00",NA,NA,"-787,434.00","67,000.00","-1,199,000.00",NA,"-23,400.00","-1,226,000.00","2,536,000.00",NA,"173,800.00","21,772.00",NA,NA,"-96,000.00","770,000.00",NA,NA,NA,"-61,000.00",NA,NA,"-270,000.00","176,279.00","938,000.00","120,000.00","99,000.00","18,332.00","65,000.00",NA,"37,118.00","116,900.00","582,000.00",NA,NA,"41,479.00",NA,NA,"-1,993,000.00","41,900.00","-85,581.00",NA,NA,"143,575.00","-69,700.00","18,208.00","-125,134.00","678,000.00",NA,NA,NA,NA,"92,000.00","114,432.00","-17,000.00","151,800.00","156,000.00","62,000.00","-527,500.00",NA,"42,839.00","1,046,000.00","136,000.00","-171,438.00",NA,"36,230.00",NA,"1,106,900.00",NA,"150,000.00","50,027.00","197,000.00","148,125.00","61,023.00","-106,000.00","23,000.00","-1,279,000.00",NA,"381,000.00",NA,"868,000.00",NA,"2,137,000.00","-917,000.00",NA,"451,000.00","176,000.00","21,187.00",NA,"-5,400.00","56,900.00","-10,300.00",NA,"503,000.00","788,000.00","-1,591,093.00","-1,444,479.00","-83,000.00","55,000.00","-215,975.00","249,000.00","-94,000.00","83,599.00","72,542.00","453,781.00","28,513.00",NA,"77,000.00",NA,"549,000.00","980,000.00","-628,000.00","795,000.00","11,700.00","1,213,000.00","772,000.00","70,091.00",NA,NA,"91,000.00","161,000.00",NA,"4,156,000.00",NA,NA,NA,NA,NA,NA,"-11,468.00","-280,000.00","4,610,000.00","916,000.00",NA,"150,000.00",NA,128.00
EBIT,271530,"1,716,000","91,800","162,200",NA,NA,NA,"2,777,000","264,000","60,335.00",NA,"176,100.00","142,421.00","153,000.00",NA,NA,NA,NA,"274,430.00","6,297,000.00",NA,NA,822.00,"198,000.00","400,000.00",NA,"6,200.00","-1,563,000.00",NA,NA,"370,800.00","32,052.00",NA,NA,"114,000.00","1,188,000.00",NA,NA,NA,NA,NA,NA,"1,206,000.00","234,331.00","1,391,000.00","224,000.00","160,000.00","28,384.00","100,000.00",NA,"71,607.00","135,900.00","1,228,000.00",NA,NA,"41,951.00",NA,NA,"-918,000.00","140,600.00","-105,359.00",NA,NA,"315,579.00","126,500.00","40,013.00","-126,615.00","1,173,000.00",NA,NA,NA,NA,"179,000.00",NA,"-16,000.00","294,800.00","491,000.00","167,000.00","-424,500.00",NA,"54,501.00","1,417,000.00","167,000.00","48,986.00",NA,"44,313.00",NA,"1,752,200.00",NA,"108,000.00","81,081.00","251,000.00","207,884.00","54,195.00",NA,"82,000.00","68,000.00",NA,"975,000.00",NA,"1,236,000.00",NA,"2,933,000.00","113,000.00",NA,"726,000.00","282,000.00","39,279.00",NA,"5,500.00","78,200.00","4,500.00",NA,"779,000.00","1,000,000.00",NA,"-198,289.00","1,571,000.00","103,000.00","-89,015.00","344,000.00","-110,000.00","152,810.00","143,368.00","714,193.00","35,309.00",NA,"120,000.00",NA,"1,326,000.00",NA,"-397,000.00",NA,"19,900.00",NA,"880,000.00","93,147.00",NA,NA,"120,000.00","247,800.00",NA,"8,057,000.00",NA,NA,NA,NA,NA,NA,"-8,065.00","621,000.00","7,486,000.00",NA,NA,"235,000.00",NA,NA
EBIT / Interest Expense (x),274483,13.95,2.16,5.48,NA,NA,NA,9.68,2.84,2.03,NA,3.32,2.57,1.55,NA,NA,NA,NA,2.70,139.93,NA,NA,0.11,6.60,2.72,NA,0.32,NM,NA,NA,3.01,14.35,NA,NA,1.78,6.35,NA,NA,NA,NA,NA,NA,46.39,8.59,2.53,2.67,3.72,4.41,4.17,NA,2.06,4.43,3.00,NA,NA,3.09,NA,NA,NM,3.64,NM,NA,NA,3.89,2.31,1.68,NM,20.22,NA,NA,NA,NA,3.03,NA,NM,8.62,3.21,3.21,NM,NA,NA,8.39,3.09,3.94,NA,2.61,NA,6.26,NA,1.33,7.92,4.56,5.17,3.83,NA,1.64,1.08,NA,6.33,NA,9.89,NA,5.94,4.19,NA,2.88,2.77,3.74,NA,0.34,7.59,0.29,NA,8.56,23.26,NA,NM,4.63,4.12,NM,1.77,NM,6.10,5.05,8.57,4.14,NA,3.24,NA,16.37,NA,NM,NA,3.21,NA,4.47,11.42,NA,NA,30.00,5.42,NA,7.79,NA,NA,NA,NA,NA,NA,NM,4.93,3.71,NA,NA,2.77,NA,NA
Avg. Days Sales Out.,274485,54.2,45.3,29.6,NA,NA,NA,2.7,44.3,9,NA,31,112,11,NA,NA,NA,NA,146,NM,NA,NA,62,48,46,NA,12,103,NA,NA,30,59,NA,NA,67,32,NA,NA,NA,NA,NA,NA,49,67,44,16,7,5,15,NA,52,54,45,NA,NA,73,NA,NA,18,87,56,NA,NA,41,110,58,57,34,NA,NA,NA,NA,28,NA,62,34,37,NA,NA,NA,10,NA,5,NA,NA,118,NA,38,NA,37,116,121,107,106,NA,84,78,NA,23,NA,78,NA,45,48,NA,92,46,18,NA,12,47,15,NA,22,95,NA,11,124,59,74,40,2,39,56,26,68,NA,35,NA,60,NA,67,NA,33,NA,5,32,NA,NA,30,NA,NA,73,NA,NA,NA,NA,NA,NA,51,52,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,6.72,8.04,12.28,NA,NA,NA,135.01,8.22,40,NA,12,3,33,NA,NA,NA,NA,2,1,NA,NA,6,8,8,NA,31,4,NA,NA,12,6,NA,NA,5,11,NA,NA,NA,NA,NA,NA,7,5,8,23,50,80,24,NA,7,7,8,NA,NA,5,NA,NA,20,4,7,NA,NA,9,3,6,6,11,NA,NA,NA,NA,13,NA,6,11,10,NA,NA,NA,36,NA,69,NA,NA,3,NA,9,NA,10,3,3,3,3,NA,4,5,NA,16,NA,5,NA,8,8,NA,4,8,19,NA,31,8,24,NA,17,4,NA,34,3,6,5,9,146,9,7,14,5,NA,10,NA,6,NA,5,NA,11,NA,95,11,NA,NA,12,NA,NA,5,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.20,0.19,0.12,NA,NA,NA,10.10,0.22,0,NA,0,27,2,NA,NA,NA,NA,0,NA,NA,NA,10,1,0,NA,1,NM,NA,NA,4,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,7,0,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,4,7,4,NA,NA,5,11,0,0,18,NA,NA,NA,NA,0,NA,0,0,4,2,NA,NA,259,4,3,NA,NA,5,NA,1,NA,0,5,4,7,0,NA,8,4,NA,0,NA,4,NA,5,2,NA,0,0,8,NA,6,0,0,NA,1,7,NA,0,3,35,0,0,1,0,1,13,0,NA,0,NA,29,NA,5,NA,0,NA,6,7,NA,NA,31,19,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
Total Asset Turnover (x),274487,0.71,0.16,0.12,NA,NA,NA,0.40,0.19,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,NM,NA,NA,0,1,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,NA,NA,0,0,0,0,2,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,1,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,1,0,0,NA,0,1,NM,0,0,1,0,0,1,0,0,3,0,NA,0,NA,0,NA,0,0,0,0,4,1,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,213,000","113,900","187,000",NA,NA,"814,000","3,129,000","290,000","126,496",NA,"154,600","466,865","-73,000",NA,NA,NA,NA,"175,197","96,000",NA,NA,"28,892","381,000","662,000",NA,"43,500","167,000","-25,533,000",NA,"207,000","38,044",NA,NA,"248,000","1,178,000",NA,NA,NA,"1,680,000",NA,NA,"1,633,000","75,863","1,554,000","301,000","238,000","59,979","137,000",NA,"89,044","30,800","1,080,000",NA,NA,"40,630",NA,NA,"-473,000","191,000","-77,139",NA,NA,"436,574","291,600","75,421","-73,181","1,285,000",NA,NA,NA,NA,"108,000","-918,083","94,000","283,200","414,000","136,000","45,000",NA,"58,803","2,137,000","-38,000","61,363",NA,"203,266",NA,"1,546,000",NA,"214,000","42,106","308,000","112,770","57,082","453,000","57,000","23,000",NA,"955,000",NA,"-993,000",NA,"6,000,000","-52,000",NA,"1,612,000","437,000","13,164",NA,"-71,400","76,300","-14,500",NA,"785,000","-98,000","1,311,416","198,710","660,000","178,000","-105,139","334,000","-377,000","259,037","271,566","171,579","60,442",NA,"192,000",NA,"1,027,000","-1,685,000","-4,302,000","10,118,000",0,"-53,031,000","2,268,000","-23,299",NA,NA,"-282,000","219,900",NA,"8,824,000",NA,NA,NA,NA,NA,NA,"46,464","1,149,000","8,866,000","17,273,000",NA,"86,000",NA,0
Cash from Investing,272601,"(375,000)","(120,000)","(532,400)",NA,NA,"(325,000)","(52,000)","(684,000)","-179,214",NA,"-217,700","-33,437","-106,000",NA,NA,NA,NA,"-73,793","-1,484,000",NA,NA,"-5,755","-177,000","-654,000",NA,"-48,300","-136,000","-72,857,000",NA,"-107,500","2,480",NA,NA,"-539,000","144,000",NA,NA,NA,"2,397,000",NA,NA,"-1,641,000","-230,511","-3,022,000","-354,000","-762,000","-66,319","-227,000",NA,"-39,759","-136,100","-2,075,000",NA,NA,"-183,052",NA,NA,"-3,114,000","-44,200","-3,163",NA,NA,"-169,650","-4,430,500","-76,623","-153,206","-498,000",NA,NA,NA,NA,"-188,000","-49,310","-115,000","-188,600","34,000","-238,000","-216,500",NA,"-1,542","-131,000","-237,000",NA,NA,"-58,740",NA,"-518,400",NA,"-469,000","-84,900","-26,000","-201,638","-51,017","985,000","-98,000","-56,000",NA,"-233,000",NA,"-270,000",NA,"12,386,000","-61,000",NA,"-1,655,000","-339,000","-31,840",NA,"-40,800","-50,800","-56,100",NA,"830,000","-255,000","16,660,824","-1,341,177","-1,281,000","-30,000","-58,032","-1,274,000","-5,000","-167,951","-200,791","-246,624","-79,532",NA,"-318,000",NA,"68,000","-78,601,000","-379,000","-19,196,000","-44,400","-32,336,000","-464,000","-11,796",NA,NA,"-94,000","122,600",NA,"-6,980,000",NA,NA,NA,NA,NA,NA,"-185,774","-774,000","-5,022,000","-44,303,000",NA,"441,000",NA,NA
Cash from Financing,272618,"1,108,000","(51,500)","345,400",NA,NA,"2,201,000","427,000","421,000","50,328",NA,"54,800","-529,940","-86,000",NA,NA,NA,NA,"65,288","7,441,000",NA,NA,"150,658","-205,000","-32,000",NA,"606,800","-312,000","191,358,000",NA,"-270,800","-40,421",NA,NA,"-94,000","-285,000",NA,NA,NA,"170,000",NA,NA,"1,006,000","280,954","2,593,000","22,000","514,000","7,004","87,000",NA,"649,237","92,700","1,865,000",NA,NA,"124,708",NA,NA,"12,454,000","-283,200","112,333",NA,NA,"-77,481","819,500","185,058","844,965","-1,119,000",NA,NA,NA,NA,"82,000","-316,165","21,000","-148,300","-328,000","-289,000","166,000",NA,"22,626","446,000","-158,000","-62,421",NA,"-145,224",NA,"3,533,000",NA,"52,000","76,390","439,000","-340,081","58,084","-1,451,000","765,000","173,000",NA,"-694,000",NA,"2,296,000",NA,"-7,802,000","213,000",NA,"476,000","-74,000","-26,191",NA,"385,700","-25,500","70,200",NA,"-1,609,000","-821,000","-18,155,286","4,790,212","1,362,000","-234,000","10,619","1,368,000","1,774,000","-75,051","-59,034","62,705","43,002",NA,"128,000",NA,"-1,095,000","82,880,000","10,280,000","58,208,000","45,000","57,310,000","-1,824,000","-7,507",NA,NA,"185,000","-89,400",NA,"2,563,000",NA,NA,NA,NA,NA,NA,"7,494","-323,000","-6,099,000","36,589,000",NA,"792,000",NA,NA
Foreign Exchange Rate Adj.,272619,"(46,000)",NA,NA,NA,NA,"(4,000)",NA,NA,NA,NA,NA,"-2,593.00","-2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-967,000.00",NA,-600.00,NA,NA,NA,"-24,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-14,652.00",NA,NA,NA,NA,NA,NA,-257.00,"-18,800.00",NA,NA,NA,NA,NA,NA,"-448,000.00","-28,300.00","12,477.00",NA,NA,"-67,655.00","-23,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"-2,927.00",NA,"-4,100.00","-8,000.00",NA,"-1,000.00",NA,NA,"-2,000.00",NA,NA,NA,934.00,NA,"-79,300.00",NA,NA,"1,147.00","-50,000.00","-10,762.00",NA,NA,"-14,000.00","-24,000.00",NA,NA,NA,NA,NA,"-15,000.00","-38,000.00",NA,NA,NA,NA,NA,"-4,900.00",NA,NA,NA,NA,NA,NA,-672.00,"-95,000.00",NA,"-3,405.00",NA,NA,NA,-315.00,"-5,485.00",NA,NA,NA,NA,NA,"-56,000.00","-47,000.00",NA,NA,NA,NA,-312.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.00,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"1,900,000","(57,600)",NA,NA,NA,"2,686,000","3,504,000","27,000","-2,390.00",NA,"-8,300.00","-99,105.00","-267,000.00",NA,NA,NA,NA,"166,692.00","6,053,000.00",NA,NA,"173,795.00","-1,000.00","-24,000.00",NA,"602,000.00","-281,000.00","92,001,000.00",NA,"-171,900.00",103.00,NA,NA,"-409,000.00","1,037,000.00",NA,NA,NA,"4,247,000.00",NA,NA,"998,000.00","111,654.00","1,125,000.00","-31,000.00","-10,000.00",664.00,"-3,000.00",NA,"698,265.00","-31,400.00","870,000.00",NA,NA,"-17,714.00",NA,NA,"8,419,000.00","-164,700.00","44,508.00",NA,NA,"121,788.00","-3,342,500.00","183,856.00","618,578.00","-332,000.00",NA,NA,NA,NA,"2,000.00","-1,286,485.00",NA,"-57,800.00","112,000.00","-391,000.00","-6,500.00",NA,"79,887.00","2,462,000.00","-433,000.00","-1,058.00",NA,236.00,NA,"4,481,300.00",NA,"-203,000.00","34,743.00","671,000.00","-439,711.00","64,149.00","-13,000.00","710,000.00","116,000.00",NA,"28,000.00",NA,"1,033,000.00",NA,"10,569,000.00","62,000.00",NA,"426,000.00","24,000.00","-44,867.00",NA,"268,600.00",NA,-400.00,NA,"6,000.00","-1,174,000.00","-183,046.00","3,647,073.00","646,000.00","-86,000.00","-155,957.00","428,000.00","1,392,000.00","16,035.00","11,426.00","-17,825.00","23,912.00",NA,"2,000.00",NA,NA,"2,538,000.00","5,552,000.00","49,130,000.00",600.00,"-28,057,000.00","-20,000.00","-42,914.00",NA,NA,"-191,000.00","253,100.00",NA,"4,407,000.00",NA,NA,NA,NA,NA,NA,"-131,818.00","52,000.00","-2,255,000.00","9,559,000.00",NA,"1,319,000.00",NA,NA
Capital Expenditure,272592,"(332,000)","(327,500)","(491,500)",NA,NA,"(1,138,000)","(52,000)","(671,000)","-2,411.00",NA,"-219,100.00","-27,971.00","-123,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-5,755.00","-176,000.00","-664,000.00",NA,"-48,300.00","-4,000.00","-460,000.00",NA,"-106,600.00","-9,820.00",NA,NA,"-545,000.00","-381,000.00",NA,NA,NA,"-59,000.00",NA,NA,"-1,470,000.00","-40,172.00","-2,832,000.00","-506,000.00","-210,000.00","-64,891.00","-217,000.00",NA,NA,"-88,000.00","-2,016,000.00",NA,NA,NA,NA,NA,"-1,780,000.00","-26,200.00","-2,852.00",NA,NA,"-104,802.00","-30,800.00","-23,793.00",-270.00,"-198,000.00",NA,NA,NA,NA,"-190,000.00","-60,982.00","-108,000.00","-177,000.00","-151,000.00","-238,000.00","-236,000.00",NA,-417.00,"-205,000.00","-204,000.00",NA,NA,"-60,594.00",NA,"-482,500.00",NA,"-472,000.00","-27,310.00","-48,000.00","-3,613.00",NA,NA,"-10,000.00","-58,000.00",NA,"-366,000.00",NA,"-272,000.00",NA,"-386,000.00","-92,000.00",NA,"-1,641,000.00","-366,000.00","-7,580.00",NA,"-46,800.00","-51,600.00","-96,500.00",NA,"-317,000.00","-239,000.00",NA,"-1,252,554.00","-325,000.00","-9,000.00","-58,032.00","-1,267,000.00","-224,000.00","-173,353.00","-210,655.00","-175,728.00","-116,486.00",NA,"-324,000.00",NA,"-65,000.00","-264,000.00","-428,000.00","-156,000.00","-39,300.00","-2,843,000.00","-901,000.00","-11,821.00",NA,NA,"-6,000.00","-39,100.00",NA,"-5,274,000.00",NA,NA,NA,NA,NA,NA,"-166,115.00","-795,000.00","-4,966,000.00",NA,NA,"-21,000.00",NA,NA
Change in Net Working Capital,272627,"610,000","(209,100)","236,900",NA,NA,NA,"(1,368,000)","235,000","68,275.00",NA,"59,600.00","-504,537.00","185,000.00",NA,NA,NA,NA,"333,178.00","9,513,000.00",NA,NA,-818.00,"5,000.00","880,000.00",NA,"-19,500.00","-60,000.00",NA,NA,"96,400.00","-18,927.00",NA,NA,"236,000.00","-92,000.00",NA,NA,NA,NA,NA,NA,"1,356,000.00","71,317.00","1,090,000.00","-98,000.00","580,000.00",-404.00,"32,000.00",NA,"32,111.00","186,300.00","502,000.00",NA,NA,"-101,549.00",NA,NA,"2,024,000.00","28,800.00","-43,198.00",NA,NA,"-11,115.00","-364,510.00","16,712.00","-14,514.00","-409,000.00",NA,NA,NA,NA,"3,000.00",NA,"-39,000.00","-74,600.00","-130,000.00","287,000.00",NA,NA,"-24,523.00","-935,000.00","659,000.00","-6,430.00",NA,"-132,989.00",NA,"265,400.00",NA,"348,000.00","63,936.00","-13,000.00","102,035.00","-43,216.00",NA,"82,000.00","7,000.00",NA,"-56,000.00",NA,"1,831,000.00",NA,"-2,287,000.00","185,000.00",NA,"-86,000.00","-145,000.00","29,562.00",NA,"120,300.00","-10,200.00","-11,900.00",NA,"-1,065,000.00","1,508,000.00",NA,"-108,283.00","-13,383,000.00","-68,000.00","104,799.00","721,000.00","291,000.00","-154,455.00","-169,598.00","509,391.00","-73,799.00",NA,"25,000.00",NA,"2,274,000.00",NA,"3,874,000.00",NA,"5,000.00",NA,"-944,000.00","121,557.00",NA,NA,"-15,000.00","-80,300.00",NA,"3,058,000.00",NA,NA,NA,NA,NA,NA,"84,746.00","-83,000.00",NA,NA,NA,"-351,000.00",NA,"9,037.92"
Unlevered Free Cash Flow,272626,"690,500","101,475","(571,025)",NA,NA,NA,"3,116,625","(449,000)","51,652.38",NA,"-46,437.50","626,609.13","-44,375.00",NA,NA,NA,NA,"25,733.75","-5,577,375.00",NA,NA,"28,508.75","17,750.00","-1,011,000.00",NA,"2,575.00","-889,875.00",NA,NA,"137,350.00","42,222.50",NA,NA,"-317,750.00","821,500.00",NA,NA,NA,NA,NA,NA,"-1,313,250.00","106,971.88","-1,751,625.00","-49,000.00","-557,000.00","-26,976.00","-117,500.00",NA,"59,810.38","-76,262.50","-372,500.00",NA,NA,"164,235.38",NA,NA,"-2,197,750.00","144,075.00","-10,600.38",NA,NA,"547,927.88","616,272.50","60,655.13","-2,144.38","1,251,125.00",NA,NA,NA,NA,"-23,125.00",NA,"-39,000.00","181,550.00","452,875.00","-175,625.00",NA,NA,"60,183.13","1,994,625.00","-568,625.00","39,883.25",NA,"164,619.63",NA,"794,425.00",NA,"-567,500.00","-16,522.38","258,875.00","59,571.50","99,611.88",NA,"2,250.00","76,500.00",NA,"593,375.00",NA,"-1,015,500.00",NA,"4,930,125.00","-80,375.00",NA,"-246,250.00","160,250.00","8,893.38",NA,"-89,362.50","25,275.00","-37,087.50",NA,"1,562,875.00","-933,000.00",NA,"-951,299.63","14,752,875.00","164,375.00","-218,171.38","-1,274,000.00","-272,750.00","143,829.25","139,017.00","-3,032.38","17,265.13",NA,"-177,000.00",NA,"-1,355,250.00",NA,"-3,939,125.00",NA,"-14,562.50",NA,"1,617,000.00","-48,398.13",NA,NA,"112,000.00","224,575.00",NA,"419,625.00",NA,NA,NA,NA,NA,NA,"-172,598.63","33,125.00",NA,NA,NA,"606,875.00",NA,NA
