SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"8,851,000","364,200","361,600",NA,NA,"2,114,000","4,880,000","1,496,000","312,573",NA,"817,000","8,385,919","1,654,000",NA,NA,NA,NA,"706,550","936,000",NA,NA,"153,295","1,595,000","2,547,000",NA,"324,300","2,227,000","21,157,000",NA,"2,678,900","159,267","5,559,000","7,343,000","3,290,000","2,813,000",NA,NA,NA,"3,160,000",NA,NA,"3,870,000","1,867,901","6,150,000","1,101,000","745,000","140,361","532,000",NA,"110,252","1,213,000","4,632,000",NA,NA,"116,186",NA,NA,"36,228,000","1,259,200","363,042","4,346,000",NA,"1,990,007","1,114,800","191,885","190,580","15,646,000",NA,NA,NA,NA,"336,000","2,466,575","420,000","706,000","2,902,000","2,428,000","4,771,000",NA,"705,953","19,675,000","3,148,000","62,807",NA,"1,775,424",NA,"5,124,600",NA,"1,067,000","683,954","1,773,000","478,423","80,077","754,000","1,544,000","2,288,000",NA,"2,639,000",NA,"9,157,000",NA,"9,367,000","1,915,000",NA,"4,716,000","1,242,000","850,483",NA,"1,774,000","236,500","296,100",NA,"1,792,000",NA,"1,100,591","42,014","15,251,000","1,757,000","9,742","2,953,000","2,052,000","521,932","885,907","11,777,379","117,746",NA,"599,000",NA,"12,451,000","4,004,000","15,217,000","4,715,000","172,800","17,774,000","41,549,000","872,986",NA,NA,"1,060,000","3,072,000",NA,"32,867,000",NA,NA,NA,NA,NA,NA,"530,488","1,830,000",NA,"19,580,000",NA,"2,506,000",NA,NA
Gross Profit,271473,"4,462,000","222,900.00","336,900",NA,NA,"2,114,000","3,240,000","725,000","165,334.00",NA,"347,400.00","930,110.00","385,000.00",NA,NA,NA,NA,"446,779.00","-208,000.00",NA,NA,"108,704.00","500,000.00","915,000.00",NA,"77,000.00","803,000.00","21,157,000.00",NA,"810,200.00","54,804.00","-52,000.00","4,721,000.00","1,156,000.00","1,458,000.00",NA,NA,NA,"3,051,000.00",NA,NA,"1,889,000.00","725,455.00","3,029,000.00","500,000.00","350,000.00","59,090.00","291,000.00",NA,"94,939.00","729,700.00","1,907,000.00",NA,NA,"82,944.00",NA,NA,"5,312,000.00","711,900.00","182,589.00","1,773,000.00",NA,"1,064,761.00","618,500.00","132,210.00","61,363.00","3,324,000.00",NA,NA,NA,NA,"314,000.00","2,022,663.00","107,000.00","368,800.00","1,612,000.00","828,000.00","453,000.00",NA,"190,761.00","6,513,000.00","947,000.00","62,807.00",NA,"261,565.00",NA,"2,668,300.00",NA,"291,000.00","189,643.00","862,000.00","392,643.00","77,966.00","754,000.00","418,000.00","736,000.00",NA,"1,332,000.00",NA,"1,740,000.00",NA,"7,487,000.00","444,000.00",NA,"1,488,000.00","559,000.00","161,532.00",NA,"448,000.00","102,100.00","71,700.00",NA,"1,353,000.00",NA,"1,100,591.00","-236,343.00","2,714,000.00","183,000.00","-58,718.00","1,116,000.00","-544,000.00","259,776.00","287,582.00","2,219,845.00","52,209.00",NA,"294,000.00",NA,"4,643,000.00","4,004,000.00","1,977,000.00","4,568,000.00","66,600.00","16,143,000.00","10,095,000.00","315,036.00",NA,NA,"245,000.00","725,100.00",NA,"19,345,000.00",NA,NA,NA,NA,NA,NA,"144,919.00","914,000.00",NA,"19,580,000.00",NA,"1,076,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,627,000","46,100.0","151,700",NA,NA,"796,000","1,421,000","235,000","48,921.00",NA,"122,500.00","207,228.00","-297,000.00",NA,NA,NA,NA,"131,212.00","-583,000.00",NA,NA,"5,278.00","222,000.00","280,000.00",NA,"36,100.00","620,000.00","7,977,000.00",NA,"329,800.00","24,201.00","-769,000.00","3,211,000.00","599,000.00","706,000.00",NA,NA,NA,"1,593,000.0",NA,NA,"980,000.00","232,769.00","941,000.00","117,000.00","112,000.00","22,067.00","91,000.00",NA,"3,380.00","202,900.00","525,000.00",NA,NA,"63,583.00",NA,NA,"3,262,000.00","111,700.00","-24,339.00","591,500.00",NA,"198,410.00","117,500.00","22,393.0","-68,159.00","1,068,000.00",NA,NA,NA,NA,"100,000.00","582,549.00","39,000.00","153,400.0","325,000.00","-541,000.00","-494,000.00",NA,"99,658.00","1,337,000.00","-3,581,000.00","57,346.00",NA,"66,112.00",NA,"1,537,200.00",NA,"144,000.00","37,842.00","245,000.00","196,819.00","35,384.00","370,000.00","31,000.00","89,000.00",NA,"673,000.00",NA,"2,195,000.00",NA,"2,251,000.00","210,000.00",NA,"177,000.00","169,000.00","47,513.00",NA,"133,100.00","60,100.00","-2,700.00",NA,"482,000.00",NA,"301,336.00","-1,131,722.00","813,000.00","37,000.00","-110,416.00","323,000.00","116,000.00","118,715.00","118,845.00","216,900.00","23,864.00",NA,"92,000.00",NA,"2,406,000.00","932,000.00","-561,000.00","1,484,000.00","18,300.00","6,836,000.00","1,212,000.00","111,281.00",NA,NA,"101,000.00","153,000.00",NA,"5,378,000.00",NA,NA,NA,NA,NA,NA,"-8,527.00","374,000.00",NA,"4,690,000.00",NA,"681,000.00",NA,137.9
Net Income,271510,"1,624,000","46,100.00","151,700",NA,NA,"796,000","1,424,000","233,000","48,921.00",NA,"122,500.00","206,321.00","-297,000.00",NA,NA,NA,NA,"114,745.00","-585,000.00",NA,NA,"5,278.00","222,000.00","363,000.00",NA,"36,100.00","620,000.00","7,942,000.00",NA,"329,000.00","24,201.00","-793,000.00","3,116,000.00","599,000.00","706,000.00",NA,NA,NA,"1,593,000.00",NA,NA,"1,008,000.00","232,769.00","992,000.00","117,000.00","112,000.00","22,067.00","91,000.00",NA,"3,380.00","201,600.00","-289,000.00",NA,NA,"63,565.00",NA,NA,"3,262,000.00","110,200.00","-24,440.00","584,500.00",NA,"196,681.00","116,200.00","22,393.00","-66,594.00","1,068,000.00",NA,NA,NA,NA,"100,000.00","584,061.00","39,000.00","153,000.00","325,000.00","-541,000.00","-494,000.00",NA,"99,658.00","1,337,000.00","-3,581,000.00","57,346.00",NA,"65,649.00",NA,"1,537,200.00",NA,"144,000.00","37,842.00","244,000.00","196,819.00","35,332.00","370,000.00","30,000.00","89,000.00",NA,"673,000.00",NA,"2,195,000.00",NA,"2,251,000.00","210,000.00",NA,"177,000.00","169,000.00","47,513.00",NA,"134,100.00","60,100.00","-2,700.00",NA,"482,000.00",NA,"291,942.00","-1,131,722.00","753,000.00","36,000.00","-110,415.00","323,000.00","116,000.00","118,715.00","117,293.00","216,900.00","23,864.00",NA,"92,000.00",NA,"-1,381,000.00","927,000.00","-537,000.00","1,484,000.00","18,300.00","6,836,000.00","1,212,000.00","111,281.00",NA,NA,"101,000.00","153,000.00",NA,"5,245,000.00",NA,NA,NA,NA,NA,NA,"-12,389.00","374,000.00",NA,"4,636,000.00",NA,"681,000.00",NA,137.89
EBIT,271530,"2,222,000","91,900.00","208,600",NA,NA,NA,"2,773,000","350,000","60,058.00",NA,"178,600.00","300,212.00","-221,000.00",NA,NA,NA,NA,"228,320.00","-729,000.00",NA,NA,"16,547.00","310,000.00","454,000.00",NA,"46,800.00","781,000.00",NA,NA,"521,700.00","33,282.00","-1,113,000.00","4,099,000.00","530,000.00","1,113,000.00",NA,NA,NA,NA,NA,NA,"1,260,000.00","320,301.00","1,450,000.00","207,000.00","179,000.00","33,014.00","125,000.00",NA,"43,487.00","306,600.00","853,000.00",NA,NA,"42,405.00",NA,NA,"3,081,000.00","197,600.00","-4,735.00","708,000.00",NA,"367,059.00","147,300.00","45,376.00","-25,076.00","1,488,000.00",NA,NA,NA,NA,"187,000.00",NA,"-53,000.00","272,300.00","706,000.00","-465,000.00","-324,000.00",NA,"123,255.00","1,991,000.00","-651,000.00","53,561.00",NA,"100,463.00",NA,"2,101,900.00",NA,"52,000.00","61,112.00","352,000.00","254,375.00","48,808.00",NA,"131,000.00","205,000.00",NA,"1,040,000.00",NA,"1,209,000.00",NA,"3,388,000.00","298,000.00",NA,"689,000.00","235,000.00","68,481.00",NA,"183,200.00","77,300.00","11,400.00",NA,"735,000.00",NA,NA,"-809,680.00","1,475,000.00","107,000.00","-90,521.00","447,000.00","-1,268,000.00","166,886.00","169,948.00","435,007.00","-3,889.00",NA,"134,000.00",NA,"3,169,000.00",NA,"628,000.00",NA,"26,300.00",NA,"1,435,000.00","124,390.00",NA,NA,"138,000.00","243,200.00",NA,"8,349,000.00",NA,NA,NA,NA,NA,NA,"-5,314.00","497,000.00",NA,NA,NA,"953,000.00",NA,NA
EBIT / Interest Expense (x),274483,16.83,2.14,6.12,NA,NA,NA,8.86,3.50,2.15,NA,3.25,7.51,NM,NA,NA,NA,NA,2.12,NM,NA,NA,1.66,9.69,3.11,NA,2.41,60.08,NA,NA,4.56,14.09,NM,35.96,6.88,6.05,NA,NA,NA,NA,NA,NA,23.77,11.94,2.71,2.59,3.58,4.81,5.00,NA,1.11,8.24,2.68,NA,NA,3.11,NA,NA,6.47,7.13,NM,59.00,NA,4.52,3.08,1.97,NM,23.62,NA,NA,NA,NA,3.02,NA,NM,6.98,5.04,NM,NM,NA,NA,9.48,NM,3.88,NA,8.06,NA,7.01,NA,0.67,7.26,6.29,6.77,3.76,NA,2.91,3.06,NA,6.67,NA,7.80,NA,5.52,9.03,NA,1.98,2.20,6.13,NA,15.79,8.40,0.79,NA,9.30,NA,NA,NM,4.31,3.45,NM,2.43,NM,7.53,7.09,2.97,NM,NA,3.53,NA,36.85,NA,0.93,NA,4.38,NA,8.25,16.54,NA,NA,27.60,5.48,NA,7.58,NA,NA,NA,NA,NA,NA,NM,3.65,NA,NA,NA,12.06,NA,NA
Avg. Days Sales Out.,274485,48,46,28,NA,NA,NA,3,41,13,NA,30,98,15,NA,NA,NA,NA,156,NM,NA,NA,56,29,41,NA,10,103,NA,NA,28,55,NA,NA,55,30,NA,NA,NA,NA,NA,NA,48,58,43,16,7,5,17,NA,93,50,69,NA,NA,74,NA,NA,19,60,51,NA,NA,37,112,68,33,31,NA,NA,NA,NA,29,NA,53,33,33,NA,NA,NA,11,NA,9,NA,NA,91,NA,34,NA,32,114,110,100,118,NA,65,63,NA,23,NA,68,NA,50,49,NA,96,49,18,NA,13,46,16,NA,17,NA,NA,494,116,56,303,52,6,39,58,22,47,NA,33,NA,58,NA,62,NA,32,NA,4,27,NA,NA,26,NA,NA,66,NA,NA,NA,NA,NA,NA,52,55,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7,8,13,NA,NA,NA,140,9,28,NA,12,4,25,NA,NA,NA,NA,2,0,NA,NA,6,12,9,NA,35,4,NA,NA,13,7,NA,NA,7,12,NA,NA,NA,NA,NA,NA,7,6,8,22,51,68,22,NA,4,7,5,NA,NA,5,NA,NA,19,6,7,NA,NA,10,3,5,11,12,NA,NA,NA,NA,13,NA,7,11,11,NA,NA,NA,32,NA,42,NA,NA,4,NA,10,NA,11,3,3,4,3,NA,6,6,NA,16,NA,5,NA,7,7,NA,4,7,20,NA,28,8,22,NA,21,NA,NA,1,3,6,1,7,61,9,6,16,8,NA,11,NA,6,NA,6,NA,11,NA,102,13,NA,NA,14,NA,NA,5,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3,0,0,NA,NA,NA,10,0,0,NA,0,36,1,NA,NA,NA,NA,0,NA,NA,NA,12,1,0,NA,1,42,NA,NA,4,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,4,8,4,NA,NA,4,9,0,0,17,NA,NA,NA,NA,0,NA,0,0,4,1,NA,NA,288,3,1,NA,NA,6,NA,1,NA,0,4,5,8,0,NA,8,5,NA,0,NA,4,NA,6,2,NA,0,0,9,NA,7,0,0,NA,1,NA,NA,0,4,22,0,0,0,0,1,9,0,NA,0,NA,41,NA,5,NA,0,NA,6,6,NA,NA,33,23,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,1,0,0,NA,NA,NA,0,0,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,1,0,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,1,0,NA,NA,0,NA,NA,1,0,1,NA,NA,0,0,0,0,2,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,2,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,2,NA,2,0,0,NA,0,NA,0,0,0,1,0,0,0,0,0,2,0,NA,0,NA,0,NA,0,0,0,0,4,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,688,000","84,100","201,700",NA,NA,"1,170,000","3,040,000","-35,000","151,997",NA,"315,300","-4,536","-342,000",NA,NA,NA,NA,"152,063","-104,000",NA,NA,"50,362","-1,787,000","-1,681,000",NA,"-19,800","354,000","23,198,000",NA,"284,500","49,091","-1,612,000","573,000","723,000","1,232,000",NA,NA,NA,"1,508,000",NA,NA,"1,452,000","177,184","2,088,000","338,000","336,000","32,805","96,000",NA,"78,306","143,400","-1,261,000",NA,NA,"41,400",NA,NA,"4,492,000","144,800","-37,849","520,000",NA,"599,406","377,600","65,353","-84,742","1,022,000",NA,NA,NA,NA,"142,000","-1,495,938","61,000","226,200","546,000","53,000","-328,000",NA,"160,686","4,450,000","-164,000","-24,951",NA,"257,164",NA,"2,124,000",NA,"-92,000","94,095","370,000","215,457","56,912","179,000","111,000","-25,000",NA,"1,015,000",NA,"-66,000",NA,"5,953,000","204,000",NA,"1,283,000","469,000","50,292",NA,"56,000","124,100","-685,400",NA,"814,000",NA,"-495,348","-809,183","718,000","367,000","-90,379","48,000","645,000","-95,432","-52,457","930,914","-29,242",NA,"180,000",NA,"1,388,000","-3,174,000","-3,387,000","-4,742,000","11,300","-5,183,000","4,245,000","95,025",NA,NA,"-175,000","-193,800",NA,"9,694,000",NA,NA,NA,NA,NA,NA,"156,907","784,000",NA,"-3,470,000",NA,"698,000",NA,0
Cash from Investing,272601,"-369,000","-277,800","-398,300",NA,NA,"452,000","-29,000","-889,000","-208,230",NA,"-420,600","1,991","-60,000",NA,NA,NA,NA,"-242,273","-200,000",NA,NA,"-6,219","-131,000","-604,000",NA,"-12,300","-153,000","-40,934,000",NA,"-142,900","-11,840","1,839,000","474,000","-288,000","-297,000",NA,NA,NA,"6,188,000",NA,NA,"-2,308,000","-29,572","-3,137,000","-403,000","-195,000","-31,690","-193,000",NA,"-29,894","-973,500","95,000",NA,NA,"-22,062",NA,NA,"-491,000","-8,600","15,056","-72,500",NA,"-96,940","-25,500","-76,299","-56,985","-3,000",NA,NA,NA,NA,"-237,000","-32,340","99,000","-114,000","-99,000","-162,000","-100,000",NA,404,"-288,000","-113,000",NA,NA,"-134,612",NA,"-244,600",NA,"-303,000","-96,413","-52,000","-10,360","-9,133","2,885,000","-218,000","-54,000",NA,"-202,000",NA,"3,196,000",NA,"-9,655,000","-121,000",NA,"-1,796,000","-440,000","-45,045",NA,"-30,200","-34,300","-79,400",NA,"-211,000",NA,"-798,490","-967,560","582,000","-1,202,000","-8,361","-1,282,000","-201,000","-124,380","-144,860","-82,866","-23,437",NA,"-270,000",NA,"513,000","4,678,000","2,764,000","-13,158,000","-56,200","-2,487,000","-689,000","-2,086",NA,NA,"-3,000","588,600",NA,"-49,653,000",NA,NA,NA,NA,NA,NA,"-229,262","-783,000",NA,"15,528,000",NA,"-53,000",NA,NA
Cash from Financing,272618,"-1,251,000","204,300","196,600",NA,NA,"-1,167,000","-2,172,000","795,000","3,260",NA,"99,000","-123,166","-138,000",NA,NA,NA,NA,"-679,936","221,000",NA,NA,"-58,138","1,918,000","2,285,000",NA,"106,800","-154,000","33,255,000",NA,"-259,600",-15,"208,000","-927,000","-190,000","-1,109,000",NA,NA,NA,"-611,000",NA,NA,"1,171,000","-124,239","1,185,000","50,000","-131,000","4,217","101,000",NA,"-532,435","-88,600","2,334,000",NA,NA,"-39,298",NA,NA,"-7,793,000","-654,900","-34,178","-539,500",NA,"-369,022","-370,800","-74,733","73,058","-1,723,000",NA,NA,NA,NA,"94,000","1,069,653","-1,000","-39,500","-355,000","1,425,000","443,000",NA,"-148,875","1,092,000","1,148,000","58,033",NA,"-33,191",NA,"-2,263,900",NA,"394,000","12,961","-256,000","245,542","22,106","-2,499,000","98,000","-239,000",NA,"-930,000",NA,"-4,520,000",NA,"-6,493,000","-194,000",NA,"265,000","1,000","-43,843",NA,"-224,300","-89,700","764,600",NA,"-607,000",NA,"1,387,883","3,183,924","-1,539,000","927,000","-6,085","1,204,000","464,000","228,537","206,207","-950,827","-57,563",NA,"94,000",NA,"-1,480,000","-1,520,000","-48,000","20,779,000","50,000","42,983,000","-1,229,000","-142,989",NA,NA,"56,000","-30,000",NA,"27,956,000",NA,NA,NA,NA,NA,NA,140,"20,000",NA,"10,063,000",NA,"-124,000",NA,NA
Foreign Exchange Rate Adj.,272619,"-66,000",NA,NA,NA,NA,"2,000",NA,NA,NA,NA,NA,"-20,203.00","-2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-452,000.00",NA,"2,900.00",NA,NA,NA,"-49,000.00",NA,NA,NA,NA,NA,NA,NA,NA,64.00,NA,NA,NA,NA,NA,NA,18.00,NA,NA,NA,NA,NA,NA,NA,"-93,000.00","-6,500.00","-6,550.00","-5,500.00",NA,"-21,141.00",-600.00,NA,NA,NA,NA,NA,NA,NA,NA,"3,886.00",NA,"-1,000.00","2,000.00",NA,"-3,000.00",NA,NA,"-15,000.00",NA,NA,NA,-72.00,NA,"-44,900.00",NA,NA,"2,619.00","4,000.00","-4,013.00",NA,NA,"-6,000.00","-14,000.00",NA,NA,NA,NA,NA,"232,000.00","-1,000.00",NA,NA,NA,NA,NA,"-4,300.00",NA,NA,NA,NA,NA,NA,-192.00,"23,000.00",NA,-181.00,NA,NA,NA,103.00,"17,095.00",NA,NA,NA,NA,NA,"-33,000.00","-18,000.00",NA,NA,NA,NA,"3,552.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.00,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"2,000","10,600.00",NA,NA,NA,"457,000","839,000","-129,000","-52,973.00",NA,"-6,300.00","-145,914.00","-542,000.00",NA,NA,NA,NA,"-770,146.00","-83,000.00",NA,NA,"-13,995.00",NA,NA,NA,"74,700.00","47,000.00","15,067,000.00",NA,"-115,100.00","37,236.00","435,000.00","120,000.00","196,000.00","-174,000.00",NA,NA,NA,"7,085,000.00",NA,NA,"315,000.00","23,437.00","136,000.00","-15,000.00","10,000.00","5,332.00","4,000.00",NA,"-484,005.00","-918,700.00","1,168,000.00",NA,NA,"-19,960.00",NA,NA,"-3,885,000.00","-525,200.00","-63,521.00","-97,500.00",NA,"112,303.00","-19,300.00","-85,679.00","-68,669.00","-704,000.00",NA,NA,NA,NA,"-1,000.00","-454,739.00","159,000.00","71,700.00","94,000.00","1,316,000.00","12,000.00",NA,"12,215.00","5,239,000.00","871,000.00","33,082.00",NA,"89,289.00",NA,"-429,400.00",NA,"-1,000.00","13,262.00","66,000.00","446,626.00","69,885.00","565,000.00","-15,000.00","-332,000.00",NA,"-117,000.00",NA,"-1,390,000.00",NA,"-9,963,000.00","-112,000.00",NA,"-277,000.00","30,000.00","-38,596.00",NA,"-202,800.00",100.00,-200.00,NA,"-4,000.00",NA,"94,045.00","1,406,989.00","-216,000.00","92,000.00","-105,006.00","-30,000.00","908,000.00","8,725.00","8,993.00","-85,684.00","-110,242.00",NA,"4,000.00",NA,"421,000.00","-49,000.00","-689,000.00","2,879,000.00","5,100.00","35,313,000.00","2,327,000.00","-46,498.00",NA,NA,"-122,000.00","364,800.00",NA,"-12,003,000.00",NA,NA,NA,NA,NA,NA,"-71,891.00","21,000.00",NA,"22,121,000.00",NA,"521,000.00",NA,NA
Capital Expenditure,272592,"-310,000","-295,100.00","-400,500",NA,NA,"-1,269,000","-26,000","-888,000","-8,258.00",NA,"-187,500.00","-20,180.00","-55,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-6,219.00","-133,000.00","-594,000.00",NA,"-12,300.00","-5,000.00","-830,000.00",NA,"-145,500.00","-8,282.00","-382,000.00",NA,"-289,000.00","-306,000.00",NA,NA,NA,"-41,000.00",NA,NA,"-1,351,000.00","-31,260.00","-2,215,000.00","-396,000.00","-186,000.00","-39,142.00","-220,000.00",NA,NA,"-113,000.00","-2,140,000.00",NA,NA,NA,NA,NA,"-1,368,000.00","-8,400.00","-2,136.00","-55,000.00",NA,"-86,159.00","-23,900.00","-28,931.00",-400.00,"-131,000.00",NA,NA,NA,NA,"-239,000.00","-24,243.00","-86,000.00","-106,000.00","-95,000.00","-162,000.00","-180,000.00",NA,"-1,279.00","-328,000.00","-122,000.00",NA,NA,"-48,058.00",NA,"-368,700.00",NA,"-298,000.00","-20,309.00","-52,000.00",-664.00,-8.00,NA,"-10,000.00","-54,000.00",NA,"-265,000.00",NA,"-205,000.00",NA,"-436,000.00","-84,000.00",NA,"-1,778,000.00","-439,000.00","-14,239.00",NA,"-45,400.00","-34,500.00","-79,900.00",NA,"-219,000.00",NA,NA,"-1,061,691.00","-387,000.00","-9,000.00","-8,361.00","-1,357,000.00","-95,000.00","-128,544.00","-152,709.00","-75,539.00","-5,898.00",NA,"-270,000.00",NA,"-61,000.00","-220,000.00","-291,000.00","-186,000.00","-51,600.00","-1,312,000.00","-698,000.00","-10,504.00",NA,NA,"-5,000.00","-30,900.00",NA,"-4,494,000.00",NA,NA,NA,NA,NA,NA,"-208,722.00","-822,000.00",NA,NA,NA,"-22,000.00",NA,NA
Change in Net Working Capital,272627,"402,000","43,400.00","101,500",NA,NA,NA,"-876,000","575,000","10,370.00",NA,"120,700.00","229,859.00","346,000.00",NA,NA,NA,NA,"398,244.00","-1,851,000.00",NA,NA,"-13,825.00","340,000.00","685,000.00",NA,"157,900.00","-54,000.00",NA,NA,"228,600.00","-10,350.00",NA,NA,"148,000.00","-148,000.00",NA,NA,NA,NA,NA,NA,"821,000.00","84,422.00","917,000.00","21,000.00","-50,000.00","6,487.00","40,000.00",NA,"-10,498.00","246,300.00","-273,000.00",NA,NA,"63,470.00",NA,NA,"-714,000.00","108,200.00","70,029.00",NA,NA,"-184,351.00","-178,100.00","70,785.00","-64,975.00","-306,000.00",NA,NA,NA,NA,"8,000.00",NA,"-74,000.00","-5,000.00","69,000.00","-312,000.00",NA,NA,"-55,415.00","-2,729,000.00","-668,000.00","-28,905.00",NA,"-89,731.00",NA,"-76,900.00",NA,"708,000.00","4,018.00","-49,000.00","49,617.00","-7,285.00",NA,"75,000.00","201,000.00",NA,"-154,000.00",NA,"-1,451,000.00",NA,"-2,477,000.00","219,000.00",NA,"455,000.00","56,000.00","36,778.00",NA,"156,300.00","-56,900.00","12,600.00",NA,"28,000.00",NA,NA,"-1,398.00","-788,000.00","-237,000.00","-3,198.00","817,000.00","-772,000.00","246,211.00","215,841.00","-510,899.00","50,657.00",NA,"29,000.00",NA,"-8,316,000.00",NA,"3,425,000.00",NA,"2,500.00",NA,"-2,268,000.00","21,889.00",NA,NA,"-3,000.00","281,000.00",NA,"504,000.00",NA,NA,NA,NA,NA,NA,"-11,325.00","-203,000.00",NA,NA,NA,"140,000.00",NA,"9,670.16"
Unlevered Free Cash Flow,272626,"1,267,750","-183,562.50","-301,025",NA,NA,NA,"2,646,125","-943,250","117,089.25",NA,"-60,775.00","1,147.50","-380,125.00",NA,NA,NA,NA,"-59,691.00","1,395,375.00",NA,NA,"48,605.88","-199,250.00","-688,250.00",NA,"-109,250.00","569,125.00",NA,NA,"64,562.50","44,836.25",NA,NA,"290,250.00","914,625.00",NA,NA,NA,NA,NA,NA,"-699,500.00","169,833.13","-840,750.00","-44,625.00","128,875.00","-3,937.25","-106,875.00",NA,"81,691.38","-30,275.00","770,125.00",NA,NA,885.13,NA,NA,"3,054,625.00","120,500.00","-58,160.38",NA,NA,"811,391.88","418,362.50","3,652.00","100,762.50","1,424,000.00",NA,NA,NA,NA,"-66,125.00",NA,"90,875.00","169,387.50","465,250.00","101,375.00",NA,NA,"134,880.38","4,045,375.00","344,125.00","64,713.63",NA,"200,501.38",NA,"1,503,087.50",NA,"-758,500.00","37,858.00","356,000.00","146,256.38","64,294.00",NA,"81,875.00","-26,875.00",NA,"847,000.00",NA,"2,313,625.00",NA,"5,287,500.00","13,250.00",NA,"-795,375.00","-84,125.00","18,602.63",NA,"-16,200.00","90,912.50","-35,475.00",NA,"529,375.00",NA,NA,"-1,237,343.00","2,497,875.00","336,875.00","-54,916.63","-1,354,625.00","196,500.00","-198,845.25","-165,232.50","940,972.38","-15,081.63",NA,"-109,250.00",NA,"10,495,625.00",NA,"-2,160,500.00",NA,"-18,962.50",NA,"3,547,875.00","73,933.75",NA,NA,"117,250.00","-130,600.00",NA,"-40,388,875.00",NA,NA,NA,NA,NA,NA,"-107,714.25","56,625.00",NA,NA,NA,"558,625.00",NA,NA
