SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,133,000",NA,"492,100",NA,NA,"1,892,000","5,079,000","1,707,000","466,728",NA,"1,032,500","8,746,430","2,787,000",NA,NA,NA,NA,"1,054,753","1,907,000",NA,NA,"183,903","1,218,000","2,505,000",NA,"665,900","3,091,000","17,656,000",NA,"2,781,800","128,327","6,074,000","6,580,000","4,215,000","3,508,000",NA,NA,NA,NA,NA,NA,"4,093,000","2,099,079","7,491,000","1,320,000","873,000","182,000","588,000",NA,"180,382","1,550,600","5,412,000",NA,NA,"219,278",NA,NA,"45,890,000","1,122,500","280,524","5,698,000",NA,"1,932,807","1,445,900",NA,"624,449","14,639,000",NA,NA,NA,NA,"448,000","2,068,853","616,000",NA,"4,499,000","5,397,000","3,800,000",NA,"473,967","18,554,000","8,007,000","145,541",NA,"3,939,800",NA,"7,009,000",NA,"907,000","1,044,106","3,380,000","822,528","107,475","93,000","720,000","1,897,000",NA,"2,974,000",NA,"11,712,000",NA,"15,903,000","2,142,000",NA,"6,804,000","1,802,000","924,168",NA,"1,941,600","270,900","465,100",NA,"1,159,000",NA,"1,146,602","4,259,000","24,238,000","1,838,000","650,089","5,202,000","7,442,000","482,835","480,735","21,138,000","147,741",NA,"706,000",NA,"17,345,000","5,205,000","23,948,000","6,336,000","327,400","15,577,000","34,308,000","1,066,200",NA,NA,"1,234,000","3,244,100",NA,"36,381,000",NA,NA,NA,NA,NA,NA,"1,147,082","3,024,000",NA,"20,252,000",NA,"1,541,000",NA,NA
Gross Profit,271473,"2,058,000",NA,"433,600",NA,NA,"1,892,000","6,637,000","898,000","262,181.00",NA,"390,200.00","998,756.00","1,301,000.00",NA,NA,NA,NA,"705,897.00","522,000.00",NA,NA,"119,486.00","462,000.00","1,130,000.00",NA,"196,700.00","883,000.00","17,656,000.00",NA,"708,200.00","24,544.00","990,000.00","1,543,000.00","1,498,000.00","1,552,000.00",NA,NA,NA,NA,NA,NA,"1,693,000.00","834,177.00","4,023,000.00","745,000.00","401,000.00","80,200.00","382,000.00",NA,"165,520.00","889,400.00","2,519,000.00",NA,NA,"167,748.00",NA,NA,"579,000.00","708,900.00","161,000.00","2,261,000.00",NA,"1,369,061.00","865,900.00",NA,"149,919.00","2,962,000.00",NA,NA,NA,NA,"427,000.00","1,333,987.00","241,000.00",NA,"2,419,000.00","1,924,000.00","843,000.00",NA,"84,722.00","6,097,000.00","3,016,000.00","145,541.00",NA,"508,344.00",NA,"4,031,000.00",NA,"374,000.00","293,191.00","1,772,000.00","679,147.00","81,478.00","93,000.00","180,000.00","628,000.00",NA,"1,280,000.00",NA,"2,296,000.00",NA,"11,162,000.00","509,000.00",NA,"2,630,000.00","561,000.00","212,673.00",NA,"403,900.00","91,700.00","137,100.00",NA,"827,000.00",NA,"1,146,602.00","2,085,000.00","4,717,000.00","232,000.00","186,895.00","4,728,000.00","1,803,000.00","276,820.00","271,378.00","3,986,000.00","76,046.00",NA,"342,000.00",NA,"7,416,000.00","5,205,000.00","1,812,000.00","6,194,000.00","107,900.00","12,764,000.00","9,091,000.00","336,000.00",NA,NA,"157,000.00","1,056,700.00",NA,"20,108,000.00",NA,NA,NA,NA,NA,NA,"365,299.00","1,397,000.00",NA,"20,252,000.00",NA,"161,000.00",NA,NA
Earnings from Cont. Ops.,271505,"574,000",NA,"150,500",NA,NA,"327,000","1,117,000","253,000","130,527.5",NA,"104,400.0","193,546.0","453,000.0",NA,NA,NA,NA,"298,958.0","138,000.0",NA,NA,"7,398.0","174,000.0","264,000.0",NA,"51,500.0","676,000.0","2,523,000.0",NA,"256,000.0","-5,636.0","432,000.0","798,000.0","587,000.0","720,000.0",NA,NA,NA,NA,NA,NA,"526,000.0","274,766.0","1,204,000.0","218,000.0","110,000.0","24,500.0","96,000.0",NA,"66,904.0","176,400.0","594,000.0",NA,NA,"86,952.0",NA,NA,"-11,054,000.0","191,500.0","-17,848.0","602,000.0",NA,"199,995.0","203,100.0",NA,"5,679.0","795,000.0",NA,NA,NA,NA,"132,000.0","215,671.0","72,000.0",NA,"353,000.0","48,000.0","69,000.0",NA,"17,321.0","1,124,000.0","342,000.0","131,111.0",NA,"153,056.0",NA,"2,164,000.0",NA,"240,000.0","66,454.0","650,000.0","284,669.0","37,803.0","-5,000.0","78,000.0","-315,000.0",NA,"644,000.0",NA,"1,427,000.0",NA,"3,427,000.0","-281,000.0",NA,"859,000.0","101,000.0","29,079.0",NA,"-303,300.0","46,900.0","31,000.0",NA,"-2,064,000.0",NA,"90,578.0","762,000.0","1,713,000.0","98,000.0","-92,384.0","1,997,000.0","323,000.0","118,169.0","69,833.0","531,000.0","22,110.0",NA,"85,000.0",NA,"3,827,000.0","1,469,000.0","8,220,000.0","2,459,000.0","17,500.0","4,617,000.0","634,000.0","73,000.0",NA,NA,"-1,000.0","174,100.0",NA,"2,448,000.0",NA,NA,NA,NA,NA,NA,"-240,735.0","358,000.0",NA,"5,423,000.0",NA,"74,000.0",NA,NA
Net Income,271510,"577,000",NA,"128,800",NA,NA,"327,000","1,117,000","252,000","130,527.50",NA,"104,400.00","194,604.00","453,000.00",NA,NA,NA,NA,"280,479.00","137,000.00",NA,NA,"7,398.00","174,000.00","264,000.00",NA,"51,300.00","676,000.00","2,471,000.00",NA,"256,000.00","-5,636.00","432,000.00","814,000.00","540,000.00","720,000.00",NA,NA,NA,NA,NA,NA,"567,000.00","282,075.00","1,184,000.00","218,000.00","110,000.00","24,500.00","96,000.00",NA,"66,904.00","175,800.00","594,000.00",NA,NA,"86,323.00",NA,NA,"-11,064,000.00","185,700.00","-18,560.00","589,000.00",NA,"217,524.00","201,600.00",NA,"6,000.00","795,000.00",NA,NA,NA,NA,"132,000.00","215,035.00","72,000.00",NA,"353,000.00","48,000.00","69,000.00",NA,"17,321.00","1,124,000.00","342,000.00","131,111.00",NA,"142,713.00",NA,"2,164,000.00",NA,"240,000.00","66,454.00","649,000.00","284,669.00","38,163.00","-5,000.00","98,000.00","-315,000.00",NA,"644,000.00",NA,"1,427,000.00",NA,"3,427,000.00","-298,000.00",NA,"859,000.00","101,000.00","29,079.00",NA,"-303,600.00","46,900.00","31,000.00",NA,"-2,064,000.00",NA,"84,991.00","754,000.00","1,622,000.00","98,000.00","-92,384.00","1,997,000.00","323,000.00","118,169.00","68,363.00","531,000.00","22,110.00",NA,"85,000.00",NA,"3,832,000.00","1,461,000.00","8,220,000.00","2,459,000.00","17,500.00","4,617,000.00","634,000.00","73,000.00",NA,NA,"-1,000.00","174,100.00",NA,"2,342,000.00",NA,NA,NA,NA,NA,NA,"-246,053.00","413,000.00",NA,"5,361,000.00",NA,"74,000.00",NA,NA
EBIT,271530,"761,000",NA,"224,700",NA,NA,NA,"5,927,000","420,000","114,280.50",NA,"202,100.00","324,631.00","678,000.00",NA,NA,NA,NA,"421,376.00","406,000.00",NA,NA,"21,739.00","269,000.00","538,000.00",NA,"125,200.00","853,000.00",NA,NA,"381,100.00","1,154.00","598,000.00","995,000.00","698,000.00","1,148,000.00",NA,NA,NA,NA,NA,NA,"902,000.00","382,576.00","2,104,000.00","424,000.00","180,000.00","44,800.00","168,000.00",NA,"95,449.00","280,800.00","1,170,000.00",NA,NA,"109,974.00",NA,NA,"-3,070,000.00","225,900.00","12,522.00","896,000.00",NA,"538,801.00","298,900.00",NA,"45,966.00","1,089,000.00",NA,NA,NA,NA,"251,000.00",NA,"114,000.00",NA,"1,018,000.00","202,000.00","194,000.00",NA,"19,124.00","1,738,000.00","599,000.00","125,921.00",NA,"212,164.00",NA,"3,159,000.00",NA,"74,000.00","113,364.00","940,000.00","460,141.00","51,887.00",NA,"17,000.00","132,000.00",NA,"927,000.00",NA,"1,936,000.00",NA,"5,166,000.00","164,000.00",NA,"1,345,000.00","187,000.00","57,405.00",NA,"21,900.00","62,200.00","61,900.00",NA,"230,000.00",NA,NA,"936,000.00","2,672,000.00","133,000.00","-29,978.00","1,857,000.00","379,000.00","168,477.00","163,035.00","1,172,000.00","26,607.00",NA,"142,000.00",NA,"5,033,000.00",NA,"-761,000.00",NA,"39,700.00",NA,"1,125,000.00","62,900.00",NA,NA,"7,000.00","271,000.00",NA,"7,636,000.00",NA,NA,NA,NA,NA,NA,"15,615.00","898,000.00",NA,NA,NA,"-176,000.00",NA,NA
EBIT / Interest Expense (x),274483,3.43,NA,3.68,NA,NA,NA,16.33,2.04,2.45,NA,2.68,43.28,8.92,NA,NA,NA,NA,2.59,1.86,NA,NA,2.92,4.56,2.82,NA,1.66,65.62,NA,NA,3.72,0.32,5.29,7.54,7.51,5.39,NA,NA,NA,NA,NA,NA,1.77,13.60,2.22,3.34,2.95,3.70,3.17,NA,2.96,5.19,2.13,NA,NA,4.72,NA,NA,NM,7.29,1.20,149.33,NA,2.75,7.40,NA,1.11,10.78,NA,NA,NA,NA,2.73,NA,4.22,NA,4.28,2.73,8.44,NA,NA,4.79,28.52,3.96,NA,4.75,NA,7.71,NA,0.68,6.39,8.03,7.24,3.64,NA,1.06,1.57,NA,4.75,NA,11.06,NA,5.28,2.56,NA,2.06,0.91,3.18,NA,0.71,NA,1.52,NA,11.50,NA,NA,3.59,6.73,4.59,NM,11.39,12.23,3.65,3.52,7.06,1.28,NA,2.33,NA,51.36,NA,NM,NA,2.68,NA,4.56,4.77,NA,NA,0.50,5.15,NA,4.34,NA,NA,NA,NA,NA,NA,0.15,4.05,NA,NA,NA,NM,NA,NA
Avg. Days Sales Out.,274485,54.8,NA,41.5,NA,NA,NA,4.6,61.6,8,NA,35,192,7,NA,NA,NA,NA,187,NA,NA,NA,66,43,48,NA,9,102,NA,NA,24,70,56,10,58,35,NA,NA,NA,NA,NA,NA,54,63,51,54,49,42,71,NA,53,60,53,NA,NA,93,NA,NA,26,69,50,67,NA,40,73,NA,15,34,NA,NA,NA,NA,30,NA,48,NA,32,NA,33,NA,5,NA,3,NA,NA,85,NA,34,NA,48,107,103,97,111,NA,59,47,NA,23,NA,67,NA,48,51,NA,127,53,23,NA,11,46,29,NA,89,NA,NA,7,116,50,32,54,3,41,42,24,50,NA,39,NA,65,NA,47,NA,40,NA,5,34,NA,NA,1,NA,NA,61,NA,NA,NA,NA,NA,NA,53,56,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,6.71,NA,8.86,NA,NA,NA,79.36,5.97,43,NA,11,2,55,NA,NA,NA,NA,2,NA,NA,NA,6,9,8,NA,41,4,NA,NA,15,5,7,37,6,11,NA,NA,NA,NA,NA,NA,7,6,7,7,7,9,5,NA,7,6,7,NA,NA,4,NA,NA,14,6,7,5,NA,9,5,NA,24,11,NA,NA,NA,NA,12,NA,8,NA,11,NA,11,NA,71,NA,118,NA,NA,4,NA,11,NA,8,3,4,4,3,NA,6,8,NA,16,NA,6,NA,8,7,NA,3,7,17,NA,33,8,13,NA,4,NA,NA,51,3,7,12,7,109,9,9,15,7,NA,9,NA,6,NA,8,NA,9,NA,63,11,NA,NA,NM,NA,NA,6,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3.19,NA,0.12,NA,NA,NA,12.21,0.18,0,NA,0,58,5,NA,NA,NA,NA,0,NA,NA,NA,17,0,0,NA,1,57,NA,NA,4,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,7,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,4,13,7,7,NA,5,24,NA,0,14,NA,NA,NA,NA,0,NA,0,NA,5,2,5,NA,17,3,4,NA,NA,8,NA,1,NA,0,4,8,17,0,NA,8,5,NA,0,NA,4,NA,1,2,NA,0,0,6,NA,7,0,0,NA,1,NA,NA,0,5,27,1,0,1,0,0,12,0,NA,0,NA,100,NA,6,NA,0,NA,4,6,NA,NA,104,25,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
Total Asset Turnover (x),274487,0.65,NA,0.11,NA,NA,NA,0.58,0.14,0,NA,0,1,2,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,1,0,NA,NA,0,NA,NA,1,0,2,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,2,1,NA,0,2,2,0,NA,2,NA,0,NA,0,1,1,1,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,2,0,0,NA,0,NA,0,0,1,1,0,0,1,0,0,3,0,NA,0,NA,1,NA,1,0,0,0,2,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,583,000",NA,"247,200",NA,NA,"640,000","3,271,000","956,000","184,533",NA,"113,400","199,950","955,000",NA,NA,NA,NA,"407,752","-3,000",NA,NA,"37,118","134,000","774,000",NA,"96,000","947,000","26,555,000",NA,"345,700","14,108","837,000","1,881,000","1,052,000","1,386,000",NA,NA,NA,NA,NA,NA,"987,000","541,067","3,658,000","576,000","111,000","56,800","273,000",NA,"97,780","470,800","1,244,000",NA,NA,"122,108",NA,NA,"3,884,000","365,900","15,201","1,050,000",NA,"515,212","403,200",NA,"360,263","1,624,000",NA,NA,NA,NA,"229,000",NA,"190,000",NA,"712,000","596,000","581,000",NA,"86,776","911,000","1,308,000","-218,462",NA,"372,738",NA,"2,697,000",NA,"363,000","240,623","1,256,000","501,130","67,736","174,000","60,000","161,000",NA,"1,063,000",NA,"3,897,000",NA,"6,157,000","590,000",NA,"2,016,000","-36,000","130,843",NA,"178,700","14,400","173,600",NA,"402,000",NA,"-114,581","1,623,000","4,165,000","115,000","-37,671","1,697,000","295,000","92,456","81,568","1,193,000","-75,700",NA,"254,000",NA,"2,989,000","5,185,000","1,331,000","-763,000","62,100","-16,276,000","1,404,000","313,100",NA,NA,"61,000","357,900",NA,"9,114,000",NA,NA,NA,NA,NA,NA,"298,443","538,000",NA,"4,121,000",NA,"-114,000",NA,NA
Cash from Investing,272601,"(405,000)",NA,"(417,400)",NA,NA,"(4,451,000)","(202,000)","(1,033,000)","-49,881",NA,"-816,400","-27,381","-48,000",NA,NA,NA,NA,"343,702","-1,296,000",NA,NA,"-14,079","-397,000","-1,414,000",NA,"-50,100","-674,000","-49,330,000",NA,"-85,000","-16,211","-977,000","-3,470,000","-478,000","-706,000",NA,NA,NA,NA,NA,NA,"-3,468,000","-71,967","-4,362,000","-821,000","-233,000","25,900","-187,000",NA,"-115,175","-203,700","-2,425,000",NA,NA,"-163,235",NA,NA,"-7,661,000","-56,200",242,"-269,000",NA,"-309,924","-92,600",NA,"-57,008","-64,000",NA,NA,NA,NA,"-346,000",NA,"-327,000",NA,"-183,000","-104,000","-205,000",NA,"13,632","-418,000","-137,000",NA,NA,"-111,918",NA,"-1,069,000",NA,"-570,000","-82,858","-192,000","-36,450","-187,031","747,000","-24,000","-49,000",NA,"-644,000",NA,"-664,000",NA,"-9,182,000","-252,000",NA,"-3,066,000","-806,000","-69,591",NA,"-62,700","-107,800","-306,400",NA,"-398,000",NA,"1,449,122","-1,479,000","-549,000","-20,000","-71,592","-1,841,000","-742,000","-237,479","-240,000","-325,000","-45,103",NA,"-427,000",NA,"-1,949,000","-20,763,000","6,400,000","-1,151,000","-80,100","-5,033,000","-826,000","-26,700",NA,NA,"-16,000","-222,500",NA,"-4,980,000",NA,NA,NA,NA,NA,NA,"-233,473","-2,882,000",NA,"-85,570,000",NA,"254,000",NA,NA
Cash from Financing,272618,"(617,000)",NA,"170,200",NA,NA,"4,013,000","(2,073,000)","62,000","-252,607",NA,"711,400","-96,712","-422,000",NA,NA,NA,NA,"-132,917","80,000",NA,NA,"-22,056","263,000","644,000",NA,"-25,900","-302,000","25,281,000",NA,"-244,000","3,793","-177,000","1,720,000","-652,000","-622,000",NA,NA,NA,NA,NA,NA,"1,758,000","-344,523","328,000","265,000","121,000","-81,100","-82,000",NA,"86,238","-276,200","284,000",NA,NA,"82,353",NA,NA,"353,000","-363,500","-2,953","-292,000",NA,"5,858,526","-156,200",NA,"-179,901","-721,000",NA,NA,NA,NA,"124,000",NA,"-571,000",NA,"-65,000","-532,000","-114,000",NA,"-101,140","-2,003,000","-179,000","229,853",NA,"-96,397",NA,"-3,241,000",NA,"-55,000","-153,194","-802,000","-349,790","57,294","-689,000","-85,000","-160,000",NA,"-307,000",NA,"-787,000",NA,"-3,814,000","-289,000",NA,"1,041,000","872,000","-55,518",NA,"-233,800","105,000","131,500",NA,"-1,000",NA,"-790,902","254,000","-2,154,000","-85,000","122,774","-33,000","776,000","19,435","-43,554","-1,113,000","-6,928",NA,"170,000",NA,"-1,293,000","15,873,000","-2,951,000","16,710,000",0,"16,755,000","-9,977,000","-148,000",NA,NA,"511,000","-305,100",NA,"7,209,000",NA,NA,NA,NA,NA,NA,"-6,703","1,804,000",NA,"81,526,000",NA,"-60,000",NA,NA
Foreign Exchange Rate Adj.,272619,"5,000",NA,NA,NA,NA,"3,000",NA,NA,NA,NA,NA,"16,998.00","-2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,181.00,NA,NA,NA,NA,NA,"-987,000.00",NA,"1,900.00",NA,NA,0.00,"-4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-573.00,NA,NA,NA,NA,NA,NA,113.00,900.00,NA,NA,NA,NA,NA,NA,"90,000.00","-1,500.00","1,177.00","-2,000.00",NA,"15,969.00","1,300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,000.00",NA,"23,000.00",NA,NA,NA,NA,NA,NA,189.00,NA,"-24,000.00",NA,NA,"-1,372.00","9,000.00",353.00,NA,NA,0.00,"-1,000.00",NA,NA,NA,NA,NA,"219,000.00","7,000.00",NA,NA,NA,NA,NA,"2,600.00",NA,NA,NA,NA,NA,NA,"-5,000.00","4,000.00",NA,"6,940.00",NA,NA,NA,0.00,"29,000.00",NA,NA,NA,NA,NA,"20,000.00","1,000.00",NA,NA,"-764,000.00",NA,"1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2,651.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"564,000",NA,NA,NA,NA,"205,000","996,000","(15,000)","-117,955.00",NA,"8,400.00","92,855.00","483,000.00",NA,NA,NA,NA,"618,537.00","-1,219,000.00",NA,NA,"1,164.00",0.00,"4,000.00",NA,"20,000.00","-29,000.00","1,519,000.00",NA,"21,200.00","1,690.00","-317,000.00","131,000.00","-82,000.00","58,000.00",NA,NA,NA,NA,NA,NA,"-723,000.00","124,004.00","-376,000.00","20,000.00","-1,000.00","1,600.00","4,000.00",NA,"68,956.00","-8,200.00","-897,000.00",NA,NA,"41,226.00",NA,NA,"-3,334,000.00","-55,300.00","13,667.00","485,000.00",NA,"6,079,783.00","155,700.00",NA,"123,354.00","839,000.00",NA,NA,NA,NA,"7,000.00",NA,"-708,000.00",NA,"475,000.00","-40,000.00","284,000.00",NA,-732.00,"-1,510,000.00","992,000.00","11,391.00",NA,"164,612.00",NA,"-1,639,000.00",NA,"-262,000.00","3,199.00","271,000.00","115,243.00","-62,001.00","232,000.00","-49,000.00","-49,000.00",NA,"112,000.00",NA,"2,446,000.00",NA,"-6,620,000.00","56,000.00",NA,"100,000.00","30,000.00","5,734.00",NA,"-115,200.00","11,600.00","-1,300.00",NA,"3,000.00",NA,"543,639.00","393,000.00","1,466,000.00","10,000.00","20,451.00","-177,000.00","329,000.00","-125,588.00","-201,986.00","-216,000.00","-127,731.00",NA,"-3,000.00",NA,"-253,000.00","315,000.00","4,781,000.00","14,796,000.00","-18,000.00","-5,318,000.00","-9,399,000.00","140,000.00",NA,NA,"556,000.00","-169,700.00",NA,"11,343,000.00",NA,NA,NA,NA,NA,NA,"55,616.00","-540,000.00",NA,"77,000.00",NA,"80,000.00",NA,NA
Capital Expenditure,272592,"(248,000)",NA,"(434,300)",NA,NA,"(891,000)","(92,000)","(1,036,000)",NA,NA,"-855,500.00","-27,381.00","-60,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-385.00,"-441,000.00","-1,481,000.00",NA,"-50,300.00","-8,000.00","-1,631,000.00",NA,"-85,100.00","-16,877.00","-987,000.00",NA,"-432,000.00","-677,000.00",NA,NA,NA,NA,NA,NA,"-3,386,000.00","-56,989.00","-4,143,000.00","-750,000.00","-491,000.00","-62,200.00","-220,000.00",NA,NA,"-130,000.00","-2,434,000.00",NA,NA,NA,NA,NA,"-2,784,000.00","-30,400.00","-1,133.00","-134,000.00",NA,"-168,213.00","-13,700.00",NA,"-4,102.00","-197,000.00",NA,NA,NA,NA,"-342,000.00",NA,"-323,000.00",NA,"-148,000.00","-99,000.00","-240,000.00",NA,0.00,"-548,000.00","-119,000.00",NA,NA,"-80,221.00",NA,"-1,059,000.00",NA,"-570,000.00","-41,690.00","-114,000.00","-12,439.00",NA,NA,"-146,000.00","-70,000.00",NA,"-729,000.00",NA,"-662,000.00",NA,"-9,080,000.00","-257,000.00",NA,"-3,156,000.00","-816,000.00","-18,177.00",NA,"-64,700.00","-105,400.00","-308,600.00",NA,"-242,000.00",NA,NA,"-1,507,000.00","-970,000.00","-15,000.00","-71,592.00","-1,891,000.00","-859,000.00","-237,515.00","-237,515.00","-374,000.00","-72,698.00",NA,"-427,000.00",NA,"-89,000.00","-436,000.00","-956,000.00","-158,000.00","-129,600.00","-531,000.00","-884,000.00","-26,700.00",NA,NA,"-18,000.00","-37,800.00",NA,"-4,748,000.00",NA,NA,NA,NA,NA,NA,"-247,723.00","-2,854,000.00",NA,NA,NA,"-17,000.00",NA,NA
Change in Net Working Capital,272627,"(2,395,000)",NA,"(359,100)",NA,NA,NA,"(1,057,000)","(458,000)",0.00,NA,"28,000.00","91,371.00","-346,000.00",NA,NA,NA,NA,"-101,842.00","-19,065,000.00",NA,NA,"3,481.00","1,841,000.00","1,841,000.00",NA,-200.00,"-3,886,000.00",NA,NA,"38,400.00","-22,397.00","281,000.00","710,000.00","327,000.00","-93,000.00",NA,NA,NA,NA,NA,NA,"-512,000.00","-69,941.00","-1,165,000.00","122,000.00","-212,000.00","-94,300.00","-135,000.00",NA,"8,965.00","-79,800.00","-233,000.00",NA,NA,"12,453.00",NA,NA,"384,000.00","-110,400.00","-29,470.00","-408,000.00",NA,"85,779.00","-44,700.00",NA,"37,430.00","-317,000.00",NA,NA,NA,NA,"-22,000.00",NA,"-156,000.00",NA,"133,000.00","-376,000.00","-343,000.00",NA,"-73,872.00","646,000.00","-228,000.00",14.00,NA,"-161,626.00",NA,"-364,000.00",NA,"49,000.00","-162,880.00","-375,000.00","-123,751.00","-3,660.00",NA,"-9,000.00","-251,000.00",NA,"-131,000.00",NA,"-2,096,000.00",NA,"-662,000.00","-422,000.00",NA,"-1,075,000.00","27,000.00","-24,679.00",NA,"-295,400.00","65,600.00","-26,200.00",NA,"95,000.00",NA,NA,"-545,000.00","-538,000.00","38,000.00","153,997.00","55,000.00","413,000.00","186,397.00","100,390.00","-318,000.00","-68,346.00",NA,"-46,000.00",NA,"-2,788,000.00",NA,"-4,793,000.00",NA,"75,300.00",NA,"-2,000.00","-202,800.00",NA,NA,"16,000.00","217,800.00",NA,"-4,666,000.00",NA,NA,NA,NA,NA,NA,"-104,407.00","-316,000.00",NA,NA,NA,"14,000.00",NA,NA
Unlevered Free Cash Flow,272626,"3,095,625",NA,"188,938",NA,NA,NA,"4,785,375","121,500","203,502.81",NA,"-610,787.50","125,562.38","789,750.00",NA,NA,NA,NA,"555,701.00","19,360,750.00",NA,NA,"29,592.88","-1,930,875.00","-2,532,750.00",NA,"101,350.00","4,470,125.00",NA,NA,"215,087.50","24,260.25","139,750.00","152,875.00","98,250.00","548,500.00",NA,NA,NA,NA,NA,NA,"-1,628,250.00","357,753.00","392,000.00","-74,000.00","49,500.00","89,900.00","140,000.00",NA,"99,162.63","325,900.00","-504,750.00",NA,NA,"106,522.75",NA,NA,"-3,330,750.00","352,387.50","39,825.25","1,016,000.00",NA,"513,191.63","249,512.50",NA,"38,514.75","1,006,625.00",NA,NA,NA,NA,"-60,125.00",NA,"-111,750.00",NA,"580,250.00","591,250.00","959,250.00",NA,"86,037.50","460,250.00","609,375.00","84,435.63",NA,"333,425.50",NA,"1,892,375.00",NA,"-302,750.00","223,521.50","1,071,500.00","456,713.13","59,431.38",NA,"97,625.00","365,500.00",NA,"345,375.00",NA,"3,104,000.00",NA,"-2,193,250.00","457,500.00",NA,"306,625.00","-412,125.00","84,689.13",NA,"327,287.50","-104,925.00","-186,412.50",NA,"-35,250.00",NA,NA,"115,000.00","2,572,000.00","81,125.00","-100,106.25","50,625.00","-565,125.00","-225,482.88","-142,348.13","970,500.00","58,254.38",NA,"-162,250.00",NA,"6,088,625.00",NA,"4,329,375.00",NA,"-149,787.50",NA,"791,125.00","266,212.50",NA,NA,"23,375.00","-1,425.00",NA,"9,914,500.00",NA,NA,NA,NA,NA,NA,"220,542.38","-1,526,750.00",NA,NA,NA,"-1,000.00",NA,NA
Levered Free Cash Flow,272625,"2,956,875",NA,"150,750",NA,NA,NA,"4,558,500","(2,250)","176,839.25",NA,"-657,912.50","120,874.25","742,250.00",NA,NA,NA,NA,"454,068.50","19,224,500.00",NA,NA,"25,424.50","-1,967,750.00","-2,652,125.00",NA,"54,100.00","4,462,000.00",NA,NA,"151,087.50","21,944.50","69,125.00","70,375.00","40,125.00","415,375.00",NA,NA,NA,NA,NA,NA,"-1,946,375.00","340,169.25","-199,250.00","-153,375.00","11,375.00","82,337.50","106,875.00",NA,"81,360.75","292,087.50","-847,875.00",NA,NA,"93,301.13",NA,NA,"-3,583,250.00","333,012.50","33,280.88","1,012,250.00",NA,"390,566.63","224,262.50",NA,"15,755.38","943,500.00",NA,NA,NA,NA,"-117,625.00",NA,"-128,625.00",NA,"431,500.00","545,000.00","944,875.00",NA,"86,037.50","233,375.00","598,250.00","66,165.25",NA,"305,520.50",NA,"1,636,125.00",NA,"-370,875.00","212,437.13","998,375.00","418,709.50","49,090.38",NA,"87,625.00","313,000.00",NA,"223,500.00",NA,"2,994,625.00",NA,"-2,804,500.00","417,500.00",NA,"-102,125.00","-540,250.00","74,227.25",NA,"307,912.50","-104,925.00","-211,850.00",NA,"-47,750.00",NA,NA,"-23,125.00","2,323,875.00","63,000.00","-156,017.50","-51,250.00","-584,500.00","-254,328.50","-171,281.88","870,750.00","45,217.50",NA,"-200,375.00",NA,"6,027,375.00",NA,"3,906,875.00",NA,"-158,437.50",NA,"636,750.00","257,962.50",NA,NA,"14,625.00","-34,300.00",NA,"8,815,125.00",NA,NA,NA,NA,NA,NA,"154,072.38","-1,665,500.00",NA,NA,NA,"-44,750.00",NA,NA
