SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,030,000","524,000","578,000",NA,NA,"1,903,000","4,758,000","2,091,000","472,024",NA,"1,167,000","9,473,548","1,424,000",NA,NA,NA,NA,"872,148","1,515,000",NA,NA,"180,223","1,697,000","2,975,000",NA,"663,000","2,863,000","22,058,000",NA,"2,632,600",NA,NA,"3,757,000","4,144,000","3,482,000",NA,NA,NA,NA,NA,NA,"5,019,000","2,053,623","9,178,000","1,621,000","966,000",NA,"879,000",NA,"178,620","1,648,900","7,242,000",NA,NA,"194,935",NA,NA,"43,253,000","1,069,400","224,800","5,131,000",NA,"2,969,682","1,000,200",NA,"235,917","14,438,000",NA,NA,NA,NA,"473,000","2,017,130","666,000",NA,"3,976,000","3,233,000","3,743,000",NA,"319,736","20,930,000","4,793,000","140,106",NA,"3,828,801",NA,"6,517,000",NA,NA,"1,100,346","2,714,000","850,800","115,130","125,000","606,000","1,549,000",NA,"2,998,000",NA,"9,881,000",NA,"14,926,000","2,265,000",NA,"6,881,000","1,808,000","997,172",NA,"1,674,800",NA,"439,000",NA,"1,051,000",NA,"1,172,752","4,452,000","22,076,000","1,877,000","225,627","4,096,000","7,249,000","585,119","585,119","21,148,000","133,764",NA,NA,NA,"16,941,000","5,416,000","22,217,000","6,482,000","338,700","16,912,000","45,118,000","1,036,300",NA,NA,"1,212,000","3,355,200",NA,"34,440,000",NA,NA,NA,NA,NA,NA,"1,171,054","3,696,000",NA,"20,311,000",NA,"1,727,000",NA,NA
Gross Profit,271473,"2,456,000","338,000.00","527,000",NA,NA,"1,903,000","3,502,000","1,081,000","266,971.00",NA,"487,000.00","1,090,460.00","646,000.00",NA,NA,NA,NA,"519,955.00","227,000.00",NA,NA,"116,987.00","582,000.00","1,238,000.00",NA,"203,000.00","371,000.00","22,058,000.00",NA,"641,300.00",NA,NA,"909,000.00","1,528,000.00","1,674,000.00",NA,NA,NA,NA,NA,NA,"2,216,000.00","815,024.00","4,482,000.00","849,000.00","406,000.00",NA,"446,000.00",NA,"163,267.00","881,800.00","3,000,000.00",NA,NA,"141,321.00",NA,NA,"5,291,000.00","675,500.00","134,700.00","1,977,000.00",NA,"1,696,068.00","682,400.00",NA,"145,008.00","2,835,000.00",NA,NA,NA,NA,"445,000.00","1,662,837.00","394,000.00",NA,"2,098,000.00","1,399,000.00","796,000.00",NA,"60,318.00","6,986,000.00","1,998,000.00","140,106.00",NA,"477,904.00",NA,"3,643,000.00",NA,NA,"294,240.00","1,367,000.00","709,000.00","84,207.00","125,000.00","130,000.00","513,000.00",NA,"1,319,000.00",NA,"1,960,000.00",NA,"10,042,000.00","518,000.00",NA,"2,746,000.00","590,000.00","226,860.00",NA,"350,900.00",NA,"109,000.00",NA,"757,000.00",NA,"1,172,752.00","2,205,000.00","4,594,000.00","209,000.00","-62,553.00","2,128,000.00","1,689,000.00","345,462.00","343,964.00","3,901,000.00","78,117.00",NA,NA,NA,"5,502,000.00","5,416,000.00","2,546,000.00","6,319,000.00","139,500.00","13,814,000.00","10,567,000.00","346,600.00",NA,NA,"286,000.00","1,039,100.00",NA,"20,767,000.00",NA,NA,NA,NA,NA,NA,"409,438.00","1,580,000.00",NA,"20,311,000.00",NA,"318,000.00",NA,NA
Earnings from Cont. Ops.,271505,"659,000","120,000.0","210,000",NA,NA,"319,000","2,183,000","358,000","148,844.00",NA,"195,000.00","236,030.00","105,000.00",NA,NA,NA,NA,"134,668.00","-764,000.00",NA,NA,"4,978.00","230,000.00","316,000.00",NA,"83,000.00","274,000.00","5,939,000.00",NA,"164,500.00",NA,NA,"-61,000.00","408,000.00","807,000.00",NA,NA,NA,NA,NA,NA,"786,000.00","238,749.00","1,564,000.00","257,000.00","111,000.00",NA,"130,000.00",NA,"62,610.00","173,300.00","919,000.00",NA,NA,"147,918.00",NA,NA,"2,551,000.00","136,400.00",-600.00,"411,000.00",NA,"-192,825.00","199,500.00",NA,"8,065.00","545,000.00",NA,NA,NA,NA,"137,000.00","159,346.00","66,000.00",NA,"270,000.00","-15,000.00","56,000.00",NA,"2,160.00","1,641,000.00","38,000.00","48,981.00",NA,"69,663.00",NA,"1,983,000.00",NA,NA,"78,851.00","368,000.00","406,000.00","39,752.00","17,000.00","-2,000.00","-33,000.00",NA,"547,000.00",NA,"875,000.00",NA,"2,927,000.00","39,000.00",NA,"954,000.00","71,000.00","39,480.00",NA,"-47,200.00",NA,"15,000.00",NA,"-226,000.00",NA,"109,478.00","949,000.00","2,157,000.00","68,000.00","-268,600.00","648,000.00","227,000.00","137,771.00","138,374.00","476,000.00","23,016.00",NA,NA,NA,"2,458,000.00","1,630,000.00","-7,000.00","2,479,000.00","42,200.00","5,630,000.00","868,000.00","67,900.00",NA,NA,"89,000.00","232,000.00",NA,"5,146,000.00",NA,NA,NA,NA,NA,NA,"-47,724.00","787,000.00",NA,"5,290,000.00",NA,"156,000.00",NA,NA
Net Income,271510,"653,000","120,000.00","183,000",NA,NA,"319,000","2,183,000","357,000","131,254.00",NA,"195,000.00","235,106.00","105,000.00",NA,NA,NA,NA,"114,799.00","-766,000.00",NA,NA,"4,978.00","230,000.00","316,000.00",NA,"83,000.00","274,000.00","5,785,000.00",NA,"164,500.00",NA,NA,"-53,000.00","371,000.00","807,000.00",NA,NA,NA,NA,NA,NA,"621,000.00","238,433.00","1,550,000.00","257,000.00","111,000.00",NA,"130,000.00",NA,"62,610.00","171,500.00","919,000.00",NA,NA,"147,874.00",NA,NA,"2,548,000.00","136,400.00",-800.00,"389,000.00",NA,"-1,799,878.00","198,400.00",NA,"8,226.00","545,000.00",NA,NA,NA,NA,"137,000.00","175,204.00","66,000.00",NA,"270,000.00","-15,000.00","56,000.00",NA,"2,160.00","1,641,000.00","38,000.00","48,981.00",NA,"60,840.00",NA,"1,983,000.00",NA,NA,"78,851.00","366,000.00","406,000.00","40,102.00","17,000.00","-5,000.00","-33,000.00",NA,"547,000.00",NA,"875,000.00",NA,"2,927,000.00","-105,000.00",NA,"954,000.00","71,000.00","39,480.00",NA,"-47,400.00",NA,"15,000.00",NA,"-226,000.00",NA,"102,678.00","941,000.00","2,059,000.00","68,000.00","-268,600.00","648,000.00","227,000.00","137,771.00","138,374.00","476,000.00","23,016.00",NA,NA,NA,"2,457,000.00","1,632,000.00","-4,000.00","2,479,000.00","42,200.00","5,630,000.00","866,000.00","67,900.00",NA,NA,"89,000.00","232,000.00",NA,"5,045,000.00",NA,NA,NA,NA,NA,NA,"-56,434.00","623,000.00",NA,"5,253,000.00",NA,"156,000.00",NA,NA
EBIT,271530,"1,406,000","194,000.00","311,000",NA,NA,NA,"2,964,000","581,000","196,739.00",NA,"276,000.00","393,816.00","209,000.00",NA,NA,NA,NA,"229,439.00","-960,000.00",NA,NA,"16,633.00","370,000.00","654,000.00",NA,"144,000.00","339,000.00",NA,NA,"313,100.00",NA,NA,"397,000.00","649,000.00","1,259,000.00",NA,NA,NA,NA,NA,NA,"1,443,000.00","336,690.00","2,341,000.00","432,000.00","182,000.00",NA,"208,000.00",NA,"91,656.00","287,700.00","1,615,000.00",NA,NA,"68,249.00",NA,NA,"2,484,000.00","191,700.00","14,100.00","569,000.00",NA,"371,654.00","275,900.00",NA,"50,676.00","893,000.00",NA,NA,NA,NA,"255,000.00",NA,"102,000.00",NA,"756,000.00","60,000.00","149,000.00",NA,-193.00,"2,494,000.00","89,000.00","121,886.00",NA,"141,802.00",NA,"2,884,000.00",NA,NA,"119,517.00","538,000.00","456,900.00","52,145.00",NA,"-20,000.00","42,000.00",NA,"967,000.00",NA,"1,155,000.00",NA,"4,684,000.00","166,000.00",NA,"1,580,000.00","214,000.00","64,722.00",NA,"-7,500.00",NA,"15,000.00",NA,"289,000.00",NA,NA,"1,165,000.00","2,910,000.00","121,000.00","-243,188.00","1,082,000.00","330,000.00","223,039.00","221,541.00","883,000.00","-37,226.00",NA,NA,NA,"3,211,000.00",NA,"381,000.00",NA,"70,000.00",NA,"1,458,000.00","101,700.00",NA,NA,"136,000.00","355,800.00",NA,"8,674,000.00",NA,NA,NA,NA,NA,NA,"46,672.00","1,164,000.00",NA,NA,NA,"155,000.00",NA,NA
EBIT / Interest Expense (x),274483,6.57,2.94,4.79,NA,NA,NA,11.49,2.85,4.08,NA,3.68,5.61,2.94,NA,NA,NA,NA,1.51,NM,NA,NA,2.30,5.61,2.46,NA,2.00,26.08,NA,NA,3.25,NA,NA,3.03,7.05,5.91,NA,NA,NA,NA,NA,NA,2.57,11.41,2.42,3.38,2.84,NA,4.00,NA,2.64,5.17,2.91,NA,NA,2.69,NA,NA,7.10,6.07,1.66,4.95,NA,1.55,6.60,NA,1.21,9.02,NA,NA,NA,NA,2.74,NA,3.52,NA,2.69,0.79,7.84,NA,NA,6.89,3.30,3.58,NA,3.26,NA,7.21,NA,NA,6.95,4.85,6.61,3.47,NA,NM,0.46,NA,4.91,NA,7.13,NA,5.08,2.52,NA,2.20,0.94,3.52,NA,NM,NA,0.35,NA,12.04,NA,NA,4.68,7.17,4.03,NM,2.52,7.86,4.88,4.84,5.13,NM,NA,NA,NA,32.77,NA,0.62,NA,4.55,NA,5.57,7.16,NA,NA,10.46,6.70,NA,4.47,NA,NA,NA,NA,NA,NA,0.47,4.49,NA,NA,NA,2.35,NA,NA
Avg. Days Sales Out.,274485,54,NA,39,NA,NA,NA,5,45,9,NA,37,227,10,NA,NA,NA,NA,180,NA,NA,NA,68,38,41,NA,9,100,NA,NA,26,NA,NA,15,59,35,NA,NA,NA,NA,NA,NA,44,63,40,34,44,NA,48,NA,56,57,40,NA,NA,90,NA,NA,27,71,53,73,NA,33,93,NA,42,35,NA,NA,NA,NA,30,NA,45,NA,36,NA,33,NA,11,NA,5,NA,NA,87,NA,35,NA,NA,114,125,99,108,NA,62,55,NA,23,NA,79,NA,54,45,NA,120,46,20,NA,13,NA,36,NA,119,NA,NA,8,128,49,57,58,4,39,39,24,39,NA,NA,NA,63,NA,51,NA,42,NA,5,36,NA,NA,1,NA,NA,64,NA,NA,NA,NA,NA,NA,54,46,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,7,NA,9,NA,NA,NA,70,8,41,NA,10,2,37,NA,NA,NA,NA,2,NA,NA,NA,5,9,9,NA,40,4,NA,NA,14,NA,NA,24,6,10,NA,NA,NA,NA,NA,NA,8,6,9,11,8,NA,7,NA,6,6,9,NA,NA,4,NA,NA,13,5,7,5,NA,11,4,NA,9,10,NA,NA,NA,NA,12,NA,8,NA,10,NA,11,NA,33,NA,68,NA,NA,4,NA,10,NA,NA,3,3,4,3,NA,6,7,NA,16,NA,5,NA,7,8,NA,3,8,18,NA,27,NA,10,NA,3,NA,NA,45,3,7,6,6,85,9,9,15,9,NA,NA,NA,6,NA,7,NA,9,NA,83,10,NA,NA,NM,NA,NA,6,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,3,NA,0,NA,NA,NA,11,0,0,NA,0,63,3,NA,NA,NA,NA,0,NA,NA,NA,17,1,0,NA,1,53,NA,NA,4,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,7,0,0,0,NA,0,NA,0,3,0,NA,NA,0,NA,NA,4,12,6,7,NA,6,12,NA,0,14,NA,NA,NA,NA,0,NA,0,NA,4,1,4,NA,11,4,3,NA,NA,7,NA,1,NA,NA,4,6,16,0,NA,6,4,NA,0,NA,3,NA,1,2,NA,0,0,6,NA,6,NA,0,NA,1,NA,NA,0,5,28,0,0,1,0,0,12,0,NA,NA,NA,98,NA,5,NA,0,NA,6,6,NA,NA,91,25,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
Total Asset Turnover (x),274487,1,NA,0,NA,NA,NA,1,0,0,NA,0,1,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,0,NA,0,1,0,NA,NA,0,NA,NA,1,0,1,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,0,2,1,0,NA,2,NA,0,NA,NA,1,1,1,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,1,NA,0,NA,0,NA,0,0,1,1,0,0,1,0,0,3,0,NA,NA,NA,1,NA,1,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"574,000","191,000","427,000",NA,NA,"1,371,000","2,324,000","421,000",NA,NA,"167,000","699,752","188,000",NA,NA,NA,NA,"156,466","-221,000",NA,NA,"39,808","302,000","282,000",NA,"295,000","656,000","-21,873,000",NA,"120,600",NA,NA,"-9,000","362,000","1,272,000",NA,NA,NA,NA,NA,NA,"882,000","190,597","1,512,000","466,000","354,000",NA,"152,000",NA,"113,367","241,900","1,724,000",NA,NA,"88,913",NA,NA,"1,316,000","234,800",NA,"290,000",NA,"-288,821","337,700",NA,"-229,404","383,000",NA,NA,NA,NA,"183,000","-1,737,291","57,000",NA,"281,000","-92,000","-124,000",NA,"-55,549","3,379,000","-64,000","-138,544",NA,"98,854",NA,"2,412,000",NA,NA,"-44,768","451,000","306,800","53,440","-47,000","42,000","-233,000",NA,"344,000",NA,"-1,656,000",NA,"8,140,000","-154,000",NA,"2,588,000","-63,000","-14,008",NA,"-320,200",NA,"15,000",NA,"264,000",NA,"100,687","1,834,000","1,855,000","100,000","-83,159","1,502,000","1,418,000","213,897","162,135","86,000","68,497",NA,NA,NA,"3,562,000","-3,013,000","-179,000","7,342,000","68,700","-31,868,000","2,149,000","26,100",NA,NA,"149,000","340,800",NA,"7,984,000",NA,NA,NA,NA,NA,NA,"258,460","1,057,000",NA,"9,143,000",NA,"52,000",NA,NA
Cash from Investing,272601,"60,000","-739,000","-595,000",NA,NA,"-3,043,000","-109,000","-1,614,000",NA,NA,"-207,000","-32,108","-39,000",NA,NA,NA,NA,"5,827","-485,000",NA,NA,"-6,262","-345,000","-1,188,000",NA,"-61,000","-493,000","-12,391,000",NA,"502,000",NA,NA,"-2,533,000","-203,000","-567,000",NA,NA,NA,NA,NA,NA,"-3,103,000","-61,660","-1,846,000","-700,000","-635,000",NA,"-162,000",NA,"-50,865","-120,400","-2,356,000",NA,NA,"-72,477",NA,NA,"-771,000","-26,700",NA,"-2,500,000",NA,"5,716,138","-472,100",NA,"-43,185","-269,000",NA,NA,NA,NA,"-400,000","-129,265","-327,000",NA,"-98,000","-108,000","-74,000",NA,"6,443","-533,000","-133,000",NA,NA,"-336,001",NA,"-777,000",NA,NA,"-31,471","-183,000","-70,500","-103,886","691,000","-21,000","-29,000",NA,"-213,000",NA,"-168,000",NA,"-8,718,000","-190,000",NA,"-3,302,000","-712,000","-25,936",NA,"-121,600",NA,"-330,000",NA,"-247,000",NA,"-739,452","-529,000","-608,000","-15,000","-53,964","-1,585,000","-445,000","-202,287","-203,625","-107,000","-172,777",NA,NA,NA,"-2,627,000","-83,723,000","5,711,000","-10,000","-110,500","-56,307,000","-1,039,000","-210,400",NA,NA,"-13,000","82,700",NA,"-13,573,000",NA,NA,NA,NA,NA,NA,"-175,950","-2,512,000",NA,"-55,567,000",NA,"81,000",NA,NA
Cash from Financing,272618,"-2,124,000","540,000","168,000",NA,NA,"1,095,000","-3,157,000","1,258,000",NA,NA,"33,000","-648,669","-188,000",NA,NA,NA,NA,"-1,138,305","226,000",NA,NA,"-24,994","44,000","1,513,000",NA,"-232,000","-384,000","71,249,000",NA,"7,200",NA,NA,"2,467,000","59,000","-411,000",NA,NA,NA,NA,NA,NA,"2,365,000","-161,451","2,223,000","205,000","287,000",NA,"13,000",NA,"-86,471","-117,700","728,000",NA,NA,"-57,321",NA,NA,"-6,172,000","-228,500",NA,"21,000",NA,"-8,410,513","215,100",NA,"664,714","-673,000",NA,NA,NA,NA,"217,000","627,102","270,000",NA,"17,639,000","219,000","-170,000",NA,"48,719","-1,553,000","-178,000","117,376",NA,"114,850",NA,"-1,225,000",NA,NA,"87,722","-525,000","-364,500","55,770","-617,000","-18,000","286,000",NA,"-320,000",NA,"-489,000",NA,"210,000","235,000",NA,"902,000","2,870,000","50,984",NA,"506,600",NA,"315,000",NA,NA,NA,"312,320","-1,617,000","-1,840,000","-94,000","163,688","135,000","-876,000","-7,753","-50,403","-195,000","104,346",NA,NA,NA,"-916,000","88,303,000","-7,028,000","-3,713,000","22,500","104,294,000","-331,000","25,100",NA,NA,"-645,000","-389,100",NA,"-5,278,000",NA,NA,NA,NA,NA,NA,"-513,819","1,568,000",NA,"47,104,000",NA,"-315,000",NA,NA
Foreign Exchange Rate Adj.,272619,"-13,000",NA,NA,NA,NA,"-3,000",NA,NA,NA,NA,NA,"-38,930.00","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-190.00,NA,NA,NA,NA,NA,"-842,000.00",NA,300.00,NA,NA,NA,"-5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"-2,378.00",NA,NA,NA,NA,NA,NA,-123.00,"-1,200.00",NA,NA,NA,NA,NA,NA,"-120,000.00","1,000.00",NA,"-37,000.00",NA,"-8,732.00",-200.00,NA,NA,NA,NA,NA,NA,NA,NA,-152.00,NA,NA,"-150,000.00",NA,"46,000.00",NA,NA,NA,NA,NA,NA,-61.00,NA,"-14,000.00",NA,NA,98.00,"-22,000.00","-1,800.00",NA,NA,NA,"-1,000.00",NA,NA,NA,NA,NA,"27,000.00","-5,000.00",NA,NA,NA,NA,NA,"-2,900.00",NA,NA,NA,NA,NA,NA,"-1,000.00","-6,000.00",NA,"-1,189.00",NA,NA,NA,NA,"-6,000.00",NA,NA,NA,NA,NA,"-40,000.00","1,000.00",NA,NA,"-848,000.00",NA,"7,200.00",NA,NA,"-1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3,304.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"-1,506,000","-8,000.00",NA,NA,NA,"-580,000","-942,000","65,000",NA,NA,"-7,000.00","-19,955.00","-38,000.00",NA,NA,NA,NA,"-976,012.00","-480,000.00",NA,NA,"8,362.00","1,000.00","607,000.00",NA,"2,000.00","-221,000.00","36,143,000.00",NA,"630,100.00",NA,NA,"-75,000.00","213,000.00","294,000.00",NA,NA,NA,NA,NA,NA,"144,000.00","-34,892.00","1,889,000.00","-29,000.00","6,000.00",NA,"3,000.00",NA,"-24,092.00","2,600.00","96,000.00",NA,NA,"-40,885.00",NA,NA,"-5,747,000.00","-19,400.00",NA,"-2,227,000.00",NA,"-2,991,928.00","80,500.00",NA,"392,125.00","-559,000.00",NA,NA,NA,NA,NA,"-1,245,872.00",NA,NA,"17,672,000.00","19,000.00","-323,000.00",NA,-387.00,"1,293,000.00","-375,000.00","-21,168.00",NA,"-122,358.00",NA,"396,000.00",NA,NA,"11,581.00","-279,000.00","-130,000.00","5,324.00","27,000.00","3,000.00","23,000.00",NA,"-189,000.00",NA,"-2,313,000.00",NA,"-341,000.00","-114,000.00",NA,"-170,000.00","2,095,000.00","11,040.00",NA,"61,900.00",NA,NA,NA,"17,000.00",NA,"-326,445.00","-313,000.00","-599,000.00","-9,000.00","25,376.00","52,000.00","97,000.00","3,857.00","-91,893.00","-222,000.00",66.00,NA,NA,NA,"19,000.00","1,527,000.00","-1,495,000.00","3,619,000.00","-19,300.00","15,271,000.00","779,000.00","-152,000.00",NA,NA,"-510,000.00","34,400.00",NA,"-10,867,000.00",NA,NA,NA,NA,NA,NA,"-434,613.00","113,000.00",NA,"680,000.00",NA,"-182,000.00",NA,NA
Capital Expenditure,272592,"-225,000","-761,000.00","-403,000",NA,NA,"-705,000","-93,000","-1,596,000",NA,NA,"-236,000.00","-32,108.00","-37,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-262.00,"-371,000.00","-1,198,000.00",NA,"-59,000.00","-2,000.00","-1,415,000.00",NA,"-146,800.00",NA,NA,NA,"-332,000.00","-543,000.00",NA,NA,NA,NA,NA,NA,"-3,030,000.00","-59,808.00","-4,088,000.00","-735,000.00","-364,000.00",NA,"-212,000.00",NA,NA,"-120,400.00","-2,358,000.00",NA,NA,NA,NA,NA,"-2,376,000.00","-26,600.00",NA,"-178,000.00",NA,"-261,336.00","-22,200.00",NA,"-2,896.00","-233,000.00",NA,NA,NA,NA,"-398,000.00","-64,861.00","-304,000.00",NA,"-116,000.00","-110,000.00","-143,000.00",NA,-696.00,"-518,000.00","-100,000.00",NA,NA,"-96,768.00",NA,"-682,000.00",NA,NA,"-34,380.00","-62,000.00","-2,800.00",NA,NA,"-36,000.00","-37,000.00",NA,"-382,000.00",NA,"-167,000.00",NA,"-8,502,000.00","-233,000.00",NA,"-3,356,000.00","-717,000.00","-18,926.00",NA,"-29,700.00",NA,"-331,000.00",NA,"-115,000.00",NA,NA,"-500,000.00","-546,000.00","-8,000.00","-53,964.00","-1,538,000.00","-630,000.00","-208,720.00","-208,720.00","-160,000.00","-163,063.00",NA,NA,NA,"-40,000.00","-617,000.00","-1,275,000.00","-140,000.00","-114,100.00","-565,000.00","-1,044,000.00","-11,500.00",NA,NA,"-26,000.00","-39,600.00",NA,"-4,201,000.00",NA,NA,NA,NA,NA,NA,"-198,013.00","-2,511,000.00",NA,NA,NA,"-23,000.00",NA,NA
Change in Net Working Capital,272627,"668,000",NA,"219,000",NA,NA,NA,"-67,000","459,000","-84,290.00",NA,"120,000.00","-490,288.00","-19,000.00",NA,NA,NA,NA,"129,212.00","20,708,000.00",NA,NA,"-7,057.00","82,000.00","576,000.00",NA,"-93,800.00","3,737,000.00",NA,NA,"10,400.00",NA,NA,"-255,000.00","526,000.00","-26,000.00",NA,NA,NA,NA,NA,NA,"1,458,000.00","145,357.00","453,000.00","101,000.00","259,000.00",NA,"71,000.00",NA,"5,899.00","135,000.00","806,000.00",NA,NA,"145,723.00",NA,NA,"5,425,000.00","-4,500.00",904.00,"229,000.00",NA,"-5,474,711.00","-91,900.00",NA,"176,899.00","312,000.00",NA,NA,NA,NA,"6,000.00",NA,"-129,000.00",NA,"17,993,000.00","275,000.00","275,000.00",NA,"-11,095.00","-1,005,000.00","-44,000.00","40,599.00",NA,"158,090.00",NA,"378,000.00",NA,NA,"141,430.00","247,000.00","92,320.00","8,214.00",NA,"-27,000.00","234,000.00",NA,"387,000.00",NA,"3,250,000.00",NA,"-4,808,000.00","436,000.00",NA,"2,318,000.00","2,024,000.00","106,872.00",NA,"345,200.00",NA,"186,000.00",NA,"-55,000.00",NA,NA,"-446,000.00","872,000.00","-3,000.00","-224,382.00","205,000.00","-821,000.00","54,260.00","157,415.00","723,000.00","-20,073.00",NA,NA,NA,"-223,000.00",NA,"789,000.00",NA,"-31,900.00",NA,"-368,000.00","79,500.00",NA,NA,"-25,000.00","-1,185,400.00",NA,"2,877,000.00",NA,NA,NA,NA,NA,NA,"68,109.00","121,000.00",NA,NA,NA,"84,000.00",NA,NA
Unlevered Free Cash Flow,272626,"391,750",NA,"-299,625",NA,NA,NA,"1,882,500","-1,245,875",NA,NA,"-15,500.00","749,967.00","186,625.00",NA,NA,NA,NA,"240,124.38","-21,308,000.00",NA,NA,"36,477.63","-79,750.00","-942,250.00",NA,"187,800.00","-3,460,125.00",NA,NA,"152,987.50",NA,NA,"668,125.00","19,625.00","697,875.00",NA,NA,NA,NA,NA,NA,"-2,878,125.00","123,647.25","-1,193,875.00","-183,000.00","-303,250.00",NA,"-32,000.00",NA,"101,402.00","152,512.50","-1,195,625.00",NA,NA,"-26,897.38",NA,NA,"-4,713,500.00","232,612.50",NA,"136,625.00",NA,"6,356,722.75","265,437.50",NA,"-95,360.50","409,125.00",NA,NA,NA,NA,"-153,625.00",NA,"-168,250.00",NA,"-17,325,500.00","-163,500.00","384,125.00",NA,"14,886.38","2,610,750.00","154,625.00","40,684.75",NA,"-36,085.75",NA,"1,368,500.00",NA,NA,"-68,558.88","270,250.00","266,742.50","51,032.63",NA,"36,500.00","-148,750.00",NA,"212,375.00",NA,"-2,303,125.00",NA,"2,128,500.00","-377,250.00",NA,"-3,418,500.00","-2,297,250.00","-36,591.75",NA,"-295,687.50",NA,"-434,625.00",NA,"270,625.00",NA,NA,"1,173,125.00","1,697,750.00","121,625.00","129,551.50","-233,750.00","795,250.00","-19,851.63","-123,597.88","-30,125.00","-116,395.25",NA,NA,NA,"2,290,875.00",NA,"-625,875.00",NA,"-7,150.00",NA,"1,487,250.00","11,662.50",NA,NA,"132,000.00","1,399,975.00",NA,"3,152,250.00",NA,NA,NA,NA,NA,NA,"119,421.00","-1,436,500.00",NA,NA,NA,"126,875.00",NA,NA
Levered Free Cash Flow,272625,"258,000",NA,"-340,250",NA,NA,NA,"1,721,250","-1,368,375",NA,NA,"-62,375.00","706,120.13","142,250.00",NA,NA,NA,NA,"145,066.25","-21,331,125.00",NA,NA,"32,431.25","-121,000.00","-1,108,500.00",NA,"142,800.00","-3,468,250.00",NA,NA,"92,737.50",NA,NA,"586,250.00","-37,875.00","564,750.00",NA,NA,NA,NA,NA,NA,"-3,228,750.00","105,196.00","-1,798,875.00","-263,000.00","-343,250.00",NA,"-64,500.00",NA,"82,347.13","117,700.00","-1,542,500.00",NA,NA,"-41,210.13",NA,NA,"-4,932,250.00","212,862.50",NA,"64,750.00",NA,"6,207,222.75","239,312.50",NA,"-118,266.25","347,250.00",NA,NA,NA,NA,"-211,750.00",NA,"-186,375.00",NA,"-17,501,125.00","-211,000.00","372,250.00",NA,"14,886.38","2,384,500.00","139,750.00","21,025.88",NA,"-63,248.88",NA,"1,118,500.00",NA,NA,"-79,305.75","200,875.00","225,355.00","42,486.63",NA,"27,125.00","-205,625.00",NA,"89,250.00",NA,"-2,404,375.00",NA,"1,551,625.00","-418,500.00",NA,"-3,866,625.00","-2,439,125.00","-47,261.25",NA,"-314,687.50",NA,"-461,500.00",NA,"255,625.00",NA,NA,"1,070,500.00","1,444,000.00","102,875.00","70,221.50","-502,500.00","769,000.00","-48,401.63","-152,187.25","-133,625.00","-127,794.00",NA,NA,NA,"2,229,625.00",NA,"-1,010,875.00",NA,"-16,275.00",NA,"1,323,500.00","2,787.50",NA,NA,"123,875.00","1,366,787.50",NA,"1,939,750.00",NA,NA,NA,NA,NA,NA,"56,697.88","-1,598,375.00",NA,NA,NA,"85,625.00",NA,NA
