SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"6,270,000","554,600","462,700",NA,NA,"1,672,000","5,277,000","1,973,000","421,697",NA,"961,800","8,007,019","1,604,000",NA,NA,NA,NA,"579,054","1,169,000",NA,NA,"174,333","583,000","1,860,000",NA,"572,500","1,811,000","18,326,000",NA,"3,086,500","54,756","6,111,000","5,390,000","3,173,000","3,572,000",NA,NA,NA,"2,325,000",NA,NA,"3,810,000","1,958,428","7,994,000","2,164,000","851,000","132,253","577,000",NA,"189,721","1,319,100","5,980,000",NA,NA,"156,635",NA,NA,"43,801,000","1,494,500","344,121","4,822,000",NA,"2,475,691","1,503,400",NA,"228,473","13,196,000",NA,NA,NA,NA,"388,000","1,182,109","675,000",NA,"3,805,000","4,277,000","4,303,000",NA,"617,539","23,479,000","5,467,000","123,237",NA,"3,257,077",NA,"6,692,000",NA,"964,000","850,176","2,556,000","625,439","80,106","350,000","809,000","2,048,000",NA,"2,971,000",NA,"9,775,000",NA,"12,398,000","2,479,000",NA,"5,888,000","1,676,000","866,073",NA,"2,269,400","78,400","644,200",NA,"1,450,000",NA,"789,609","4,160,000","13,464,000","1,909,000","842,009","4,687,000","6,525,000","394,603","1,169,492","18,875,676","119,467",NA,"795,000",NA,"14,497,000","4,417,000","18,104,000","4,606,000","222,000","11,810,000","34,198,000","1,081,800",NA,NA,"1,222,000","3,092,500",NA,"33,336,000",NA,NA,NA,NA,NA,NA,"651,444","2,645,000",NA,"19,660,000",NA,"2,022,000",NA,NA
Gross Profit,271473,"2,556,000","375,200","426,000",NA,NA,"1,672,000","3,684,000","1,130,000","220,472.00",NA,"356,400.00","979,597.00","678,000.00",NA,NA,NA,NA,"269,091.00","-2,000.00",NA,NA,"117,959.00","254,000.00","1,035,000.00",NA,"164,000.00","-108,000.00","18,326,000.00",NA,"838,800.00","17,910.00","1,485,000.00","2,740,000.00","1,067,000.00","1,674,000.00",NA,NA,NA,"2,176,000.00",NA,NA,"1,859,000.00","740,579.00","3,938,000.00","918,000.00","408,000.00","48,182.00","312,000.00",NA,"175,129.00","733,900.00","2,415,000.00",NA,NA,"114,076.00",NA,NA,"3,809,000.00","893,000.00","160,316.00","1,935,000.00",NA,"1,560,160.00","833,600.00",NA,"125,816.00","2,822,000.00",NA,NA,NA,NA,"358,000.00","951,809.00","360,000.00",NA,"2,111,000.00","1,736,000.00","707,000.00",NA,"159,572.00","7,818,000.00","2,263,000.00","123,237.00",NA,"402,759.00",NA,"3,864,000.00",NA,"538,000.00","222,633.00","1,282,000.00","520,128.00","67,153.00","350,000.00","198,000.00","639,000.00",NA,"1,275,000.00",NA,"2,041,000.00",NA,"8,959,000.00","757,000.00",NA,"1,748,000.00","656,000.00","199,119.00",NA,"529,300.00","11,900.00","196,800.00",NA,"1,034,000.00",NA,"789,609.00","2,075,000.00","714,000.00","221,000.00","439,378.00","1,845,000.00","1,412,000.00","102,277.00","186,898.00","3,431,360.00","41,246.00",NA,"413,000.00",NA,"2,157,000.00","4,417,000.00","1,165,000.00","4,455,000.00","98,100.00","9,890,000.00","7,308,000.00","372,400.00",NA,NA,"274,000.00","880,000.00",NA,"19,959,000.00",NA,NA,NA,NA,NA,NA,"168,411.00","1,362,000.00",NA,"19,660,000.00",NA,"502,000.00",NA,NA
Earnings from Cont. Ops.,271505,"(2,523,000)","125,500","179,200",NA,NA,"296,000","2,166,000","494,000","88,092.0",NA,"91,900.0","200,041.0","91,000.0",NA,NA,NA,NA,"-101,787.0","481,000.0",NA,NA,"4,491.0","28,000.0","282,000.0",NA,"61,000.0","-99,000.0","3,585,000.0",NA,"342,200.0","-1,911.0","690,000.0","2,069,000.0","182,000.0","828,000.0",NA,NA,NA,"586,000.0",NA,NA,"698,000.0","261,983.0","1,473,000.0","347,000.0","159,000.0","7,967.0","80,000.0",NA,"56,260.0","164,300.0","700,000.0",NA,NA,"77,139.0",NA,NA,"1,173,000.0","218,000.0","-60,809.0","386,000.0",NA,"376,605.0","-170,400.0",NA,"32,064.0","766,000.0",NA,NA,NA,NA,"110,000.0","53,947.0","90,000.0",NA,"518,000.0","97,000.0","-106,000.0",NA,"67,042.0","154,000.0","108,000.0","103,261.0",NA,"15,305.0",NA,"2,317,000.0",NA,"321,000.0","42,387.0","465,000.0","259,659.0","29,033.0","79,000.0","-266,000.0","-218,000.0",NA,"478,000.0",NA,"937,000.0",NA,"1,896,000.0","337,000.0",NA,"420,000.0","-652,000.0","39,550.0",NA,"151,500.0","-14,200.0","139,400.0",NA,"341,000.0",NA,"221,191.0","1,011,000.0","-933,000.0","80,000.0","215,494.0","269,000.0","193,000.0","-3,251.0","3,967.0","429,604.0","27,697.0",NA,"170,000.0",NA,"-4,000.0","1,043,000.0","-1,638,000.0","1,125,000.0","43,600.0","2,058,000.0","400,000.0","-15,000.0",NA,NA,"94,000.0","202,000.0",NA,"4,884,000.0",NA,NA,NA,NA,NA,NA,"-44,758.0","475,000.0",NA,"5,736,000.0",NA,"239,000.0",NA,379.2
Net Income,271510,"(2,075,000)","125,500","179,200",NA,NA,"296,000","2,166,000","493,000","88,092.00",NA,"91,900.00","198,659.00","91,000.00",NA,NA,NA,NA,"-122,696.00","479,000.00",NA,NA,"4,491.00","28,000.00","282,000.00",NA,"61,000.00","-99,000.00","3,546,000.00",NA,"341,700.00","-1,911.00","731,000.00","2,101,000.00","164,000.00","828,000.00",NA,NA,NA,"586,000.00",NA,NA,"157,000.00","289,753.00","1,252,000.00","347,000.00","159,000.00","7,967.00","80,000.00",NA,"56,260.00","162,200.00","700,000.00",NA,NA,"76,917.00",NA,NA,"1,199,000.00","218,000.00","-61,062.00","375,000.00",NA,"361,830.00","-171,100.00",NA,"-544,181.00","766,000.00",NA,NA,NA,NA,"110,000.00","57,719.00","90,000.00",NA,"518,000.00","97,000.00","-106,000.00",NA,"67,042.00","154,000.00","108,000.00","103,261.00",NA,"14,296.00",NA,"2,317,000.00",NA,"321,000.00","42,387.00","464,000.00","259,659.00","29,346.00","79,000.00","-129,000.00","-218,000.00",NA,"478,000.00",NA,"937,000.00",NA,"1,896,000.00","337,000.00",NA,"420,000.00","-652,000.00","39,550.00",NA,"151,700.00","-14,200.00","139,400.00",NA,"341,000.00",NA,"216,343.00","1,009,000.00","-984,000.00","80,000.00","215,494.00","269,000.00","193,000.00","-3,251.00","3,231.00","429,604.00","27,697.00",NA,"170,000.00",NA,"-5,000.00","1,040,000.00","-1,636,000.00","1,125,000.00","43,600.00","2,058,000.00","398,000.00","-15,000.00",NA,NA,"94,000.00","202,000.00",NA,"4,762,000.00",NA,NA,NA,NA,NA,NA,"-42,228.00","475,000.00",NA,"5,767,000.00",NA,"239,000.00",NA,379.18
EBIT,271530,"1,152,000","205,800","252,600",NA,NA,NA,"3,130,000","698,000","87,273.00",NA,"177,300.00","278,557.00","202,000.00",NA,NA,NA,NA,"32,002.00","627,000.00",NA,NA,"14,318.00","75,000.00","512,000.00",NA,"113,800.00","-135,000.00",NA,NA,"496,000.00",-255.00,"1,085,000.00","2,064,000.00","288,000.00","1,271,000.00",NA,NA,NA,NA,NA,NA,"1,168,000.00","341,281.00","2,191,000.00","522,000.00","221,000.00","16,666.00","128,000.00",NA,"106,109.00","244,100.00","1,124,000.00",NA,NA,"63,915.00",NA,NA,"865,000.00","291,100.00","-31,117.00","735,000.00",NA,"633,296.00","311,900.00",NA,"43,090.00","1,089,000.00",NA,NA,NA,NA,"222,000.00",NA,"130,000.00",NA,"898,000.00","200,000.00","-43,000.00",NA,"83,043.00","2,992,000.00","182,000.00","108,593.00",NA,"83,120.00",NA,"3,183,000.00",NA,"288,000.00","71,072.00","671,000.00","354,315.00","45,139.00",NA,"51,000.00","84,000.00",NA,"949,000.00",NA,"1,148,000.00",NA,"3,355,000.00","504,000.00",NA,"967,000.00","320,000.00","71,075.00",NA,"201,100.00","-15,100.00","121,400.00",NA,"484,000.00",NA,NA,"1,265,000.00","-950,000.00","139,000.00","313,655.00","1,014,000.00","128,000.00","16,959.00","65,328.00","729,481.00","44,294.00",NA,"239,000.00",NA,"154,000.00",NA,"-687,000.00",NA,"52,600.00",NA,"956,000.00","132,200.00",NA,NA,"119,000.00","310,300.00",NA,"7,843,000.00",NA,NA,NA,NA,NA,NA,"-21,611.00","804,000.00",NA,NA,NA,"350,000.00",NA,-17.09
EBIT / Interest Expense (x),274483,3.79,3.44,4.90,NA,NA,NA,11.51,4.59,2.54,NA,2.59,2.76,2.35,NA,NA,NA,NA,0.22,16.95,NA,NA,1.84,1.71,2.80,NA,1.68,NM,NA,NA,4.71,NM,13.23,15.29,3.51,6.26,NA,NA,NA,NA,NA,NA,6.08,10.54,2.83,5.07,4.17,1.85,2.78,NA,3.40,3.89,2.57,NA,NA,3.07,NA,NA,2.62,9.77,NM,5.00,NA,3.65,6.62,NA,1.10,8.13,NA,NA,NA,NA,2.71,NA,4.06,NA,3.79,2.47,NM,NA,NA,9.68,4.33,4.11,NA,1.33,NA,9.33,NA,3.24,4.12,11.18,7.55,2.99,NA,0.61,1.22,NA,5.21,NA,8.14,NA,3.70,29.65,NA,1.63,2.29,4.21,NA,6.19,NM,4.76,NA,21.04,NA,NA,3.72,NM,4.63,8.69,2.75,2.17,0.47,0.91,5.41,3.63,NA,3.79,NA,1.75,NA,NM,NA,NA,NA,8.03,8.81,NA,NA,11.90,6.39,NA,5.47,NA,NA,NA,NA,NA,NA,NM,3.74,NA,NA,NA,4.86,NA,NM
Avg. Days Sales Out.,274485,71.9,51.1,47.1,NA,NA,NA,NA,42.4,10,NA,27,123,12,NA,NA,NA,NA,171,NM,NA,NA,62,60,50,NA,11,110,NA,NA,28,137,21,20,49,35,NA,NA,NA,NA,NA,NA,57,73,45,10,16,9,15,NA,30,66,33,NA,NA,86,NA,NA,12,57,47,71,NA,42,60,NA,39,30,NA,NA,NA,NA,37,NA,39,NA,31,NA,34,NA,6,NA,4,NA,NA,97,NA,31,NA,32,119,94,89,131,NA,105,56,NA,26,NA,75,NA,45,50,NA,131,45,24,NA,16,63,18,NA,18,NA,NA,8,156,50,10,56,6,50,76,24,39,NA,39,NA,66,NA,62,NA,30,NA,5,36,NA,NA,30,NA,NA,66,NA,NA,NA,NA,NA,NA,49,60,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,5.12,7.20,7.81,NA,NA,NA,NA,8.69,36,NA,13,3,30,NA,NA,NA,NA,2,0,NA,NA,6,6,7,NA,33,3,NA,NA,13,3,17,18,7,10,NA,NA,NA,NA,NA,NA,6,5,8,36,23,41,25,NA,12,6,11,NA,NA,4,NA,NA,30,6,8,5,NA,9,6,NA,9,12,NA,NA,NA,NA,10,NA,9,NA,12,NA,11,NA,59,NA,99,NA,NA,4,NA,12,NA,11,3,4,4,3,NA,4,7,NA,14,NA,5,NA,8,7,NA,3,8,15,NA,23,6,20,NA,21,NA,NA,49,2,7,36,7,59,7,5,15,9,NA,9,NA,6,NA,6,NA,12,NA,70,10,NA,NA,12,NA,NA,6,NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,2.53,0.18,0.13,NA,NA,NA,12.97,0.24,0,NA,0,59,3,NA,NA,NA,NA,0,NA,NA,NA,16,0,0,NA,1,36,NA,NA,5,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,8,0,0,0,0,0,NA,0,3,0,NA,NA,0,NA,NA,4,10,6,8,NA,5,12,NA,0,13,NA,NA,NA,NA,0,NA,0,NA,5,2,5,NA,55,4,3,NA,NA,7,NA,1,NA,0,4,7,14,0,NA,3,5,NA,0,NA,4,NA,3,3,NA,0,0,7,NA,7,0,0,NA,1,NA,NA,1,3,29,2,0,1,0,1,14,0,NA,0,NA,63,NA,7,NA,0,NA,4,6,NA,NA,102,27,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA
Total Asset Turnover (x),274487,0.51,0.16,0.13,NA,NA,NA,0.57,0.20,0,NA,0,2,1,NA,NA,NA,NA,0,0,NA,NA,1,0,0,NA,0,0,NA,NA,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,1,1,NA,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,1,2,1,0,NA,1,NA,1,NA,0,1,1,1,0,0,0,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,2,0,0,NA,0,NA,0,1,0,1,1,0,1,0,0,3,0,NA,0,NA,1,NA,1,0,0,0,3,1,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,910,000","276,100","342,600",NA,NA,"1,660,000","2,952,000","920,000","207,698",NA,"327,300","321,707","-14,000",NA,NA,NA,NA,"301,189","339,000",NA,NA,"35,398","123,000","587,000",NA,"96,200","650,000","15,794,000",NA,"405,600","-4,610","-1,024,000","1,018,000","722,000","1,552,000",NA,NA,NA,"2,389,000",NA,NA,"1,992,000",NA,"3,524,000","1,019,000","276,000","41,635","326,000",NA,"149,204","381,700","1,531,000",NA,NA,"84,316",NA,NA,"4,591,000","411,400","-24,914","650,000",NA,"426,808","215,700",NA,NA,"976,000",NA,NA,NA,NA,"262,000","-488,305","34,000",NA,"580,000","121,000","278,000",NA,"-115,510","2,126,000","185,000","83,964",NA,"294,482",NA,"3,029,000",NA,"627,000","15,919","714,000","291,131","49,703","122,000","189,000","402,000",NA,"660,000",NA,"1,228,000",NA,"4,275,000","691,000",NA,"1,903,000","160,000","115,479",NA,"28,100","7,500","223,900",NA,"636,000",NA,"509,017","659,000","3,316,000","128,000","316,883","1,871,000","616,000","115,944","186,248","922,316","94,619",NA,"447,000",NA,"1,233,000","5,040,000","22,000","-5,011,000","7,000","-25,534,000","911,000","93,000",NA,NA,"-110,000","395,100",NA,"10,778,000",NA,NA,NA,NA,NA,NA,"89,480","1,587,000",NA,"15,505,000",NA,"523,000",NA,-377
Cash from Investing,272601,"(287,000)","(361,000)","(357,800)",NA,NA,"(1,735,000)","1,641,000","(767,000)","-227,494",NA,"-261,200","-20,670","-90,000",NA,NA,NA,NA,"-320,714","-985,000",NA,NA,"-5,006","-87,000","-1,036,000",NA,"-430,500","-318,000","-12,710,000",NA,"-78,300","4,616","2,008,000","-2,377,000","-255,000","-561,000",NA,NA,NA,"-5,836,000",NA,NA,"923,000",NA,"-3,243,000","-654,000","-243,000","-50,563","-178,000",NA,"-7,562","-406,000","-1,840,000",NA,NA,"-71,775",NA,NA,"-4,062,000","-83,300","-3,651","-120,000",NA,"-118,143","-46,800",NA,NA,"-129,000",NA,NA,NA,NA,"-180,000","-138,741","-173,000",NA,"-420,000","-158,000","-183,000",NA,-754,"-406,000","-354,000",NA,NA,"-30,223",NA,"-933,000",NA,"-573,000","-39,695","-61,000","-20,981","-19,946","1,659,000","-111,000","-53,000",NA,"-653,000",NA,"-200,000",NA,"-2,778,000","-117,000",NA,"-2,290,000","-716,000","-9,916",NA,"-155,800","-56,400","-139,000",NA,"-633,000",NA,"-639,033","-328,000","-859,000","-6,000","-45,085","-1,244,000","-64,000","-198,282","-250,367","-161,946","-38,427",NA,"-318,000",NA,"-845,000","20,631,000","-403,000","18,533,000","-112,400","-8,033,000","-804,000","-56,500",NA,NA,"-26,000","-225,400",NA,"-5,408,000",NA,NA,NA,NA,NA,NA,"-295,934","-1,690,000",NA,"7,628,000",NA,"-164,000",NA,"9,514"
Cash from Financing,272618,"(704,000)","101,100","15,200",NA,NA,"(1,442,000)","(3,935,000)","(153,000)","-99,327",NA,"-76,600","-156,663","-53,000",NA,NA,NA,NA,"-678,577","748,000",NA,NA,"-9,912","-36,000","355,000",NA,"86,400","-181,000","-43,965,000",NA,"-297,100",-6,"646,000","1,190,000","-356,000","-587,000",NA,NA,NA,"4,036,000",NA,NA,"-2,983,000",NA,"-274,000","-374,000","-30,000","17,534","-136,000",NA,"-68,040","280,700","221,000",NA,NA,"-26,387",NA,NA,"-338,000","-324,900","12,455","-24,000",NA,"-242,878","-121,800",NA,NA,"-1,069,000",NA,NA,NA,NA,"-45,000","1,242,392","139,000",NA,"-174,000","9,000","-31,000",NA,"119,911","22,000","195,000","-77,803",NA,"-169,432",NA,"-137,000",NA,"195,000","40,986","-414,000","-130,312","-30,536","-2,248,000","2,145,000","-247,000",NA,"943,000",NA,"-2,330,000",NA,"-105,000","-200,000",NA,"219,000","72,000","-123,024",NA,"88,800","48,800","-85,800",NA,0,NA,"25,471","-457,000","-2,377,000","-168,000","-184,527","-377,000","-213,000","-39,644","-52,113","-495,578","-8,654",NA,"-126,000",NA,"-227,000","-27,287,000","-38,000","-27,722,000","105,000","6,442,000","-293,000","-50,200",NA,NA,"-423,000","-112,100",NA,"-6,055,000",NA,NA,NA,NA,NA,NA,"237,572","121,000",NA,"39,165,000",NA,"-281,000",NA,"-24,885"
Foreign Exchange Rate Adj.,272619,"(37,000)",NA,NA,NA,NA,"(3,000)",NA,NA,NA,NA,NA,"-51,462.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2,040,000.00",NA,"1,300.00",NA,NA,0.00,"-10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.00,"-7,900.00",NA,NA,NA,NA,NA,NA,"-180,000.00","-1,900.00",-103.00,"-31,000.00",NA,"-70,273.00","-7,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"-2,873.00",NA,NA,"-4,000.00",NA,"51,000.00",NA,NA,"-32,000.00",NA,NA,NA,-558.00,NA,"-89,000.00",NA,NA,"-1,460.00","-39,000.00","-3,615.00",NA,NA,"-20,000.00","-10,000.00",NA,NA,NA,NA,NA,"14,000.00","-19,000.00",NA,NA,NA,NA,NA,"-6,000.00",NA,NA,NA,NA,NA,NA,"-1,000.00","-15,000.00",NA,"-2,056.00",NA,NA,NA,-196.00,"4,027.00",NA,NA,NA,NA,NA,"-8,000.00","-24,000.00",NA,NA,"-3,927,000.00",NA,"10,300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,840.00",NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"882,000","16,200",NA,NA,NA,"(1,520,000)","658,000",0,"-119,123.00",NA,"-10,500.00","92,912.00","-157,000.00",NA,NA,NA,NA,"-698,102.00","102,000.00",NA,NA,"20,480.00",0.00,"-94,000.00",NA,"-247,900.00","151,000.00","-42,921,000.00",NA,"31,100.00",0.00,"1,630,000.00","-207,000.00","101,000.00","404,000.00",NA,NA,NA,"589,000.00",NA,NA,"-68,000.00",NA,"7,000.00","-9,000.00","3,000.00","8,606.00","12,000.00",NA,"73,487.00","248,500.00","-88,000.00",NA,NA,"-13,846.00",NA,NA,"11,000.00","1,300.00","-16,213.00","475,000.00",NA,"-4,486.00","-31,100.00",NA,NA,"-222,000.00",NA,NA,NA,NA,"37,000.00","612,473.00",NA,NA,"-18,000.00","-28,000.00","115,000.00",NA,"3,647.00","1,710,000.00","26,000.00","6,161.00",NA,"94,269.00",NA,"1,871,000.00",NA,"249,000.00","15,750.00","200,000.00","136,223.00",-779.00,"-467,000.00","2,203,000.00","92,000.00",NA,"950,000.00",NA,"-1,302,000.00",NA,"1,406,000.00","355,000.00",NA,"-280,000.00","-484,000.00","-17,461.00",NA,"-44,900.00",-100.00,-900.00,NA,"3,000.00",NA,"-104,545.00","-126,000.00","65,000.00","-46,000.00","85,215.00","250,000.00","339,000.00","-121,982.00","-116,428.00","268,819.00","47,538.00",NA,"3,000.00",NA,"161,000.00","-1,624,000.00","-443,000.00","-14,200,000.00",-400.00,"-31,052,000.00","-186,000.00","-3,400.00",NA,NA,"-559,000.00","57,600.00",NA,"-685,000.00",NA,NA,NA,NA,NA,NA,"32,958.00","18,000.00",NA,"62,298,000.00",NA,"78,000.00",NA,"-15,748.77"
Capital Expenditure,272592,"(405,000)","(340,900)","(348,800)",NA,NA,"(673,000)","(40,000)","(762,000)",NA,NA,"-255,200.00","-20,670.00","-91,000.00",NA,NA,NA,NA,NA,NA,NA,NA,-229.00,"-412,000.00","-1,064,000.00",NA,"-185,700.00","-2,000.00","-1,693,000.00",NA,"-79,000.00","-12,524.00","-400,000.00",NA,"-341,000.00","-574,000.00",NA,NA,NA,"-77,000.00",NA,NA,"-2,318,000.00",NA,"-3,045,000.00","-619,000.00","-249,000.00","-52,737.00","-241,000.00",NA,NA,"-134,300.00","-1,855,000.00",NA,NA,NA,NA,NA,"-2,212,000.00","-27,900.00","-2,603.00","-80,000.00",NA,"-169,793.00","-48,300.00",NA,NA,"-137,000.00",NA,NA,NA,NA,"-177,000.00","-29,996.00","-156,000.00",NA,"-122,000.00","-185,000.00","-245,000.00",NA,-577.00,"-403,000.00","-277,000.00",NA,NA,"-38,302.00",NA,"-570,000.00",NA,"-576,000.00","-35,331.00","-65,000.00","-3,564.00","-1,112.00",NA,"-42,000.00","-67,000.00",NA,"-548,000.00",NA,"-359,000.00",NA,"-2,628,000.00","-110,000.00",NA,"-2,421,000.00","-721,000.00","-10,939.00",NA,"-105,500.00","-54,000.00","-137,500.00",NA,"-314,000.00",NA,NA,"-281,000.00","-564,000.00","-6,000.00","-45,085.00","-1,280,000.00","-850,000.00","-199,997.00","-225,855.00","-164,792.00","-38,017.00",NA,"-318,000.00",NA,"-55,000.00","-336,000.00","-332,000.00","-239,000.00","-108,600.00","-507,000.00","-831,000.00","-35,600.00",NA,NA,"-20,000.00","-32,800.00",NA,"-4,094,000.00",NA,NA,NA,NA,NA,NA,"-295,934.00","-1,665,000.00",NA,NA,NA,"-77,000.00",NA,NA
Change in Net Working Capital,272627,"(4,891,000)","85,200","43,300",NA,NA,NA,"(2,328,000)","(200,000)","-12,847.00",NA,"-162,200.00","-84,392.00","174,000.00",NA,NA,NA,NA,"44,193.00","277,000.00",NA,NA,"2,449.00","-436,000.00","39,000.00",NA,"9,600.00","-66,000.00",NA,NA,"23,300.00","-2,167.00","237,000.00","408,000.00","145,000.00","-287,000.00",NA,NA,NA,NA,NA,NA,"8,561,000.00","41,277.00","-518,000.00","-469,000.00","-13,000.00","-22,155.00","-243,000.00",NA,"1,774.00","-124,200.00","-135,000.00",NA,NA,"1,633.00",NA,NA,"1,237,000.00","-91,600.00","-24,966.00","-226,000.00",NA,"320,563.00","519,900.00",NA,"12,024.00","-303,000.00",NA,NA,NA,NA,"32,000.00",NA,"113,000.00",NA,"269,000.00","305,000.00","-126,000.00",NA,"146,118.00","490,000.00","-46,000.00","-55,567.00",NA,"-234,963.00",NA,"-314,200.00",NA,"-5,000.00","47,923.00","1,000.00","-8,274.00","-2,602.00",NA,"-4,000.00","-351,000.00",NA,"103,000.00",NA,"23,000.00",NA,"-389,000.00","-190,000.00",NA,"-1,153,000.00","105,000.00","-32,795.00",NA,"178,000.00","-9,000.00","68,400.00",NA,"272,000.00",NA,NA,"693,213.00","-2,775,000.00","-10,000.00","7,341.00","-839,000.00","25,000.00","-82,094.00","-78,206.00","-337,966.00","-16,813.00",NA,"-75,000.00",NA,"-2,744,000.00",NA,"-791,000.00",NA,"-18,400.00",NA,"505,000.00","26,750.00",NA,NA,"-14,000.00","-833,600.00",NA,"-4,864,000.00",NA,NA,NA,NA,NA,NA,"28,296.00","-8,000.00",NA,NA,NA,"-129,000.00",NA,"23,884.90"
Unlevered Free Cash Flow,272626,"5,782,000","(171,875)","(134,625)",NA,NA,NA,"6,024,250","254,250","188,671.63",NA,"161,512.50","282,825.13","-82,750.00",NA,NA,NA,NA,"186,860.25","114,875.00",NA,NA,"27,163.75","195,875.00","-409,000.00",NA,"-72,675.00","-6,375.00",NA,NA,"309,000.00","1,032.63","653,125.00","989,000.00","91,000.00","925,375.00",NA,NA,NA,NA,NA,NA,"-9,340,000.00",NA,"464,375.00","563,250.00","77,125.00","5,599.25","173,000.00",NA,"111,148.13","299,162.50","-128,500.00",NA,NA,"83,252.88",NA,NA,"-1,254,375.00","389,937.50","7,962.88","758,375.00",NA,"432,099.00","-252,262.50",NA,NA,"1,154,625.00",NA,NA,NA,NA,"6,750.00",NA,"-132,750.00",NA,"376,250.00","-163,000.00","660,125.00",NA,"-91,100.13","1,479,000.00","-16,250.00","127,601.63",NA,"413,109.00",NA,"2,274,575.00",NA,"-172,000.00","-13,645.00","491,375.00","246,611.88","49,039.88",NA,"107,875.00","417,500.00",NA,"278,125.00",NA,"652,500.00",NA,"2,339,875.00","532,000.00",NA,"366,375.00","-341,000.00","108,561.88",NA,"-81,512.50","-31,937.50","-68,225.00",NA,"-76,500.00",NA,NA,"182,412.00","2,469,250.00","121,875.00","217,765.38","854,750.00","-420,000.00","-38,035.63","-1,299.00","853,170.63","11,456.75",NA,"13,375.00",NA,"2,961,250.00",NA,"491,625.00",NA,"-37,025.00",NA,"88,500.00","51,175.00",NA,NA,"114,375.00","1,022,837.50",NA,"9,307,875.00",NA,NA,NA,NA,NA,NA,"-192,343.88","-629,500.00",NA,NA,NA,"392,750.00",NA,"-23,895.59"
